"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
 479,"*sàmá-",2053,"to fade, abate","вянуть, блекнуть","","sàmà-","samé-","sàmè-","sàmè-","","","","","JLTT 747."
 480,"*pana-",1690,"to run, trot, jump","бежать, скакать, прыгать","","\Ifana-\i","hané-","hànè-","hané-","","","","","JLTT 684. Tone unclear: Kyoto and Tokyo point to *pàná-, Kagoshima - to *páná-."
 481,"*ìpà-p-",  59,"to enjoy, feast, celebrate","праздновать","ipa-p-","ìfà-f-","iwá-","íwá-","ìwà-","","","","","JLTT 700."
 482,"*núrá-",1490,"to get wet","мокнуть","nura-","núra-","nùre-","núré-","nuré-","","","","","JLTT 738. Cf. also *núr- 'to paint, smear'."
 483,"*kənsu-", 879,"to uproot","вырывать (с корнем)","kozu-","","","","","","","","","JLTT 714."
 484,"*kárá-",1114,"to dry out; to become ripe","высыхать; созревать","kara-","kárá-","kàre-","káré-","karé-","","","","","JLTT 704."
 485,"*pàtùr-",1660,"to pare, whittle, remove the skin","подрезать, срезать, сдирать","patur-","fàtùr-","","","","","","","","JLTT 686."
 486,"*nìnkà-",1425,"bitter, sour","горький, кислый","","nìgà-","nigá-","nígà-","nigá-","","","","","JLTT 837."
 487,"*mùrá-",1278,"to become stale; to be overboiled","становиться затхлым; развариваться","","","muré-","mùrè-","mùrè-","","","","","JLTT 729."
 488,"*kàsù-r-", 754,"to scrape","скрести, царапать","","kàsù-r-","kasúr-u","kásúr-","kasúr-","","","","","JLTT 705."
 489,"*túm-",2303,"to put into, onto","вкладывать, накладывать","tum-","túm-","tsùm-","tsúm-","tsúm-","","","","","JLTT 774."
 490,"*kuá-", 908,"thick, saturated","густой","kwo-","kó-","kó-","kó-","kò-","","","","","JLTT 832."
 491,"*pìtà-",1612,"1 to be dipped, become wet 2 to dip, soak","1 окунаться, увлажняться 2 окунать, мочить","p(j)itas- 2","fìtàr- 1","hitár-u 1, hitás-u 2","hítár- 1, hítás- 2","hìtàr- 1, hìtàs- 2","","","","","JLTT 690. Tokyo has also irregular accent variants: hìtar-, hìtas-."
 492,"*ki", 556,"wine","вино","kji","","","","","","","","","JLTT 449."
 493,"*kámp(u)í",1119,"mould","плесень","","","kàbi","kábí","kábi","","","","","JLTT 431."
 494,"*kùjù-r-", 810,"to smoke, fume","дымить(ся)","","kùjù-r-","kuyúr-","kúyúr-","kùyùr-","","","","",""
 495,"*də̀rə̀kə̀-p-",2695,"to be glad","радоваться","joroko-b-","jòròkò-b-","yorokób-u","yórókób-ú","yòròkòb-","","","","","JLTT 787."
 496,"*nái",1195,"sound","звук","\Ine\i","\Ine\i","nè","nḕ","né","","","","","JLTT 495. OJ na-r- 'to sound' is probably derived from this root (and not related to *ni̯uru, despite Martin 241)."
 497,"*mínə́-r-",1314,"to ripen, become ripe","созревать","m(j)in(w)or-","","mìnor-, minór-","mínór-","minór-","","","","","JLTT 724."
 498,"*túk(á)-",2336,"to soak","мочить, мокнуть, погружать(ся) в жидкость","tuk-, tuka-","","tsùke- (tr.), tsùkar- (itr.)","tsúké- (tr.), tsúkár- (itr.)","tsuké- (tr.), tsukár- (itr.)","","","","","JLTT 773."
 499,"*súk-",2568,"to make paper (out of soaked mash)","делать бумагу (из размоченной пульпы)","suk-","suk-","sùk-","súk-","súk-","","","","","JLTT 758."
 500,"*pìsì-kuá",1637,"anchovy","анчоусы","","fìsìkó","","","","","","","","JLTT 409."
 501,"*sù-",2669,"sour","кислый","sujur- `to pickle, make sour'","sù-","sú-","sú-","sù-","","","","","JLTT 840. Cf. also MJ \Isì\i ( < *su-i) 'sorrel'."
 502,"*súp-",2183,"to suck, inhale","сосать, вдыхать","suf-","súp-","sù-","sú-","sú-","","","","","JLTT 760."
 503,"*sím-",2163,"to soak","впитываться, просачиваться","sim-","sím-","shìmi-","shímí-","shimí-","","","","","JLTT 751."
 504,"*kə́s- ( ~ *-ua-)", 581,"to strain, filter","процеживать, фильтровать","","","kòs-","kós-","kós-","","","","","The word is not attested in OJ sources; Martin JLTT 713 (contradicting Martin 213) takes it as a variant of *kua-s- 'send/cross over', which is highly dubious."
 505,"*súsá-",2562,"to become wild, come into disorder","дичать, приходить в упадок","susa-b-","súsá-b-","sùsam-","súsám-","susám-","","","","","JLTT 759."
 506,"*pùk-",1852,"to blow","дуть","puk-","fùk-","fúk-","fúk-","fùk-","","","","","JLTT 694."
 507,"*pəta-",1758,"1 to put on airs; to joke, call names 2 arrogant speech","1 кокетничать, зазнаваться; шутить, издеваться 2 надменная речь","p(w)otaki koto 2","fotaja- 1","","","","","","","",""
 508,"*núká-r-",1189,"to miss, misbehave, make a faux pas","допускать оплошность, промах","","núká-r-","nùkar-","núkár-","nukár-","","","","","JLTT 738."
 509,"*pùsù-mpái",1797,"wart, excrescence","бородавка, нарост","pusube","fùsùbé","","","","","","","","JLTT 419."
 510,"*támár-",2207,"to accumulate (of water)","скапливаться (о воде и пр.)","tamar-","támár-","tàmar-","támár-","tamár-","","","","","JLTT 762."
 511,"*pású",1780,"slanted, oblique","косой, наклонный","","","hàsu","hású","hásu","","","","","JLTT 400."
 512,"*sàkà",1897,"slope, hill","склон, холм","saka","sàkà","saká","sákà","saká","","","","","JLTT 516."
 513,"*úmá-", 621,"to bury, dig into","закапывать, зарывать","uma-","úmá-","ùme-","ùmè-","umé-","","","","","JLTT 778. The accent in Kyoto is irregular."
 514,"*sìpì",2662,"a k. of beech-like eternally green tree, Lithocarpus Sieboldii Makino","вид вечнозеленого дерева","sipji","sìfì","shíi","shíì","shií","","","","","JLTT 523. The Tokyo form has an irregular accent (probably due to contraction)."
 515,"*súk-",2048,"1 to be hollow 2 crack, hole","1 быть полым 2 щель, отверстие","","súk- 1, suki 2","sùk-, sùki 2","súk-, súkí 2","súk-, súki 2","","","","","JLTT 758."
 516,"*pìntì",  99,"dirt","грязь","pjidi","fìdì","hĳi","","","","","","","JLTT 412."
 517,"*pàtákài", 214,"mange, scabies","чесотка","patake","fàtákè","hàtake","hàtákè","hataké","","","","","JLTT 401. The Tokyo accent is irregular (hátake would be expected)."
 518,"*púti", 180,"spot, spotted, variegated","пятно, пестрый","puti","futi, bútí","búchi","búchì","búchi","","","","","JLTT 390. Modern dialects have expressive voicing. Accent reflexes vary between *pútí and *pútì."
 519,"*pantara",1627,"in spots, scattered about","пятнистый, лежащий пятнами","padare","fadara","","","","","","","","JLTT 395."
 520,"*júkár-",2800,"1 to be related, connected 2 relation, connection","1 быть связанным, находиться в связи 2 связь, отношение","","jukar- 1, jukari 2","yùkari  2","yúkárí 2","yukári 2","","","","",""
 521,"*əsə-",2535,"1 to put on upper clothes 2 upper clothes","1 надевать верхнюю одежду 2 верхняя одежда","oso-kji, osu-pji 2","osof- 1, osofi 2","","","","","","","","JLTT 512."
 522,"*tura-nuk-",2459,"to pierce","протыкать","tura-nuk-","túrá-nuk-","tsuranúk-","tsùrànùk-","tsuranúk-","","","","","JLTT 775. Original accent is unclear."
 523,"*pásám-",1807,"to shear","стричь, состригать","","fásám-","hasám-","hásám-","hàsàm-","","","","","This tone variant seems to have been originally different from *pàsàm- < *pĭ̀sa q.v., but modern dialects have merged the two forms completely."
 524,"*kàràm-", 771,"to wind around, to cling to","обвиваться, цепляться","karamar-","kàràm-","karám-","kárám-","karám-","","","","","JLTT 704. The accent in Kagoshima is irregular (possibly under literary influence)."
 525,"*ùtùkù-",2483,"beautiful","красивый","utuku-si","ùtùkù-si","utsukúshi-","útsúkúshì-","utsukushí-","","","","","JLTT 844."
 526,"*pìnâ",1618,"ornamental doll","кукла (как украшение)","","fíná (fínà), fifina, fiina","hína","hìnâ","hiná","","","","","JLTT 407."
 527,"*pànká-",1862,"to fade, become bald","сходить (о краске); лысеть","","","hagé-","hàgè-","hàgè-","","","","","JLTT 683. The word is attested late, but seems to be different from *pànk- 'to tear (off)'."
 528,"*aja", 654,"ornament, ornamented cloth","узор, узорная ткань","aja","àjà","ayá","áyà","áya","","","","","JLTT 388. Modern dialects point rather to *ájà (although it may be just an aberration in the Kagoshima dialect)."
 529,"*sə̀kə̀-nap-",2108,"1 to harm, damage 2 to deceive","1 вредить 2 обманывать","s(w)ok(w)o-nap- 1","sòkò-naf- 1, 2","sokoná- 1","sókóná- 1","sokoná- 1","","","","","JLTT 755. Accent in Kagoshima is irregular (perhaps influenced by literary Jpn.)."
 530,"*tùtù-",2240,"be shy, respectful","быть осторожным, уважительным, скромным","tutu-sim-, tutu-simar-","tùtù-sim-","tsutsushím-","tsútsúshím-","tsùtsùshìm-","","","","","JLTT 776."
 531,"*bàrə̀-", 201,"bad","плохой","","wàrò-","warú-","wárù-","warú-","","","","","JLTT 844."
 532,"*tùpìjái",2198,"expense","расходы, траты","","tùfìjé","","","","","","","",""
 533,"*kúaja-", 784,"to pass over, transgress","переходить, миновать","kwoja-","kója-","kòe-","kóé-","koé-","","","","","JLTT 710."
 534,"*tai ( ~ *tia)", 242,"goods for exchange","обмениваемые товары","\Ite\i","","","","","","","","",""
 535,"*tái ( ~ -ia)", 232,"marten","куница","","té","ten","","","","","","","The source of -n in the modern form is not quite clear; MJ has explicitly no second syllable."
 536,"*mə́ráp-, *mər-",1310,"1 to obtain, receive gifts 2 to guard, protect","1 получать, принимать подношения 2 защищать","m(w)orap- 'to expect, await', m(w)or- 2","móráf- 1, mor- 2","mòra- 1","mórá- 1","morá- 1","","","","","JLTT 727."
 537,"*pər-",1749,"to wish, hope","желать, надеяться","p(w)or-","","","","","","","","","JLTT 693."
 538,"*písák-",  97,"to sell, barter","продавать, торговать","","físák-","hisag-","","","","","","","JLTT 690."
 539,"*sásá",2085,"small bamboo","мелкий бамбук","sasa","sásá","sàsa","sásá","sása","","","","","JLTT 518."
 540,"*káká-", 896,"to be deficient","быть недостаточным","kaka- 'to be deficient; to be damaged'","káká-","kàke-","káké-","kaké-","","","","","JLTT 702."
 541,"*sə́má-",2193,"to dip, dye","красить, погружать в краску","soma-","sómá-","sòme-","sómé-","somé-","","","","","JLTT 755."
 542,"*pàk-",1761,"to sweep","мести, подметать","pak-","fàk-","hák-","hák-","hàk-","","","","","JLTT 684."
 543,"*sìmpə̀-r-",1996,"to press, squeeze","давить, выжимать","","sìbòr-","shibór-","shíbór-","shìbòr-","","","","","JLTT 749."
 544,"*pə́rə́-(m)pə-", 107,"to perish","погибать","p(w)orobu-","fóróbu-","hòrobi-","hóróbí-","horobí-","","","","","JLTT 692. Final *-ə- is reconstructed on the basis of the caus. OJ p(w)orob(w)os-."
 545,"{*sìrà(m)pa-",2560,"to tune, adjust to rhythm, play rhythmical music","настраивать, играть ритмичную музыку","","sìràba-","","","","","","","","The root should be distinguished from homonymous *sìrà(m)pa- 'investigate, inspect'.}"
 546,"*kàtà-", 726,"enemy, opposite","враг, противник","","kàtàkjì","katakí","kátàkì","katakí","","","","","JLTT 443."
 547,"*dàs-",2591,"quiet, easy","спокойный, легкий","jasu-","jàsu-","yasú-","yásù-","yasú-","","","","","JLTT 844. Related are probably *jásá-si- 'gentle, easy' and *jásá- 'to be emaciated', although the accent variation is not clear."
 548,"*satu-i",2093,"success in hunting","удача на охоте","sati","sati","sáchi","sáchì","sáchi","","","","","JLTT 519. Accent is not quite clear: Kyoto and Kagoshima point to *sátùi, but Tokyo is aberrant. For *-u- cf. OJ satu-ja 'hunting arrow'."
 549,"*tə̀tə̀-nə̀p-",2435,"to be arranged, in order","быть расположенным, в порядке","toto-nop-","tòtò-nòf-","totonó-","tótónó-","totonó-","","","","","JLTT 771. The accent in Kagoshima is aberrant."
 550,"*mátua",1236,"target","цель, мишень","matwo","máto","màto","mátó","mátò","","","","","JLTT 473."
 551,"*kátá-",1020,"hard","твердый","kata-","kátá-","kàta-","kátà-","káta-","","","","","JLTT 831."
 552,"*mì(n)tù-",1471,"young, healthy and fresh-looking","молодой, пышущий здоровьем","mjidu, mjitu-mjitu-","","mizumizushí-","mízúmízúshì-","mizumizúshi-","","","","","JLTT 483."
 553,"*sítá-(n)kap-",2147,"to follow","следовать","sita-gap-","sítá-gaf-","shìtaga-","shítágá-","shitagá-","","","","","JLTT 753."
 554,"*pání",1655,"red clay","красная глина","pani","fání","","","","","","","","JLTT 398."
 555,"*tuku-(m)pap-", 329,"to squat","сидеть на корточках","","tuku-baf-","tsukuba-","","","","","","",""
 556,"*màwə- (  ~ -u)",1522,"to walk, come","идти, ходить, приходить","mawi-r-, mawu-","màwí-r-","máir-","màìr-","màìr-","","","","","JLTT 719. Tok. máir- < maír- with an accent shift in a diphthong."
 557,"*ú-pa-", 658,"up, above","верх, наверху","u-pe","ú-fe","ué, ùe","úé","ué","","","","","JLTT 560."
 558,"*bə́ntə́r-", 177,"to jump","прыгать","wodor-","wódór-","òdor-","ódór-","odór-","","","","","JLTT 740."
 559,"*mənka-r-",1241,"to deceive, lure","обманывать, соблазнять","","moga-r-","","","","","","","",""
 560,"*sámá-",1978,"to wander, falter","бродить, шататься","sama-jwop-","sámá-jof-","samayó-","sámáyó-","samayó-","","","","","JLTT 747."
 561,"*tárá-s-",2321,"to deceive, lure","соблазнять, обманывать","","tárá-s-","taras-","","","","","","",""
 562,"*sutar-",1934,"to become unfashionable, deteriorate","выйти из употребления, быть в упадке","sutar-","sútár-","sùtare-","sútáré-","sùtàrè-","","","","","JLTT 759. The verb is usually regarded as a passive (intransitive) of *sútá- 'throw out, discard', and it was certainly influenced by the latter accentologically. But the accent in Kagoshima (suté- vs. sùtàrè-) as well as the external parallels show that it is originally a distinct root, probably with low tone (*sùtàr-)."
 563,"*sə́sír- ( ~ *suásír-)",2064,"to slander","клеветать","s(w)osir-","sósír-","soshír-","sóshír-","soshír-","","","","","JLTT 756. The Tokyo accent is aberrant."
