"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
 217,"*uka-",2503,"1 to understand, think 2 mind","1 понимать, думать 2 ум","uqa- 1 (L 890); uqaɣa(n) 2 (L 891)","uxa'an 2 (HY 49), uqa- (HY 33, SH) 1, uqa 2 (SH)","uxa- 1; uxā 2","uxa- 1; uxā(n) 2","uxə- 1; uxān 2","uxā, uxān 2","","","ogo, owo 'brain' (Тод. Даг. 159), ukā 2 (Тод. Даг. 170) uhān 2(MD 231)","χGua-tu 2","","","KW 447, MGCD 684. Mong. > Evk. ukān etc., see Doerfer MT 109."
 218,"*tanaɣa",2325,"nose wings, part of face round nose","крылья носа, часть лица вокруг носа","tanaɣa","","","xamaraj tanā","tanā","","","","","","","","KW 378."
 219,"*kab-", 974,"1 to pinch, squeeze, grasp; hold 2 to join, press together 3 flat","1 сжимать, хватать, держать 2 соединять, сдавливать 3 плоский","qabči- (L 896); qabla- 1; qabsara- 2 (L 898: qabsu-, qabsur-, qabsura-); qabta- 3 (L 899)","qabči- 1, qabataxai (HY 53), qabtaqai 3 (SH), qabči-  1, qəbtaɣai 3 (MA 284, 285)","xavči-; xavsr- 2; xavt- 3; xavtgaj 3","xabša-","xapčə-, xawšə-; xawl- 1","\IGabči-\i 1, gǟbtǟgǟ 3, \IGabtǟ-\i 'be flat'","","","karči- 1 (Тод. Даг. 148), xawči- 1 (Тод. Даг. 172); kabtaǵē 3 (Тод. Даг. 148), kabečiē- 1, kabeteǵaj 3 (MD 181)","","xamā- 's'agacer (dents)' (SM 153)","","KW 167, 174. qabči- may be a merger of *kab- and *kajiči (v. sub *kăp`è).  Mong. qabta- > Evk. kapta- etc., see Doerfer MT 25-26; Mong. qabči- > Evk. kapči-, see ibid. 125; Mong. qabčiɣur 'tongs' (despite Щербак 1997, 165, not < Turk.) > Evk. kapčur, Man. qabčixun, see ibid. 127, Poppe 1966, 193, Rozycki 129; Mong. > Kirgh. qapčɨɣaj, qapčal etc., see ЭСТЯ 5, 273-274."
 220,"*gar-", 518,"to go out","выходить","ɣar- (L 350)","qar- (HY 36, SH), qor-, qur- (IM), ɣăr- (MA)","gar-","gara-","ɣar-","\IGar-\i","qeri- (MGCD qɨri-)","xăr- (MGCD xarə-)","gar- (Тод. Даг. 130), gare- (MD 148), garə-","\IGar-\i","\IGari-\i (SM 120)","ɣaru-; ZM ɣaru- (41-2)","KW 145, MGCD 285."
 221,"*ka(i)", 826,"front legs","передние ноги","\Iqa,\i qaɣa (L 895: \Iqa\i 'the part of the foreleg of an animal between the shoulder and the knee')","\Iqa,\i qaji(n) (SH)","xaa","\Ixa\i","\Ixā\i","","","","","","","","KW 166."
 222,"*ketü", 780,"too much, excessively","слишком много, чрезмерно","ketü (L 460)","","xet","xete","ketərkǟ","getü, getürχī","","","","","","","KW 228."
 223,"*koŋ-", 878,"light brown","светлокоричневый","qoŋɣur (L 962)","qoŋqor (SH)","xongor","xongor","xoŋgər","xoŋGor","","","xongō̆r, kongor (Тод. Даг. 150), kongore (MD 183)","χoŋGor","xoŋxo (SM 172) 'de couleur rose', (MGCD GoŋGor)","","KW 185, MGCD 364. Mong. > Evk. koŋgōr, Man. qoŋGoro (morin) > Kor. koŋgol (mal) (see Lee 1958, 119, Rozycki 143)."
 224,"*bür-il-", 192,"to die, perish","погибать, разрушаться","büril- (L 149)","burel- (tr.) (SH)","bürle-","","","bürilge-","","","","","","",""
 225,"*um-da", 642,"1 thirst, to be thirsty 2 a drink","1 жажда, хотеть пить 2 питье, напиток","umda 2, umdaɣas- 1 (L 874)","undan (SH) 1, ondu- (IM), unda'ān 1 (MA), umdān 'Buttermilch' (LH)","undās- 1, und, undā 2","unda(n), umda(n) 1,2","undān; undṇ, umdṇ 1","unda 1","undasu-","ndas-","","ndas-, ndās-","ndasə- (SM 262) 1","undō 'a drink'; ZM ondān 'sour buttermilk' (15-4b)","KW 449, MGCD 675."
 226,"*(h)aja",  11,"favourable circumstances","благоприятные обстоятельства","aja (L 22), aji","","aja","aj-dar, aja","ajə","aja","","","","","","","KW 4."
 227,"*öndü-",1597,"1 high 2 to rise","1 высокий 2 подниматься","öndür 1 (L 637), öndeji- 2 (L 636: öndüji-, öndeji-)","undur (HY 52, SH) undus 'to stay vertically' (HY 53), undur (MA)","öndör 1, öndĳ- 2","ünder 1, ündɨ- 2","öndṛ 1, öndē- 2","ündür 1, öndī-","undu 1","onder, under 1","xundur 1 (Тод. Даг. 179), undī- 2 (Тод. Даг. 171), hundere 1 (MD 166)","uŋdur, oŋdur 1, oŋdö- 2","ndur, undur (SM 264, 472) 1","","KW 296, MGCD 545, TMN 1, 178-179. Initial x- in Dagur is quite enigmatic. Cf. also önör 'numerous, populous' (Poppe 69; L 639: önür). Also ondui-, onduɣar (KW 286, L 613); öŋgei-, öŋgüi- 'to overhang, jut or project over' (L 637) ( > Man. eŋgele- id., see Rozycki 70?). Mong. > Man. enduri 'God' etc., see Doerfer MT 81."
 228,"*aka",  64,"elder brother","старший брат","aqa (L 59)","aqa (HY 28, SH), axai ekeči 'elder aunt' (HY 28), aɣā (IM 432), āɣa (MA 266, 185, 256)","\Iax;\i axaj 'aunt' (resp. address)","axa","axə","axa","aɣa","","akā, aga (Тод. Даг. 118, 119, MD 112), ag (MGCD)","aʁa (MGCD: aGa)","aGa 'frère aîné', āGa 'frère puînté du père' (SM 2)","","KW 3, MGCD 126. Cf. also WMong. aki, Kalm. ākə 'elder brother's wife' (KW 20)."
 229,"*alu-s",  65,"on the other side; far away","на другой стороне","alus (L 33)","alus (SH), udur ālus 'через день' (MA 273)","als","\Ialas\i","als","alus","","","","","alāŋ 'contrée, pays' (SM 4)","","KW 8. Mong. > Kirgh. alɨs 'far, far away' etc. (ЭСТЯ 1, 147), Yak., Dolg. olus 'very' (Kał. MEJ 16, Stachowski 193)."
 230,"*mörü",1331,"shoulder","плечо","mörü(n) (L 549)","muru (SH), muro (HY 46), murun (MA)","mör","mür(e)","mörṇ (КРС)","mörö","","","muru, mur (Тод. Даг. 155), mure (MD 192)","murə, mərə","","","MGCD 491."
 231,"*agaɣar",   6,"air, atmosphere","воздух, атмосфера","aɣar (L 13)","","agār","agār","aɣṛ, aɣār","aGāri 'espace celeste, l'aspect du ciel', aGār métaph. 'bonne entente entre les voisins'","","","","","","ZM ɔ̄ur (15-8b) 'cloud'","KW 3."
 232,"*ǯüg",2608,"side, direction","сторона, направление","ǯüg (L 1082)","ǯuk (SH), ǯug (MA), ǯuk 'Ort' (HYt)","ʒüg","züg","züg, üzəg","ǯüg","","śoG","ǯug, ǯur (Тод. Даг. 145), ǯuhe (MD 180)","šog","roG, joG (SM 316), (MGCD ǯoG)","ǯug (Weiers); ZM ǯug (6-7b)","KW 460, 483, MGCD 467."
 233,"*guni-", 577,"be sad, anxious","грустить","ɣuni-","","guni-","guni-","ɣuńə-","\IGunid-\i","\IGunira-\i","","guni-","","","","KW 155."
 234,"*amu-, *ami-",  72,"1 to rest 2 peace, rest 3 to be / become quiet 4 life, soul","1 покоиться, отдыхать 2 покой, мир 3 успокаиваться 4 жизнь, душа","amu-, amura-, amara- 1, amur 2 (L 36, 40)","amin (HY 49) 4,  amuxulaŋ 'peace' (HY 55), amu- 1, amura- 3, ami-du 'alive', amor (IM 432), amu- 1, amur 2, amin 4, ami-du 'alive', hamisqu 'breath' (MA 100, 102), amur 1, ami(n) 4, amu- 1, amur-li- 3 (SH)","amar, amgal (<*amu-gal) 2; 'easy', aḿ (amin) 4, amra- 1, aḿsga- 'to breathe'","amar 2, amar- 1, amgalan(g)'peaceful', ami(n) 4, 'breath', amisxa- 'to breathe'","amṛ, amɣūləŋ 2, amṛ- 1, ämṇ 4, äṃsχə- 'to breathe'","\Iam,\i amur, amūlaŋ, amuɣūlaŋ 2, amara- 1, ami 4, amus ge- 3, amisχa- 'to breathe'","hamura- 1, amin 4 (Тод. Дн. 110, 139)","hamera- 1 (Тод. Бн. 150) (MGCD: hamər-)","amar(a)- 1, 3, amal, amūl 2, ami 4, amisa- 'запыхаться' (MD 6, Тод. Даг. 120)","amura- 1 (MGCD aməra-), amar 2","xamurā- (SM 154), xamburā- 1, ami (SM 6) 4, amuraG 'ami, qui s'accorde bien' (SM 6)","amdun 'lebendig' (Ramstedt 1906); ZM amūdu'i 'alive'","KW 9, 22, Тод. Мгр. 314, 373, MGCD 106, 109, 110.  Mong. > Tuva ami 'life' etc.,  Sol. ami, Man. ami-la-, see Doerfer MT 136; > Shor etc. abɨr (R), Tuba, Nogh. awɨr 'peace, quietness' - see ЭСТЯ I 59; > Evk. amurā-, Man. amuran, see Doerfer MT 99."
 235,"*nomu- /*neme- / *nima-",1487,"gentle, meek, quiet, mild","спокойный, кроткий, мягкий, нежный","nomuqan, nomuj (L 591), nemegün (L 574), nimaɣun","nomuqan (HYt), nomuɣan (MA)","nomxon","nomoj, nomxon","nomɣən, nemǖn","nomoxon","","","nomūkuŋ, -n (Тод. Даг. 158: nomxon, nomukan); nomehon (MD 200)","nomxon, nomukan (MGCD nomoGon)","nomu","","KW 275-277, 279, MGCD 513. The deriving stem is WMong. nom, Kalm. nom 'mildness, friendliness' (KW 279). Mong. > Evk. nomokōn, Man. nomoxon etc., see Doerfer MT 57, Rozycki 164."
 236,"*eke, *egeče", 422,"1 mother 2 elder sister","1 мать 2 старшая сестра","\Ieke\i 1 (L 305), egeči 2 (L 297)","\Ieke\i (HY 28, SH), äke (IM), ikä̆ (MA) 1, ekči (HY 28), egeči (SH), igäǯi (MA) 2","\Iex\i 1, egč 2","exe 1, egeše 2","ekə 1, egəčə, ekčə 2","\Ieke\i 1, egeči 2","eGečə 2","","\Ieg\i 1, egči, ekē 2 (Тод. Даг. 138, 139); MGCD: ekči, ekē 2; egeči, ekē 2, ehe 1 (MD 142)","hge 1, əɣeči 2","kaʒ́i (SM 194) 2, āʒ́ī (SM 2) 2","","KW 118, TMN 1, 190, MGCD 254, 274. Mong. > Chag. egäči, see Щербак 1997, 203."
 237,"*kalu-", 743,"to approach, come near","приближаться","qalu-, qal- (L 916)","qalit- (SH)","xala-","xalaj- (in compounds)","xalə-","","","","halede- (MD 155)","","","","KW 162."
 238,"*koru-",1126,"to diminish","уменьшаться, убавлять","qoru- (L 968)","qoro-, qoru'a- (SH)","xoro-","xoro-","xor-","xoro-","","","","","","","KW 188."
 239,"*küw-",1071,"1 to talk, converse 2 conversation","1 разговаривать 2 разговор","küü-ne- 1, küür 2 (L 509)","","xǖne- 1, xǖr 2","","kȫr- 1","","","","","","","","KW 243."
 240,"*nagčar-kai",1538,"back of nose","спинка носа","naɣčarqai","","nagčirxaj","nagsagar 'flat-nosed'","nakcṛxǟ","","","","","","","","KW 270."
 241,"*ǯab",2588,"1 crack 2 gap, interval 3 leisure 4 сorner of the mouth","1 щель  2 промежуток, интервал 3 свободное время 4 угол рта","ǯab 3, ǯabaɣ 1, ǯabsar 1, 2 (L 1018, 1019)","ǯabusar (~ süeni) 'midnight' (HY 6), ǯabsar (MA) 1,2, ǯaba 'Felsspalte', ǯabaǯi(n) 4 (SH)","ʒav 3; ʒavsar 1,2,3; ʒavǯ 4","zab 3; zabag 1, zabhar 2","zab; zawsṛ 1","ǯawaG 1, ǯabsar 2, ǯab 3","žava 1, 2","ǯabte 'between'","ǯabka 2; ǯebǯ 4 (Тод. Даг. 141: ǯabka, ǯabǯi), ǯabeke 'ajar', ǯabede- 'be on time' (MD 174)","ǯab; ǯabsar 2; ǯawāǯə 4","ʒ́absar, ćabsar (SM 75, 441) 2","","KW 462, 468, MGCD 419, 420. Mong. > Kirgh. ǯapsar etc. Cf. also *ǯaɣa- 'to separate, make room', *ǯaɣag 'interval' (KW 469, MGCD 417), MMong. ǯa'ura 'between' (SH). Cf. also WMong. ǯaji, ǯai, Kalm. zǟ 'space, interval' (KW 470, MGCD 424). A Mong. source is probable for Nan. ǯaor, Bik. ǯawara, Ul. ǯawụl 'cross-road; place where rivers meet' etc. (ТМС 1, 241): cf. WMong. ǯabila- 'to sit cross-legged' (MGCD 420). Mong. > Man. ǯabdu- 'to have leisure for' (see Rozycki 117-118)."
 242,"*nigur-su",1464,"spinal marrow, vertebral gristles","спинной мозг, позвоночные хрящи","niɣursu(n), nuɣu(r)su(n) (L 580)","","nuga(r)s","nugarha(n)","nuɣərsṇ","nuGusu","","","nokč","nurɣusən","","","KW 281."
 243,"*naɣa-",1175,"on this side","по эту сторону","naɣa-ɣur, naɣa-si (L 557)","inaqši- (MA)","nāš, janāš","nāša, nāna","\Inā\i","nāsi","","","nāši 'toward here, hither' (MD 194)","nāna, naGšə","naGšə (SM 255)","","KW 272, MGCD 496."
 244,"*kolta-su, *koli-",1137,"1 tree bark 2 scales","1 древесная кора 2 чешуя","qoltusu(n), qoltasu(n) 1 (L 960), qolisu(n) 2 (L 959)","","xoltos 1, xolis 2","xoltohon 1","xoltxəsn 1","","","","koldon 'cedar' (Тод. Даг. 150) (?)","","","","KW 182, 183. Cf. also qol-tul- 'to skin, separate skin, split' (whence Evk. kolto- etc., see Doerfer MT 69), qolu-, qolɣu-, qoluɣa- 'to erase (skin), make a sore', qoluɣanaɣ 'rubbed off spot on skin' (KW 182, 183, L 958). The name of 'cedar' is borrowed in TM (Man. xoldon etc.)."
 245,"*sar",1891,"1 bird of prey 2 snipe","1 хищная птица 2 бекас","sar (L 674)","sar (HY 14) 'duck-hawk, harrier'","sar 1, sarālǯin 2","harālža(n) 2","sar 'big kite'","","","","","","sār (SM 326)","","KW 313. Mong. > Oyr. sɨrāld́in etc. (ЭСТЯ 7)."
 246,"*mölǯi-",1343,"to gnaw","глодать","mölǯi- (L 546)","","mölǯi-","mülže-","mölǯə-","mölǯi-","","","","","murʒ́ē- (SM 248), morʒ́i- (Huzu)","ZM molǯi- (16-6a)","KW 265."
 247,"*karbin",1045,"1 inner fat 2 placenta","1 брюшной жир 2 плацента","qarbin 1; qarbi-su(n) 2 (L 935)","qarbi-su 2 (SH)","xarvin 1","dial. arb́ъŋ 1","xärwṇ, ärwn. 1","xarwiŋ 'inner fat; groin'","","","","","","","KW 178. Mong. > Yak. xarbɨhɨn, Dolg. karbuhun, see Kał. MEJ 82, Stachowski 139. Bur. > Russ. Siber. arbin (Аникин 94)."
 248,"*daɣ-",2198,"to present, make a gift, distribute","дарить, делать подарок, распределять","dajila- (L 222)","da'ul- (SH)","dajla-","","dāšl-","","","","","","dābụ̄la- 'vénérer par des sacrifices, offrir, sacrifier' (SM 38)","","KW 82."
 249,"*öl", 641,"nutritive, nutrition","питательный, пища","öl (L 633)","","öl","ül","öl","öl","","","","öl","","","KW 294, MGCD 541."
 250,"*togĳ",2385,"grown-up elk","взрослый лось","togĳ (БАМРС)","","togi","","","","","","","","","",""
 251,"*na-m-",1524,"1st Sg. ps. pronoun (obl. cases)","мест. 1-го лица (в косв. пад.)","nad-, namaji  (Poppe, 1955)","nad-, namaj (IM), nid-, nad-, namaj (MA)","nad-, namaj(g)","nam-, namā(ji)","nan-, namǟ(g)","nada,  namǟ","(na)ma-, nami","nād-","nam- (MD 194)","","nd-","nan-, namɛi (Acc.).",""
 252,"*ečige", 453,"father","отец","ečige (L 292)","ečige (HY 28, SH), eče (SH), ičigä (MA)","eceg","esege","ecəgə","ečige","","","ečig (Тод. Даг. 141) ecihe (MD 139)","","","","KW 129, TMN 1, 187."
 253,"*sondu-",2111,"odd","нечетный","sonduɣai (L 726)","","sondgoj","","","","","","","","","",""
 254,"*(h)ogo-da-su",2507,"part of cloth in the armpit","клин одежды подмышкой","oɣodasu","","","","oɣədəsn, oGdəsn","","","","","","","","KW 283. Mong. > Manchu oho da 'armpit area of a jacket'  (see Rozycki 166)."
 255,"*ǯaru-",2582,"to send, employ","посылать, давать задание","ǯaru- (L 1038)","ǯaru- (MA, SH, HYt)","ʒar-","zara-","zar-","ǯaru-","ǯaru-","ǯare-","ǯara- (Тод. Даг. 142, MD 175), ǯarə-","ǯar-","ʒ́ari- (SM 83)","ǯɔru- (Weiers)","KW 467, MGCD 432."
 256,"*(h)ari-",1727,"to be tired, exhausted","уставать, истощаться","ari-, ar-ɣu- (L 52: argi- 'to grow old, to become senile')","","argi-","","ar-ɣə-","argi- 'говорить ошибочно, выжить из ума (от старости)'","","","","","","","KW 13. For *h- Poppe (1972, 98) cites (MA) harun 'stubborn (horse)' - but this is translated by Chag. harun id. and may well be a loan < Chag."
 257,"*nirai",1476,"new-born","новорожденный","nirai (L 585)","","ńaraj","naraj-nilsagaj","nirā, nirǟ","nirā","","","","","","","KW 277. Mong. > Yak., Dolg. ńɨraj, see Kał. MEJ 22, Stachowski 187."
 258,"*örü",1606,"inside, breast","внутренность, грудь","örü (L 643)","oro (HY 46), ore (SH)","ör","üre","örə","örö, ör","","","erecū 'chest, bosom, breast' (MD 145)","","","ZM ourä 'heart, mind' (4-4a)","KW 298."
 259,"*düri",2275,"form, outlook","вид, облик","düri (L 282)","","dür","düre","dürə, dürsṇ","düri","","","dur (Тод. Даг. 138), dure (MD 139)","","","ZM \Idor\i (7-6b) 'affection'","KW 105, MGCD 245, 246. Mong. > Man. dursun (Rozycki 64)."
 260,"*anda",  76,"1 friend 2 oath","1 друг 2 клятва","anda 1, andaɣar, andaɣai 2 (L 42)","anda 1 , andaqar 2 (SH), andoɣ- (IM 432) 'to make an oath', andă 1, andaɣar 2 (MA 102)","\Iand\i 1, andgaj 2","anda 1","andə, andṇ 1, andəɣər 2","anda 1","andaɣa(n) 2","andərəG 2","ande 1 (MD 115)","andaGar 2","ndaGa (SM 261) 2, (MGCD amdaGa)","ZM andaɣ (24-9b) 2","KW 10, MGCD 106, 624, TMN 1, 151-152."
 261,"*dör-ben, *dö-čin",2262,"1 four 2 forty","1 четыре 2 сорок","dörbe(n) (L 268) 1, döči(n) (L 266) 2","dorben (HY 42, SH), dorbǟn (IM), durbän (MA) 1, dočin (HY 43), dučin (IM), dučin (MA) 2","döröv 1, döč(in) 2","dürbe(n) 1 düše(n) 2","dörwṇ 1, döčṇ 2","dörwö 1, döči 2","ǯieruan, ǯieron 1","deroŋ, deraŋ 1","durub, durəb 1, duči(n), duč 2 (Тод. Даг. 138), duči 2 (MD 138), durube(n) 1 (MD 139)","dörwən, dörwen 1, döǯin 2","dēran (SM 52), dēren 1, tēʒ́in, teʒ́in (SM 417) 2","dürbōn; ZM dorbɔ̄n (25-1b)","KW 100, TMN 1, 329, MGCD 231, 232."
 262,"*boj", 153,"care, caring, rearing","забота, уход","boi (L 113)","","boj","","","","","","","","","",""
 263,"*elgü-", 648,"to hang on (smth.)","вешать (на что-л.)","elgü- (L 309)","elgu- (SH), ulku- (MA 276)","ölgö-","ülge-","ölgə-","ülgü-","","","elgu- (Тод. Даг. 139), el(e)wē- (MD 143)","olGo-, uɣu-","","","KW 294, MGCD 543. Mong. > Evk. elgu etc. (hardly vice versa; see Doerfer MT 89)."
 264,"*kama-", 745,"1 scab, herpes 2 infection, epidemics","1 чесотка, парша 2 зараза, эпидемия","qamaɣu 1, qama- 'to be mangy' (L 923)","qamāwu (IM)","xamū","xamū 1, xamšag 2","xamū","xamū","","","xamū (Тод. Даг. 173), (MGCD) xangu 1","χamū 1","","","KW 165, MGCD 324."
 265,"*eɣe-", 415,"1 outstanding corner 2 ring, ear-ring","1 выступающий угол 2 кольцо, серьга","egeg 1, ege-meg 2 (L 297, 298)","e'emek 2 (SH)","ēg 1, ēmeg 2","ēmeg 2","ēg 1, ēməg 2","ēg, nēg 1 ēmek, ēmük 2","","","","","","","KW 130. Mong. > Yak. iämäx, Shor äkpäk etc."
 266,"*er-te", 467,"early","рано, ранний","erte(n) (L 331)","erte (HY 76), erde (SH), ärtä (IM), irtä̆ (MA)","ert(en)","erte","ertə","erte","ečie","ete","erte, erde (Тод. Даг. 140) 'early; morning', erete (MD 145) long ago, anciently; early; morning'","rde","šde (SM 372)","irte","KW 126, MGCD 269. Mong. > Evk. erte etc., see Doerfer MT 76, Rozycki 70."
 267,"*ereɣü", 465,"torture, crime","пытка, преступление","eregü(ü) (L 321)","ere'u (SH)","erǖ","erǖdelge, erǖde- 'to torture'","erǖ","erǖ","","","erūle- 'to torture' (MD 146), erun","","","","KW 128, MGCD 269."
 268,"*dol[u]ɣa-",2217,"to lick","лизать","doluɣa-, dolĳa- (L 259)","dulom- (IM), dula- (MA)","dolō-","doĺō-","dolā-","dolō-","dolu-","dolə-","dolō- (Тод. Даг. 137, MD 137)","dōl-","dōli- (SM 59)","ZM dɔ̄l (15-6b, 28-12)","KW 94, MGCD 224."
 269,"*bol-", 196,"to become","становиться","bol- (L 114)","bol- (IM, SH, HYt), bul- (MA)","bol-","bolo-","bol-","bol-","bolu-, volu- (MGCD: olu-)","ol-","bol- (Тод. Даг. 127), \Ibole-\i (MD 125), bolo-","bol-","boli- (SM 19), ōli- (SM 296), (MGCD: ulə)","bolu-","KW 50, MGCD 157."
 270,"*oŋgi-",2528,"1 hole, nest 2 trough, vessel; ship","1 дыра, нора, гнездо 2 корыто, сосуд; лодка, корабль","oŋgi, oŋɣarqai, oŋɣurqai (L 614) 1,  oŋɣuča 2","oŋqača (HY 19), unqača (MA) 2, ūnkɣača (Lig.VMI) 2, kuǯunin unqarqai 'neck cavity' (МА)","ongi, ongorxoi 1, ongoc 2","ongi 1, ongoso 2","oŋǵə 1, oŋɣəcə 2","oŋgi 1","onGočo 2","","","oŋGorχi 1, oŋGočo 2","uŋkuʒ́oG (SM 473), ŋgučaG 2","","KW 287, MGCD 529. Mong. oŋguča > Evk. oŋkočo etc. (Doerfer MT 123-124 suggests Mong. < TM, which is more dubious)."
 271,"*haliga(n)",1725,"palm (of hand)","ладонь","alaɣa(n) (L 26)","xalaqan (HY 46, SH), alaqan (MA)","\Ialga\i","aĺga(n)","aĺxən","alaga","hanGa","halgə","xaləg, (Тод. Даг. 173) xalaga, halehe (MD 156)","halaʁan","(x)arGa (SM 13),  xalGa (MGCD)","olaqɛi (Ramstedt 1906); ZM alaqa (2-9b)","KW 7, Дыбо 231. Mong. > Kirgh. alaqan, Uygh. aliqan etc. (ЭСТЯ 1, 133), Evk. aliga, Sol. aĺga (ТМС 1, 312)."
