"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
 313,"*āja ( < *āŋ́a)",1725,"palm (of hand)","ладонь","aja (OUygh.)","aja (MK, KB)","aja","","aja (Sangl.; MKypch.- Houts., AH)","","","χaja, χajan","","āja","aja","","","","","","","","","","aja 'center of a palm'","aja","aja 'мера длины - пальма; гребень для чесания пуха'","ajaz (< формы 3 л.)","","","","","aja","VEWT 10, ЭСТЯ 1, 100-101, Дыбо 179-181, Лексика 252."
 314,"*ǖŕ (/*ȫŕ)",1607,"on top, high above","наверху, высоко над","üze / öze (Orkh., OUygh.)","üze (MK)","üzer 'upper part'","","üze (Pav. C., Бор. Бад.)","","","üze, üzi","üzäri","","","","üzeri","","vir (<*ö̆ŕ)","ǖhe, üöhe","ühe, üöhe","","","","","","","","","","","","","A common Turkic derivative is *üŕ-t (with secondary vowel shortening): OT üst, Turkm. üst, Tat. ös, Khal. ist etc. 'upper part'. See EDT 280-281, VEWT 523, 524, ЭСТЯ 1, 622-623, 638-639, Stachowski 249, 251, 255."
 315,"*jāj",1417,"1 summer 2 summer pasture 3 spring","1 лето 2 летнее пастбище 3 весна","jaj (Orkh., OUygh.) 1, 3","jaj (MK) 1, 3","jaj-la 2","","jaj 1 (AH, Ettuhf.)","","","jaj 1","jaj 1, jajla 2","jāj-la 2","čaj 1","čaj 1","jaj, d́aj 1","","śu, śъv  1","saj 1","hajɨn 1","čaj 1","čaj 1","ǯaj 1","","jaj 3 (dial.)","jej 1","ǯaj, žaj, zaj 1","","","","jĳ 1","jaj 1","VEWT 179, ЭСТЯ 4, 74, 78-79, EDT 980, Лексика 74, Федотов 2, 128, Stachowski 93."
 316,"*ẹ̄ke-",1810,"1 to file 2 file (n.)","1 пилить, обтачивать 2 напильник","","ike- ( ~ ege-) 1 (MK)","eje 2","igä- 1, igäw 2","ekäk 2 (Pav. C.)","egɔw 2","ekäk, igäk 2","","äjä 2","īge 2","ige- 1","","ege- 1, egü 2","","jəgev 'whetstone'","igī 2","igī 2","eɣe-, öɣe- 1, eɣē 2","","ege-, ögö- 1, egȫ, ögȫ 2","ege- 1, egew 2","ege- 1, egew 2","igä- 1, igäw 2","egew 2","ĳa 2","ege, egew 2","ege- 1, egew 2","","egew 2","EDT 101, VEWT 38, ЭСТЯ 1, 326-328, TMN 2, 93, Егоров 77, Лексика 399, Stachowski 123."
 317,"*tōr-um",2446,"1 young camel 2 a young calf 3 a goat that has yeaned early 4 young 5 a cow that has not calved yet","1 верблюжонок 2 теленок 3 коза, объягнившаяся в возрасте до 1 года 4 молодой (о человеке, дереве) 5 нетель","","torum 1, torpɨ 2  (MK)","deve torun 1, torum  (dial.) 1; torbuč (dial.) 3, (?) toru (dial.) 4","tōrbaq (КСТТ) 2","torum 1 (Sangl., Pav. C.), torbaq 2 (MA 126)","","topaq 2, topaq-torum 'young calves'","","","tōrum 1","torbax 2","","torboq 2, torboč (dial. Kumd.) 5","","","torbos, torbuǯax 2","","dorum 1","","torpoq 2","torpaq 2","","tana-turpaq 2","","(?) \Itor\i 'unbroken (of a horse), untrodden (of a path)'","","","torɨ 'foal' (ССЯ)","","EDT 533, 549, VEWT 491. Turk. > WMong. torum, Kalm. torm (KW 402, Щербак 1997, 158, Clark 1977, 155-156. The Tur. dial. doɣrum is a result of contamination with doɣur- 'to bear'. Forms like torp-ak are diminutives in -ak (with almost always regular cluster development). Forms like Tur. torun 'grandchild', as well as Tur. dial.  tor 'young' may be Iranisms (but not Armenisms, as suggested in Буд. 1, 747 - Armen. toṙn 'grandchild' is itself obviously < Iranian) - see Аб. 3, 280."
 318,"*gēŋ",1023,"wide","широкий","kiŋ  (OUygh.)","keŋ (MK)","\Igen\i","kiŋ","kẹŋ (Sangl., Abush., Бор. Бад.), gẹŋ (Sangl.)","keŋ","käŋ","keŋ","\Igen\i","gīŋ","","keŋ","keŋ","kīeŋg","","kieŋ","kieŋ","","","keŋ","keŋ","keŋ","kiŋ","keŋ","","keŋ, ken","keŋ","","geŋ","EDT 724-725, VEWT 253, EDT 724-725, ЭСТЯ 3, 46-47, Stachowski 147."
 319,"*kīĺ",1099,"sable","соболь","kiš (Orkh.)","kiš (MK, KB)","","keš","kiš (MA, Pav. C., Sangl.)","kiš","","","","","","","kiš","","kъʷš","kīs","kīs","kiš","","kiš","kis","kis, kiš","keš","","","","","","kiš","VEWT 272, TMN 3, 664-665, EDT 752, Щербак 1961, 143, ЭСТЯ 5, 77-78, Лексика 162-163, Stachowski 149 (one of the Turk.-Samoyed. contact words; because of the Tungus parallel, probably Turk. > Samoyed., despite Helimski 1995). The Chuvash form reveals irregular vocalism and may in fact reflect a merger with PT *Küĺül 'rat, mole' (v. sub *k`ĕ̀ĺú).  Turk. > Mong. er-kis 'male sable', ebsi-gis 'female sable' (see Clark 1980, 43)."
 320,"*kīn, *kīn-dük",1101,"1 navel, navelstring, centre 2 navel of a musk-deer, musk","1 пупок, пуповина, центр 2 мускусная железа, мускус","\Ikin\i 'утроба, vagina; мускус', kindik 1 (OUygh.)","\Ikin\i (KB), kün (MK) 2","kindik, künük (dial.) 1","kendek 1","kindik (MA, Pav. C.) 1","kindik, kindak 1","kindik 1","kendek 1 (ЯЖУ)","","kindik (dial.) 1","kən 1, kəndək 1","","kindik 1, kin 2","kindik 1","kəndək (dial.)","kīn 1","","xin 1, 2, xindik 1, 2","xin 1, 2","kindik 1","kindik 1","kindik 1","kendek 1","kindik 1","","kindik 1, 'belly'","kindik 1","kinǯix, kintix 1","gindik 1","VEWT 271, EDT 725, 729, ЭСТЯ 5, 68-69, Лексика 279-280. Turk. > Mong. kindik (Щербак 1997, 127)."
 321,"*dīre-",2413,"1 to support 2 support","1 подпереть 2 подпорка","tirek 2 (OUygh.)","\Itire-\i 1 (MK), tirek 2 (Tefs., IM)","\Idire-\i 1, direk 2","terä- 1, teräk 2","\Itire-\i 1, tirek 2 (Sangl.)","tira- 1, tirak 2","tiräk 2","","dirä- 1, diräk 2","dīre- 1, dīrek 2","təre- 1, təreg 2","","","","čarak 2","tirǟ-, tirex 2","","","","\Itire-\i 1","\Itire-\i 1, tirek 2","\Itire-\i 1, tirew 2","terä- 1, teräk 2","","direk 2","direk 2","\Itire-\i 1","tirək 2 (Kakuk)","\Itire-\i 1, tirew 2","VEWT 481, EDT 533, 543, TMN 2, 655, ЭСТЯ 3, 237-239, Егоров 317, Федотов  2, 392."
 322,"*Tōŕ",2263,"birch bark 2 birch cover (for a bow) 3 vessel made of birch bark","береста, изделия из бересты","toz (OUygh.)","toz 'полоска для обертывания лука' (MK)","(Osm.) toz 'материал для обертки лука'","tuz","toz 'кора горного миндаля, которой обертывают луки' (Sangl.)","tọs 'березовая кора, идущая на отделку седла'","","","","","tos, dial. toš","tos","tos","","","tuos","tuos xā","tos","dos","toz 'чага'","toz","","tuδ","","","","toz","","","VEWT 491-2, EDT 571, Лексика 103. Turk. > WMong. tous, toos, Kalm. tōs, see Clark 1980, 39."
 323,"*dōtak", 251,"lip","губа","","","dudak","","","","","","dodaG","dōdaq","","","","","toda, tuda","","","","","","","","","","dudaq","","","totax, totɨx","","VEWT 491, TMN 2, 603-604, ЭСТЯ 3, 251, Федотов 2, 256, Лексика 226."
 324,"*sīk",2189,"1 urine 2 to urinate","1 моча 2 мочиться","sid- 2 (OUygh.)","siδ- 2 (MK)","sĳ- 2","","\Isi-\i (AH, IM)","sĳ- 2","","siz-, sez-, sɨz- 2","sĳ- 2","sīdik 1","\Iside-\i 2","\Isi-\i 2","sĳ- 2","sīd- 2","šъk 1, šъr- 2","īk 1","īk 1","sidik 1","","sĳ- 2","","sĳ- 2","","sĳ- 2","","sĳ- 2","","","sĳ- 2","EDT 799, VEWT 421, ЭСТЯ 7, Stachowski 130.  Only Yak. and Chuv. reflect the original *sīk; all other languages reflect a derivative *sīg-t- / *sīg-d- (present also outside Turkic) > *sīd-. Also widely reflected is the secondary derivative *sīd-dik 'urine' ( > Turkm. sīdik etc., see ЭСТЯ 7)."
 325,"*gēkir-", 742,"to belch","рыгать","","kekir- (MK)","gejir-","kiker-","gegir- (Pav. C.), kekir- (MA)","kekir-","keki(r)-","kekirt- (ЯЖУ)","gäjir-","gǟgir-","kigər-","","kegir-","gǟgür-","kagъr-","kegert-","","keɣir-","keɣir-","kekir-","kekir-","kekir-","kiker-","kekir-","gīr-","kekir-","kekir-","","kekir-","VEWT 248, EDT 712, ЭСТЯ 3, 37, Лексика 232."
 326,"*gǖč", 940,"power","сила","küč (Orkh., OUygh.)","küč (MK, KB)","güǯ","köč","küč (Sangl., Pav. C., MA)","kuč","küč","kuš","güǯ","gǖč","küs","küš","küč","kīič","","kǖs","kǖs","küš","küš","küč","küš","küš","kös","küč","güč","küč","küš","","güč","VEWT 306, EDT 693, ЭСТЯ 3, 96-98, Stachowski 166."
 327,"*dāt-", 245,"1 to taste 2 taste 3 sweet, tasty 4 to get accustomed","1 иметь вкус (1а пробовать на вкус) 2 вкус 3 сладкий, вкусный 4 привыкать","\Itat-\i 1, 1a  (OUygh.), tatɨɣ 2 (OUygh.), tatɨɣ-lɨɣ 3 (Orkh., OUygh.)","tat-lɨɣ 3 (MK), tatɨ- 1 (MK, KB), tatɨɣ 2 (MK, KB), tatɨɣ-lɨɣ 3 (MK)","\Itat-\i (tatar) 1a, \Itat\i (-d-), tadɨm, tatɨk 2, tatlɨ 3, dad-a- 'to bait, lure', dad-a-n- 4","\Itat-\i 1, 1a, \Itat\i 2, tatlɨ 3","\Itat-\i 1a  (Abush., Pav. C., Sangl.), \Itat\i 2 (Sangl.), tat-lɨɣ3 (Sangl.)","tɔt- 1a, tati- 1, 1a  tɔt 2, tɔtli 3","teti- 1, 1a, tatq 2, tatliq 3","tatɨ- 1 a, tatɨɣ 3","\Idad-\i 1a, \Idad\i 2, dadlɨ 3, dadan- 4","dāt/d- 1a, dāt 2, dāt-lɨ 3","tadɨ- 1, tadɨɣ 2, tadɨlɨɣ 3","tatqɨ 2","tatu 2, 3","tāt- 1","tuda-l- 1, tuda-n- 1a, todъ 2, tut-lъ 3","","","","","\Itat-\i 1 a, tatɨ- 1, tatɨq 2, tattuw 3, tatq-a-n- 4","\Itat-\i 1, 1 a, tätti 3","\Itat-\i 1, 1 a, tatɨq 2","tatɨ- 1a, \Itat\i 2, tatlɨ 3","\Itat-\i 1 a, tatɨw 2, tatlɨ 3","\Idat-\i 1a, \Idat\i 2, datlɨ 3, dad-a-n- 4","\Itat-\i 1a, tatɨ- 1, 1a, \Itat\i (K), tatuv (T,H,K) 2, tatlɨ (T,H,K) 3, tatan- (K) 4","\Itat-\i 1 a, tatɨ- 1, 1a, tatlɨ 3","","tatɨ- 1, tatɨw 2, tatli 3","VEWT 466, EDT 449-450, 452, 454, ЭСТЯ 3, 162-164, Федотов 2, 256-257. Oghuz (Osman) devoicing is secondary. Turk. > Mong. *tati- >  tači(ja)- 'become accustomed' (KW 385)  >  TM tati- id.  (ТМС 2, 170.)"
 328,"*bod-tak",   0,"young lamb","1 ягненок 2 холостой","","","","bujdak 2 (bäti барашек < Chuv.?)","bojdaɣ (R) 1 молодой баран 2 холостой","bọjdɔq 2","bojdaq 2","","","","","postaŋ, postuɣ 2","bojdoŋ 2","","pod'ak, dial. putə 1, козленок **AD","","","bottaŋ 2","","bojdok 2","bojdaq 1 (валух старше одного года; яловый), 2","bojdak 2","bujzaq 2","","","bojdax 2, 'молодой человек'","bojdaq 1 (валух старше одного года), 2","","bojdaq 2","See VEWT 77-8, Федотов 1 455 **AD. Turk. > Kalm. bojdəg (KW 49), Khalkha, Bur. bojtog  'fur boots'. Shor postaŋ seems to point to *bod-tak, but this is probably a secondary influence of *bod > pos (the roots are different anyway, being distinguished not only by *-j- *-d-, but also by vowel length). **AD Откуда долгота? Нет никаких оснований. Семантика производящего *boδ - рост, тело, сам, одинокий, холостой, у производного - холостой,  молодой баран (в ч-ти шор. postaŋ, postuɣ, саг. postaŋ 'холостой')."
 329,"*jạ̄r",2594,"precipice, steep bank","обрыв, крутой берег","","\Ijar\i (MK)","\Ijar\i","\Ijar\i","\Ijar\i (Ettuhf., Pav. C.)","ǯar","\Ijar\i","","jar-Gan","jār","čar","","d́ar","","śɨr","sɨ̄r","hɨ̄r","","","ǯar","žar","\Ijar\i","\Ijar\i","","\Ijar\i","\Ijar\i","","","\Ijar\i","EDT 953-954, VEWT 188-9, ЭСТЯ 4, 17-18, Stachowski 121."
 330,"*Kiār", 978,"snow","снег","qar (Orkh., Yenis., OUygh.)","qar (MK, KB)","kar","qar","qar (Sangl., Qutb., Houts.)","qɔr","qar, qaa","","\IGar\i","\IGār\i","xar","qar","qar","","jor","xār","kār","xar","xar","qar","qar","qar","qar","qar","qār","","qar","","qar","ЭСТЯ 5, 284-285, EDT 641, VEWT 235, Егоров 350, Федотов 2, 490, Лексика 27, Stachowski 142."
 331,"*Kɨ̄n",1104,"sheath, scabbard","ножны, чехол","","qɨn (MK, KB)","kɨn","qɨn","qɨn (Pav. C.)","qin, (Khorazm dial.) qɨjn","qin","qɨn (ЯЖУ)","\IGɨn\i","\IGɨ̄n\i","xɨn","qɨn","qɨn","","jənə, dial. ənə","kɨ̄n","","xɨn","","qɨn","qɨn","qɨn","qɨn","qɨn","qɨn","qɨn","qɨn","","qɨn","VEWT 264, EDT 630-631, Егоров 79, Лексика 571, ЭСТЯ 6, 217-218."
 332,"*Kạtku-č",1070,"a stinging insect","кусающее насекомое","","qatquč (MK - Argu) 'a thing which stings like a scorpion'","","","","","","","","","","","","","xɨt-kajъk 'жужелица'","","","","","","","","","","","","","","","EDT 599, ДТС. Cf. also (MK)  qoδɣu 'fly'. The Chuvash word is analysed as 'hard-bird' or 'hard-animal', which is probably a folk-etymological reanalysis of *kạtku-."
 333,"*ȫtü-",1610,"1 old 2 old, abandoned house 3 everything old 4 name of the homeland of the Turks ("old country")","1 старый 2 старое, заброшенное жилище 3 старье 4 назв. местности","ötüken 4 (Orkh.)","ötüken 4 (MK)","","","","","","","","","","","","","vadъ 1","ötöx 2","ötök 3","ötükän `name of a mountain ridge in Tuva' (ФиЛ 215)","ötükän `ровное широкое место на белках, удобное для пастьбы оленей' (ФиЛ 215)","","","","","","","","","","","Лексика 85; ДТС 393; Stachowski 201. Chuv. va- points only to PT *ȫ-. Turk. > Bur. ütügen `shaman word for earth' > Yak. ütügen 'неизвестная даль; преисподняя' (Пек. III 3195)."
 334,"*ẹ̆dŋe-r",  33,"saddle","седло","","eδer (MK)","eyer","ĳɛr","ẹger","egar","egə(r)","ezer","jähär","ejer","izer","ezer","ēr","","jəner","ɨŋɨ̄r","ɨŋɨ̄r","ezer","e'zer (Рас. ФиЛ 183)","ēr","\Ier\i","ĳer","ejär","ĳer","jēr","jer","jer","eŋer (Kakuk)","\Ier\i","EDT 63, VEWT 36, ЭСТЯ 1, 241-242, 658-659, Лексика 539, Stachowski 261. Reflexes of the cluster are complicated by borrowings: e.g. Tuva, Tof. is < Khak. Turk. *edŋer-čak 'pack saddle' > MMong. iŋɣirčaq, WMong. jaŋɣirčaq id. (TMN 2, 128-129, Щербак 1997, 164, Аникин 88)."
 335,"*gül", 575,"1 vestibule, inner porch 2 house, hut 3 home, dwelling-place","1 сени, прихожая 2 дом, хижина 3 жилище","","","gil 'family (as a second part of compound)', (dial.) 3","","","","","","gil 'family (as a second part of compound)'","","","","","","kil, kül 2","külä 1","","","","","","","","","","","","","","VEWT  270, Егоров 112, Федотов 1, 291-292. Yak. kǖlä is secondarily borrowed from Tungus, see VEWT 270; but küle may be inherited."
 336,"*jüm-",1214,"bow, arrow","лук, стрела","","","","","","","","","","","","","","","śəʷmren, śəʷməʷrlen","","","","","","","","","","","","","","","Федотов 2, 108-109."
 337,"*Kugu", 945,"swan","лебедь","quɣu (Yen., OUygh.)","quɣu (MK)","koɣu, kuɣu","\Iqū,\i \Iqu\i (Буд.); Sib. quɣɨ 'polar duck'","quɣu (Ettuhf.), \Iqu\i (Pav. C., AH)","quw","quw","","\IGu,\i \IGuɣu\i","\IGuv\i","\Ixū\i","\Iqū\i","\Iqū\i","","","kuba","kuba","\Iqū\i","","\Iqū\i","quw","quw","","quw","","quɣu, qoɣu, quw","quw","","quw, \Iqū\i","VEWT 275, EDT 609, TMN 3, 533-534, Лексика 171, ЭСТЯ 6, 101, Stachowski 159. Turk. > Kalm. ɣoɣǟ, ɣoɣā '(Heer)schnepfe', see KW 149. On Yak. kuba see a special note under PA *ki̯òpu."
 338,"*čok-", 333,"1 to peck 2 to delve, dig 3 to pick at 4 to stab 5 to pick (eyes) 6 pitfall, delve","1 клевать 2 долбить, копать 3 ковырять 4 закалывать 5 выкалывать (глаза)  6 рытвина, углубление","čoq- 4 (OUygh.)","čoq- 'to rush at the prey (of a bird)' (MK)","čoku- 1, čukur 6","čuqɨ- 1, čoqɨ- 2","čo/uqu- (Sangl., Pav. C. (5)); čuqur 6 (Sangl.; starting with Old Kypch.); čux-la- 3 (MA 137)","čụqi- 1, čuqu-la- 2, 3, čuqur 6","čoqu- 1","","čuxur 6","čoq- 1, čuqanaq, čuxur 6","sox-la- 1","","čoqu- 1, 3","","","","","","","čoqu- 1, čuqu- 3","šoqɨ- 1, šuqɨ- 1, 3","šoqɨ- 1, šuqɨ- 2, 3","suqɨ- 1, soqo- 2, 3","","čuqur 6","čoq- 'to sting', čoɣɨ- 1 (K), č/сuqu/ɨr 6","šoqɨ- 1, šuqɨ- 2, 3","","čoqu- 1","VEWT 114, 119, EDT 406. Kypchak languages suggest a distinction between *čokɨ- 'to peck' and *čukɨ- 'to dig, delve', absent elsewhere, and possibly a result of interdialectal loans."
 339,"*söl",2178,"1 juice in meat, lymph 2 soup, bouillon","1 мясной сок, лимфа 2 суп, бульон","söl (OUygh.) 1","söl (MK) 1","söl (dial.) 1","sül, sül-gɛn 1","","","","söl 'ram's blood'","","","","","","","šъl (dial.), шыл (XIX c., Bible) 2","öl 2","","","","söl 1","söl 1","söl 1","hül 1","","","","söl 1","","","VEWT 430, EDT 824, ЭСТЯ 7."
 340,"*Kiam", 813,"1 shaman 2 to shamanize, come into movement","1 шаман 2 камлать, приходить в движение","qam 1, qamla- 2 (OUygh.)","qam (MK, KB) 1","kam 1","qam 1 (Sib.)","qam 1 (AH, IM, Pav. C.), qamla- 2 (Sangl.)","","","","","","xam 1, xamna- 2","qam 1","qam 1, qamda- 2","","jomъś, jumъźə 1","xam-nā- (xam-sā-) 2","kamnā- 2","xam 1","xam 1","","","","","","","qamʒɨ 1","","","","VEWT 228, TMN 3, 402-406, ЭСТЯ 5, 240-241, Егоров 348-349, Федотов 1, 486, Stachowski 136."
 341,"*ạt-",1729,"to throw, shoot","бросать, стрелять","\Iat-\i (OUygh.)","\Iat-\i (MK)","\Iat-\i","\Iat-\i","\Iat-\i (Abush., Pav. C.)","ɔt-","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Ihat-\i","ɨvъt-, dial. ut-","ɨt-","ɨt-","\Iat-\i","","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","\Iat-\i","","\Iat-\i","EDT 36, VEWT 31, ЭСТЯ 1, 199-200, 203, 204, Егоров 342, Федотов 2, 469, Stachowski 262."
 342,"*TAr",2289,"raft made of skins","плот из бурдюков","","\Itar\i (MK)","\Itar\i 'wooden raft' (dial.)","","(OKypch.) \Itar\i (AH)","","","","","","","","","","","","","","","","","","","","","","","","","VEWT 463, EDT 528, Лексика 537."
 343,"*junt",2574,"horse, mare","лошадь, кобыла","junt (Orkh., OUygh.)","junt (MK)","jont","","junt (Ettuhf.), junad (AH)","","","\Ijut,\i \Ijot\i","","","","","","","","sono-ɣos 'young horse'","","","","","","","","","","","","","","EDT 946, VEWT 211, ЭСТЯ 4, 253-254, TMN 4, 199-200. Despite Sinor 1965, 312, hardly a borrowing from Samoyed."
 344,"*teke",2385,"he-goat","козел","teke (OUygh.)","teke (MK, IM)","teke","täkä 'козел, баран'","teke (Sangl.)","taka","tekä","teke","täkä","teke","","","teke","täkä","taga 'he-goat, ram'","","","de`ge, te ([dhe])","te'he","teke","tekä","teke","täkä 'he-goat, ram'","teke","teke","teke, tege","teke","","teke","See VEWT 470, EDT 477, Лексика 154, 428. Turk. > Mong. teke 'he-goat' (KW 390; TMN 2, 529, Щербак 1997, 154) ( > Man., Sol. texe id., see Doerfer MT 100; Oyr. teke - instead of the expected *tege - may be also borrowed back < Mong.). The Tur. dialectal form deke, despite Doerfer, can hardly justify a reconstruction of PT *d-."
 345,"*jül-",2572,"1 to shave 2 to tear off, scrape off","1 брить 2 срывать, соскребать","","jüli- 1 (MK)","jülü- 1, 2","jöle- (dial.) 2","jülü- 1 (Ettuhf.)","","","","","jül-me- 1","","","","","","sül- 2","hül- 2","čülü- 1","","","","","","žülü- 1","","ül-, ülü-, ili- 1","","","jülü- 1","EDT 919, VEWT 213, ЭСТЯ 4, 216 (confused with *jol- q.v. sub *ńŏ̀lo), Stachowski 115."
 346,"*oŕ-",1547,"to surpass, win","превосходить, побеждать","oz-","oz- (MK)","dial. oz-","uz-","oz- (Pav. C., Houts., AH, IM","ụz-","oz-","joz-","","oz-","os-","","","","","","","","","oz-","oz-","oz-","uδ-","oz-","","oz-","oz-","","oz-","See VEWT 367, ЭСТЯ 1, 425."
 347,"*jEgin",1484,"nephew","племянник","jegen, jegin (OUygh.)","","jēn, jegen, jejen","ǯĳɛn","jeken, jegen (R.)","ǯĳän","","jegen","","jegen","čēn","čēn","jēn, d́ēn","","","sien","","čēn","","ǯēn","žĳen","jĳen","jejän","","","","žĳen","","","EDT 912-913, VEWT 194, ЭСТЯ 4, 166-167, Лексика 293."
 348,"*seŋek",2773,"jar, mug","кувшин","","seŋek (MK - Oghuz)","seŋek","","","","","","senek","","","","","","","","","","","","","","","","","","","","","EDT 838, VEWT 410."
 349,"*jAn-",1416,"1 to turn back 2 again","1 поворачивать назад 2 снова","jan- 1 (Orkh., OUygh.), jana 2 (Orkh., OUygh.)","jan- 1 (MK), jana 2 (MK)","jine, jene 2","jan- 1, jɛnɛ 2","jan- 1, jana 2 (Бор. Бад., Abush.)","jɔn- 1, jana 2","jan- 1, jana 2","jan- 1","jenä 2","jene 2","nan- 1","nan- 1","jan-, d́an- 1","","","","","čan- 1","","ǯan- 1, ǯana 2","žäne 2","jana 2","jänä 2","","","jana, janɨ, jane 2","žäne 2","","","EDT 941-942, 943, ЭСТЯ 4, 111-112, 114-115."
 350,"*jAp-",2580,"to make, create, arrange","делать, создавать, приготовлять","\Ijap-\i (OUygh.)","\Ijap-\i (MK)","\Ijap-\i","\Ijap-\i (dial.)","\Ijap-\i (Ettuhf.)","","\Ijap-\i (dial.)","","","","","","","","","","","","","","","","","","\Ijap-\i","","","","","EDT 870-871; ЭСТЯ 4, 126-127, where arguments are given in favour of separating this verb from \I*jap-\i 'to cover'."
 351,"*Kul", 942,"slave, servant","слуга, раб","qul (Yen., OUygh.)","qul (MK)","kul","qol","qul (Pav. C.)","qul","qul","qul","\IGul\i","\IGul\i","xul","qul","qul","","","kulut","kulut","qul","","qul","qul","qul","qol","qul","","qul","qul","","qul","VEWT 297, TMN 3, 503-505, EDT 615, Лексика 318, ЭСТЯ 6, 120-121, Stachowski 160."
