NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
493|*terge-|2350|1 deerskin, cloth made of deerskin 2 footwear made of deerskin|1 ровдуга, замша из оленьей шкуры 2 обувь из ровдуги|tergekse 1|tergъs 1|tergemi 2||||||||||ТМС 2, 238-239.
494|*xumā-n,-kin, *xum-nu|1055|1 marrow 2 metatarsus|1 костный мозг 2 стопа, плюсна|umān, umākin 1|ụmъ̣n 1, ụ̄nmъ̣ 2|oman 1, onmụ 2|uməhaŋ (332) 1|umGan, umꭓan 1, umuxun 2||xoma(n) / xụma(n) 1|xụma(n) 1, xūmnū 2|xomã 1|uma(n) 1, umnu 2|uma(n) 1|ụ̄mā̃ 1|ТМС 2, 266-7,  274.
495|*keri-muk|770|intestine, part of stomach|кишка, внутренность желудка|kerimek|korịmkị|||||||||||ТМС 1, 453.
496|*xürgi-|1088|1 to raise, feed 2 food, food supply|1 растить, кормить 2 пища, продовольствие|irgī- 1, irgise 2|irgъ- 1, issъ 2|iggi- 1,isse 2|uǯi- 1 (2338)|uǯi- 1||xujse 2|xujse 2|xujgie- 1, xujgese 2|iggi- 1, iggixe 2|igisi- 1|iggi-, irgi- 1|ТМС 1, 325-326.
497|*ula-|2516|1 to soak, wet 2 river|1 мочить 2 река|ula- 1|ụl- 1||ulā 'large river' (2090)|ulGa- 1, ula 2|ula (49) 2||ụla- 1|ụlarịkō (dial.) 'wet'||ula- 1|ụlakkū|ТМС 2, 257-8.
498|*š[e]še-|2159|to scatter, spatter|сыпать, брызгать|čičewē-||sesexen- 'to flow, stream'||sisa-||||čičikēle-; Bik. sese-||||ТМС 2, 147, 386-7. Forms with -a-vocalism (Manchu čaču-, čačure-, čačix́a-, Evk. čaču-) are borrowed from Mongolian, see Doerfer MT 100.
499|*abu-|45|1 to lack, be insufficient 2 to become exhausted, lean 3 to be tired 4 to bleed|1 недоставать, не хватать 2 худеть, чахнуть 3 уставать, обессилевать 4 истекать кровью|abul- 1, abu- 4|abъ̣l- 1|abụl- 1||absa- 2, abuliqabi 3||abụlị- 1|abụlị- 1|abolị- 1|abuli- 1|abuli- 1|abụl- 1|ТМС 1,6-7. It is interesting to compare the Evk. form abu- with OT (8th cent.) ab- 'to bleed' (EDT 4) - perhaps a separate root? Note the irregular preservation of *-b- in all languages, possibly suggesting an early loan from Manchu. TM > Dag. abila- (Тод. Даг. 118).
500|*site-|2094|1 to soak (intr.) 2 slightly trickling (of woman's milk)|1 промокать 2 скудно, мало (о молоке кормящей женщины)|||\Isite-\i 1||||\Isite-\i 1||sitã  2 (On.)||||ТМС 2, 100.
501|*čepe|289|ulcer, pustule|лишай, нарыв, прыщ|čepe||||||||||||ТМС 2, 421. Attested only in Evk., but having reliable external parallels.
502|*poŋga|1682|1 musk deer  2 musk|1 кабарга, мускусный олень 2 кабарговая струя, мускус|hoŋgo 2|hoŋgačan 1|||fońo 1||poŋGol 2||poŋGol 2|xoŋgolo 1|||ТМС 2, 333.
503|*sexu-|1957|sensitive, responsive|чуткий|||||||sexuli||sexur||||ТМС 2, 139.
504|*seŋgi|1966|relative by marriage|свойственник|||seŋgi|||sei̯ŋ-ŋi-ŋ (328)|seŋgi|śeŋgi|seŋgi (On.)||||ТМС 2, 138-9 (to be distinguished from 'blood'!).
505|*īnan|685|1 husband's younger brother 2 (younger) brother- / sister-in-law 3 sister's children 4 son-in-law 5 husband's younger sister|1 деверь, младший брат мужа 2 (младший) племянник / племянница 3 дети сестры 4 зять 5 младшая сестра мужа|īnan 1|ịnъ̣n 2|ịna 3|inā 'sister's son (nephew); son of fater's or moter's sister (cousin)' (920)|ina 3|||ịna 4|ịnã 5||||ТМС 1,315. Cf. also Man. ene 'heir' (ТМС 2, 455).
506|*neŋu-|1434|1 sweetheart 2 younger (brother, sister)|1 возлюбленная 2 младший (сестра, брат)||neŋńe 1|neŋuj (L.-Amg.) 2|\Inun\i 'younger sister; husband's younger sister; younger woman' (904,914)|non 2|nexun (nexun-un) 'younger sister' (291)||||neŋu 2|neŋu 2||ТМС 1 618, 622. The Jurch. word may reflect a contamination with PTM *neku- 'younger relative' (v. sub *nek`o).
507|*xulbü-|1115|to bind, to arrange|связывать, нанизывать, двигаться друг за другом|ulbu-|ulbъ-|ulbul- 'to move in a tandem'|||||ulbumǯi 'in a tandem'|xuelbi-|ubbuna-|||ТМС 2, 258.
508|*čiK(i)-|296|to sprout|прорастать, подниматься из земли|čiki-ltu-||||čiq-ǯala-||||||||ТМС 2, 391 (cf. also Man. čiqte-n 'stem, stalk', čiq-si- 'to ripen, become grown-up').
509|*ül(k)e-|659|1 to measure 2 to understand 3 to transmit, relay, teach|1 мерить 2 понимать 3 передавать, пересказывать, учить|ilke- 1|ilkē- 1|ilkēt- 1|ulixi- 2 (1860)|ulxi- 2, ula- 3|uli- 3|||ilkeči- 1 (Kur-Urm.)|ilēči- 1|ilewesi- 1||ТМС 2, 258, 261; 1, 309.
510|*nora-|1518|dwelling place|местопребывание, убежище, гнездо|||||noro(-n)||||||||ТМС 1, 606. Attested only in Manchu, but having probable external parallels.
511|*suna|2112|dog rope|сворка (поводок для нескольких собак)|suna|hụ̄ŋkan|||suna||sụna|suna|sona|sūna 'shaman's posterior belt'|||ТМС 2, 127. Since the archaic meaning must have been 'hunting with dogs', it seems possible to connect also Manchu sunte-, suntebu- 'to destroy the enemy' (ТМС 127) (whence Dag. suntu- id., Тод. Даг. 164). Evk. > Dolg. hunakān (see Stachowski 111).
512|*mun-di-|1364|to look, observe|смотреть, наблюдать|munni-li-, mundi-; mundē- 'to comprehend'|menri-||||||||||mundi-|ТМС 1, 556.
513|*sür-|2081|1 to creak, screak 2 to shout, cry|1 трещать (от мороза) 2 кричать, орать|sirgi- 1|||surə-, suru- 2 (192)|\Isure-\i 2||||||||ТМС 2, 95, 131.
514|*sag-da-|1881|1 senior 2 old 3 old man|1 старший 2 старый 3 старик|sagda-ɣī 1|haɣdъ̣ɣ 1|sagdị̄ 2|sahədə 2, 3 (848)|saqda 3||saGdi. 2|saGda 2|saGǯị 3|sagdi 1, 2|sagdi 'big'|sagdī, saddī 1, 3|ТМС 2, 53. TM > Dag. sagdī, sardī (Тод. Даг. 161).
515|*sebe-|1950|1 ghost (shaman's aid) 2 idol 3 God|1 дух (помощник шамана) 2 идол 3 бог|sewũ 1|hewki 3|sewen||||sewo(n) ~ sewe(n)|sewe|sewẽ|sewē(n), seweru 1, seweki 2|sewe(n) 1, sewexi 2|sewū̃ 1, 2|ТМС 2, 135 (also *sebe-ki).
516|*lēj- (*lī-)|1446|to open|открывать|nī-||nī-|li- (557, 1687)|nej-||ńī-|ńī-|ńi-xeli-|ńī-|ŋīgi-, nē̂-ntile-||ТМС 1, 588.
517|*xaku-kan (/*k-)|961|doll|кукла|||||||ꭓaqụa(n)|ꭓoqo(n)|aqoã|xakuã|||ТМС 1, 459. Cf. also *kakura-kta 'decorative bells' (ТМС 1, 375).
518|*šoKa-|2170|1 one-eyed 2 be purblind, sandblind 3 to shut eyes, blink|1 одноглазый, кривой, косой 2 быть подслеповатым, засоряться (о глазах) 3 жмуриться, щуриться|čokotī, čokoro 1|čoqaŋị 1|čoktoxo 1||sogi- ~ soxi- 2||čōqto 1|toqto 1|čōmian- 3||||ТМС 2, 404, 105. Manchu may be borrowed < Mong. soqui- (see Rozycki 186); if this is the case, the reconstruction may be *šoka- or *čoka-.
519|*dagu-r|348|1 friend  2 Daghur 3 allied kin|1 друг 2 дагур(ы) 3 союзный род|doɣor, daɣor 1|doɣō 1|||daꭓur 2||||doꭓa 1, 3|||daɣụ̄r 2|ТМС 1, 189, 211, 212.  Neg., Oroch, Ul., Orok doꭓa 'allied kin' < Nan. (which itself may be historically a Manchurism). TM > WMong. daɣur, Dag. dagur, daur (Тод. Даг. 134), Yak. doɣor, Dolg. dogo, dogor (Stachowski 81).
520|*dubē|2264|end|конец, край|duwē|duwet|duwe|duwe, duwu 'tip, point, end' (2604)|dube||duwe|duwe|\Idue\i||\Idue\i||ТМС 1, 218. TM > Dag. duwē (Тод. Даг. 137).
521|*kola|873|1 cunning 2 deceit 3 to deceive 4 catching thieves|1 хитрый 2 ложь 3 обмануть 4 поимщик воров и разбойников|kolo 1|||holə 'lie, falsehood' (1308)|ꭓolo 2, ꭓolto- 3, ꭓuǯa-či 4||||||||ТМС 1, 407, 476.
522|*turu|2447|pole, mast; sacred pole, place|столб, мачта; шаманский шест, место жертвоприношения|turu||tojo|turā 'post' (460)|tura|tur-ra (208)|tụra|toro|toro, tora|\Itū\i||törö 'door-post'|ТМС 2, 221 (some forms were possibly influenced by Mong. tura < Turk. tura, but on the whole loan is hardly acceptable, see Doerfer MT 38). Evk. > Dolg. turū 'sacred pole' (see Stachowski 233).
523|*kaK(u)|741|dam|плотина|||||qaqu|xe-ki (68)|||||||ТМС 1,356.
524|*ib-le|583|1 yard 2 dwelling, building|1 двор 2 жилище, жилые постройки|||||olen ~ ulen ~ ūlen 2|ew-le (197) 1|||||||ТМС 2, 16. Cf. also *īb-ǯe 'relative-in-law' (ТМС 1, 295; = PT *eb-či ?).
525|*padira-n|1698|wall|стена||||faǯərəhən (463)|faǯiran|fa-dar-an (64)|padịra(n)||paǯirã||||ТМС 2, 31.
526|*para(n)|1711|1 place for the hut, floor 2 perch 3 lattice(d)|1 площадка для чума, пол 2 насест 3 решетчатый|haran 1|harān 1|hajān 1||fargi ~ farki 2, faraŋga 3||||||||ТМС 2, 299, 317. Evk. > Dolg. haran (see Stachowski 97).
527|*etu- / *ute-|452|1 to quilt, tuft 2 seam 3 quilted coat, lap 4 mitten lining 5 to put on, wear 6 upper clothes|1 стегать 2 шов 3 стеганая одежда, подол 4 подкладка рукавицы 5 надевать, носить 6 верхняя одежда|uteme 3, uteptīn 4|ut- 1, (All.) etik 6|ute- 1|utu- 5 (199); utuku 'clothing, clothes, garb' (195)|etu- 5, etuku 6|etu-xun (846) 6|uteče 2, utesu 3|utteuri 3|ute- 1, utesū 3||||ТМС 2, 293, 295, 469.
528|*turga-|2392|prop, support|подпорка, подставка|turga|tọr|tojga, tuju||||tụǯakụ||tojGa|tugia- 'to prop'|tuga||ТМС 2, 218, 220.
529|*baksa|93|prop, central pole|подпорка, центральный столб|baksa||||||baqsa||baqsa||||ТМС 1, 67.
530|*čiKi|297|pivot|шарнир, петля|čiki|čị̄q|čịx||||||||||ТМС 2, 391.
531|*seg-|1952|1 to litter 2 litter, mat|1 подстилать 2 подстилка, циновка|seɣī- 1, sekte 2|heɣ- 1, heɣtъ 2|sek- 1, sekte 2||sekte- 1, sekǯi 2||segdi- 1, segdi 2|seji- 1, segǯi(n) 2|segǯi 2|segdi 2|soktou(n) 2||ТМС 2, 136-137. Evk. > Dolg. hekte (see Stachowski 101).
532|*tul-|2427|1 to wade 2 to cross (a mountain ridge)|1 переходить (по дереву поперек ручья) 2 переехать, перевалить (горный хребет)|tuldun- 2|||||||tolo- 1|||||ТМС 2, 195, 210.
533|*buga|139|place|место, местность|buɣa|\Ibā\i|\Iboa\i ~ boɣa|\Ibā\i (2562)|\Iba\i|buha-i (71)|bụa|\Ibō\i|\Iboa\i||||ТМС 1, 100.
534|*ǯeče-n|2589|boundary; border|межа; граница||||ǯečən (1033)|ǯečen|ǯei̯-čen (44)|||||||ТМС 1, 286. Cf. also Jurch. ǯa-či-li 'tent' (214).
535|*kuli-, *kuli-ti-|913|1 to fence, shut off 2 threshold 3 partition, screen 4 lobby|1 загораживать, отгораживать 2 порог 3 перегородка, загородка 4 прихожая|kultir 2|qụ̄lị- 1|kultik 3|||xu-li 4 (205)||||kukti- 1|||ТМС 1, 428-9.
536|*kuči-n|805|1 well 2 dimples|1 колодец 2 ямочки (на щеках)||||qočin 1 (547)|ꭓučin 1|xuĉi  1(56)|||qočị 2; ꭓočĩ 1 ( < Man.)||||ТМС 1, 419, 475.
537|*kula-n|864|pipe, chimney|труба, дымоход|||kolan|hulan (475)|ꭓulan||qụla(n)||qolã|kula(n)|kula(n)|kulan|ТМС 1, 428. Cf. also Nan. dial. kulekte, keulekte 'throat', Man. ꭓolin 'inner side of cheek'. TM > Dag. xolil (Тод. Даг. 177), xuala (Тод. Даг. 178).
538|*tomka-n|2463|boat made of planks|дощатая лодка|tomkon|tȫmkin 'oar'|||||||||||ТМС 2, 196, 201.
539|*silV|2031|1 plate 2 k. of basket|1 тарелка 2 вид корзины|||||||||sịlịa 1, (Bik.) silfo 2||||ТМС 2, 84.
540|*dep-|376|1 fluffy, furry 2 squirrel's nest 3 rot, soft|1 мягкий, пушистый 2 беличье гнездо 3 гнилушка|debdirin 1; depe, depe-me 3|debuli 1|depe-depe ōjị̄ 1|||||deberūli 1|debǯini 2||||ТМС 1, 227, 236.
541|*sitkī|2024|wall, side (of tent)|стенка (палатки)|sitkī|hitki|sitkī|||||||||š́īttũ  'summer panelling (of tent)'|ТМС 2, 99, 426.
542|*miali-|1302|1 to measure 2 a measure of weight 3 a measure for powder|1 мерить 2 мера веса 3 мерка для пороха|||||ḿali- 1, ḿalin 2|mia-liaŋ-ha 2 (524)|||mialaqo 3 (On.)||||ТМС 1, 524.
543|*tuku- ~ *taku-|2378|funnel (for pouring liquid)|воронка (для наливания жидкости)|||||||tuqụ(n), taqu(n)||||||ТМС 2, 155. Attested only in Ul., with probable external parallels.
544|*turku-|2414|to get caught (in a trap, net)|попадать в ловушку, в сеть|turku-||tojkị-||||tụčụ-|tụtụ-|tojqo-|tokko-, tukku-||tụkkụtā̃ bi|ТМС 2, 220.
545|*epu|443|1 elder sister's husband 2 grandfather, elder relative 3 bear 4 father's elder brother|1 муж старшей сестры 2 дед, старший родственник 3 медведь 4 старший брат отца|||epo, epa 4|efū 1 (905)|efu 1|||ēpi 2, epeke 2, 3||epere 2, 4|||ТМС 2, 459.
546|*seruk|1970|1 bag 2 dish made of birch bark|1 сума 2 берестяная посуда|seruk 1|hēruk 1,2|sējux 1|||||seruku 1|||||ТМС 2, 146.
547|*lam(b)a|1186|1 saddlebag 2 bag 3 to saddle 4 saddle|1 вьюк 2 мешок, куль 3 седлать 4 седло|lamba 1 (dial. nama), lamba- 3, nēme, nama 4|nam- 3|nama- 3, nāme 4|||||nama-, namba- 3, nēme 4|||lamba 2||ТМС 1, 490, 580-581. Words meaning 'saddle' are somewhat divergent phonetically and may be actually borrowed from Mong. (cf. Mong. nemne- 'to cover with a horse-cloth', see under PA *nema). Evk. nama > Dolg. nama (see Stachowski 184).
548|*pībē-|1794|to whet, sharpen|точить|hīwē-|hīw-|xīwu-||fojfo-||pīwe-|pīwē-|pịa-|xīwe 'whetstone'|\Isue\i 'whetstone'|īwe 'whetstone'|ТМС 2, 321-322.
549|*pīl(a)-|1811|1 strap(s) 2 to tug 3 belt 4 bridle|1 лямка, завязки 2 надеть лямку (на плечо) 3 ремень 4 узда||hịlъ̣pъ̣n 1|xị̄la- 2||feleku 4|||pịtụ ( < *pil-tu) 3|||silipti 1||ТМС 2, 323-324, 304.
550|*nelge|1428|1 snag 2 block 3 saddle|1 коряга 2 колода 3 седло|nelge 1|nelgъ 1, 2||||||nēlge 3||negge 1, 2|nege 1||ТМС 1, 619.
551|*xil-|1028|1 loop for a billet on deer's neck (to keep him from straying) 2 fur collar 3 halter, headstall|1 петля (для подвешивания на шею оленя плашки) 2 оплечье, ошейник (обшитый соболями); меховой воротник 3 недоуздок|inman, inmar 3, iltē 1|ịnmъ̣r 3|||ilten 2||sini 2|sinni 2, sịlma 3||sili 2|||ТМС 1, 310, 316, 2, 84.
552|*laxu-|1173|1 to hang 2 hanger, cross-beam (for hanging) 3 harpoon rudder 4 harpoon point|1 вешать, подвешивать 2 вешалка, козлы (для вешания) 3 руль плавающего гарпуна 4 наконечник гарпуна|laku-ča 'loop'|||ĺaki- 'to hang, to dangle' (1646)|laḱa- 1, laḱaqu 2||laꭓụ 3|lāꭓụ 4|||||ТМС 1, 488, 501-502. The root should be distinguished from *loka- (v. sub *luke).
553|*xirege|1033|file|напильник|ireɣē|irge|īɣē ~ ĳeɣē||||siru|sīro|siru|jo|jue||ТМС 1, 328-329.
554|*pis(k)-|1768|1 crack 2 to prick (with a fish-fork) 3 to split 4 to prick, incise 5 to tear 6 to be torn|1 трещина 2 колоть (острогой) 3 трескаться 4 прокалывать 5 рвать 6 (быть) разодранным|hismat- 4|hịsqān- 3|xịskan 1, xịsmịkịt- 2||pes seme 6 (borrowed < South. Tung. or with expressive p-?)|||pesitči- 5|||||ТМС 2, 48, 328.
555|*duKu-|2257|to strand, plait|вить (веревку)|||dukte-||||dū-||dū-||||ТМС 1, 220-221.
556|*kelte- ( < *kerelte-?)|774|wolverine|росомаха|keltefkī|költekken|keltelkēn||||||||||ТМС 1, 447.
557|*pebgure (/*pu-)|1838|ski stick, circle on ski stick|лыжная палка, кружок на лыжной палке|hewgurē||xebguje||||pegbere(n)|pebgire|fubguru (Bik.)|xebbiru 'hook on walking stick'|||ТМС 2, 358.
558|*gara|483|bough, stick|сук, палка|gara|gar|gaja|\IGarəhən\i 'branch' (2134)|\IGarGa;\i \IGarin\i 'blade of a knife, edge of a sword'|gar (758)|\IGara\i|\IGara\i|\IGara\i|\Igā\i|\Igā\i|gar, gara|ТМС 1, 141, 142.
559|*mukča|1323|mallet|палица, дубина|||mụkočan|muqəšan, muqəsan 'club, stave' (679)|muqšan||mụkča||moksa- 'to hit with a mallet'|mučaŋki|mūsi- 'to hit with a fist, mallet' (Корм. 263)|mụxš́ā̃|ТМС 1, 553, 561.
560|*suǯa-ku|2148|1 stick, prop, support 2 ski stick|1 палка, подпорка, подставка 2 лыжная палка|suǯax 2||sụǯaꭓ 1|suǯa- 'to support, to hold up' (1642)|suǯaqu 1, suǯa- 'to support'|||sụǯaqụ 1|soǯa 'a gun support', soǯaqo 'a hanger made of three poles' (On.)||suǯu-fine- 'to stand on one's elbows and knees'||ТМС 2, 120.
561|*mala|1244|club, pestle|колотушка, молот, пест|||||mala||||||muĺeu|malã|See ТМС 1, 523.
562|*šasi-kan ( ~ -i-, -ü-)|2155|a k. of soup|вид супа|||||šasiꭓa(n), šašan, sase||||||||ТМС 2, 425. Attested only in Manchu, but having plausible Kor. and Jpn. parallels. Man. > Dag. sasgan (Тод. Даг. 162).
563|*saku|1901|1 stale water, muddy water 2  to become turbid, make turbid (of water)|1 застоявшаяся, ржавая вода 2 мутнеть, мутить (воду)|šaka- (Kamn.) 2|saq 1, saqab- 2 (Arm.)|||||||saqo / saqụ 1||||ТМС 2, 56, 80-81.
564|*nure|1516|wine|вино|||||nure|niu-re (520)||||||nurē|ТМС 1, 625. Other forms: Evk. nere-, Nan. niru, Man. ńara-n 'wine' are probably borrowed < Mong. nere- 'to distil wine'.
565|*šūkse|2176|juice|сок|čūkse|čūs|čūxse||šugi(n) ~ šuxi(n)|||sūkse ~ tūkse||čūkse|čüöŋki|sūrče|Cf. also Evk. čūkin 'rare (of meat)'. ТМС 2, 411, 428.
566|*čuguk- ( ~ -b-)|341|1 snuff 2 to burn (with fire) 3 to hiss (of glowing coals in contact with water)|1 нагар 2 обжечь (огнем) 3 шипеть (о раскаленных углях в соприкосновении с водой)|čuke, dial. čuwukī 1, čuwkān- 2||čowixān 3||||||||čauk-čuk (expr.) 3||ТМС 2, 410, 412.
567|*sūn|2563|clothes|одежда (верхняя), шуба|sūn||sūn|||||sō(n) ~ sū(n)||||\Isū̃\i|ТМС 2, 126. Tung.  > Yak. suon.
568|*soma|2110|tail fin, belly fin|плавник (брюшной, околохвостовой)|||||||||||somo||ТМС 2, 110. Attested only in Ud., with possible external parallels.
569|*nep-te-|1435|1 to spread out, make even 2 even, flat|1 расстилать, разглаживать 2 ровный, гладкий|nepte- 1, nepteme 2||nepte-nepte 2||||nepte-nepte 2|nette- 1|nepte-nepte 2|nepteŋge 2|neptele 2||ТМС 1, 623-624.
570|*lelu(ke)|1198|1 apron, corsage 2 gore, gusset|1 нагрудник, передник 2 ширинка (подмышечная часть у панциря)|nel 1|nel 1|leleke 1||leli 2||lelue 1|nolu ~ nelu 1|lelū 1|leli 1|leli 1||ТМС 1, 619.
571|*por-|1779|1 to spin, turn round 2 to weave (nets)|1 кружить(ся), вращать(ся) 2 плести (сети)|horol- 1|herelkin- 'to turn into'|xojịl- 1|forə-, foru- 1 (270, 1776)|foro- 1||pori- 2||||||ТМС 2, 47, 334.
572|*tude-|2789|to be constipated|закрепить (о кишечнике)|tude-||||||||||||ТМС 2, 205. An isolated Evk. form, with possible external parallels.
