"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
 248,"*cV(n)t-", 925,"husband","tēt, pl. tatn\H5\h","čet, pl .čatn\H5\h; xa-čit, pl. xeŋ-čatn\H1\h "old man" (*χ[e]ʔ-cV(n)t-, see *χ[e]ʔ 'big')","hat-kīt, pl. -n "husband"; Ass. had-kip (М., Сл., Срсл., Кл.), at-kɨb (Кл.) "husband"","kintej "husband"","ils-ét (Сл., Кл.), ilzet (Срсл.) "husband"","ССЕ 214-215. Not quite clear is the relationship of Arin forms: bi-q́aŕat (М., Сл., Срсл., Кл.) "husband" (lit. "my husband",  (Лоск.)  kerät "old man", ikerät "мужик" - perhaps a metathesis of the suffixed formation *kVt-ar  (see КС 151). Pumpokol has a compound with the same component ils- as in ils-em 'wife'  (i.e. ils-et < *ils-xet). Let us note that the Pumpokol form xačet (Срсл.) "old" is in reality Yug. Werner 2, 260 <*t'et> - ignoring the Kottish form hat- - which in fact is completely regular, see КС 151; for the same development see *cəŋe > heŋai 'hair', *cēse > hēči 'boot'."
 249,"*tun-", 891,"lizard","tuĺn\H5\h, pl. tuĺnəŋ\H5\h","tuńɔl\H5\h, pl. -ɨŋ\H5\h","","","","The comparison with Kott. d́era (proposed in ССЕ 215) should be probably abandoned, see under *jVʔra - which is probably observed here in the second syllable (PY *tun-jVʔra). Werner 2, 286 *t\Hh\hun'əl / *t\Hh\hulən'."
 250,"*čad-",   0,"white moss, deer moss","táŕeŋ, North. tádeŋ / tádɨŋ 'white moss'","t́ādeŋ, pl. -en (Кастр.) 'white moss' (Werner 1, 243: čádɨŋ)","","","","The Yug form is compared in ССЕ 215 with Ket tagdə́, pl. tagdeŋ\H5\h 'grass for slipsoles' (Werner 2, 231 tàgdɛ́). However, Werner (1, 243) provides other Ket forms that allow to correct the reconstruction to *čad- (Werner: *t'adəŋ)."
 251,"*ča[j]aŋ", 132,"bear","","","šajaŋ","","xánki (Сл.)","ССЕ 215. Werner (2, 436) doubts the attribution of the Pump. word, but the correspondence is quite regular (cf. *čem- 'goose' > Kott. šame, Pump. xam etc., see КС 157) and the comparison seems quite reliable."
 252,"*čaq-pəm (~c-)", 816,"scoop","taqpəm\H6\h, pl. -n\H5\h (South.)","čappəm\H6\h, pl. -n\H5\h","","","","ССЕ 215. Werner 2, 240 <*t'ap-qəm> gives the meaning as 'birch bark vessel, mainly used for feeding dogs' and tries to explain the word as *čaʔp 'dogs' + an unclear second component. This seems rather a folk-etymological analysis. The word indeed appears to be a compound, but the second component is rather *piʔn (with assimilation > -pVm) 'scoop', so we only can reconstruct *čaq-pVm < *čaq-piʔn, not *čap-qVm. The same root is probably present in *qək-čaq 'spoon' (see *qək-)."
 253,"*čāŋ- (~c-)", 134,"to pull, drag","taŋ\H4 \h(South.), North. ta:ŋə\H4\h","ča:\Hh\hŋ","","","","ССЕ 215. Here also Ket. taŋgut\H5\h 'tow'. Werner 2, 237 <*t'aʔəŋə>."
 254,"*če(ʔ)ǯi",   0,"fire-brand","bɔg-dit\H5\h / bɔg-det\H5\h, pl. bɔg-ditn\H5\h, bɔg-dirəŋ\H5\h","bɔg-d́ejt́\H5\h, pl. bɔg-d́ɛt́n\H5\h","","","búčkete (Сл.) "(burning) coal"","ССЕ 216. All languages reflect a compound with *boʔk 'fire'. The Ket-Yug forms presuppose a protoform *ǯe(ʔ)ǯi; the Pumpokol one - a protoform *če(ʔ)či. We are probably dealing with different assimilations of the original form *če(ʔ)ǯi or *ǯe(ʔ)či; Werner's (1, 135) analysis as bɔʔk 'fire' + -d- 'genitive marker' (why -d́- in Yug?) + unknown component -ɛt seems hardly any better."
 255,"*čed-", 135,"to scrape","","dābet́et, praet. dōbert́et, imp. āt́et (Castr.); Werner 1, 165 čet","šičer "scraping, cleaning"; bašēraŋ "to scrape, clean", praet. balašēraŋ, imp. alšer, pass. balāšer","","","ССЕ 216. Werner 1, 165 <*t'et> - doubts the relationship of the Kott. form, which is, however, completely regular (see КС 148)."
 256,"*čel (~-r)",   0,"mammoth","tēĺ, pl. tēkŋ\H1\h / tɛĺəŋ\H5\h","čel, pl. čekŋ\H1\h / čɛləŋ\H5\h","","","","ССЕ 216. Werner 2, 260 <*t'ègə́l>."
 257,"*č[e]m-",   0,"goose","tēm, pl. tɛmin\H5\h; tam-git\H5\h 'gosling', tamət\H5\h 'a k. of duck (утка-острохвостка)'","čem, pl. čɛmɨn\H5\h; čam-git\H5\h 'gosling', (Кастр.) t́amat 'a k. of duck'","šaman (Лоск.), (М., Сл., Срсл., Кл.) šame; асс. šáme (М., Сл., Срсл., Кл.), camii (Кл.)","sam (М., Сл., Срсл., Кл.) "goose"; samran (Стр.) id.; sam (Лоск.) id.","xam (Сл., Срсл., Кл.) "goose"","ССЕ 216. Werner 2, 260 *t'amə."
 258,"*čēke", 136,"sliver, chip, splinter","tɛ:, Kur. tɛ: / tɛ:ɣə\H4\h, pl. te:kŋ\H1\h","čɛ:hk / če:, pl. čekŋ\H1\h (pl. also 'Leisten für den Belag des Polarschlittens', see Werner 1, 165)","šēki, pl. šēkŋ, šēkan "Span"","","","ССЕ 216. Werner 1, 256 <*t'egə / *t'eʔəgə>"
 259,"*čəʔ", 137,"salt","tʌʔ 'salt'; tʌɣet\H5\h "to salt"","čʌʔ 'salt'; čʌgit\H5\h "to salt"","ši-nčēt, pl. -čētaŋ "salt"; Ass. či-nǯet (М., Кл.), tinǯet (Сл., Срсл.), šinčet (Кл.) "salt"","","","ССЕ 216. The morphological structure of the Kott. form is unclear (a compound with some obscure second component). Pump. če (Срсл., Кл.) is most likely a Yug form. Werner 2, 301 *t'əʔ < < *t'əgə>."
 260,"*čəG-", 138,"crust on snow","tъ̄-tik","tъ-tik / tъu-tik","šāk, šāx, šāg","","","ССЕ 216-217. Ket and Yug reflect a compound with *tiχ "snow" (q.v.); Yug has a assimilation tъ-tik < *čə:-tik (old initial affricate is indicated by the Kottish form). In Kottish cf. also u-šōx, u-šou 'ice' - possibly *ul-šōx lit. 'water-crust'. Werner (2, 305, 436) apparently does not accept the assimilatory explanation for Yug t-  and consequently has to separate the Kott. form (accepting for it the reconstruction *čəG-) from the Ket and Yug one. For the latter he gives a protoform <*t\Hh\hə / *t\Hh\hə̀gə́> and unites it with tʌ- in *təʔlap 'bread crust' q.v. - which I think is hardly justified, see under *təʔlap. One should also mention that Kott. ušōx 'ice' is utterly strangely etymologized (Werner 2, 376) as ūša 'far' + *ku / xu 'ice'; and finally that Werner lists (without etymology, see 1, 166) Yug čɔ́χɔr 'Rauhreif' - which must be a compound *čəG-qo-xur, with *čəG-qo- being an exact match for Kott. šāk, and proving that Yug t- in tъtik is aq result of assimilation."
 261,"*či",   0,"to pluck, tear out","d-asŋ-a-ti "I pluck berries" (Werner 2, 261 -tĳ)","-čej (Werner 2, 261)","d́-ō-ši-aŋ "I tear (out)"","","","ССЕ 217. Г. Старостин 1995, 170; Werner 2, 261 *t'ej / *t'ĳ. Note that -š- in Kott. is irregular: the Kott. root may in fact (as suggested in Werner 1, 71-72) be rather compared with Ket -as- in d-asŋ-a-ti (Werner 1, 71 aś-tĳ), Yug ásɨŋ-čej. This would result in a reconstruction of an additional synonymous root *ʔas-."
 262,"*čič-",   0,"wagtail","","čičik\H5,6\h, pl. -an\H5\h","čičipa, pl. čičipan; čičaba (Лоск.) "titmouse"","","","ССЕ 217. Cf. also Ket tъ̄qt (Kur. tъ̄qtə\H1\h), pl. tʌqteŋ\H5\h 'wagtail' (from an expressive variant *čə̄qčV?). Werner 1, 165. The root is onomatopoeic and possibly borrowed in Yug from Samoyed: cf. Selk. čičik 'little bird' (although an opposite direction of borrowing is also possible). Similar roots are present in many languages: cf/ PU *čičä ~ *činčä 'little bird' (a putative origin of the mentioned Selkup word), PNC *šVnšV / *čVnčV 'a k. of bird' (NCED 987)."
 263,"*čiki",   0,"swan","tīɣ (South.), North. tīɣə; pl. tīɣiń\H1\h","čīk, pl. čigɨn\H1\h","šīgi, pl. šīgán","","","ССЕ 217. Werner 2, 270 *t'ikə."
 264,"*čip", 139,"dog","tīp, pl. taʔp","čip, pl. čaʔp","alšip, pl. alšáp "Hund"; (Бол.) penga-alčip "bitch", alčip "dog", iga-alčip "male dog"; асс. alčip (М., Сл., Кл.), alšip (Кл.)","ílčap (М., Сл., Кл.) "dog"; (Лоск.) pinbilšaba "bitch", araulšeb "male dog", ilčep "dog"","","ССЕ 217. Phonetically unclear is Pump. (Кл., Сл.) ci 'dog'. Cf. also Ket ta:ĺ, Yug čafɨr\H3\h "dog food". Werner 2, 269 *t'ip."
 265,"*čīǯ-",1068,"root","ti:ŕi\H4 \h(Kur.), pl. tīŕeŋ\H1\h; Bak., Sur. ti:də4 / tidə\H4\h, pl. tīdəŋ\H1\h / tīdeŋ\H1\h; South. tiŕ\H4\h, pl. tīŕeŋ\H1\h","ti:\Hh\ht́, pl. tid́iŋ\H1\h","ičičan (Бол.) "root"","","kédiŋ (Сл., Срсл., Кл.)","ССЕ 217. The Pump. form tɨči (Срсл.), tɨčɨ (Кл.) is in reality Yug. Yug has a regular dissimilation ti:ht́ < *t́i:hd́-); Assan has i-čičan instead of *i-čĳan (devoicing *čīǯ- > *čīč-); see КС 158. The Assan and Pumpokol form (with a completely regular k-: cf. kit 'stone' < *čɨʔs etc.; Werner's question mark is therefore excessive) point unanimously to *č-, so Werner's (2, 265) reconstruction <*t\Hh\hiʔəd'ə> is incorrect; needless to say, Kott thempul, Arin t́ēmbirgaŋ 'root' (see *t[e]mbVĺ-), despite Werner, have nothing to do with the present root."
 266,"*čɨʔs", 140,"stone","tɨʔś, pl. tʌʔŋ / tʌŋa:n\H3\h","čɨʔs, pl. čʌʔŋ; čʌŋa:n\H3\h "rock"","šīš, pl. šeŋ "Stein"; šiŋeäŋ, pl. šiŋeäkŋ "rock"; šin (Бол.) "stone"; Ass. šiš (М., Сл., Срсл., Кл., Ф.); Koib. šiš (Ф.) "stone", čiŋän (Мес) "rock"","kes (М., Сл., Срсл., Кл., Ф.) "stone"; (Лоск.) kes id.","kit (Сл., Срсл., Кл.,) "stone" (the notation čɨs (Срсл., Кл.) = Yug)","ССЕ 217-218. Proto-Yenisseian is the plural form with Ablaut *čəʔ-ŋ, which may indicate a suffixed nature of *-s in singular. Werner 2, 312 *t'ɨʔs; we should note that Werner separates the Arin and Pumpokol reflexes (kes and kit respectively) - in spite of their complete regularity, see КС 156; see discussion under *qeʔs."
 267,"*čoʔ- (~ c-,-ɔ-)", 141,"up, above","tɔʔj; tośa\H6\h, Kur. tośɛ\H6\h 'up(wards)'; Kur. tōśi\H1\h, Bak., Sur. tōśə\H1\h, South. tōś "get up!, stand up!"","čɔʔj; čosej\H6\h 'up(wards)'; čōs "get up!, stand up!"","","","","ССЕ 218. Werner 2, 282 *t'ɔʔj."
 268,"*čok", 142,"axe","tōk, pl. tɔ:ɣə\H4\h (South. tɔɣ\H4\h) 'axe'; tɔgul\H6\h, pl. tɔɣuĺəŋ\H5\h 'axe-handle'","čok, pl. čɔ:\Hh\hk 'axe'; čɔguĺ\H5\h, pl. čɔguĺəŋ\H5\h 'axe-handle'","","","","ССЕ 218. For the second part of the Ket and Yug compound see *ʔuĺ- 'handle'. Cf. also Ket tɔɣa\H5\h tīś / tъuk-tiś\H1\h / tъ̄k-tiś\H1\h, Yug čɔga\H5\h čis 'whetstone' (lit. "axe-stone"). Werner 2, 283 <*t'okə > *t'ogə>."
 269,"*čɔq-", 143,"to run","tɔq-tət\H5\h","čat-tat\H5\h "to trot"","čag-anthak "running", čāganthagākŋ "to run"; hu-čax, hu-čak 'going in, coming in', praet. ī-čōkŋ, imper. ī-čōx","","","ССЕ 218. The comparison is possible if we suppose assimilation in Yug  (čat-tat < *čaq-tat), and a secondary initial č- in Kottish (as in čagal 'sleep' together with ha-čāgal 'spend a night', šagal 'night camp', see КС 154). Werner 2, 276 *t'oqtət."
 270,"*čɔŋ-", 144,"to catch","","dat́anūabet́ (Кастр.) "catch, hunt", praet. dat́anuōrbet́, imp. at́anūarget́","ačaŋ "catching"; ačaŋākŋ "to catch", praet. ačaŋolōkŋ, imp. ačaŋālček; ačanthākŋ "fangen", praet. ačantholōkŋ, imp. ačanthālček, pass. ačantholāʔuki","","","ССЕ 218. Werner 2, 275 notices correctly that Ket. tɔŋ-tet\H6\h 'catch' should be separated from the above forms - being directly derived from PY *t-ɔp- q.v. sub *ʔɔp-."
 271,"*čur-", 145,"copper","tuĺä (Кастр.) "copper"","","šur (Бол.) "ore"","","","ССЕ 218-219. This Ket-Kott. parallel seems completely regular, but is not mentioned in Werner 2, 286 (where for tul'a only a reference to a very dubious Shor-Ket comparison from Чиспяков 1976 is given). Kott. šur 'ore' is mentioned in a strange context: it is compared with Arin (Лоск.) teminkur 'ore' (Werner 2, 258), but no reconstruction is given, and a remark is added: "vgl. kot. (H) šur ds., obwohl es die Grundbedeutung 'Blut' gibt". Kott. šur 'blood' is quite a different word (see *sur), while teminkur is a transparent compound with Turkic temir 'iron' as the first component. Actually, Arin -kur could in fact be a development of *čur (with the same development as in *čɨʔs > kes 'stone'), but this etymology can hardly be considered definitive as yet."
 272,"*daʔr\L1\l", 926,"sinew","daʔĺ, pl. daĺeŋ\H5\h (кур. daĺəŋ\H5\h)","daʔr, pl. darɨŋ\H5\h","tal, pl. tálaŋ "Sehne, Faden"","","","ССЕ 219. Werner 1, 179 <*daʔλ>."
 273,"*daʔŋ (~ʒ-)", 146,"tasty","daʔŋ (КРС)","daŋ","","","","ССЕ 219. Werner 1, 179."
 274,"*dagV (~-G-)", 147,"bat","","","tagála (М., Сл., Кл.); Ass. tagalá (М., Сл., Кл.)","","dágo-úte (Сл.)","ССЕ 219. In Ket cf. (КРС) tʌguĺop, toulop, tʌgulep, tʌgɨĺop 'weasel' - although initial t- is irregular (analogy with ta:ĺ 'otter'? or a reinterpretation as *təga(L)+koʔp lit. "breasty chipmuck"??; Werner 2, 296 suggests an unidentified tʌ- + *kulVp 'ermine' ). An interpretation of Костяков 1981 (derivation from *dōq- 'to fly') is also not excluded."
 275,"*dam-χuχ",   0,"window","dö́mbok (М., Сл.)","xamgok, pl. -ŋ (Кастр.)","tamuk, pl. tamūnaŋ; Ass. (Бол.) tuma[], (М., Сл., Кл.) tamú, (Кл.) tamuk","tímquj (М., Сл., Кл.); (Лоск.) timkuj","dámkuk (Сл.)","ССЕ 219. A compound; the second compounent is *χuχ 'hole' (q.v.). The first component is unclear: perhaps we are dealing with a corrupted *daŋ-χuχ, where *daŋ is an archaic plural of *de- 'eye'  (i.e. "eye-hole"). One should note that the Yug form underwent an assimilation:  *damχuχ  > *χamχuχ > xamgok. Werner's (2, 235-236) explanation as "arrow" (see *dVm) + "hole" could help explain the Yug form as *qäm (another kind of arrow) + "hole", but I really cannot see why a window should be called "arrow-hole"."
 276,"*däq",   0,"to shoot","h-daq, k-daq","","f-o-tek-ŋ 'I shoot'","","","ССЕ 219. Г. Старостин 1995, 170. Werner 1, 309 reconstructs *p\Hh\h...daq, but says that the meaning 'shoot' "entsteht erst durch das h-Determinativ". This is not completely true, because the combination of *däq with the k-preverb has the same meaning in Ket (see Werner 1, 399)."
 277,"*deʔG",1130,"lake","dɛʔ, pl. dēŋ","dɛʔ, pl. deŋ","ūr-tēg, ūr-tēx, pl. ūr-takŋ; асс. urtek (Бол.), urtég (М., Сл., Кл.)","kur-t́ú (М., Сл., Кл.); (Лоск.) kur-tük","dánniŋ (Сл.) (plural form)","ССЕ 219. Kott. and Arin reflect a compound with *xur(a) 'fluid'. Werner 1, 185 <*degə / *deʔə>. [NB: Werner also lists Ar. dalaj 'see' analyzed as "da + laj, vgl. ar. H laj 'Sumpf'" - an obvious mistake, because dalaj is a transparent Mong. loanword]."
 278,"*de(ʔ)n", 930,"nipple, milk","","","ten, pl. tanaŋ "nipple"","téŋul (М., Сл., Срсл., Кл.) "milk"","den (Сл., Срсл., Кл.) "milk"","ССЕ 220. Ar. teŋul < *ten + kul 'nipple' + 'water' (см. *xur\L1\l). Werner 2, 258 *den."
 279,"*de-s", 148,"eye","dēś","des","tīš, асс. teš, tiš","ti-eŋ","dat","ССЕ 220. The root proper is *de- (cf. the Arin form representing an original pluralm as well as Kott. te-gan, te-kan 'light' = 'eye' + 'light', see *gəʔn); the final *-s is a singulative morpheme (cf. -sa in *xu-sa 'one', as well as *pa 'time(s)' : *pa-s 'one time'). Werner 1, 187 <*det' / *des>."
 280,"*dəʔər\L1\l-", 149,"powder; dirt","dʌ:ĺ\H3\h powder (flour) made of ground fish ('порса')","dʌ:\Hh\hr\H4\h id.","taran 'dirt'","","","ССЕ 220. Werner 1, 215 <*dəʔəλə / *dəgəλ>, doubting the attribution of Kott. taran."
 281,"*dəʔq-", 150,"quickly","dʌqtə\H5\h (Werner 1, 216: də̄qta\H1\h)","dʌхtɨ\H5,6\h","","","","ССЕ 220. Possibly an old formation with the prefixed *d-; without this element cf. *ʔəʔq-pVs "suddenly". Werner 1, 216."
 282,"*dəʔq-", 151,"to live, life","dʌʔq","dʌʔx // dʌʔq","","","","ССЕ 221. Werner 1, 215."
 283,"*dəq- (?*dək-)", 865,"to fall","dʌkŋ\H5\h, South. dъ̄kŋ\H1\h / dʌkŋ\H5\h (but Werner 1, 213: dʌqŋ); t...daq (Werner 2, 224)","dʌkŋ (Werner 1, 213: dʌ:\Hh\hχ / dʌqŋ); t...daχ (Werner 2, 224)","","","","ССЕ 221. Werner 1, 213 <*dəq / *dəʔəGə>; the correct variant is probably with the uvular. There may be some confusion with *dōq- 'fly, jump' q.v."
 284,"*dək(V)-keʔt",1207,"Nenets (юрак)","dʌkkɛt\H5 \h(Kur.), Bak. dъ̄ɣət, pl. dъ̄dəŋ","dʌjgit\H5\h","","","","ССЕ 221. Werner 1, 212 (without reconstruction)."
 285,"*dəĺi",   0,"willow","dʌĺ-okś\H5 \h(Kur.), pl. dъ̄ĺiɣit\H1\h; Bak., Sur. dʌĺit\H5\h / dʌĺɣit\H5\h, pl. dʌĺit\H6\h / dʌĺɣit\H6\h; South. dʌĺɣit\H5\h, pl. dʌĺɣit\H6\h; cf. Imb. dʌĺɔ́ ( < dʌĺɔ:\H3\h) "willow wood"","dъ̄ĺ-git\H1\h, pl. dъĺgat\H1\h","tīli, *tīle, *tīĺe, pl. tīlaŋan "Weidengebüsch"","tal-set (Лоск.) "willow"","","ССЕ 221. The word is most probably of Turkic origin: cf. PT *dāł 'willow, branch' (VEWT 457)."
 286,"*beʔV ( ~ -G-)",   0,"dam, device for catching fish","baŋ-ba, śig-ba, dɔ:-bə 'various devices for catching fish'; bʌ:\H3\h 'a place close to the shore, overflown in spring'","be\H1\h / bē\H3\h 'a device (trap) for catching fish'","","","","Werner 1, 119 *begə."
 287,"*dən-",   0,"dragon-fly","dʌndi\H5\h / dъ̄ndi\H1\h / dъ̄nt\H1\h","dʌnabʌj\H6\h, pl. dʌnabʌjeŋ\H5,6\h","","","","ССЕ 221. Werner 1, 216 *dənə."
 288,"*də̄j-",   0,"to touch, jiggle","dʌ:ji\H4\h, Bak., Sur. dʌ:jə\H4\h / dʌjə\H4\h, South. dʌj\H4\h; КРС, Werner 1, 211 dʌj / nʌj","nʌ:\Hh\hj / dʌ:\Hh\hj","","","","ССЕ 221. The variant with initial *n- is unclear and probably secondary. Werner 1, 212 <*dʌʔəjə / *nʌʔəjə>."
 289,"*də̄ń-", 547,"willow bark","dʌ:ńi\H4\h; Bak., Sur. dʌ:ńə\H4\h / dʌńə\H4\h; South. dʌń\H4\h; pl. dъ̄ńeŋ\H1\h","dʌ:\Hh\hń, pl. dъńeŋ\H1\h","","","","ССЕ 221. Werner 1, 213 <*dəʔən'ə>."
 290,"*dɨʔ", 152,"hat","dɨʔ, pl. dɨ̄ńeŋ\H1\h","dɨʔ, pl. dɨnɨŋ\H1\h","te, ti, g. tei, tī, pl. tekŋ","teu (М., Сл., Кл.), tügn (Лоск.)","taj-s (Сл.)","ССЕ 221. Werner 1, 219."
 291,"*d[ɨ]k-", 153,"to stand","dikkən, dīkken (Доннер)","dɨgej\H6\h 'standing, on one's feet'","d́atekŋ, *d́ätekŋ, praet. alatekŋ, imp. altek; Ass. játɨken (М., Сл., Кл.) "I stand", jatɨ́xu (М., Сл.) "you stand"; jatɨ́kendon (М., Сл.) "he stands, we stand, you (pl.) stand", jatɨken "they stand"","at́aŋ (Кл.) "I stand"; (М., Сл.) ät́aŋ "I stand", ät́aŋtaŋ "we stand, they stand"","","ССЕ 221. Werner (2, 257, 1, 217) for some reason separates the obviously connected Yug and Kottish forms; one cannot agree with the comparison of Kott. -tek- and Ket -dɔq- 'stand (on water, without motion)' and the resulting reconstruction <*dəq> - because Ket -dɔq- has a perfect match in Kott. -čakŋ-, see *ǯɔq(ŋ)."
 292,"*dɨl- (~ʒ-)",1245,"a delved boat","dɨĺti:\H3\h / dɨĺĳ\H6\h","dɨltĳ\H6\h","","","","ССЕ 222. The second part of the compound is undoubtedly *t[i]χ- 'boat' q.v.; the meaning of the component dɨl- is unclear (formally translated as "child-boat" - thus also in Werner 1, 217 - but this may well be a folk etymology)."
 293,"*dɨna- (~ʒ-)",   0,"next (year)","dɨnas\H6\h","dɨnas\H5,6\h","","","","ССЕ 222. Probably correctly treated in Werner 1, 218 as d- (possessive prefix) + ɨn 'two'+ -aś 'attributive suffix' - thus properly *d-xɨna-."
 294,"*dɨńe", 154,"fir tree","dɨ̄ń, pl. dɨńń\H5\h","dɨn, pl. dɨnəŋ\H5\h","tīni, *tīńi, pl.tīnaŋan; (Бол.) tini; Ass. (М., Сл., Кл.) tin, (Кл.) tunu "fir, spruce (пихта)"","tin (М., Сл., Кл.) "spruce (пихта)"; ? (Лоск.) istigen "fir"","dɨ́ńe (Сл.) "spruce (пихта)"","ССЕ 222. Werner 1, 219."
 295,"*doʔn", 155,"knife","dɔʔn, pl. dɔńəŋ\H5\h; dɔnul\H6\h, pl. dɔnuləŋ\H5\h "knife shaft" (South. dɔnuĺ\H6\h, pl. dɔnuĺəŋ\H5\h)","dɔʔn, pl. dɔnɨŋ\H5\h; dōndi\H1\h, pl. dōndin "sheath"","ton, pl. tōnaŋ; tonol, *thonol, pl. tonōlaŋ "Scheide"; Ass. ton (М., Сл., Кл., Бол.)","ton (М., Сл., Кл.); (Лоск.) togon","","ССЕ 222. Interesting is the Arin variant togon,  possibly reflecting the articulation of -ʔ-, usually not registered in Arin. Werner 1, 203."
 296,"*doʔob- (~-ɔ-,-G-,-χ-)", 156,"a device (trap) for catching fish","dɔ:və\H3\h, pl. dɔvĳ\H6\h; Б, С dɔ:bə\H3\h, pl. dɔbĳ\H6\h","","","","","ССЕ 222. Werner (1, 119) analyzes the word as *ǯ[e]χV 'to hew' + *beʔV 'device for catching fish' - which is probably correct and would change the reconstruction to *ǯ[e]χV-beʔV."
