NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
989|*pē-|to appear|0||||||pēp- (pēt-) "to appear, (sun) to rise"|pēp- (pēt-) "to appear, come out, (sun, moon) rise"|pēk- (pēt-) "(sun) to rise"||pēp- "to start to go out"|Also Parji \Ipēpip-\i (\Ipēpit-\i) to cause to come out, vomit; Gadba̲S3 caus. \Ipēpp-\i||4382
990|*pēn|louse|1252|pēn (pl. -kul)|||pēn|pēn|pēni (pl. pēnul)|pēn (pl. pēnil)||||||4449
991|*pēnḍ-|to twist|1275||||pēnḍ- "to twist, twine (rope)"||pinna (?) "bund of field"|||||||4160
992|*pic-|mad|1256|||||pisak|||||piceṭe "mad woman"|||4142
993|*pīc-, *pic-k-|to crush, knead|1284||||pijg- "to knead"||pīk- "to crush"|piskolp- (piskolt-) "to squeeze"|pīc- "to milk"|||Also Parji \Ipīc-\i to grind||4135
994|*piḍ-|bundle|1261|piḍia "bunch, small bundle"|||||piḍk- "to embrace"|||||||4148
995|*pid-k-|to press|1258||pidk-|||||||||||4165
996|*piḍ-|seed|0||||||piḍka (pl. piḍkel) "seed, single grain"|||||||4153
997|*piḍ-|behind|1262||||||piḍtel "behind, after"|||||||4146
998|*pik-|calf (of leg)|1266||pikka "calf of leg"|||||pika "calf of leg"|||pika kāl "foreleg"|||4128
999|*piL-|girl|1269|pilla "baby, daughter, woman"|||pilla "girl, daughter"|||||||Also Kolami \Ipilla pedda\i females and males||4198
1000|*pil-|shell|0||||||piloṭ "shell of crab"|||||||4196
1001|*piL-|to thunder|1270|||||||||pilup- (pilut-)||||4195
1002|*pilpul|butterfly|1267|||||pipuli|pilpili|||||||4083
1003|*pinc-|peacock's tail|1274|||||pika (?) "feather, peacock's tail"|||pince "tail of peacock"|||||4226
1004|*pinḍ-|flour|1272|||pinḍī|||||||piṇḍi|||4162
1005|*pinḍ-|insect, fly|0|||||pinda/pinde (pl. pindel) "ant"|pinda "fly"|pinde|pinḍake (pl. -r) "fly"|||Also Salur \Itimuk pinḍake\i a kind of bee||4169
1006|*pin-|after|1273|pena "in addition"||||pinne(n) "day after tomorrow"|piŋge, (S) pidne "day after tomorrow"|piṭne "day after tomorrow"||||||4205
1007|*pin-|to be broken|0||||||pin-|pun-|pun-|||Also Parji \Ipinip-\i (\Ipinit-\i) to break (tr.); Ollari \Ipunup-\i (\Ipunut-\i), (S) \Ipunk-\i (\Ipunt-\i) to break (tr.)||4206
1008|*pinǯ-|berry|1271||||||||||pinje "small young berry"|||4145
1009|*piṛc-|squirrel|0||||||piṛca|||||||4189
1010|*pir̲-|buttock|1259|pirra "buttock, anus"|||pirra|pirtun "at the back, after"|||pirral (pl. pirrasil)||piral|||4205
1011|*piṛg-|intestines|1281|pēgul "(pl.) intestines"||pegū (pl. pegūl)|pēguḷ|pig(g)u "intestine"|piṛul, piṛuvul "(pl.) smaller intestines"|puṛug (pl. puṛgul) "stomach, intestines"|puḍḍug (pl. puḍgul) "stomach"||puḍg (puḍug) "stomach"|Also Gadba̲S3 \Ipuḍgul\i intestines||4193
1012|*pir-g-|to open|1277||||||||||pirg- (pirig-) "to open (like a flower)"|Also Gadba̲S3 \Ipirukp-\i to open (tr., like a book, packet)||4176
1013|*pisk-|sparrow|1278||||||||||piske|||4190
1014|*piṭ-|bird|1283|piṭṭa "(P) bird"|piṭṭe "young bird, chick"||piṭṭa||||||piṭoḍe "sp. nightingale"|||4154
1015|*pit-|miser|0||||||pitey|||||||4144
1016|*pitur|crumbs|0||||||pitur (pl. -kul) "crumbs, scattering of food"|||||||4132
1017|*pij-|chick|0|||||piyoṭe||||||||4173
1018|*piL-|to crack|1268|pēl- (pēlt-) (?) "(grain) pops when parched over fire"|||||pil- "to crack (intr.)"||pili cen- "to be cracked, broken (as a wall)"||pēlsap- "to explode" (?)|Also Kolami \Ipēlip-\i (\Ipēlipt-\i) to make (grain) to pop; (?) Parji \Ipiḍ-\i (\Ipiṭṭ-\i) (boil)  bursts, (fire) splutters, explodes; \Ipiḍip-\i (\Ipiḍit-\i) to make to burst, (hen) hatches eggs,  pop rice; \Ipinḍp-\i (\Ipinḍt-\i) to break, extract (tooth)||4194
1019|*pī|excrement|1286|||pīya "dirt, night soil"|pī||pī|pī|||piyu|||4210
1020|*pīd̲-|to squeeze, milk|1285|||||pīd-|pīd-|pī(y)- "to milk"||||||4231
1021|*pī-|to pour|1310|||paiyeng||pī-||||||||4407
1022|*pī-|to live|0||||||pī- (piñ-)|pī-|piy- (piṭ-)|||||4186
1023|*pīk-|to pull out|1287|pīkeng "(Pat.) to uproot"|||pīk-||||||pīkap- "to pull, pluck"|||4212
1024|*pīnḍ-|to squeeze|1280|pīnḍ- (pīnḍt-) "to squeeze, milk"||pinḍ-, pīnḍ- "to squeeze, milk"|pīnḍ- "to milk"|||||||||4183
1025|*pīnig-|corpse|1290||||||||pīnige|||||4157
1026|*pīr|straw|1291||pīri|||pīri|pīr "grass, straw"||pīr(u)|||||4225
1027|*poc-|rind, husk|0||||||pocid "rind, husk, shell (of egg), pod, serpent's slough"|||||||4384
1028|*pod|sun|1326|pod|||podd|pod "sun, day"||||||||4559
1029|*pod-|mother/father-in-law|1294|podal (pl. podasil) "mother-in-law"|||podaḷ "mother-in-law"|podn (pl. podl) "father-in-law"|podal (pl. podacil) "wife's elder sister"||pōdal "mother-in-law"|||Also Naiki \Ipod/d/a\i mother-in-law; Parji \Ipodid\i (pl. \Ipodinkul\i) wife's elder brother; Salur \Ipodunḍ\i father-in-law||4508
1030|*poḍ-|to bark|0|poḍ- (poṭṭ-) "(dog) barks"|||poṛ-|||||porp- (port-)||Also Kolami \Iīsa poḍ-\i to whistle||4254
1031|*poḍ-|long|1303|poḍam "long (of a jump)"||poḍām "tall, height"|p(h)oḍḍam "length, height"|||||||||4484
1032|*pod-|thing|0||||||poddu "thing, item"|||||||3919
1033|*podm-|udder|1298|||poḍum "udder (probably mistake for \Ipodum\i)"|||||podmu|||||4503
1034|*podul|flour|0|||||podil|podil, por, poyl "flour, husk dust"||poddūl|podul||||4506
1035|*pod̲-|high, up|1300|pode "high, up, the top"|||pode "top; on"|por "hill; the top"|podi "top, above"|poyta "top of something; on, upon"||poypol "roof"|poytan "above, over"|Also Kolami (Haig) \Ipōdēlāŋ\i west; Naiki \Iportal\i from above; \Iportun\i above; Parji \Iil podi\i roof||4567
1036|*pog|smoke|1309|pog "smoke, tobacco"|||pog|||pog|pōgu||pōgu|Also Salur \Ipogasur\i soot; Gadba̲S3 \Ipōga\i tobacco; \Ipogḍ-\i (\Ipoguḍ-\i) to fill with smoke||4240
1037|*pok-|mahua flower|0||pokke|pokke "flower"|pokke|||||||||4461
1038|*pok-|to speak|1311||||||pokk- "to speak, tell"|pok- "to say"|pokk- "to say, tell"|||||4233
1039|*pok-, *bogg-|hole|1385|pokka "ditch, grave"|||pokka "hole, cave"|||||boŋga||Also Kolami (Pat.) \Ipokor\i hollow; \Ibogga\i small hole, perforation; Naikri \Ibogga\i hole|Several different roots.|4452
1040|*polam|field, village|1312|polam "(Br.) field"|||||polub (pl. polbul) "village"|polub "village"|pollūb "village"|||||4303
1041|*poḷ- (*-l-)|husk; chaff|1316||||pollē "husk"||pol "chaff"||||pollu "husk"|Also Parji \Ipolka\i hollow; hollowness, unsubstantially||4562
1042|*pol-|hissing|1314||||||polla "noise, hissing of snake"|||||||4304
1043|*pom-|breast|1877|pamme|||pamme|pomme "breast, teat"||||||||3935
1044|*pokn-al|pigeon|1308||pōlg "green imperial pigeon"||||pōnal "green imperial pigeon"|||||||4454
1045|*poṭ|husk|1332|poṭṭa "(Basim) husks"|poṭṭ "skin of fruit"|||||(?) ponḍ "chaff"|(?) ponḍu|||||4491
1046|*porc-|earring|0||||||porca "lower earring"|||||||4545
1047|*por-|to cover|1340||porkip-|porkip- "to cover, close"|porkip- "to cover, lay (cloth) over"|||||porege "loincloth"||||4590
1048|*por-|to get|1322||||||porc- "to get, hit"||pōrc- "to be found"|||Also Salur \Iporc-\i to be got, obtained||4541
1049|*por-|leaf; bush|0||||||porra "bush, shrub"|||pore "leaf"||||4546
1050|*pōr-|to be angry|1341|||||||porup- (porut-) "to become angry"|pōr- "to abuse, scold"|||||4540
1051|*poṛ-|to flow|1872||||||poṛp- (poṛt-)|||||||4556
1052|*poṭ|clapping, snapping|1333||||||poṭ "clapping of hands, snapping of fingers"|poṭ "snapping of fingers"||||||4490
1053|*poṭ|back|0||||||pot "upper part of back"|poṭ, poṭtel|||poṭṭu|Also Parji \Ipottel\i back||4514
1054|*poṭ|grain|0||||||poṭ "grain in embryonic stage"|||||||4482
1055|*poṭ-|eyelash|0|kan boṭṭa "eyebrow"||||||poṭa||||||4486
1056|*pot-|a k. of garment|0|pot "(SSTW) sari"|||||bodgid "a short loincloth"|||||||4515
1057|*pot-|bee, insect|0|potte "any winged insect, bee"|||potte "large flying insect"||potta "(S) large insect"|||||Also Kolami \Isurunt potte\i bee||4518
1058|*poṭ-|belly|1334|poṭṭa|||poṭṭa|poṭ(ṭ)a|poṭṭa|||||||4494
1059|*poṭ-|blister|1331||||||poṭka "pimple"|||poṭ- "to blister"||||4496
1060|*pot-|bladder|0|poti "urine bladder"||||||||||||4516
1061|*pot-|twig|1328||||||pottid|||||||4587
1062|*poṭ-|scorpion|0||||||||poṭṭe|||||4488
1063|*pot-p-|chisel|1330||||||potpa, poppa "a chisel"|||||||4452
1064|*poj|hearth|0|poy||ponī̆ḍ- "to fry (?)"|poy "hearth, fireplace"|||||||||4537
1065|*poŋ-|to swell|1336|poŋg- (poŋkt-) "to boil over"|||poŋg- "to expand"|phugay-||||||Also Kolami \Ipoŋgip-\i (\Ipoŋgipt-\i) to make to boil over; (Pat.) \Ipoŋgipt iḍḍeng\i to exaggerate; Naikri \Ipoŋgip-\i to cause to expand||4469
1066|*poŋ-|to float|1387|||||||poŋor "act of floating"||||Also Ollari \Ipoŋor er-\i to swim, float||4471
1067|*pōḍ-|fight|1302||||||||pōḍu|||||4252
1068|*pōk-|betel|0|pōke "(Pat.) betel"||||||||||||4048
1069|*pōk-|prodigal|1338||||||pōkub "a prodigal"|||||||4574
1070|*pōl-|to finish|0||||||pōl- "to finish, complete"|pōl- "to finish, complete"||||||4598
1071|*pōnd-|to swim|0||||pōnd-|||||||||4522
1072|*pōṛ-|to split|1345||||||pōṛ- "to split, cleave"|||||||4599
1073|*pōr-|heap|1342|||||||||pōrp "heap, stack of grain"||||4591
1074|*pōt|cock|1346|pōt|||phōt||pōt "male of birds"|||||||4586
1075|*pō̆r-|to brood|1343|poreng "(Pat.) to brood"|||||pōr- "(hen) hatches eggs"|||||||4538
1076|*puc-|to pull out|1368|pus- (pust-) "to pull, pull out, take off (clothes)"|pus- (pust-) "to bring out"||pus- "to pluck, take, remove"|puc(c)- (pust-) "to take out something, pull out"|pucc- "to extract, take off"|puskir- "to put off (clothes)"|pucc- "to pull out, remove"|pusk- "to take out something, pull out"|puc- "to take out"|Also Parji \Ipuyk-\i to pull out, pluck||4281
1077|*puḍk-|to touch|1349|puḍk- (puḍukt-)|||puṛk-|||||||Also Kolami (Pat.) \Ipuḍkeng\i to feel by touch||4251
1078|*pug-|blister|1306|bugga "bubble"|pokk|||poponḍel "bubbles"|pova (pl. povel)|||||||4455
1079|*pul-|tiger|1351|pul (Haig, Hislop)|pul, perpul|perpul|pul|pul(a)||berpul|pullu (pl. pulkul), berbullū (pl. berbulkul)||pulu|||4307
1080|*pul-|sour|1355|pulle||puliy- "(teeth) are on edge"|||pul, puldi, pulla, pullaṭ||pullā|||Also Parji \Ipulp-\i (\Ipult-\i) to turn sour||4322
1081|*puḷ-|to become grey|1356|puls- (pulust-) "(hair) becomes grey"|||puḷs- "(hair) becomes grey"||pulc- "(hair) becomes grey"|||||||4325
1082|*pun|boil, wound|1360|pun (pl. punḍl) "wound, pussy sore"|||pun (pl. punkuḷ)|pun "wound"||||||||4268
1083|*pun-|to know|1359||pun- (punt-)||||pun- (pund-, putt-)|pun- (pres.-fut. puy-)||||||4344
1084|*pun-|new|1369|||||puni|pun|pun|punc|||||4275
1085|*pur- (*-ṛ-)|to fill, bury|1380|pur- (purt-) "(hole) becomes filled in"|||purp- "to bury"|||||||Also Kolami \Ipurip-\i (\Ipuript-\i) to fill in (hole)||4376
1086|*pUr-|to tame, rear|1324|||purāy- "to tame, maintain"|||porip- (porit-) "to rear, foster"|||||||4283
1087|*puṛ-|worm, insect|1365|purre "worm"|||purre "worm"|pur(r)e|puṛut (pl. puṛtil) "worm"||puḍut "insect"|||||4312
1088|*purk-|timid|0||||||purki "(S) timid"|||||||4200
1089|*purn-|bone|1362||||purni|||pūn|iṇḍmul pūn "backbone"|||||4299
1090|*puruḍ|delivery of a child|1363||||||||||puruḍu|||4290
1091|*pus-|to hiss|0|puskarileng "(Pat.) to hiss"||||||||||||4246
1092|*put-|to cut|0|put- (putt-) "to cut in pieces, pluck (flower), break (rope)"|||put- "to cut, pluck"|put- "to be cut, break (intr.)"||||||Also Naiki \Iputuk-\i to cut to pieces||4277
1093|*puṭ-|to be born|1371|||puṭṭ-|puṭṭ-||puṭṭ-||puṭṭ-ēr-|||||4264
1094|*puṭ-|small|1372||||||piṭit "little"||puṭṭi|||||4259
1095|*put̲-|white anthill|1370||puṭṭa||puṭṭa||putkal (pl. putkacil), (NE) puṭkal|puṭkal||||Also Parji \Iputta\i, (NE) \Ipuṭṭa\i nest inside anthill||4335
1096|*puj|lac tree|1382||||||puy "Schleichera trijuga"|||puy marin "Schleichera trijuga"||||4348
1097|*pujil|ploughshare|0||||||puyil|puyul||||||4282
1098|*pū|flower|1376|puv|pūta||pūta||pū (pl. pūvul)|pū (pl. pūl)|puvvu|||Also Parji, Ollari \Ipūp-\i (\Ipūt-\i) to flower, blossom; Salur \Ipūk-\i (\Ipūt-\i) to flower, blossom; \Ibūm pinḍake\i bumble bee||4345
1099|*pūnd-|to solve|0|pūnd- (pūnt-) "to solve (riddle), win (contest)"||||||||||||4364
1100|*pūnd-|yoke|1379||||||||||pūndu "yoke of a cart"|||4361
1101|*pūn-|large basket|0||||||pūna|||||||4380
1102|*pūr-|peacock's tail|1383||pūrage||||pūril "(S) (pl.) peacock's tail feathers"|||||||4367
1103|*pūs-|necklace|1381|pūsa|||pūsa "bead"|||||||||4350
1104|*ramp-|uproar, vociferation (expr.)|0||rampam "uproar, commotion"||||ran ban "disorder"||||||Expressive root.|489
1105|*rāḍ|peg|0|||rāḍ, rāl||||||||||211
1106|*rāg-|parrot|0||||rāghok|rāgo||||||||5164
1107|*rā-k-|to rub|58|||rāk- "to rub teeth, wash"||||||||||228
1108|*rāl-|to fall|59||rāl- (rāṭ-)|rāl- (rāṭ-)|rāl- (rāṭ-) "to fall out"|||||||Also Kolami̲SR \Irāp-\i to fell; Naikri \Irālp-\i to make to fall out||233
1109|*rāv-|pipal|0|rāvi "Ficus religiosa"||||||||||||202
1110|*rā-ŋ-|to be possessed|1388|rāŋg- (rāŋkt-) "to be possessed by (a god)"||||||||||||5165
1111|*reḍ-p-, *reḍ-k-|wing|1391|reḍapa, (P) reṛapa||reppā|rekka, reppa||rekka "(S) wing"|||||||2591
1112|*rek-|leaf|1389|rekka||||||||||||5173
1113|*rep-|eyelid|1392|kanḍ-repa "(Br.) eyelid"|||kanḍle reppa "eyelash"|||||||||5169
1114|*rejj-a|shrimp|1390||||||rēḍa||reyya "shrimp, prawn"|||||517
1115|*rēŋ-a|Zizyphus jujuba|1822||rēŋga|reŋā|rēŋga|rēŋga|rē̃ga||||rēŋ|||475
1116|*rōc-|knife, dagger|0|rōsi "large knife"|rūci "large knife"||rōsi "dagger"|||||||||5179
1117|*r-uv- (*r̲-)|to throw|1663|ruv- (ruvt-)||||||||||Also Kolami \Irusi-\i (\Irusit-\i) id. (< \Iruv-\i + \Isī-\i to give)||719
1118|*ruŋ-|sling|0||||||ruŋgal "(S) sling"|||||||5168
1119|*sak- (*ć-)|straight|0|||sakī||||||||||2747
1120|*sak- (*-ṛk-)|breast; chest|1406||sakk "chest"|sakkā "breast"||||||||||2364
1121|*sak-|cattle|0||||||cakur-tol "cattleshed"||sakkī (pl. -l) "bull"|sakkil "(pl. bullocks)"||||2267
1122|*saḷ- (*ć-)|buttermilk|1455|salla|||saḷa||calla|||||||2411
1123|*sal-nǯil|some relation|1440|sānzin (pl. sālnikul) "younger sister's husband"||saṇmā "mother's younger sister, sister's daughter"|sānikul, sānjin "son-in-law, younger sister's husband"|sanjil "bridegroom"|calñid (pl. -kul) "bridegroom"|salñiḍ (pl. -kil) "son-in-law, younger sister's husband"||||Also Kolami \Isanma\i mother's younger sister||2410
1124|*sand-|to grow|0||||||cand- "to grow up"|sand-|sand- "to grow (plants, etc.)"|||Also Parji \Icandip-\i (\Icandit-\i) to make to grow up, bring up, rear; Ollari \Isandup-\i (\Isandut-\i) to make to grow||2329
1125|*sap-r-|tasteless|1401||||sappe "tasteless, insipid"||capre "tasteless, insipid"|sapre "tasteless, insipid"|saprēṭi, saprā "tasteless, insipid"||sappan "tasteless, insipid"|||2337
1126|*sar-|to drive|0||||||carp- (cart-)|sarp- (sart-) "to drive, chase"|sarc- (sart-) "to chase"|||||2362
1127|*saṛp-|cowdung|1405|||||sanap|carpi|saṛpi|saḍpi|||Also Salur \Isaṛit\i (pl. \Isakkil\i) bullock||2402
1128|*saṭ-|mat|0|saṭṭe "(Pat.) mat"|||saṭṭe||caṭṭa||||saṭṭe|||2311
1129|*saṭ-|shoulder|1456|saṭṭa "shoulder-blade"||saṭṭa|saṭṭa "back"|||||||||2303
1130|*savar-il- (*ć-)|to dress|0|savaril- (savarilt-) "to make oneself ready"||savaril- (savarilt-)||||||||Also Kolami \Isavarip-\i (\Isavaript-\i) to make ready (tr.)||2342
1131|*sav- (*c-)|sweet|1457|savvi|||savad|||||||||2396
1132|*sav-l- (*c-)|to chew|1402|savseng "(Pat.) to chew"|||savs-||cavl-, cal-, (S) calv-||||savl- (salv-, saluv-)|||2334
1133|*saŋk-|armpit|1466|sakka "(P) armpit"|saŋka|saŋkā|sakka||||caŋka||||Irregular \Ic-\i in Salur. The form may be borrowed from Telugu.|2274
1134|*sād̲ (*c-)|six|1441|ār "(Haig.) six"|ār|ār||sādi||||||Also Kolami̲SR \Iārgur\i six persons|Kolami forms are eventually re-borrowings from Telugu. This is proved a) by initial zero, which is never observed in Kolami; b) by \I-r\i (\I*-d\i would be expected).|2485
1135|*sāk- (*c-)|hunger|1442|||||sāka, sak(k)a|cākol "hunger, famine"|||||||2429
1136|*sāl- (*ć-)|to be able|1412|||sāl- "to be able, can"||||||||||2470
1137|*sāḷ-|quail|0|sālē (Haig), sāle (Pusad)|salle||sāḷe|||||||||2480
1138|*sāl-|to weave|0||||||||sāle pinḍake "spider"|||Also Salur \Isāle paṭṭu\i spider-web||2475
1139|*sāj-|to leave|1410|say- (sayt-) "to leave, let go, release"||sāy-|sāy- "leave, abandon"|say-|cāy-|sāy- "to leave, abandon"|sāy key- "to leave, let loose"||sāy- "to leave, heal (intr.)"|Also Kolami \Isasi-\i (\Isasit-\i) to leave (\Isay-\i + \Isī-\i to give); Parji (S) \Icāypip-\i (\Icāypit-\i) to cause to leave, wean; Gadba̲S3 \Isāyupp-\i to heal a wound||2458
1140|*ser- (*c-)|husband's younger brother's wife|1444|||||serutra||||||||2819
1141|*sev-|deaf|0|||sewaḍk||||||||||1977
1142|*sēd- (*ć-)|porcupine|1443||śēd||śēd||cēdir|||sēdel||||2776
1143|*sē- (*c-)|five|1439|ayd||aid||sēndi|cēvir "five men"|||||Also Kolami̲SR \Isegur\i five persons; Parji \Iceyal\i five women; \Icē̃du(k\i) five things; adj. \Icem/n\i|Kolami forms borrowed from Telugu.|2826
1144|*sēpad̲ (*c-)|a broom|1459|sabdi||||sabdi|cēpid|sēpeṭ|cēpēḍ, sēpe||sēpēṭ|||2599
1145|*Siḍḍ-|squirrel|241|siḍḍe|||śiḍḍe|||||||||2518
1146|*sint- (*ć-)|tamarind tree|1424|sitta māk "(P) tamarind tree"||sintā "tamarind"|śitta "tamarind"|||||||||2529
1147|*sir-|to revolve, rotate|741||||||cirḍ- "to turn"||sirl- "to revolve"||sirl- (silr-, silir-) "to rotate"|Also Parji \Icirḍip-\i (\Icirḍit-\i) to make to turn; \Icirḍukuḍ\i circuit, roundabout way; \Icirl-\i to revolve; \Icirlip-\i (\Icirlit-\i) to make to revolve; Salur caus. \Isirlap-\i; Gadba̲S3 \Isilurp-\i id. (tr.)||2684
1148|*sī-|to give|1447|sī- (sīt-)|||śī-|sī-|cī- (ciñ-)|sī- (sīd-, sīy-, sīn-)|sī-|||||2598
1149|*cīm|pus, snot|735|sivk- (sivikt-) "to become rotten"|cīmuṛ "nasal discharge"|simūd "nasal discharge"|śīm "pus"|||||||Also Kolami \Isīm\i pus; Kolami̲Kin \Icirmuṛ\i, Kolami (Pat.) \Isīmuḍ\i ear-wax||1606
1150|*sīm- (*ć-)|ant|252|sīma||sime|śīma|||||||||2623
1151|*sīnd-|date-palm|736||||||cīnd||sīndi|||||2617
1152|*sīr (*c-)|nit|1448|sīr|||śīr|sīrku "(pl.) nits"||||||||2625
1153|*sod̲-|to itch|253||||||cod- (cott-)||soy-|soymur "the itch"||||2865
1154|*so-k- (*c-)|to climb|1429|sok- (sokt-)|||sokk-||copp- (cott-), cokk-|sop- (sot-)||||Also Parji \Icotip-\i (\Icotit-\i) to cause to climb, raise; \Icoppid\i ascent||2828
1155|*Sok-|to possess (spirit)|1430||||||cokk- "to possess (of spirits)"|||||||2870
1156|*sol-|mouth, face|1465|||||salla|||sollu "mouth"||sol(lu) "mouth"|||2664
1157|*solŋgar|fireplace|1450|||||sodgare|colŋgel, congel||soygel|||||2857
1158|*sonḍ- (*c-)|trunk|0||||soṇḍam "elephant's trunk"|||||||||3311
1159|*sond- (*ć-)|earthen pot|0|||sonde||||||||||2844
1160|*sojd-|ant|1422||||||codda||suydi|||||2682
1161|*sōr-|an earthen pot|0||||||cōra|||||||2886
1162|*sōŋ-|to enter|737|sōŋg- (sōŋkt-)|||sōŋ-||cōŋg- "(thorn) pierces"||sōŋg- "to be pierced into"|sōŋ- "to pierce, penetrate"||Also Parji \Icōkip-\i (\Icōkit-\i) to stick into||2876
1163|*sulǯ-|pus|0||||||culj- "(pus) to form"|||suluskur||Also Parji \Iculjukuḍ\i pus||1814
1164|*sum- (*c-)|to buy, seize|0|sum- (sumt-) "to catch, seize, buy"|||sum- "to catch, seize, buy, lay"|sum- "to buy, catch, hold"|cumm- "to seize, catch hold of"|||||||2679
1165|*supar- (*c-)|tamarind|0|||||supar|cupāri (pl. cupārul)|supār (pl. supārtil)||||Also Ollari \Isupārtil\i sour||2672
1166|*surm- (*c-)|silent|0|surmi|||surum|||||||Also Kolami (Pat.) \Isurum aneng\i to be silent; Naikri \Isurmak\i a secret||2678
1167|*sut- (*c-)|to wash|1452|sutk- (sutukt-) "to wash (clothes)"|||sutk- "to wash (clothes)"|sut-, sut(u)k- "to wash (clothes)"||||||||2667
1168|*sutr- (*c-)|nostril|0|||||sutri (pl. -gu)||||||||2669
1169|*sūd̲- (*-d-)|stale|267||sūdi "stale (of cooked rice)"|||||||||||2745
1170|*Saḍ-|footprint|0||||||caḍuŋ (pl. -gul), (S) caḍum "footprint, trace"|||sariŋ (pl. -il)||||2302
1171|*Saḍ-|to strike, beat|220||||||caḍp- (caḍt-) "to strike, beat, hammer"|||||||2300
1172|*Sal-|a k. of ant|0|salli sīma "white ant"||||||||||||2372
1173|*SaL-|early morning|223|||||||||calandi "cold rice serving for breakfast"||Also Salur (P) \Isaldi\i early morning|The form \Icalandi\i borrowed from SDR.|2408
1174|*Sanḍ-|to open|0||||||canḍp- (canḍt-)|sanḍup- (sanḍut-)|||saṇ- (saṇḍ-) "to open (intr.)"|Also Gadba̲S3 \Isaṇp-\i (\Isaṇ/ḍ/up-\i) to open (tr.)||2319
1175|*Sapaṭ|flat|224|sapaṭ "(Pat.) flat"||||||||||||2331
1176|*Sap-|to pour|0|sap- (sapt-) "to pour away water from hand-washing"|||||capp-|||||||2332
1177|*Sar̲|neck|1404||||||car (obl. carr-, pl. cartil)|||||||2419
1178|*Sar̲-|to be torn|1453||||||car- "to be torn (cloth, etc.)"|||||Also Parji \Icarip-\i (\Icarit-\i) to tear||2416
1179|*Saṭ|rock|225||||||caṭ (pl. caṭṭul)|||||||2308
1180|*Saṭ-|to shoot|228|saṭ- (saṭt-) "to shoot with gun"||||||||||||2296
1181|*saṭ-|to roast, burn|0||||||caṭṭ- "to roast, set fire"|saṭ- "to roast"|||saṭ- "to burn"|Also Parji \Icaḍip-\i (\Icaḍit-\i) to boil (tr.)||2312
1182|*Sat-|to kick|167||||||catip- (catit-), (S) cacip- (cacit-) "to trample, kick"|||||||2322
1183|*Saṭv-|ladle|1408|||||||||saṭve||||2309
1184|*Sā-g-|to stretch|170|sāgeng "(Pat.) to stretch (intr.)"||||||||||||2433
1185|*Sāl-|furrow|1411||||||||||sālu "furrow made by plough"|||2471
1186|*Sār-|pancake|0||||||||||sāru|||2465
1187|*Sār̲ŋ|sāl tree|1416||||||cāruŋ|||||||2420
1188|*Sāṭ-|whip|0|sāṭ||||||||||||2443
1189|*Seg|muscle, flesh|0|||||||seg||||||2549
1190|*Sek-|near|1972||||||cekkal|||||||2753
1191|*Send-r-|cloth|1460|||||||||sendra||||2771
1192|*Serk- (*-r̲-)|sugarcane|175|saragurak|||śerak|||||||||2795
1193|*Seṭ-|sickle|0||||||cetal|seṭ|||seṭum kiyb "\iknife used for cutting firewood"|||2756
1194|*SēmP-|to milk|239||||||||||sēmpap- "to become ready to be milked"|||2803
1195|*Sēn-|frost|1419||||||cēna "frost, ice"|||||||2823
1196|*Sēp-al|boy, lad|1990||||||cēpal (pl. cēpkul)|sēpal (pl. sēpakil)|sāpal "boy"|||||2813
1197|*Sig-|tender leaf|212||||||||||sigur|||2489
1198|*Sil-|not to be|1445||||||cila "does not exist (also inflected for gender and number: 3 sg. m. \Icilad\i, neut. \Icila\i, pl. m. \Icilar\i, neut. \Icilav\i)"|||||Also Parji \Icilaka\i without||2559
1199|*Silp-|piece of wood|1463||||||cilpa|||||Also Parji \Icilurka\i (pl. \Icilurkel\i) (S) chips of wood||2586
1200|*Sil-ŋ-|to peel off|1462||||||cilŋg- "to peel off, flake off (intr.)"|||||Also Parji \Icilkip-\i (\Icilkit-\i) to peel off, scale off (tr.)||2585
1201|*Silk-|brook, river|243|silka "(P) river"|||śilka||cilva "brook, rivulet"|||||||2569
1202|*Sim-r-|dragonfly|245|kākasimri||||||||||||2541
1203|*Sin-k-|to drip, drop|182||||||cinkip- (cinkit-) "(S) to drip"||||sinkul "raindrops"|||2520
1204|*Sip-ṛ-|leaf cup|186||||||cipṛi "leaf-cup"|||||||2619
1205|*Sir-ŋ-|black, dark|1446||cirum "very dark"||||ciruŋ "charcoal"|siriŋg "black"|sirŋgaṭi "black"|siriŋ (pl. sirŋil) "charcoal, cinders"|sirriŋ "soot, ashes"|Also Kolami̲Kin \Isindi\i soot; Ollari \Isirŋaṭ\i black, rusty; Ollari \Isirtal\i evening|Impossible to determine the initial consonant because of irregular correspondences.|2552
1206|*Sirk-|to get stuck|179|sik- (sikt-) "to hang (intr.)"|||||cirŋg- "to get stuck, entangled, trapped"||||sikku "entanglement"|Also Kolami \Isikip-\i (\Isikipt-\i) id. (tr.); (Pat.) \Isikkeng\i to get stuck; Parji \Icirkip-\i (\Icirkit-\i) to trap, snare||2498
1207|*Siṭ-|to cut|249||||||ciṭṭ- "to cut, split"|siṭ- "to cut, split"||||||2510
