NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
616|*kamar-|to be singed, burnt, charred; n. singeing, burning, smell of burnt hair, skin, or oil|0|kamaru||||||||Also [1] \Ikamarucu\i, [2] \Ikamarcu\i to singe, burn, char; \Ikamalu\i to be scorched, singed, or parched, be blackened; caus. \Ikamalincu\i||1230
617|*kavŋ-il-|breast, bosom; an embrace|540|kauŋgili||||||||Also \Ikauŋgilincu\i to embrace, hug, press to the bosom; [1] \Ikauŋgilinta\i, [2] \Ikauŋgilimpu\i an embrace||1234
618|*kamp-|bramble; branch of a thorny tree or plant|0|kampa|krampa||||kampa "thorn hedge"|||Also (K., mod.) \Ikar(r)a\i \Ikampa\i id.||1235
619|*kampaṇ-|an administrative division|0|||||||kampaṇamu||||1237
620|*kamb-i|wire|495|kambi||||||||Also \Ikammi\i wire, a bar, the line or border at the end of a cloth||1241
621|*kamb-|Holcus spicatus|0|kambu||||||||||1242
622|*gamp-|basket|364|gampa||||||||||1243
623|*kamm-|a kind of large drop ear-ring worn by women|496|kamma||||||||Also \Ikammi\i nose-ring||1245
624|*kamp-|smell, odour, stink; stinking, fetid|497|kampu||||||||Also \Ikamma\i sweet, delicious, pleasant (in taste or odour); [1] \Ikammana\i, [2] \Ikammãtanamu\i deliciousness of taste or odour, sweetness; \Ikammani\i delicious, sweet, pleasant; \Igabbu\i stink, stench; \Igamagama\i sweetly, fragrantly||1247
625|*gum-|fragrance; fragrantly|0|gumaguma||||||||Also \Igumāyincu\i to spread, as an agreeable odour; \Igubāḷincu\i to emit fragrance, spread as fragrance; \Igubulu\i fragrance; \Igubulu-konu\i to spread as fragrance, emit fragrance||1247
626|*kas-/*cē-|raw, unripe (\Ikasũgāya\i unripe fruit)|477|kasu||||||||Also \Ikasuru\i unripe fruit; \Icē̃du\i (\Icē̃ti-\i) bitterness; bitter||1249
627|*kaj-|fish|480|kakka||||||||Also \Icē̃pa\i id.||1252
628|*cēr̲-|string, cord|481|cēru||||||||Also \Icēr̲u\i, in: \Icēr̲u-kōla\i whip||1254
629|*kasar-|to increase, rise high, be elated|0||||||kasaru|||||1255
630|*kar̲aṭ-|a deceiver, cheat|520|kar̲aṭi||||||||||1258
631|*gar-|clean, neat, tidy, nice|0|garagara||||||||Also \Igaragarika\i cleanness, etc.||1259
632|*garus-|gravel|0|garusu||||||||||1260
633|*garis-|a measure of capacity = 400 marakkāl|0|garise||||||||||1261
634|*gariḍ-|fencing school, fencing|0|gariḍi|gariḍī|||||||||1262
635|*karaṭ-i|bear|511|karaṭi (B)||||||||||1263
636|*kar-|sharp|724|kara||||||||Also \Ikaragasamu\i a saw; \Ikarakasa\i roughness; \Ikarusu\i rough, harsh; harsh words; [1] \Ikar̲aku\i, [2] \Ikar̲uku\i harshness, roughness, sharpness; rough, harsh, sharp; \Igari\i hardness, stiffness, sharpness; (B) \Ikaraṭi\i stubborn, brutish, villainous; \Ikakku\i a notch or dent, toothed part of a saw, file, or sickle, roughness of a millstone||1265
637|*kar-uḍ-|lump, mass, clot|0|karuḍu||||||||||1266
638|*garinṭ-|spoon, ladle|0|garĩṭe|gaṇṭe|geṇṭe||||||||1267
639|*kar-|the small-leaved palm tree|0|kara-tāḷamu (B)||||||||||1270
640|*kar-|a witness|0|kari (B)||||||||||1276
641|*kar-ŋ-|to fade|517|kaggu|||||kaggu|||Also (K) \Ikaŋgu\i to be scorched, be burnt, fade; (K) \Ikrā̃gu\i to be burned||1278
642|*kār-|black, dark colour; season, time of year|752|kāru||||||||||1278
643|*karv-|foetus|513|karuvu||||||||Also (B) \Ikari\i uterus of animals; \Ikarugu\i an unopened ear of corn||1279
644|*kar-ug-|a mould|519|karugu|karuvu|||||||||1280
645|*kar̲-|thought, idea, reflection, imagination, intention|2006|kar̲ada||||||||||1283
646|*karṇāṭ-|the country or language of Karnataka|0|karṇāṭamu|karṇāṭakamu|||||||Also \Ikannaḍamu\i id.; \Ikannaḍi\i an inhabitant of Carnatic||1284
647|*kar̲Vv-|famine, dearth, scarcity|525|kar̲avu|karavu (B)|karuvu (B)||||||||1286
648|*kara-m|much, great, very|0|karamu||||||||Also \Ikrandu-konu\i to be excessive, great or much; to spread||1287
649|*kar-V-|the sound of a bell|516|kraŋgu||||||||Also \Ikrandu\i to sound, ring, lament; n. sound, noise||1291
650|*kar-aŋ-|to melt (intr., tr.), dissolve, liquefy|515|karãgu|||||krā̃gu "to be melted away"|||Also [1] \Ikarãgincu\i, [2] \Ikarãcu\i to melt (tr.), dissolve, liquefy; \Ikarugu\i what is melted, a crucible; (K) \Ikrā̃cu\i to melt (tr.)||1292
651|*kar-|shore, bank|518|kara||||||kar̲iti, kar̲(a)ta, kar̲r̲u "bank"||Also ? \Igarusu\i boundary||1293
652|*kar̲- (*-l̲-)|to learn, study|489|kar̲acu||||||||Also \Ikar̲apu\i to teach; n. instigation, incitement; \Ikar̲apincu\i to cause to teach; \Ikar̲udu\i ability, skill, cleverness; \Ikala\i an art, a science||1297
653|*kall-|stone|488|kallu (\Ipl.\i kanḍlu)||||||||||1298
654|*kal-|to join (intr., tr.), unite, meet, mix, mingle, copulate|721|kalayu|kaliyu|||||||Also \Ikalayika\i joining, uniting, meeting, union, copulation; \Ikalapu\i to mix, join, unite, bring together, reconcile; n. mixing, mingling; \Ikalapamu\i mixing; \Ikalagal(a)vu\i familiarity, intimacy; \Ikalavaṇṭakamu\i boiled rice mixed with several ingredients; \Ikalavuḍu\i to mix, mingle (intr.)||1299
655|*kal-|to accrue (Arden), happen, occur, be produced or caused, be born, be, exist, be able (inscriptional forms with \Il\ị - \Ikaḷgina\i, etc.)|483|kalugu||||||||Also \Ikaligincu\i to cause, produce, effect, bring about; \Ikala\i existing, true, actual, possessing, having; \Ikala-ter̲ãgu\i truth, fact; \Ikala-rūpu\i id., the real state of things; \Ikalaḍu\i exists, is possessed, belongs to; \Ikalimi\i existence, presence, possessions, wealth||1300
656|*kal-|imit. word representing laughter|485|kalakala||||||||Also \Ikalakalamu\i indistinct or confused noise, the hum or buzz of a crowd; \Igalagala\i tinkling of coins, etc.; \Igallu\i a tinkling or clinking sound, jingle; \Ikaḷapeḷa\i sound of boiling||1302
657|*kal-|to be in agitation, confusion, or trouble, be turbid (as any liquid)|484|kalãgu||||||||Also \Ikalãcu\i to stir, agitate, disturb, trouble, make turbid; [1] \Ikalãka\i, [2] \Ikalãkuva\i confusion, trouble, turbidness; \Ikalãta\i agitation, disturbance, dissension, quarrel, strife, turbidness; \Ikalaguṇḍu\i confusion, disorder, tumult, commotion||1303
658|*kalap-|materials for a plough, timber for buildings|0|kalapa||||||||||1304
659|*kal-am|ship|486|kalamu||||||||Also \Ikalamari\i sailor||1305
660|*kal-|confusion, state of being puzzled or perplexed, anxiety|0|kalavaramu||||||||Also \Ikalavara-paḍu/pōvu\i to be confused; \Ikaḷavaḷamu\i confusion, perplexity, anxiety; \Ikaḷavaḷincu\i to be perplexed, anxious||1306
661|*kaluv-|water-lily|0|kaluva||||||||Also \Iceŋgaluva\i red water-lily||1307
662|*kal-|bravery|0|||||||kalitanamu||||1308
663|*kalunǯ-|sluice, flood-gate|0|kalũju||||||||Also (VPK) \Ikaḷiŋga\i sluice||1309
664|*gal-|confusion, noise, disturbance|0|galibili|galaba|||||||||1310
665|*kal-aj-|to be dissolved or broken up (as an assembly)|0|kalayu||||||||||1311
666|*gab-|quickly, swiftly|0|gabagaba||||||||Also [1] \Igabakkuna\i, [2] \Igabāluna\i suddenly; \Igabīluna\i all at once||1320
667|*kav-|pair, couple|726|kava||||||||Also \Ikavalu\i twins; \Ikavvamu\i churning stick||1325
668|*kav-|to hold, seize|538|kamucu|||||kavayu "to embrace, copulate"|||||1326
669|*gam-anam|attention|374|gamanamu||||||||Also \Igamanincu\i to bear in mind, pay attention to||1328
670|*kavn-|waist|0|kaunu||||||||||1331
671|*gav-|cavern|1994|gavi||||||||||1332
672|*kam-ij-|to be crushed|0|kamiyu||||||||||1333
673|*gav-|an offensive odour, stink or stench|0|gaulu||||||||Also (B) [1] \Ikavucu\i, [2] \Ikaucu\i fish-smell, stench||1334
674|*gavd-|the cheek|0|gauda||||||||||1337
675|*gavḷ-i|lizard|376|gauḷi||||||||||1338
676|*gavan-|gate of a fort|0|gavanu||||||||||1339
677|*kappar-|agitation of mind, confusion|0|kapparamu||||||||Also \Ikappara-paḍu\i to be confused, agitated||1340
678|*kav-|aloud (of laughter)|539|kavakava||||||||||1341
679|*gavv-|a cowrie|0|gavva||||||||||1342
680|*kaḷ-uk-|brilliancy|0|kaḷuku||||||||||1346
681|*gracc-|Caesalpinia bonducella, bonduc|0|gacca|gracca|||||||||1347
682|*krāl-|to move, turn round, exist, behave, (K also) shake, tremble, wave (as a banner), wander|529|krālu||||||||Also \Ikrāl(u)gaṇṭi\i a sparkling-eyed woman (translation of Skt. \Icañcala-akṣi-\i)||1349
683|*gaḍḍ-|wet or paddy land|2010|||||||gaḍḍuva-maḍi||Also \Igaṇḍu-maḍi\i id.; \Igaṇḍamu\i a paddyfield||1355
684|*krajj-|canal|0|kayya|krayya|||||||||1359
685|*gāḍVd-|ass|561|gāḍida||||||||||1364
686|*kra-|to spread, extend, overspread, (K also) overflow|1918|krammu|||||kraccu "to surround, overspread"|||||1368
687|*kaḍ-|to wash, scrub, bathe, lave; n. water in which rice or anything has been washed|528|kaḍugu|kaḍgu|kaḍuvu|kaḍvu|||||||1369
688|*gaḍ-|pole, staff, rod, stick, stalk, mast|371|gaḍa||||||||||1370
689|*kall-|falsehood, untruth, lie, fault, deceit; false, untrue, unreal|492|kalla||||||||Also [1] \Ikallari\i, [2] \Ikallarī̃ḍu\i a liar, deceiver, cheat, rogue||1372
690|*kal-|weeds|493|kalupu||||||||Also (VPK) [1] \Ikalvaṭam\i, [2] \Ikalsaḍam\i, [3] \Ikalsuḍu\i act of weeding (from verb stem \Ikalv-/kals-\i)||1373
691|*kall-|toddy, palm wine|490|kallu||||||||||1374
692|*kaṇ-|granary, barn|0|kaṇãjamu|kaṇanjamu|||||||||1375
693|*kaḷḷ-|threshing floor|491|kaḷḷamu|kaḷḷāmu|||||kaḍlāmu||Also \Ikalanu\i war, battle, combat, (B) threshing floor||1376
694|*kaL-|Carissa diffusa|0|kalivi|kalive|kaligi (VPK)|kalimi (VPK)|kaḷive, kalē-kampa (VPK)||||||1377
695|*kal-|the water in which rice has been washed, kept until it ferments|0|kali||||||||||1379
696|*kaḷḷ-|thick phlegm|0|kaḷḷa|||||kaḷḷa, kaḷḷe|||||1382
697|*kaḷḷ-i|milk-hedge, Euphorbia tirucalli|494|kaḷḷi (B)||||||||||1383
698|*gar̲-|crispness, dryness, and brittleness|0|gar̲agar̲a||||||||Also \Igar̲agar̲al-āḍu\i to be crisp, be dry and brittle; \Ikar̲akar̲a\i a harsh grating sound; \Ikarakara\i noise made in writing or chewing||1386
699|*kar̲-|wood, timber; stick, staff|521|kar̲r̲a||||||||||1389
700|*kar̲-|to bite, gnaw|469|kar̲acu||||||||||1390
701|*kar̲-|vegetable of any kind, raw or boiled, offered to deity|523|||||||kariy-amudu||Also (Inscr.) \Ikar̲aluvāru\i persons who bring raw vegetables for the preparation of an offering to the deity||1391
702|*gar̲-|wing, feather|370|gari|||||gar̲i|||Also (VPK) \Igari\i, \I-gara\i a lnng leaf (of millet, corn, etc.)||1394
703|*kar̲-|blackness, a stain, blot; black|522|kar̲a||||||||Also \Ikar̲i\i black; \Ikar̲iya\i black colour; \Ikar̲r̲i\i black||1395
704|*gar̲ik-|a kind of grass, Agrostis linearis|0|gar̲ika||||||||||1397
705|*kanar-|a sort of disagreeable taste|0|kanaru||||||||||1405
706|*kan-|to be angry, burn, give pain; n. anger|501|kanalu|||||kanaru "to grow angry; n. anger"|||Also \Ikanakana\i the glow of fire or live coals; \Iganagana\i glowing, glow, blazing; \Ikanakanam-anu\i, \Ikanakanal-āḍu\i to glow, shine||1406
707|*kal-|dream|503|kala||||||||Also \Ikalãganu\i to dream||1407
708|*kan-|pity, compassion, sympathy|2083|kanikaramu|||||kaniyu, kamiyu "to grow ripe, mellow (as fruit)"|||||1408
709|*kand-|blackness, discoloration caused by scorching, grief; vb. to be scorched, be inflamed (as by a blow), be vexed|499|kandu||||||||||1410
710|*kand-|infant|502|kandu||||||||Also \Ikanduvu\i child; \Ikanu\i to bear or bring forth, beget; \Ikanubadi\i produce; \Ikāncu\i to bear, produce, bring forth; \Ikānupu\i bringing forth a child||1411
711|*kanna-m|hole, bore, orifice, hole made by a burglar in a wall|0|kannamu||||||||||1412
712|*kā-|to guard, watch, tend (cattle, etc.), protect, save, nourish, forgive, expect, wait for|546|kācu||||||||Also \Ikāyu\i to tend (cattle); \Ikāpari\i keeper, watcher; \Ikāpu\i protection, guarding, keeping, a guard; \Ikāpuncu\i to place a guard; \Ikāpuṇḍu\i to keep guard, watch, act as sentinel; \Ikāpāḍu\i to protect, save, guard; \Ikāvali\i guard, guarding, protection, watch, custody||1416
713|*kāv-|yoke or pole with a sling attached to each end, placed upon the shoulder for carrying burdens|562|kāvaṭi|kāvaḍi|||||||Also [1] \Ikā̃ḍi\i, (VPK) [2] \Ikāḍi\i, [3] \Ikāḍimanu\i, [4] \Ikāḍimāku\i, [5] \Ikāṇḍi\i, [6] \Ikāṇi\i, [7] \Ikāni\i, [8] \Ikāvaḍi\i yoke of plough, etc.||1417
714|*kān-|forest|557|kāna||||||||||1418
715|*kāk-|a bivalve shell|1916|kāki cippa||||||||||1423
716|*kāk-|fatigue; contempt; adj. vain, empty, useless|550|kāku||||||||||1424
717|*kāk-/*kāv-|crow|549|kāki||||||||Also \Ikāvu\i caw, cawing||1425
718|*kā(n)k-|the creeping plant Momordica charantia|0|kā̃kara||||||||||1427
719|*kāsar-|Luffa tuberosa|0|kāsara||||||||||1429
720|*gās-|trouble, fatigue, pain|1995|gāsi||||||||Also \Igāsincu\i to harass, vex, fatigue, exhaust; [1] \Igāsilu\i, [2] \Igāsillu\i to labour, be wearied, be harassed||1430
721|*kās-|a cash, a coin in general, a gold coin, money|0|kāsu||||||||||1431
722|*kāc-|catechu|2018|kā̃cu||||||||||1432
723|*kāḍ-|(SAN) rice-water, gruel|0|kā̃ḍi||||||||||1436
724|*kāṭ-|state of being singed or burned at the bottom of a vessel, as rice, etc. when boiled too much|545|kāṭu||||||||Also \Ikāṭuka\i lampblack, collyrium||1437
725|*kāḍ-/*kār-|forest, wilderness, cemetery|560|kāḍu (\Iobl.\i kāṭ-)||||||||Also \Ikāru\i forest; of or pertaining to the forest||1438
726|*kāḍ-|ruin|0|kāḍu||||||||Also \Ikāṭakamu\i famine, scarcity, dearth||1440
727|*kāṭ-|a kind of bird|0|kāṭigā̃ḍu||||||||||1441
728|*gāṭ-|much, great|0|gāṭamu||||||||||1442
729|*kān-|to see|558|kanu (\Iallomorph\i kān-)|kāncu|||||||Also \Ikānupu\i seeing, sight; \Ikānipincu\i to appear, seem; show; \Ikānuka\i gift offered to a superior, present, tribute; \Ikaṇṭãbaḍu\i to appear, be seen, come in view; \Ikanukali\i seeing, sight||1443
730|*kāṇ-|one sixty-fourth part; a quarter of an anna; a cawny of land|0|kāni|kāṇi|||||||||1444
731|*gād-|love, affection; dear, beloved|0|gādili||||||||||1445
732|*kām-|stem, stalk, stick, handle (of axe, hoe, umbrella, etc.), shaft|556|kāma||||||||||1454
733|*kāmp-|a cultivator, farmer; pertaining to the farmer, rustic|0|kā̃pu||||||||Also [1] \Ikā̃pata\i, [2] \Ikā̃pudi\i a peasant woman; \Ikā̃pũdanamu\i the peasantry; \Ikā̃puramu\i dwelling, residence, abode, domicile||1456
734|*kāj-|warmth, heat, anger; warm, hot|548|kā̃ka||||||||Also \Ikā̃gu\i to be heated, grow hot, boil, simmer, be angry; n. large pot, kettle, boiler; \Ikā̃guḍu\i state of being heated; \Ikā̃cu\i to heat, warm, boil; [1] \Ikācu\i, [2] \Ikāyu\i to shine; \Ikā̃paḍamu\i fomentation; \Ikā̃puḍu\i heating; (SAN) \Ikā̃pu\i id.; \Ikā̃pincu\i to make hot; \Ikāvaramu\i pride of flesh, vigour of youth, pride, arrogance, infatuation (= Ka. \Ikāvara\i)||1458
735|*kāj-|to bear or produce (as fruit); be produced (as fruit), be fruitful|547|kācu||||||||Also \Ikāyu\i to bear fruit; \Ikāya\i a green unripe fruit, berry, pod, nut; \Ikāpu\i bearing or producing fruit, fruit, crop|Tel. \Ikācu\i < \I*kāj-cu\i.|1459
736|*kāj-|wart, pimple, corn, callosity|0|kāya||||||||||1460
737|*kāj-|a piece or man in any game|0|kāya||||||||||1461
738|*kār-|saltness; salt, brackish|514|kāru||||||||Also \Ikāramu\i pungency; pungent, acrid, caustic||1466
739|*kār-i|(VPK) brackish soil|0|kāri-nēla||||||||Also \I-kāri\i (second member of place names)||1471
740|*kār-|unbleached|0|kārikamu||||||||||1472
741|*kār-|pincers, tongs|0|kāru||||||||||1473
742|*gār-|Balanites Aegyptiaca|0|gāra||||||||||1475
743|*krā-j-|to spit, vomit|554|krāyu||||||||Also (B) [1] \Igāyu\i, [2] \Igrāyu\i to spit; \Ikāṇḍrincu\i to hawk, clear the throat; \Ikāṇḍrinta\i hawking||1477
744|*kār̲-|to leak, flow, ooze|553|kār̲u||||||||Also \Ikār̲ucu\i to cause to flow or trickle; \Ikārcu\i to cause to flow or fall in drops, pour||1478
745|*kāl-|leg, foot, quarter|551|kālu||||||||Also \Ikālari\i foot-soldier||1479
746|*kāl-|canal, channel, gutter, drain, sewer|552|kālava|kāluva|||||||||1480
747|*kal-|a carriage wheel|0|kalu||||||||Also (VPK) [1] \Igānu\i, [2] \Igālu\i wheel||1483
748|*kāvir-|blackness|0|kāviri||||||||||1489
749|*kāv-i|colour of red chalk, reddishness, a reddish cloth; reddish|563|kāvi||||||||Also \Ikāvir̲āyi\i red chalk, reddle; \Igavarana\i redness||1490
750|*gāṭ-|pungency, acridity|0|gāṭu||||||||||1492
751|*gāl-|fish-hook, an angle, a many-hooked instrument for finding and taking out anything fallen in a well|378|gālā̆mu||||||||||1495
752|*gāḷ-|a clever, ingenious man|0|gāḷakũḍu||||||||||1496
753|*kāḷ-|spittoon|0|kāḷā̆nji||||||||||1498
754|*gāl-|wind, air|377|gāli||||||||Also \Igāḍupu\i wind||1499
755|*kāl-|to burn, be burnt, scalded, scorched, baked|555|kālu||||||||Also \Ikālupu\i burning, setting on fire, baking, roasting; \Ikālcu\i to burn (tr.), set fire to, scald, singe, scorch, char, bake||1500
756|*kar̲r̲-|ploughshare|0|kar̲r̲u|kāru (VPK)|||||||||1505
757|*k(r)ānug-|Indian beach tree|0|kānugu|krānugu (B)|||||||Also (VPK) \Ikānaga\i, \Ikānige\i, \Ikānuga\i, \Ikānga\i, \Ikāngu\i, \Ikānge\i, \Ikāgu\i, \Igānuga\i id.||1507
758|*krikkir̲-|to be crowded, dense, thickset or closeset, occupy fully, leave no space|0|krikkir̲incu|kikkir̲iyu|krikkir̲iyu||||||Also \Ikīkāraṇyamu\i a thick and dark forest||1509
759|*kid-uk-|to fret, be cross on waking from sleep (as children)|0|kiduku||||||||||1511
760|*kiccil-|the orange tree|0|kiccili|kittali|||||||||1512
761|*gicc-|to scratch, pinch|604|giccu (B)|||||giccu|||||1513
762|*cicc-|fire, flame|178|ciccu||||||||Also [1] \Iciccar̲a\i, [2] \Iciccur̲a\i fiery; \Ikittu\i fire|Tel. \Ikittu\i borrowed from some SDR dial.?|1514
763|*ginǯ-|a seed, a grain|0|ginja||||||||||1523
764|*keḍ-a-|to fall or fall over, tumble over|565|keḍayu||||||||Also \Ikeḍapu\i to cause to fall, push or tumble over, throw; [1] \Ikeḍayika\i, [2] \Ikeḍavu\i falling, fall||1524
765|*giḍ-, *giḍ-ēg-|hawk|384|giḍḍu||||||||Also \Iḍēga\i hawk, falcon||1527
766|*kiṭ-uk-|a secret|0|kiṭuku||||||||||1533
767|*giḍ-ij-|a sort of drum|0|giḍiya||||||||||1534
768|*kiṭṭ-|to approach, draw near, agree, suit|605|kiṭṭu||||||||Also \Igiṭṭu\i to be agreeable or favourable, friendly terms or feelings to exist; (B) suit, agree, match or meet, be met, (teeth) are set, attack, meet with; \Igiṭṭani\i inimical, hostile|Probably two dif. roots.|1538
769|*ginṭ-|weaving with a double thread, a thick cloth|0|giṇṭemu||||||||||1540
770|*ginḍ-i|jug, drinking vessel with a spout|386|giṇḍi||||||||||1541
771|*cenḍ-|to cut|596|ceṇḍu||||||||Also \Iceṇḍāḍu\i to cut to pieces||1542
772|*ginn-|cup, bowl, goblet|0|ginniya|ginne|||||||||1543
773|*cind-/*ced-ar-|to be scattered, dispersed, or splashed|590|cedaru||||||||Also \Iciduku\i to spill or run out; \Icindu\i to be spilt or shed, run out of a vessel; spill (tr.), suffer to run over||1546
774|*cind-|fragment, piece; ruin|0|cindar̲a||||||||||1547
775|*cedal-|white ants, termites|729|ceda|cedalu|||||||||1548
776|*gidd-|one-fourth of the sōla measure|0|gidda|gidde|||||||||1553
777|*cim-uḍ-|to overboil (intr.)|0|cimuḍu||||||||Also [1] \Icimuḍcu\i, [2] \Icimuḍucu\i to overboil or cause to boil too much; \Icimiḍika\i state of being overboiled, overboiled rice||1556
778|*cir-|a species of leprosy which causes large round spots all over the body; ringworm|0|ciruguḍu||||||||||1560
779|*cil-|small, slight, despicable|592|cilipi||||||||Also \Icilupa\i slight, little||1571
780|*gil-i|fear, terror|385|gili||||||||||1572
781|*kel-|to sound|591|celãgu|||||kelayu "to rage"|||Also [1] \Ikilārincu\i, [2] \Ikilārucu\i to make a noise, shout|Forms with \Ik-\i should be considered borrowings from Kannada.|1574
782|*cill-|potsherd (\Ipeŋku\i, \Ipencu\i id.)|0|cilla-peŋku|cilla-pencu|||||||||1577
783|*genas-|the root of Dioscorea aculeata|0|genasu|genusu|||||||||1578
784|*krān-|thick buttermilk|0|kānu (B)|krānu (K)|||||||||1580
785|*keral-|to increase, rise, swell|0|keralu|||||genayu "to increase, flourish"|||||1583
786|*cil-|parrot|593|ciluka||||||||||1584
787|*cil-|verdigris|594|cilumu|kilumu|||||||||1586
