NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
380|*kac-|to bite, sting|248|kasa (kasi-) "to bite, sting; n. a bite, sting"||kacali|kaccinai|kacc- (-it-) "to bite"|kaca kupi\i "scorpion"|||||Also Kui pl. action \Ikaska\i (\Ikaski-\i); Kuwi̲S \Ikaca kupi\i scorpion; Kuwi̲S \Ikaskeri\i centipede|The forms for 'scorpion' mean literally 'stinging crab' (see 1734). The lack of gemination here is irregular; it may be due to specific word-contraction reasons.|1097
381|*kac-|the itch|1288|kasa||||||||||||1104
382|*kad-i|a habit, liking for, taste for|249|kadi||||||||||Also Kui \Ikadi āva\i to form a habit, acquire a taste for||1445
383|*kah-|to play|250|kaha (kahi-)||kāhali|kahinai|kah- (-it-)|||kay- (-it-)|||Also Kuwi̲F \Ikāhi kīali\i to amuse; \Ikahū\i a game|Vowel length in Kuwi̲F is due to compensatory lengthening because of impossibility of geminating   \I-h-\i. In the form \Ikahū\i the lengthening probably did not occur to avoid two long vowels   (although this is not a strict rule in Kuwi, and etymologically long vowels are never shortened  before long vowels of the endings). NB: the same lengthening is characteristic of Kuwi̲Isr.|1392
384|*kah-|don't!|251||||kahi||||||kāhi "don't! (sg)"|Also Kuwi̲S \Ikahi kīnai\i to prohibit; Kuwi̲Isr \Ikāheri\i don't! (pl); \Ikāhi ki-\i to prohibit||1420
385|*kah-|we kindle fire|252||||hiccu kahinomi|||||||||1090
386|*kaǯ-|big, great|253|||kajja|kajja|kaja||||||||1093
387|*kaǯ-/*ganǯ-|congealed|0|kaja (kaji-) "to be congealed, solidified by growing cold"||kajali "to be congealed, become curdled"||||||||Also Kui \Iganja\i (\Iganji-\i) to solidify, coagulate, become solid; pl. action \Igaska\i (\Igaski-\i)|Two obviously different roots - how could they be related on a higher level? In Kuwi one would expect \I*kajjali\i, but the form is evidently misspelled.|1102
388|*kak-|to laugh|0|kapka (< kak-p-; kakt-) "to laugh, laugh at, ridicule; n. laughter, ridicule"||kākhali|kakh'nai|kak- (-h-)||||||Also Kuwi̲S \Ikakpinai\i to joke; \Ikakini\i merry; \Ikakni kakni lehe ānai\i to smile|Another mysterious Kuwi̲S differentiation ('laugh' - 'joke'?). The real opposition should be 'to make a joke/a laugh' - 'to laugh, joke constantly'. Probably expressive vowel lengthening in Kuwi̲F.|1080
389|*kakv-|to vomit|254||||kakwinai, kokowi/kakkiwi ānai||||||kakv- (-it-)|Also Kuwi̲Isr \Ikakva\i n. vomit||1079
390|*kal-|to mix|255|||kalhali "to be mixed, mingle"|kalhinai "to be mixed, mingle"||||||kal- (-h-) "to mix together"|Also Kuwi̲F \Ikalpali\i, Kuwi̲S \Ikalpinai\i to mix (tr.); Kuwi̲Isr \Ikalp- (-it-\i) to mix (tr), \Ikalvi ā-\i to be united together; \Ikalh- (-it-\i) to copulate|A rare case where \I-h-\i in Kuwi does not represent the original \I*-p-\i of the p-conjugation (it   is preserved instead, like in \Ika-lp-ali\i), but rather is comparable with \I-b-\i in Kui verbal   nouns (\I*kalba\i would be expected should the Kui form be preserved). It may as well result from an affricate, comparable to forms like Kuwi̲F \Iinjali\i < \I*in-\i.  The real causative forms thus  look like plural action causatives (cf. also their \I-it-\iformed past). However, difference between  Kuwi̲Isr \Ikal-\i and \Ikalh-\i is unclear, except that the second  form is certainly secondary.|1299
391|*kal-|rogue, scoundrel|256||||kalli mleha/mneha|||||||||1372
392|*kalg-|to get, become, accrue|257||||kalg-|||||||||1300
393|*kal-i|leaf-cup|258|kali||||||||||||1301
394|*kamb-|to ripen|0| "to ripen, (hair) to become grey"|kamb-|kambali|kampinai|kamb- (-it-)|kamb- (-it-)||||||One of few cases of irregular \I-mp-\i in Kuwi̲S (probably a free variant of \I-mb-\i).|1408
395|*kamb-|to be burned, injured by fire, consumed by fire; n. injury or destruction by fire|0|kamba (kambi-)||||||||||Also Kui \Ikappa\i (\Ikapt-\i) to cause to burn, char, scorch||1406
396|*ka-mbli, *kac-|bitter|259||kappeli|kombelli|kambeli|kambeli||||||Also Kui̲W \Ikasi\i a young undeveloped pumpkin; Kuwi̲F \Ikassa\i sour.|Kuttia \I-pp-\i is absolutely irregular. The only possible explanation would be to assume the secondarity of \I-e-\i in all dialects and then \I*kambli\i > \Ikambeli\i in most of them and \I*kambli\i > \I*kappli\i > \Ikappeli\i in Kuttia.|1249
397|*kamṇ-|forest|260|kamboṛi, kamboni "forest, jungle"||||||kamṇa|||kamṇa "park, grove"||In Kui we have the suffixed form \I*kamṇ-oṛi\i > \Ikamboṛi\i.|1228
398|*kand-a|small trench for fireplace|261|kanda||||||||||||1214
399|*kandi|dry stick|0|||kandi "stick (dried)"|||||||kandi "twig, stick"|||1165
400|*kanḍ-a|piece|262||||||||||kaṇḍa|||1175
401|*kanḍr-u|tears|263|kanḍru (pl. -ka)||kandrū (pl. -ŋa)|kanḍru|kanḍru||||kanʔeri||||1159
402|*kan- (p.t. *kac-)|to cohabit|0|kanban (Mah.)||kanjali (kac-, imper. kanamū)||kan- (kacc-)|||||||For a similar case see 868.|1403
403|*kan-|sound, noise, clatter, confusion|0|kanaṛi||||||||||Also Kui \Ikanaṛi āva\i to make a noise, be noisy; \Ikanaṛi bogaṛi\i a noise||1409
404|*kan-u (pl. *kaṇ-ka)|eye|264|kanu (pl. kan-ga)|kanu (pl. kaṛka)|kannū (pl. karnka)|kannu (kanka)|kanu (pl. kaṇka)|kanu (pl. kaṇka)||||kanu (pl. kaṇka)|||1159
405|*kap-a|frog|265|||kappa|||kappa|||||||1224
406|*kap-|to bend the head down|266|||||||kap-||||||1335
407|*kap-|to outflank|267||||kaph'nai|||||||||1221
408|*kark-a|chebulic myrobalan|268||||karka|||||||||1134
409|*karn-a|irrigation channel|269|||||karna||||||||1398
410|*karv-u|famine|270|||kaṛvū|||||||karvu||In Kuwi̲F \I-ṛ-\i, misspelled as usual.|1286
411|*kar-ŋ-|to melt|271|||karangali "to be dissolved, be melted"||karŋg- "to melt (intr.)"||||||||1292
412|*kaṛc-|to knead; n. act of kneading|272|kaṛsa (kaṛsi-)||||||||||||1141
413|*kasa|blood|0||||kassa|kassa|||||kasa|||1091
414|*kas-|to lave, anoint, wash the face|0|kahpa (kaht-)||||||||||||1369
415|*kat-|to cut down|273|kata (kati-) "to cut down, fell, cut, hew"||kuttali (i.e. kattali) "to cut (with axe, etc.)"|kutkianari (i.e. katk-) "soldiers"||katt- (-it-) "to cut (with axe, etc.)"||||kat- (-it-) "to cut (trees, bushes, etc.)"|Also Kui pl. action \Ikatka\i (\Ikatki-\i); Kuwi̲Isr \Ikatk-\i (\I-it-\i) to chop into pieces||1208
416|*kat-i|mat-wall|274|||||katti|||||kati "wall"|||1205
417|*kaṭ-|a severe fever|275|kaṭi nōmeri||||||||||Also Kui \Ikaṭru kāu\i a species of fruit or berry with a pungent taste; (?) \Ikṛō\i pungent; \Ikṛō inba\i to have a pungent smell||1135
418|*kaṭl-i|cot|276||gaṭeli|kuteli (pl. kutelka; i.e. kaṭeli, kaṭelka)|kateli|kaṭeli|gaṭeli||||||The correction of Kuwi̲F vowel is not mine, but Burrow and Emeneau's; indeed, there are some other     examples  where  \I-u-\i is obviously < \I*-a-\i. One may notice that this change only  happens  before dental/retroflex consonants, usually geminated or representing first part of a cluster. As  for voiced \Ig-\i in Kuttia and Kuwi̲P, it is secondary; no other language or dialect has \Ig-\i in  this lexeme. We may suggest a    regular voicening \I*k-\i > \Ig-\i before \I-ṭ-\i; especially if  the initial form was \I*kaṭli\i.  This is suggested by lack of gemination of \I*-ṭ-\i in Kuwi  dialects, as well as by lack of gemination of \I-l-\i in Kuwi̲F. If it is so, we may also  suggest that the word is indeed nothing else than an old  borrowing from Telugu \Igaṭli\i.|1145
419|*kaj|rust|0|kai||||||||||||2025
420|*kaŋ-|nipple, teat|1422|kanguṛi||||||||||||2038
421|*kāc-a|pole|277|kāsa "pole or stick carried on the shoulder from the ends of which loads are suspended and carried"||kāca "banghi-pole"||||||||||1417
422|*kāc-|hostile|278|kāse "hostility, enmity, blood feud"|||kaskinai "to incense"|||||||Also Kui \Ikāsenju\i a male enemy; fem. \Ikāsali\i|The short vowel in Kuwi̲S can be explained a) as a misspelling; b) by tracing the word back to \I*kask-pinai\i; c) by suggesting it is borrowed from SDR.|1089
423|*kāḍ-|to be burnt|279|||kadali "to be burnt as food"||kāḍ- (-it-) "to be burnt (rice in cooking)"||||||||1437
424|*kā-|to wait, guard|280|kāpa (kāt-) "to await, look out for, last, outlast; n. act of awaiting, survival"||kācali "to wait for"|kā'nai|kā- (-t-) "to be awake, watch over"||||||||1416
425|*kāj-|fruit|281|kāu (pl. kānga) "fruit, berry, kernel, seed"||kaiya||kāya "unripe fruit"|||||kāya "testicle"|||1459
426|*kāk-/*kāʔv|to yawn; breath|282|kāu rūja (rūji-) "to yawn; n. yawning, a yawn"||kāwa orjali "to yawn"|kāwa "breath"||||||kāʔva ōji- "to yawn"|Also Kuwi̲Isr \Ikākhã\i open-mouthed, gaping|This item and item 1425 ("crow") share the same peculiarities, not only on the PK level, but  probably dating back to PDR. These roots have two variants: one with final \I*-v-\i, the  "expressive" variant ('yawn', in 1425 this variant denotes the crow itself, but in other languages  it usually means 'cawing of crows), and another, with final \I*-k-\i - the 'denominative' variant  ('open-mouthed', in 1425 - 'crow'). This certainly means that the original root in both cases was  \I*kā-\i (in 'crow' it is even sometimes preserved in this form in SDR), with \I*-k-\i and \I*-v-\i  as added suffixes. As for the glottal stop, it is lost almost everywhere presumably because the cluster \I*-ʔv\i was originally an auslaut one (as preserved in Kui), whereas most Kuwi dialects have tended to simplify it; see "crow" for the opposite.|1421
427|*kāk-/*kāʔv-|crow|283|kāka, kāva||kā'vwa|ka'wa||kā'va||||||See \I*kāk-\i 'to yawn' on the subject.|1425
428|*kākuli, *kākuli-gaṭanji|spendthrift|284|kākali "unthrifty, spendthrift, wasteful"||kakūli "travail"|kākuli kīnai "to harm, hag, moil"|||||||Also Kui \Ikākaligaṭanju\i (fem. \Ikākaligaṭari\i) a spendthrift, unthrifty man or boy; Kuwi̲F \Ikakūlgattasi\i a poor man; Kuwi̲S \Ikākuligattasi\i a poor man|In Kuwi we have a specific metathese of vowel length. This may be due to accent reasons, although these are unknown. The original 2nd syllable vowel is \I-u-\i, later assimilated in certain dialects.|1424
429|*kāl-u|leg, foot|285|kāḍu|||||kāl (p. -ka) "leg"|||||||1479
430|*kāmb-a|handle|286|||kamba|kāmba||||||||Although it is never wise to rely on Schulze's (or Fitzgerald's) data for determining vowel quality, here we prefer to reconstruct an original long vowel because of external data and preservation of length in a closed syllable in Kuwi̲S.|1454
431|*kānǯ-u|carrying yoke|287||kānju|kānjū (pl. kāska) "a banghi"||kānju (pl. kāska)|||||||This root is clearly different from \I*kāca\i, although they are close both in meaning and phonetics, so B&E unite them. One could suggest \I*kāc-\i is secondarily derived from the plural \I*kacka\i < \I*kanjka\i, but the difference between the two forms seems to be somewhat deeper than the PK level (see DED on the subject).|1417
432|*kāp-a|diaper|288|kāpa||||||||||||1452
433|*kār-/*kark-|to graze, gnaw|1188|kāra giva "to graze (of animals)"||kārali "to gnaw"||kark- (-it-) "to gnaw"||kār- (-it-) "to nibble"|||kar- (-it-) "to chew meat (e.g. from the bone)"|Also Kui \Ikāra bāra giva\i to graze, peck up food; Kuwi̲F \Ikarali\i to nibble; Kuwi̲Isr \Ikark-\i (\I-it-\i) to gnaw|The forms with \I-k-\i are probably of plural action. However, of the two variants - \Ikar-\i and  \Ikār-\i - we cannot clearly define the original. The most probable solution is that \I*kār-k-\i > \I*kark-\i, while \I*kār-\i > \I*kar-\i in some dialects by analogy.|1474
434|*kār-|to dig|288|kārpa (kārt-) "to dig up; n. act of digging up"||kārhali|karh'nai|kār- (-h-)||||kās-||Also Kuwi̲S \Ikārh'nai\i to sculp, spade|The vowel length in Kuwi̲S \Ikārh'nai\i is rather strange, since this variant should be non-existent (long vowels are usually shortened before three-consonant clusters).  One probability is that it goes back to \I*kār-pinai\i, but in this case the elision of \I-i-\i is not easy to explain either. Anyway, the difference in semantics of both variants is, as usual, non-understandable.|1467
435|*kāṛ-ɣ-|black|289|||karia|kādia|||||kāṛia|kāṛ- (-it-) "to become black"|Also Kuwi̲Isr \Ikāṛīya\i black|In Kuwi̲S we should expect \I-ḍ-\i; probably a misspelling.|1494
436|*kās-|wild|290|kāsi "wild, undomesticated"|||||||||kāsa nehʔuṛi "wild dog"|Also Kui \Ikāsi nakuri\i wild dog, wolf||1438
437|*kāṭ-|(W) to latch or bolt the door; (K) to fix, fasten, secure|291|kāṭa giva|kāṭ-|||||||||||1147
438|*kāj- (caus. *kah-)|to daub, plaster|292|kāja (kāji-) "to daub, plaster over holes; n. daubing, plastering"||kūdū kaiyali "to plaster with mud (kūdū for Su. Isr. kūḍu wall)"||||||||Also Kui \Ikahpa\i (\Ikaht-\i) to smear, plaster; Kuwi̲Isr \Ikah-\i to daub, smear.|The causative forms are extremely archaic, since the expected form in Kui should be \Ikāspa\i. This shows that this causative stem was existent long before \I*-y-\i > \I-j-\i in Kui, i.e. Kui \I-hp-\i < \I*-yp-\i, not < \I*-jp-\i.|1503
439|*kāj-u (pl. *kā-ŋa)|pulse|293|kā'angā "(Mah) a kind of pulse"||khāŋa "raher (dhal)"||||||kāngā, kāngu "raher (dhal)"|kāyu (kāŋga) "beans"|||1934
440|*kāj-u|weed|294||||kayu|||||kāyyu|kāyu|||1439
441|*kā̆k-|to growl, howl|0||||kākh'nai|||||||Also Kuwi̲S \Ikakh'nai\i to roar||1426
442|*kā̆ḷ-u|liquor, toddy|295|kalu "spirituous or fermented liquor, toddy, beer, grog, wine"||kārū "country spirit"|kāḍu "toddy"|kāṛu "liquor"|kāṛu "liquor"|||||Also Kuwi̲F \Imaṛa kārū\i toddy; Kuwi̲S \Imāra kāḍu\i sago toddy|The vowel is obviously long in Kuwi, which is strange, for it is short both in Kui and in other languages.|1374
443|*kec-|a kind of rat|296||||||||kecca or'i|||||1937
444|*keR-|to fence; to connect|297|gebga (<geg-b-; gegd-) "to be connected with (by ties of friendship, love, common cause), associate with, be united, reconciled, live together as husband and wife, have faith in, believe; set side by side, intertwine bamboos so as to build a fence; n. act of associating with, being connected with or having faith in, faith"||||||ker- "to fence"|||ker- "to fence"||In Kui initial \Ik-\i assimilated to \I-g-\i < \I*-R-\i.|1980
445|*kehel-|dhaman tree|298||kehel ḍeḍḍi|||||||||Also Kui̲W \Ikeheli\i sp. tree, the wood of which is used for handles of weapons and tools||1997
446|*kek-|to cackle|0|||||||kekeri kīali||||||1992
447|*kel-ǯ-|to be distended (udder), be ready for milking|0|klēja (klēji-), (P) kelja (kelji-)||||||||||||1583
448|*kel-u|feather|299|kelu (pl. kelka), keḍu (pl. keṭka) "large feather"||kellū (pl. kelka)||kelu (pl. kelka) "(large) feather"|kelu (pl. kelka) "(large) feather"|||||||1973
449|*kernǯ-|to warm|300|grehpa (greht-) "to warm, warm by the fire, broil, foment; n. act of warming by the fire, fomentation"||kēṛnjali "to warm oneself in the sun"||krenj- (-it-) "to warm oneself"||||||Also Kuwi̲Su \Ikreh-\i (\Ikrest-\i) to warm another|In Kui an irregular voicening, probably caused by assimilation with three voiced consonants; the same thing may have caused the irregular \I-h-\i and not \I-s-\i  (\I*greh-\i < \I*gres-\i < \I*gers-\i < \I*gerj-\i < \I*gernj-\i < \I*kernj-\i).|1967
450|*kerṭeṛi|jaw|0|||kreteri||||kerṭeṛi||kreṭeṛi||||1989
451|*kej-u (pl. *kecka)|hand, arm|301|kaju, kagu (pl. kaka) "hand, arm; elephant's trunk"|kaju (pl. kaska)|kēyū (pl. keska)|kēyu|keyyu "hand, arm, handle"|kayyu||||keyu (pl. keska)||\IE\i is the original vowel here, as external data shows; it is dissimilated into \I-a-\i in Kui and Kuwi̲P.|2023
452|*kēɣ-a|magpie, shrike|302|kēga "magpie"|||||||||kēya "shrike bird"|||1994
453|*kēk-|to lean, lean upon or against|303|kēka (kēki-)|||||||||||Uniting this root with \I*gēnḍ-\i is absolutely out of the question.|2012
454|*kēl-u (*-ḍ-)|earthenware pot|304|kēḍu (pl. kēṭka)||||||||||||2015
455|*kēr-|story; to sing|305|kēronḍi "story, tale, fable"|||kērh'nai "to sing"|kēr- (-h-) "to sing"|||krē- (-t-) "to sing"||kēr- (-h-) "to sing"||In Kui only the derivative 'story, song' has been preserved. Metathese in Kuwi̲D, probably regular (too few material to prove that).|2006
456|*kēri|the side, flank|0|kēri||||||||||||2008
457|*kiʔ-eṇi|castor oil plant|1078||ki'eṛi|kieri nīyū "oil for cooking"|kieni nīyu "castor oil"|ki'eṇi mārnu|||||||In Kuwi̲F we would expect a glottal stop; however, if the combination of these two words is pronounced more like a compound noun, loss of glottal stop because of reduction is possible.|1549
458|*kic-|to pinch, nip|306|kisa (kisi-) "to pinch, nip; n. a pinch, nip"|kicc-|kicali "to pinch"|kicinai "to nip"|kicc- (-it-)|||||||In Kuwi̲S \Ikiccinai\i should be expected. B&E note on the subject: "spelled with \Ich\i rather than \Iẓ\i" (\Iẓ\i stands for \Ic\i in Schultze's transcription). Maybe \Ich\i here is a variant of \I-cc-\i.|1513
459|*ki-|to do|307|kiva (kit-), giva (git-) "to do, make, perform, cause; n. action, performance"||kepali "to do, make"|kīnai (kitt-), kēpinai, pēkinai "to do, make"|kēp- (-it-), pēk- (-it-) "to do, make"|||||ki- (-t-), kēp- (-it-), pēk- (-it-) "to do, make"|Also Kui pl. action \Igipka\i (\Igipki-\i)|Forms like \Ikēp-\i, \Ipēk-\i are secondary, being formed from the fusion of the root \I*ki-\i and   the p-marker (in this case added certainly to mark the transitivity of the action). Here, in several dialects, it has been reinterpreted as part of the root and therefore the verb itself has shifted to \Iit-\iconjugation. An interesting   type of metathese, the opposite of the famous \Ikepti\i < \Ipekti\i in Lithuanian and \Iskeptomai\i   < \Ispektomai\i in Greek. The voicing in Kui is probably due to \Ikiva\i being used as an auxiliary  verb and thus subject to sandhi.|1957
460|*kiǯ-|to loathe|0||||kijja kijja ānai\i|||||||||1511
461|*kiǯov-i|joke|308||||kijowi||||||kijovi|Also Kuwi̲S \Ikijowigatti\i witty; \Ikitzowi kīnai\i to jest, jeer, joke; Kuwi̲Isr \Ikijovi ki-\i to make fun, joke|The extremely strange \I-tz-\i in \Ikitzowi\i makes me suspect a possibility of borrowing from Konda \Ikizay-\i.|1518
462|*kil-|noise of chattering or of confused conversation|0|kila bila|||||||||||Expressive.|1575
463|*kil-eṛi|to shout|1211|klīri inba "to shriek"||kileri-kīali "to shout, yell"|kileḍi kīnai|||||||Also Kui \Iklīri klīri ṛīva\i to shriek with fear; \Iklīsi klīsi ṛīva\i  to shout with vehemence; Kuwi̲S \Iklīrinai\i, \Iklīri innai\i to yell|The form common for both languages is \I*kileṛi\i (although we have simple \I-r-\i in Kui. maybe it is misspelled, maybe due to vocalic context); in Kui it has been metathesed > \I*klīri\i. The form \Iklīsi\i is specifically a Kui one and should go back to \I*kil-ci\i (or \I*kil-eci\i). Cf. also PK \I*klā-\i.|1574
