NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
572|*kup-|heap, stack|363|||||kupa|guppa|kuppa|kuppa|||kupā kiyānā "to gather together"||||kuppa|||Also Gondi̲L \Ikupāhanā\i to gather, collect||1731|760
573|*kup-|chignon, hair-knot|325|kūpaṛ "topknot of hair"|||kupar "chignon"||kupar̨i "chignon"||kupar "chignon"||||koopagai "the tuft of hair left on head"||kupar "chignon"|kupar "(SR) chignon"|||||2110|759
574|*kuṛ-|hill; forest|0||kuṛu "hill"|kuṛo "mountain, forest"|||||||||||||||||1864|795
575|*kur-ā|male calf, bull calf|366|kurrā|kurrā|kurrā||kurra|kurra||kurra|kura|kura|||||kurra|||||1801|785
576|*kur-ā (*-R-)|short of stature|957|||kurrā|||||||||||||||||1851|787
577|*kur-|stone pestle|1393|||||||||||||||kurkal|||||1850|778
578|*kur-o|silver|0|||||||||||kuro|||||||Also Gondi̲Hislop \Ikuro\i silver; ? \Ikural\i king||1782|777, 771
579|*kuṛ-s-|to undress|350|kuṛhuttānā "to take off skirt; to shake roasted mahua in a basket to get rid of the fibrous part"||kurahtānā "to take off clothes"|||kuṛʔ- "to take off clothes"|kuṛh- "to take off clothes"||||||||kuḍūsānā "(SR) to undress"|||||1825|802
580|*kuṛk-|ear-ring|0|||||||||||||||kuṛka|||||1823|798
581|*kurmal|shepherd|0|||||||||||||||||kurmal|||1844|783
582|*kurm-ā|outhouse|0||||||kurma "menstruation"||kuṛma "hut, outhouse"||||||||||Also Gondi̲Grigson \Ikurma lon\i menstruation hut||1655|782, 800
583|*kurm-|to grind or pound grain in a mortar|0|kurumānā (kurmsī)|||||||||||||||||||1850|773
584|*kurm-i|chaff|0|kurmī "the harder part of rice, kodon, etc. which remains after grinding"|kurmī|kurmī||||||||||||kurmā "(Su.) chaff"|||||1916|784
585|*kurp-|boil|382||||||||kurpum, (Su.) kurpu|||||||kurkūm "(Su.) pustule, blister, boil"|||||1780|781
586|*kurs-|deer, antelope|369|kurs (pl. -k)|||||||||||||||||Other dialects have \Ikurs\i too||1785|792
587|*kuru-m-|to dry up|368|kurrumne aiānā "to dry up completely, of crops"||kurumne āyānā "to dry up, perish"||||||||||||kurumne āyānā "(SR) to wither"|||||1778|772
588|*kurval|sp. small owl|978|||||kurval|kurval(i)||||||||||||||1777|790
589|*kurv-i|earthen pot|365||kurvī "earthen jar"||||kurvi "earthen cooking pot"|||kurvi "earthen cooking pot"||||||kurvi "earthen cooking pot"|||Also Gondi̲W \Ikuṛvī\i pitcher (black, for cooking)||1797|791
590|*kus-|to drop off|0|kussānā "to drop off or out (e.g. a nose-ring), fall (of leaves)"||kussānā||kus-, gus- "to fall off (hair, feathers, etc.)"||kusam "slough of snake"|kusp- "to take off (skirt)"|||||||kussānā "(SR) to drop"|||Also Gondi̲A (Su.) \Ikus-\i to drop (feathers, as a peacock)||1825|813
591|*kus-|to whisper; silent|0|||||kuskusa vaṛk- "to whisper"||||||||||kusai "(SR) silently, noiselessly"|||Also Gondi̲A (Su.) \Ikusāy\i in a low voice, secretly; \Ikusmūs man-\i to be silent||1638|807, 809
592|*kus-r-|cooked vegetable|352|kusrī "dal, i.e. cooked pulse"|kusrī "vegetable"|||kusir, kusri|kusir(i)|||||kusor "herbs, vegetables"|||||||||1760|812
593|*kuṭār|chaff|0|||kuṭār||||||||||||kuṭṭār "(Su.) corn without grains"|||||1665|729
594|*kuṭ-|to stitch, sew|373|||||||kuṭ-|||||||||||||1672|727
595|*kuṭk-|piece, lump|0|kuṭkā sārī "half of a loaf of bread"||kuṭka "a piece"||kuṭki, kuṭke "a piece, lump"|||||||||||||||1666|730
596|*kutk-|memorial menhir|0||||||||||||||||||Gondi̲Elwin \Ikutukal\i, Grigson \Ikotokal\i memorial menhir||1720|743
597|*kutl-i|armpit|0|kutlī||kutlī kiyānā "to tickle"|||||||||||||||Also Gondi̲Tr \Ikutke kīānā\i to tickle||1551|747
598|*kuŋ-|to be wrinkled or contracted (of the skin)|0||||||||kuŋg-||||||||||||1767|717
599|*kūl-i|wages|1316||||||||kūli||||||||||||1905|836
600|*kūnd-i|mushroom|379||||kūhk "mushroom(s)"|kūhk "mushroom(s)"|kūnji (pl. kūhku)||kūhk "mushroom(s)"||||||||||||1893|839
601|*kūṇ-i|leaf-plate|0|kūnī "large leaf platter"|kūnī "plate of leaves"|kūnī "plate of leaves"|kūṛi||kuṛ ḍapa|kūṛi|||kuṛi|||||kuḍi "(SR) leaf-plate"|||||1929|829
602|*kūnǯ|hoe; crowbar|0|||||kūnj (pl. kūsk) "hoe"|||kūnj "crowbar"|||||||kūysā "(SR) crowbar, ploughshare"|||Also Gondi̲Elwin \Ikūnj\i shouldered digging stick||1879|822
603|*kūṛ-|to assemble, join|383|||||gūḍ- "to assemble"||kūṛ- "to join"|||guṛnā "to swarm"||||||||||1882|833, 1160
604|*kūrk-|to doze|381|kūrkānā "to doze, nod in sleepiness"|kurkīnā "to doze, nod in sleepiness"|kūrkānā "to doze, nod in sleepiness"||kūrk- "to doze, nod in sleepiness"|kūrk- "to doze, nod in sleepiness"|kūrka "sleepiness"|kūrk- "to doze, nod in sleepiness"|kūrka "sleepiness"|||||kūrk- "to doze, nod in sleepiness"|kūrkānā "(SR) to doze, nod in sleepiness"|||Also Gondi̲Ph \Ikūrkī\i sleepiness, drowsiness; Gondi̲W \Ikurkī\i, Gondi̲S \Ikūrmuṛ\i sleep||1902|831
605|*kūs-|to crow|0|kōr-kūsānā, korr-kussānā "(cock) to crow"||kūs-||kūs-|kūs-||kūs-|kūs-|||||kūs-|kūs- "(Su.) to coo"|||||1868|837
606|*kūṭ-|a stone-fall trap for birds|954|kūṭinj|||||||||||||||||||1883|826
607|*lavnḍ-|chin|0||||||laonḍa||||||||||||||3596|3081
608|*lavn-i|river, stream|0|||||||||lavni "streamlet"||||||lavni, (SR) lavḍī "big river, (SR) stream"|||Also Gondi̲A (Su.) \Ilavṛi\i, \Ilavni\i stream, streamlet||5192|3099
609|*lāk- (*ḷ-)|sacrifice|397||||||||||||||||||Also Gondi̲Elwin \Ilākāna\i, \Ilākānj\i the sacrifice after a successful hunt||297|3103
610|*lāṭ-i|long|1267||||lāṭi||lāṭ||lāṭi||lāṭ, lāṭi||||||||||5187|3106
611|*lāv|strength|1039|||||lāv|||lāv||lāv "force"||||||||||291|3112
612|*ḷej-|boy, young man|396|raiyōl (pl. raiyōṛ) "adult boy"||raiyor (pl. -k) "boy"|||leyor̨ "young man"||leyonḍ (pl. leyor), (T) leyōṇḍu "young man"||layor "young"|leyor "young (masc.)"||||ḍiyyōr "(Su.) young man"||raiyor (pl. -k) "boy"|Also Gondi̲Tr, Gondi̲Ph, Gondi̲Chd fem. \Iraiyā\i; Gondi̲L fem. \Ileyā\i; Gondi̲Ma fem. \Ileya\i (pl. \I-sk\i); Gondi̲Ko fem. \Ilēydaṛ\i, (T) \Iledāḍi;\i Gondi̲A (Su.) fem. \Iḍiyyā\i; Gondi̲A (SR) \Ilehmī\i youth||513|3066, 3125
613|*ḷeŋ- (caus. *ḷeh-)|to loosen, untie|0|rēngānā "to be open"|rengíná "to be loose"|rengānā, rengīnā "to be loose"||leh- "to untie, loosen"|leʔ- "to untie, loosen"||lēŋg- "to become loose"|||||||||lehānā "to untie, loosen"|Also Gondi̲Tr caus. \Irēngstānā\i; Gondi̲Ko caus. \Ilēh-\i||510|3047
614|*ḷeŋ- (*l-)|to be destroyed, demolished|400|||||leŋ-|||||||||||||Also Gondi̲Mu \Ileh-\i to destroy, demolish||5200|3124
615|*valēk-|Bombax malabaricum|392|walēkī-maṛā||valēkī||vallek|lēki||||leke||lèkee|||velkī "(Su.) silk-cotton tree"||||The syncopation here is similar to the process in \I*nelenǯ\i "moon" q.v.|495|3126, 3208
616|*nēr (*-R)|seedling; to grow|524|||||||nēr "rice-seedling"||||||||nēnḍ- (?) "(Su.) (plant) to take root"|||||2919|2054
617|*lēnḍ-i|Eugenia jambolana|403|lēnḍī||||nēnḍi, lēnḍi|nēnḍi||||nendī||||lēnḍi|lēnḍi|||||2917|2051
618|*lēs-|to be possessed|0|||||lēsk- "to tremble, be possessed by gods"|lēs- "to cast out evil spirits by means of spells"||||||||||||Also Gondi̲Mu \Ilēske\i (pl. \I-r\i) medium through whom gods speak (he always shakes his head); Gondi̲Ma \Ilēske\i (pl. \I-r\i) priest, shaman||509|3135
619|*lēŋ|voice; noise|1087|lēng "voice, noise"|lēng "voice, noise"|lēng "voice, noise"||lēŋ "voice"|lēŋgi "voice"|lēŋ "voice"|lēŋg(u) "voice"||lēng "voice, noise"||||lēŋ "voice"||||||835|3127
620|*lod-i|a valley|0|||||||||||||||loddī (Su.)|||||5197|
621|*lonḍ-|to caress, to kiss|534|nonḍānā "to spoil, pet"|nonḍānā "to kiss"|nonḍānā "to kiss"||lonḍ- "to caress"|lonḍ- "to pet, fondle"||||||||||||||3787|2059
622|*ḷosk-|to bail out|533|rōskānā "to bail out, bail out a pool in order to catch fish"|roskānā|roskānā|losk-|losk-|losk-|locc-|losk-|roskānā||||||roskānā|||||3790|3074
623|*ḷō-|house|401|rōn (obl. rōt-)|rōn (obl. rōt-)|rōn (obl. rōt-)||lōn|lōn||lōn||lōn|||||rōn (obl. rōt-)|||Also Gondi̲Mu \Ilōta\i wife; Gondi̲S \Ilōtad\i (pl. \Ilōtav\i) female member of a house; \Ilōtur\i male member of a house; Gondi̲Tr \Irōpā\i within; Gondi̲Ph \Iropā\i, \Iroppā\i, \Iroppāṭe\i, \Irappoṛ\i inside; Gondi̲W \Iropā\i inside, within; Gondi̲Y \Iropo\i, Gondi̲G, Gondi̲S \Ilopo\i, Gondi̲Mu \Ilappa\i, Gondi̲M \Ilopa\i inside||698|3077, 3071
624|*ḷōp-|to swallow, gulp down|0|rōpānā|rōpānā|||lōp-|lōp-||lōp-||||||||||||3791|3078
625|*lum-s-|(pig) to root up earth|0||||||lumiʔ-||lum-||||||||||Also Gondi̲Ko (T) \Ilumm-\i to gore (as a bull)||688|3119
626|*ḷup-i|spotted deer|1057|||||||duppi|luppi||lūpi|||||ḍuppal|||||694|1570, 3117
627|*maR-i|mat|0||||||mar̨(i)||marr "mat-door"||||||||||Also Gondi̲Ma \Ikeʔ-mar̨\i mat-door||4760|2740
628|*maR-i|son|442|marrī (pl. mark)|marrī (pl. mark)|marrī (pl. mark)||marri/marr (pl. mark)|mar̨i||merka "(Su.) female young of goat"|||||||mari|||||4764|2713
629|*maRs|axe|1091|mars|mars|mars|mars|mars|mar̨su|||mars||maras, mar(a)su, mag̣su||||mars, (SR) maras|mars||||4749|2738
630|*maRk-ā|mango|406|markā|markā|markā||marka|mah̲ka|||marka|||||marka||marka||||4772|2727
631|*maRŋ-|to forget|439|marēngānā|maruŋg-sīānā|marangānā, marungānā||mariŋg-, mareŋg-|mar̨ŋg-||||māraŋg-, māranḍ-|||||maruŋg-|||Also Gondi̲W \Imargīnā\i to err; \Imarangtāl\i astray; Gondi̲M \Imārānā\i to lose; Gondi̲A (Su.) \Imarūm-\i to forget; Gondi̲Tr \Imakkānā\i to escape notice; Gondi̲W \Imakkānā\i to hide (intr.); Gondi̲Tr \Imakstānā\i, \Imaksuhtānā\i, Gondi̲W \Imaksahtānā\i (tr.); Gondi̲M||4760|2718, 2798
632|*mac|dew|408||mac|mac|macc(i)|mac|||mac ēr||mac "snow"||||mach||||||4641|2682
633|*mahcum|fish-hook|0|mahcum|||mahcum||maʔcum||||||||||||||4859|2767
634|*maǯil-|buttermilk|0||||||||majjili (T)||||||||||||4630|
635|*mak-|to hide|0|makkānā "to escape notice"|makkānā "to hide (intr.)"|||mak- "to be hid"|makk- "to hide (intr.)"||||makānā "to conceal"|||||makk- "to hide (intr.)"|||Also \I\i\I\i\I\i\I\i\I\i\I\iGondi̲Tr \Imakstānā\i, \Imaksuhtānā\i, Gondi̲W \Imaksahtānā\i (tr.)||4760|2676
636|*mal|peacock|431|mal|mal|mal||mal|mal|mallu|mallu (Su.)||||||||||||4642|2749
637|*malan-ǯ|a k. of fish|1088|malāj "fish called tambū in Hindi"|||||malanj(i) "eel-like fish"||||||||||||||4737|2750
638|*mal-|platter, pitcher|0|mālkī "small earthen platter"|mallā "pitcher for water"|||malla "waterpot"|||||||||||||||4744|2754, 2809
639|*mal-|to return|0|mallānā|mallānā|mallānā|mal-|mal-|mal-|mal-|mal-||maldānā|||||mall-|||Also caus. Gondi̲Tr \Imalluhtānā\i, Gondi̲W, Gondi̲Ph \Imallahtānā\i to turn back (tr.)||4734|2752
640|*malŋ|bedstead|982|||||malŋ|||||||||||||||4735|2755
641|*man-ḍ-|earth, sand, dust|1089||||||manḍom "dust"||manḍul "earth, ground, soil"||||munnomee "sand"||||||||4666|2694, 2695
642|*mand-ā|herd, flock|409||||||manda|manda|||||||||||||4700|2704
643|*man-|to remain, abide, be|411|mandānā (matt-)|mandānā (matt-)|mandānā (matt-)||man-|man-|man-||||||||mandānā (matt-) (SR)|man-||Also Gondi̲Tr \Imaiānā\i (past \Imās-\i) to be||4778|2703, 2710
644|*maṇs-āl|man|463|mai-mansāl "man and wife, male and female"|māṛsāl|māṛsāl||||||maṛso (pl. -rk) "husband"|||||||||Also Gondi̲FH \Imaṛsur\i husband; Gondi̲W, Gondi̲Ph \Imāṛsālor\i mankind||4756|2747
645|*maṛam-|rough vegetation|0||||||maṛam(i) "sp. tall grass or weeds"|||||||||marma "rough vegetation burnt when land is cleared"|||||4726|2734
646|*mard|sāj tree|413|marḍ maṛā "the sāj tree, Terminalia tomentosa"|maru "the sāj tree, Terminalia tomentosa"||||mard||||mardī "the sāj tree, Terminalia tomentosa"|||||mard "(SR) sāj tree"|||||4718|2723, 2733
647|*marn-|tree|456|maṛā|||||marnu, mārnu||māra, māṛa, (Su.) māra||||muranoo||||||Most dialects have \Imara\i; also Gondi̲Mu \Imaṛa nay\i a kind of animal living on trees; Gondi̲Ko \Imāṛ nēy\i wild dog||4711|2712, 2741
648|*maR-|black mole|0|marrō "black mole or wart"|||||||||||||marror (pl. marrohk)||||||4767|2737
649|*maṛ-|to fold|0|muḍhuttānā "to fold a blanket in many folds"|||||maṛta ki-||maṛp-||maṛpānā|||||muḍis-|||Also Gondi̲A (Su.) \Imuḍḍūŋ-\i to be folded; \Imuḍḍūs-\i to fold (a cloth)||4645|2746, 2879
650|*mar-s-|to smear, rub|0||marehtānā "to rub"|marahtānā, marehtānā "to smear"|||||||||||||||Also Gondi̲Driberg \Imarehtàlle\i to apply||4709|2724
651|*maṛ-v-|to cook, burn|460|maṛūstānā "to cook in oil"|||||maṛg- "to burn (intr.)"||||maṛgānā "to blaze"|||||maṛū- "(curry) to be charred"|||||4680|2743, 2745
652|*marijuR|nephew|1380||||mariyur "mother's brother's son"||mariyor̨ "father's sister's son"||||||||||||||4715|2716
653|*maṛk-ā|heel|1090|||||maḍeka, maḍe kāl|māṛka, mānʔka||||||manka||||||||4649|2690, 2790
654|*marm-|sambar|0||||||||maramām (Su.)||||||||||||4724|
655|*marmiŋ|marriage|0|marming||||marmiŋ|marmiŋ|||marmiŋ||||||marmiŋ|||||4667|2735
656|*marnḍ-|cross-cousin|1295||||marnḍaṛi "female cross-cousin"||manḍaṛe "female cross-cousin"|||marnḍu "male cross-cousin"||||||marṇḍār "(Su.) father's sister's daughter"|||Also Gondi̲Y \Imarnḍeyaṛ\i female cross-cousin; Gondi̲A (Su.) \Imarṇḍū\i (pl. \I-r\i) male cross-cousin||4762|2731
657|*mars-|to be used to; habit|458|maṛsānā "to visit frequently, come again and again (as pigs to a field)"||marsānā "to be used to, be in the habit of"||mars- "to be used to, be in the habit of"|||||||||mars- "to be used to, be in the habit of"|marsānā "(SR) to visit again and again"|||||4722|2739
658|*maṛs-|to paint cattle for the Pola or the Diwali festival|0|maṛhuttānā|||||||||||||||||||5082|2748
659|*maṛŋ-i|rib; side|984|maṛgī "rib bone"||||maruŋ "ribs of mat"|marŋgi "rib"||marŋg "side"||||||||||Also Gondi̲Mu \Imarŋgi\i, \Imaṛŋgeṛi\i rib||4717|2717
660|*maS-ā|mole, wart|981|||||||||||||masa|||||||4632|2759
661|*mas-i|soot|0||||masi||||||||||||||||5101|2760
662|*mat|medicine|1178||mat||||||||mat|matu||||mat, (SR) matta|||||4719|
663|*maṭ-ā|wrist|0||||maṭṭa||||||||||||||||4673|2688
664|*mati|but|0|||||mati||||||||||mati (SR)|||||4766|2697
665|*maj-|to surpass|441|maittānā "to conquer, surpass"|maitānā, maiyānā "to surpass, win"|||||||||||||may- "to win"|||Also Gondi̲A (SR) \Imaitānā\i to conquer||4841|2708
666|*maj-|to remain, be surplus|0|||||||||||||||mayy- (Su.)|||Also Gondi̲A (Su.) \Imayyūs-\i to save, cause to remain||4838|
667|*maŋ-ṭ-|weaving instrument|0|||||maŋṭa|||||||||||||||4624|2681
668|*māc|dirt|416||||māc|māc|mācu||||māc "dirty"||machoo|||māc|||Also Gondi̲Lu̲S \Imachattoo\i dirtied||4792|2772
669|*māc-|to plaster|0|mācānā "to plaster mud on a wall or dam"|||māc-|māc-|māc-|||māc-|mācānā "to smear"|||||mācānā "(SR) to smear"|||||5082|2773
670|*māḍ-i|upper story|0|||||||||māṛi "a storied house"||||||māḍi "(SR) upper story"|||||4796|2780
671|*mā-h-|to fit|427|||||māh- "to fit (shaft to arrowhead)"|māʔ- "to fit into (tr.), fasten (button)"||||||||||||||4802|2815
672|*māhk-ā|Bengal quince|0|māhkā|māhkā|māhkā||māhka|māhka|||māhka|||||māhka|māhka|||||4821|2816
673|*mām-aḷ|mother's brother|420||||māmal "mother's brother, father's sister's husband, wife's father"|māma (pl. -lor) "mother's brother, father's sister's husband, wife's father"|māma|māmal "mother's brother, father's sister's husband, wife's father"|māma "mother's brother, father's sister's husband, wife's father"|māma (pl. -lir) "mother's brother, father's sister's husband, wife's father"|māma "father's sister's husband"||||māma "mother's brother, father's sister's husband, wife's father"||||Also Gondi̲Ch \Imāmi\i father's sister, mother's brother's wife||4813|2791
674|*mānḍ-|to like|421|mānḍānā "to like, approve of"||mārānā "to like, approve of"|||||||||||mānḍ- "to like, approve of"|mande vayānā "(SR) to like"|||||4807|2782
675|*mānḍ-o|hole|0|mānḍo|||||||||||||||||||4832|2784
676|*mār-|to be finished|0|māṛānā|māhtānā "to finish"|māhtānā "to finish"||mār-|mār-|mār-||mār-|mārhānā "to complete"||||mār-|mār-|||Also Gondi̲Mu \Imārh-/mārih-\i to finish (tr.); Gondi̲M \Imārānā\i to exhaust; Gondi̲A, Gondi̲Y, Gondi̲Mu, Gondi̲S \Imāh-\i to finish; Gondi̲A (Su.) \Imār-\i to stop (doing something)||4817|2797, 2814
677|*mār-|to annoy|0|mārānā||||||||||||||mārusānā "(SR) to annoy, tease"|||Also Gondi̲A (Su.) \Imārūs-\i to pull faces||4816|2799
678|*māṛ-|to make|0||||||||māṛ-||||||||||||4797|2804
679|*mār-e|feather, wing|422|māṛē (pl. -hk) "long feather"|māre "feather"|māre "feather"|mārek, mareṛi "wing"|mārek "(pl.) wings"|māre (pl. -ŋ) "wing"||||||||mārel (pl. mārehk) "feather"|mārel (pl. -k) "wing"|mārek (pl. -iŋ) "wing"||Also Gondi̲W \Imāṛe\i down; Gondi̲Mu \Imarahk\i (pl.) feathers||4820|2801
680|*mās-|to burn, kindle|0|māsānā "to burn (tr.), light a lamp, burn a corpse, wood, etc."|māsānā "to burn (tr.)"|māsānā "to burn (tr.)"|mās- "to kindle fire"|mās- "to kindle fire"|mās- "to kindle fire"|mās- "to kindle fire"|mās- "to kindle fire"|||||||mār- "(Su.) to be charred"|||Also Gondi̲Ko (Su.) \Imāṇḍ-\i to be charred||4801|2812
681|*māsul|python|0|māsūl "rock python"||||māsul|||māsoṛ|||||||māsul|||||4793|2813
682|*māṭ-ā|word, speech|0||||||||māṭa||||||||||||4834|2775
683|*mātl-ā|a kind of citron|0||||||mātla||||||||||||||4808|2786
684|*māv|sambar|428|mau (pl. mauk)|māok|||māv|māv(i)||māv||koḍ māv||||māv|māv|māv||||4780|2811
685|*māj|woman; man (?)|1093|mai "woman, wife"|māī, maiyū "woman, wife"|||manja "man, human being"||||||||māyi "woman, wife"||||||Cf. 364.|4791|2684, 2796
686|*māj-|to be healed|0||||māy-|māy-|māy-||||||||||||||4815|2793
687|*māj-|to disappear|1092|||||māy- "to be lost"|||māy- "to be lost"|||||||māyāl āyānā "(SR) to disappear"|||Also Gondi̲Mu caus. \Imāyih-\i; Gondi̲Ko (Su.) \Imāp-\i to lose||4814|2792
688|*māj-|big|1408||||mayali|māy(i) "very big"|||||||||||||||4786|2709, 2794
689|*meduR|brain, marrow|1296|maddur||maddur|medur(i)|madur "brain"|meddor̨ "brain"|meddur "brain"|medur "brain"|vedur "brain"||||||medur "brain"|||||5062|2954
690|*mehk-|to grope|0|māhakkānā "to grope, grope in a pool for fish"||||mahk- "to search, grope"|||mehk- "to search"|mahk- "to search"|mehkānā "to search"|||||mahakkānā "(SR) to fish"|||||5483|2766
691|*mek-|stump|1919|||||||||||||||meka (SR)|||||5109|2947
692|*meli-|to move|0||||||||||melhānā "to shake"|||||mellī- "(Su.) to move"|||Also Gondi̲Elwin \Italla melihānā\i to shake head in trance; Gondi̲A (Su.) \Imellūs-\i to cause to move||4736|2956
693|*mes|small bee|0|mas phukī "the smallest kind of bee"||||mas "a kind of small bee"|mesi "a kind of small bee"|||||||||mes "(SR) beehive"|||Also Gondi̲A (SR) \Imes nayi\i honey||4843|2957
694|*val|whetstone|883|||||||||||||||mesi-val|||||5285|2959
695|*meṭ-ā|mountain, hill|436|maṭṭā "mountain"|maṭṭā "mountain"|maṭṭā "mountain"||maṭṭa "mountain"|meṭa "hill"||meṭṭa|meṭa "hill"|meṭā, meṭa|meṭā||||meṭṭa "hill"|meṭṭa "hill"||Also Gondi̲A (SR) \Imeṭṭā\i hillock||5058|2949
696|*mejsi-|to sharpen|0|masītānā "to sharpen a razor or knife on a hone"|massītānā||||mēs-| "mēy-"|to sharpen||mēs-|||||mesi-, (SR) mesiyānā "to whet"|||Also Gondi̲SR \Imesītānā\i to polish; Gondi̲Tr \Imasol ṭōngī\i, Gondi̲Ch \Imasel ṭoŋgī\i, Gondi̲A, Gondi̲Y \Imesel banḍa\i, Gondi̲A \Imeśi-val\i, Gondi̲G \Imesel kal\i, Gondi̲Mu \Imesel\i whetstone; Gondi̲W \Imasān\i hone||4628|2958, 2959
697|*mēk-ā|goat|0||||||||mēka||mekā||||||||||5087|
698|*mēl-|good|1222||||||mēlo "bad"||mēlta||||||||||Also Gondi̲Elwin \Imelo\i taboo (of places, actions, relatives)||5086|2967
699|*mēnḍ|full, whole|0|mēnḍ (obl. mēṭ-, pl. mēhk) "full (used suffixally, e.g. \Iḍoppō-mēnḍ\i a leafplate full)"|mēṛ "full, whole, entire, complete"|mēṛ "full, whole, entire, complete"||menḍ (pl. mehk) "full, whole, entire, complete"|nār̨ menḍu "the whole village"||||||||||||Also Gondi̲Mu \Imeṭaŋ\i having the total of; Gondi̲Ma \Inār̨ meṭor\i all the people of the village||5060|2950
700|*mēndul|body|1095|mēndur (obl. mēnduḍ-)|mēndul|||||||mēndul|mēndul|meṇḍū̆l||||mēndul, (SR) meṇḍol|||||5099|2963
701|*mēnǯ|egg|437|mēnj (pl. mēsk)||||mēnj (pl. mēsk)|mēnj(i) (pl. mēsku)|||mēs (pl. -k)|||||mēnj (pl. mēsk)||||||5088|2962
702|*mēṛ-ā|large house, bungalow|986||||||||mēṛā||||||||||||4796|2965
703|*mēt-|fenugrek seeds|0|||||||||||||||mētīŋ (Su.)|||||5072|
704|*mēj-|to graze|438|mēīānā "to graze (of cattle and of ground-feeding birds)"||||māy- "to graze (intr.)"|mēy- "to graze (intr.)"|mēy- "to graze (intr.)"||mēy- "to graze (intr.)"||||||mēy- "to graze (intr.)"|||Also Gondi̲Tr \Imehtānā\i to graze cattle; \Imehtārī\i grazier, herd; Gondi̲M \Imehānā\i to graze; Gondi̲A, Gondi̲Y, Gondi̲D \Imēh-\i, Gondi̲Mu, Gondi̲S \Imeh-\i, Gondi̲Ma \Imēʔ-\i to grze (tr.)||5093|2964, 2968
