NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
1167|*kavand-i|quilted cover|0||kavanti, kavantikai|quilted cover made of rags to keep off cold|||||kavadi, kavidi, kavudi|quilted cover for the night, quilted rags used as a bed or as a saddle||||||||*kavd-|1349|||||||||1324|N
1168|*kav-|to separate; branch, fork|726||kavar (-v-, -nt-)|to separate into various channels, deviate, depart from instructions; churn (or with DEDR 1340)|(\I-pp-, -tt-\i) to branch off (as roads), fork, bifurcate; n. bifurcated branch (as of tree or river), prong; \Ikavarppu\i forking, bifurcation; \Ikavarpu\i differing; \Ikavaṭu\i branch of tree, forked branch, separation, division; \Ikavaṭṭi\i, \Ikavaṭṭai\i fork of a branch, branching root; \Ikavuṭṭi\i space between the thighs; \Ikavalai\i forking of branches, place where several ways meet; \Ikavai\i (\I-pp-, -tt-\i) to fork (as a branch); n. division, cleavage (as of hoof, a crab's claws), branch of a tree, forked stick, crossroads; \Ikavam\i, \Ikavvam\i churning stick; \Ikavvu\i fork of a branch or horn; \Ikappu\i forked branch, branch, bough, cleavage, cleft; \Ikappi\i (\I-pp-, -tt-\i) to fork as a branch|kava|forked branch, space between the legs|\Ikavekka\i to stand astride; \Ikavaṭi\i pitch-fork; \Ikavaṭṭa\i the forked branch of a tree; \Ikavaram\i, \Ikavar\i bifurcated branch or shoot, prong of a pitch-fork; \Ikavarikkuka\i to shoot forth as a forked branch; \Ikavala\i place where two roads meet; \Ikappu\i bifurcated branch|kaval|to become bifurcated or forked, branch off; n. bifurcation, forked or lateral branch, forked stick, divided state, couple, pair|\Ikavate\i forked state; \Ikavaḍu\i, \Ikave\i = \Ikaval\i n.||||kaba|space between the fingers|\Ikabarụ\i forked or lateral branch, forked stick; forked; \Ikabe\i forked stick; cloven, forked; (B-K.) \Ikappu\i fork of a wooden post|*kavӓ|294|||||||||1325|N
1169|*kav-, *kav-ar-|to seize, grasp, catch|538||kavar (-v-, -nt-)|to seize, grasp, catch, steal, get control of, receive, experience, desire, have sexual connexion with|\Ikavarcci\i captivation, attraction; \Ikavarvu\i id., desire; \Ikavavu\i (\Ikavavi-\i) to desire, embrace, copulate; n. copulation; (inscr.) \Ikavar̲r̲u\i (\Ikavar̲r̲i-\i) to attract; \Ikavai\i (\I-pp-, -tt-\i) to include, join with, embrace|kavaruka|to plunder, rob|\Ikavarcca\i robbery, plunder|kavar|to take away by force, seize, strip, plunder|\Ikavarte\i, \Ikavate\i taking by force, seizing, plundering||||||||0|||||||KOR (M) \Ikamḍɨ\i to steal||1326|N
1170|*kabar-/*kavar-|chowrie, braid|0||kavari|chowrie||kavaram|hair-plait|\Ikavari\i hair-plait; woman with fine hair; yak; yak's tail, chowrie|kabari, kavari|braid of hair, knot of braided hair|||||kabari|tufted hair of females|||0|||||||||1327|N
1171|*gav-|to care; to feel sympathy, pity|374||kaval (kavalv-, kavan̲r̲-), kavali (-pp-, -tt-)|to be distressed, troubled|\Ikaval\i, \Ikavalai\i care, anxiety, distress, concern, interest, fear; \Ikavar̲ci\i anxiety, grief, desire; \Ikavarvu\i sorrow; \Ikavar̲r̲u\i (\Ikavar̲r̲i-\i) to cause anxiety or sorrow; \Ikavar̲al\i being anxious, sorrowing; \Ikavan̲am\i attention, care; \Ikavan̲i\i (\I-pp-, -tt-\i) to be attentive, attend to, heed, observe; \Ikavi\i (\I-v-, -nt-\i) to be eagerly intent upon; \Ikavvai\i affliction, distress, anxiety, care, concern, business; \Ikauvai\i affliction, distress|kavanam|care|\Ikavanikka\i to be diligent; \Ikavala\i perplexity; \Ikavalikkuka\i to be perplexed, confused, bewildered; \Ikavva\i concern, needful|gavana|attention, care, heed|\Igavanisu\i, \Igavisu\i, \Igamanisu\i to heed||||gava|sense, sensation, consciousness||*gavӓ|197|||||||||1328|N
1172|||0||kavar̲u|dice, gambling||kavar̲u|die||||||||||||0|||||||||1329|N
1173|||0||kavar̲ai|Balija caste among the Telugus||kavar̲a|a tribe trading with glass bracelets, baskets, etc.||gavar̲iga|a man of the basket- and mat-maker caste|||||||||0|||||||||1330|N
1174|||0||kavān̲|thigh|||||||||||||||0|||||||||1331|N
1175|*gav-i|cave|1994||kevi|deep valley, cave|||||gavi|cave|(Nanj.) \Igambu\i cave of wild animals||||gavi|cave, hole, cell|||0|||||||||1332|N
1176|||0||kavi (-v-, -nt-)|to break down (as the bank of a river), crash, fall||||||||||||||*kav-|297|||||||||1333|N
1177|*kav-|rancid; stench|0||kaviccu|stench of fish, raw flesh, rotten eggs|\Ikavul\i, \Ikaul\i fetid odour, bad smell|kavar, kaur|offensive smell of the body||kamaṭu, kamuṭu|rankness, rancidity, fetid smell, esp. of dirty clothes; the disagreeable smell of burnt oil or ghee|\Ikavuṭu\i the disagreeable smell of burning oil, fish, raw meat, eggs, ulcers, etc.; \Ikavuru\i, \Ikavval\i a strong or bad smell; \Igavulu\i, \Igavalu\i, \Igavuḷu\i a fetid smell, as that of sweat or of oil or the body||||kauṇṭụ, kauṇṭu|rancidity; rancid|\Ikauṇṭuni\i, \Ikauṇḍuni\i to become rancid; \Ikauḷu\i odour, scent, smell, a kind of perfume, stench||0|||||||||1334|N
1178|*kav-|to overturn|1885||kaviṛ (-v-, -nt-)|to be capsized, turned bottom upwards, bow one's head from modesty, shame, or confusion, stoop, bend down, be overthrown|(\I-pp-, -tt-\i) to turn over, capsize, overthrow, destroy, put a cover on; (Tinn.) \Ikavuru\i to capsize; (NTD) \Ikamur\i to be upside down|kaviṛuka, kamiṛuka|to be overturned, upset, overwhelmed|\Ikaviṛttuka\i, \Ikamiṛttuka\i, \Ikamuttuka\i, \Ikamikka\i to upset, overthrow, lay flat|kavicu, kavacu, kavucu|to be turned upside down, be overthrown or upset; turn upside down, etc.||kaviN- (kaviNv-, kaviNñj-)|to bend or lie face downwards|(\IkaviNmp-\i, \IkaviNñc-\i) to turn face downwards (tr.)|kapparụ|on the face|\Ikabbe\i, \Ikabya\i topsyturvy, upside down; \Ikauñca\i topsyturvy, upside down|*kav-|921|||||||||1335|N
1179|||0||kavuci|fainting|||||kavaḷi|a swoon|||||||||0|||||||||1336|N
1180|*kaviḷ|cheek|0||kavuḷ|cheek, temple or jaw of elephant||kaviḷ|cheek||||||||kauḷu|the cheek|\Ikavuṇḍrasa\i, \Ikavuḍrasa\i cancer of the cheek||0|||||||||1337|N
1181|*gavḷ-i|lizard|376||kavuḷi, kauḷi|lizard||gauḷi|lizard, esp. Lacerta gecko||gavuḷi, gavaḷi|house lizard||gavḷi|big lizard||gauḷi|a kind of lizard|||0|||||||||1338|N
1182|||0||kavun̲i|gate or fort of a city|||||||||||||||0|||||||||1339|N
1183|||0||kavar (-v-, -nt-)|to churn (or with DEDR 1325)|||||kavvare, kavvaḷe, kauvare, kōvari, kavaḷi|a turning or whirling round, agitation, confusion|||||||||0|||||||||1340|N
1184|*kav-|roar, noise; scandal|539||kavvai|din, roar; scandal, slander|\Ikauvai\i sound, noise, roar; scandal; \Ikavar\i (\I-v-, -nt-\i) to call, summon||||kava|imit. sound of angry language|\Ikavakava anu/māḍu\i to chide, scold; \Igavuji\i, \Igavuju\i noise, hubbub; \Igāvara\i, \Igāvaḷi\i sound, noise, outcry||||gauji|noise, tumult, alarm, agitation|||0|||||||||1341|N
1185|||0|||||||||||||||||*kavĭḷ|299|||||||||1343|N
1186|||0||kaṛakam|assembly, college, gymnasium||kaṛakam|a temple (chiefly considered in its political bearings), a temple service; assembly (of village elders, scholars)||||||||||||0|||||||||1345|N
1187|||0||||||||kaṛakaṛisu, kaḷakaḷisu|to glitter|||||kalakala|brightly|||0|||||||||1346|N
1188|*kaṛ-V- (?)|molucca bean|0||kaṛaŋku, kaṛal, kaṛar̲ci, kaṛar̲-kāy, kecca-kkāy (< \ITe.\i)|molucca bean (Caesalpinia bonducella), bonduc nut||kaṛacci, kaṛañci, kaṛar̲r̲i|Guilandina bonducella||gajuga, gajjuga, gajiga, gajjiga, gajige, gajaga, (\IGowda\i) kǝḷiñjikāyE|molucca bean, Guilandina bonducella Lin.|||||gajigè, (\IB-K.\i) kaḍeñji, kaḷeñji|molucca bean, Guilandina bonducella|||0|||||||||1347|N
1189|||0||kaṛañcu|a weight = 1/6 oz. troy||kaṛañcu, kaṛaññu|a drachm, weight of two silver fanams||kaṇaju, kaṇañju|a weight used in weighing coral|||||||||0|||||||||1348|N
1190|*kaṛal-|to be loose; to loosen|529||kaṛal (kaṛalv-, kaṛan̲r̲-)|to become loose (as a fastening, shoe, handle, hair, part of any mechanism), be unhinged, slip off, slough off, become extricated, disentangled, be put out of joint, fall out (as a loose tooth)|\Ikaṛar̲r̲u\i (\Ikaṛar̲r̲i-\i) to unfasten, loosen, unhinge, dislocate, unlock, disentangle, extricate, strip, take off, divest, remove; \Ikaṛāala\i (inf.) to unloose or divest; \Ikaṛāl\i weeding, uprooting; \Ikaṛālu\i (\Ikaṛāli-\i) to become loose; \Ikaṛi\i (\I-v-, -nt-\i) to be removed; (\I-pp-, -tt-\i) to remove, strip off|kaṛaluka|to slip|\Ikaṛar̲r̲uka\i to slip off, put off; \Ikaṛiyuka\i to become loose, undone; \Ikaṛikka\i to unloose, untie, remove|kaṛal|to slip off, drop down, get loose; throw away, remove, pull out (as a sword)|\Ikaṛalcu\i to make separate, pull out, remove; \Ikaṛi\i to unloose, remove; \Ikaḷe\i to become loose; draw out (as a sword from a sheath), remove, throw away; \Ikaḷacu\i to become loose; \Ikaḷa\i state of being loose|kay- (kayp-, kayc-)|to remove, undo (knot)||kaḷeyuni, kaḷevuni|to become loose (as the bands of a box, etc.)||*kaṛǝl-|857|||||||||1349|N
1191|*kaṛ-|to protrude, to swell|0||kaṛal (kaṛalv-, kaṛan̲r̲-)|to protrude, bulge out, pass through (as an arrow)|\Ikaṛalai\i wen, tubercle, tumour|kaṛar̲r̲uka|to protrude|\Ikaṛala\i a swelling (chiefly in the groin)|gaḷalE|(Gowda) swelling of a gland|||||karalè|a swelling|(B-K.) \Ikaḷale\i a swelling at the joints|*kaḍ-ǝv-|1332|||||||||1350|N
1192|*kaṛal-|anklet|0||kaṛal|anklet, toe-ring, sandal, foot||kaṛal|foot||kaṛal|foot-ring, anklet|||||||||0|||||||||1351|N
1193|||0|||||kaṛal|piece of sugar-cane||kaṛalu|two or three of the upper joints of a sugar-cane that are insipid|||||||||0|||||||||1352|N
1194|||0|||||kayal|shoot or branch growing from the root||kaṛale, kaṛile|bamboo shoot|||||kaṇile|tender bamboo shoot||*kajǝl|930|||||||||1353|N
1195|||0||kaṛar̲u (kaṛar̲i-)|to thunder|||||||||||||||0|||||||||1354|N
1196|*gaṛ-[Vd-]|field|2010||kaṛan̲i|field, paddyfield, mud||kaṛani|mire, ricefield||gaṇṇa|a division of paddy-land, a paddy-field|\Igaṛde\i (inscr.), \Igarde\i, \Igadde\i field, esp. paddyfield; (Hav.) \Igedde\i field||||kaṇḍo, gaṇṇa|(B-K.) field||*gad (*-ṛǝd)|1283|||||||||1355|N
1197|*kaṛ-i-|to pass, slip away; to defecate|530||kaṛi (-v-, -nt-)|to pass (as time, season), slip away (as prosperity, adversity), elapse, become spent, be ruined, expire, die, finish, come to an end, be discharged (as excreta)|(\I-pp-, -tt-\i) to reject, discard, separate, abandon, deduct, cut off (hair, nails), prune, spend or waste (as time), void (excreta); \Ikaṛiccal\i diarrhoea; \Ikaṛical\i that which is rejected; \Ikaṛintār\i deceased persons, poor or destitute persons; \Ikaṛippu\i (\Ikaṛippi-\i) to spend, pass (as time), complete; n. expulsion, rejection, that which is cast aside; \Ikaṛiyal\i departing, that which is cast away; \Ikaṛivu\i passing (as time), leaving (as a place), discharging (as from the bowels), waste, refuse, deduction, death, destruction; \Ikaṛal\i (\Ikaṛalv-\i, \Ikaṛan̲r̲-\i) to pass away, disappear, be extended|kaṛiyuka|to pass, be spent, be over, live|\Ikaṛikka\i to make to pass, pass time, live, die, kill; \Ikaṛiccal\i diarrhoea; \Ikaṛippu\i what is rejected|kaṛi|to go or be removed very far, pass away, end, die; make to pass, purge; n. going far, a great distance|\Ikaṛipu\i to cause to go away, remove; pass or move over, cross; \Ikaṛivu\i ending, etc.; \Ikaṛalisu\i, \Ikaṛalcu\i to put aside, lose; \Ikaḷe\i, \Ikaḷi\i to send forth, abandon, reject, spend (as time and money), leave behind|kayy- (kayyuv-, kayñj-)|(time) passes|\Ikay-\i (\Ikayp-, kayc-\i) to pass (time); perform (ceremony)|kariyuni|to elapse, expire, pass (as time)|\Ikaripuni\i to deduct, subtract, spend, remove; \Ikaripè\i, \Ikaripelụ\i deduction; \Ikaḷeyuni\i, \Ikaḷevuni\i to lapse, pass (as time), be spent (as money); \Ikalevuni\i to be deducted; \Ikalepini\i, \Ikalepuni\i to subtract, deduct|*kaṛ-ĭ-|267|||||||KOR (M) \Ikaḷe\i, (T) \Ikale\i to remove||1356|N
1198|||0||kaṛi (-v-, -nt-)|to be able (dial.)||kaṛiyuka|to be possible, able, must|(Tiyya) \Ikayivu\i ability||||kayy- (kayyuv-, kayñj-)|to be possible||kariyuni|to be able or possible|||0|||||||||1357|N
1199|||0||kaṛi|much, great, excessive|(\I-v-, -nt-\i) to be great in quantity or quality, be abundant, extensive; \Ikaṛiya\i exceedingly; \Ikaṛivu\i excess, abundance, surplus||||kaṛi|to be excessive|\Ikaṛiha\i exceeding||||||||0|||||||||1358|N
1200|||0||kaṛi|backwater, shallow sea-waters, salt river, marsh, saltpan|\Ikaḷappu\i shallow part of the sea; \Ikaḷar\i saline soil, bog; \Ikaḷari\i saline soil|kaṛi|sea-arm, ebbing brook, salt marsh|\Ikaḷar\i saline soil, alkaline earth||||||||||*kaḷ-ĭ-|1334|||||||||1359|N
1201|*kaṛ-|stake for impaling|0||kaṛu|stake for impaling criminals, sharp-pointed pieces of wood strung around cow's neck, trident||kaṛu, kaṛuku|stake for impaling malefactors||kaṛ, kaṛu|an instrument for perforating an elephant's ear||||||||*kāṛ|933|||||||||1361|N
1202|*kaṛ-|vulture|2011||kaṛu, kaṛuku|griffin vulture (Gyps indicus), pharaoh's chicken (Neophron gingimanus), eagle (Aquilinae falconidae)||kaṛu, kaṛuku, kaṛukan|eagle, vulture||||||||karu, (\IB-K.\i) kaḷu|vulture||*kaḍ-ǝḷ|926|||||||||1362|N
1203|||0||kaṛu|green turf|||||||||||||||0|||||||||1363|N
1204|*kaṛud-ai|donkey|561||kaṛutai|ass||kaṛuta|ass||kaṛte, katte|ass||katte|ass||katte|ass||*kaṛtĭ|264|||||||||1364|N
1205|||0||kaṛutai-muḷḷi|holly-leaved bear's-breech, Acanthus ilicifolius||kaṛu-muḷ, kau-muḷ|a tree whose fibres serve as string||||||||||||0|||||||||1365|N
1206|*kaṛt-|neck|527||kaṛuttu|neck, throat||kaṛuttu|neck (of man, animal, plant, vessel, etc.)||kattu|neck, throat|\Igaṇṭalu\i, \Igaṇṭlu\i, \Igaṇṭala\i throat||||kaṇṭelụ|neck, throat||*kaḍǝt-ǝl|1344|||||||IRU \Ikaṇucu\i neck, throat||1366|N
1207|||0||kaṛuntu|rounded end, as of a pestle or bow; tenon||kaṛunnu|notched extremity of a bow||||||||||||0|||||||||1367|N
1208|*Kaṛ-um-||1918||kaṛumu (kaṛumi-)|to be full, complete, abundant, copious, overflow; n. denseness as a tuft of hair|||||||||||||||0|||||||||1368|N
1209|*kaṛ-|to wash|528||kaṛuvu (kaṛuvi-)|to wash, rinse, purify|\Ikaṛu-nīr\i water in which rice has been washed, sacred water for cleansing away sin; \Ikaṛunar\i those who wash away dirt or sin; \Ikāṛiyan̲\i washerman, dhoby|kaṛukuka|to wash, cleanse, wash off||karcu, kaccu|washing, water in which raw rice has been washed|\Ikarcu\i to wash|katt- (katti-)|to wash (plate, hands)|(Shanmugam) \Ikatt\i washing||||*kaṛ-|266|||||||KOR (M) \Ikacci\i to wash vessels||1369|N
1210|*Kaṛ-ai|pole, stick|371||kaṛai|pole used for propelling boats, elephant-goad, stem of sugar-cane, shaft of a bamboo, bamboo bottle, spiny bamboo|\Ikaṛi\i rod, staff, stick, handle of tool, peg to keep a yoke in place, lath; \Ikaṛāy\i acrobat's pole, spiny bamboo; \Ikaṛāyar\i pole-dancers, tumblers; \Ikāṛ\i post, pillar, oar, iron rod, elephant-goad, bolt, handle, rafter, firewood|kaṛa|bamboo, pole for carrying burdens|\Ikaṛi\i staff of hoe, pin of yoke|gaṛ, gaṛa, gaṛu, gaṛuvu, gaṛe, gaḍe, gaḍi|bamboo rod or stake, bamboo, pole, staff, bamboo pole on which Kollaṭigas or Dombas tumble, churning stick||gaḷe|long stick||kari|bar with which a door is fastened, pole fastened to a load by which it is carried on the shoulders|\Ikarè\i, \Igarè\i the pole to which a bucket is attached in a country water-lift; \Igaru\i, (B-K. also) \Ikaru\i, \Igaḷu\i rafter|*kaḷ- (*g-)|901|||||||||1370|N
1211|*kaḷ-|to rob, steal|492||kaḷ (kaṭp-, kaṭṭ-)|to rob, steal, deceive; n. stealing, theft, robbery|\Ikaḷavu\i robbery, theft, deceit, hypocrisy, stolen property; \Ikaḷavāṇi\i, \Ikaḷavāḷi\i, \Ikaḷvan̲\i thief; fem. \Ikaḷvi\i; \Ikaḷvam\i act of thieving; \Ikaḷḷattan̲am\i cunning, craftiness, hypocrisy; \Ikaḷḷam\i guile, deception, secrecy, lie, stealing, robbery, fraud; \Ikaḷḷal\i stealing; \Ikaḷḷan̲\i thief, robber, deceitful person; \Ikaḷḷi\i female thief, woman who shirks work; \Ikaṭṭal\i theft, robbery; \Ikaṭṭōr\i thieves, robbers; \Ikaṭpōn̲\i thief; \Ikaṇan̲\i id., rogue|kaḷkkuka, kakkuka|to steal|\Ikaḷavu\i theft, lie, cheat; \Ikaḷavan\i thief; \Ikaḷḷam\i theft, untruth, false, forged; \Ikaḷḷattaram\i deceit, artifice; \Ikaḷḷan\i thief, liar, rogue; fem. \Ikaḷḷi\i, \Ikaḷḷatti\i|kaḷ (kaḷd-)|to steal; n. stealing, falsehood, deceit|\Ikaḷavu\i, \Ikaḷahu\i, \Ikaḷa\i theft; \Ikaḷḷa\i, \Ikaḷa\i thief, rogue; \Ikaḷḷati\i, \Ikaḷḷe\i female thief|kaḷ- (kapp-, kaṭṭ-)|to steal|\Ikaḷḷë\i thief, false, counterfeit; \Ikaḷḷi\i female thief; \Ikaḷḷatana\i state of being a thief|kaṇḍuni|to steal|\Ikaṇḍu\i thief, rogue; \Ikaṇḍụ\i, \Ikaṇḍụdi\i stolen; \Ikaṇḍelụ\i thievish, stealing; \Ikaṇḍelụtana\i thievishness; \Ikaṇḍele\i male thief; fem. \Ikaṇḍelu\i; \Ikaṇḍoṇuni\i to steal, rob; \Ikaḷavu\i theft, robbery; \Ikaḷu\i false, untrue, fraud, cheating, lie; \Ikaḷve\i thief, robber; \Ikaḷḷa\i deceitful, dishonest; dishonesty, stealing; \Ikaḷḷaṇṭi\i, \Ikaḷḷaṇṭigè\i dishonesty, falsehood|*kaḷ-|263|||||||||1372|N
1212|*kaḷ-|to weed|493||kaḷ (kaṭp-, kaṭṭ-)|to weed, pluck|\Ikaṭpu\i weeding; \Ikaṭṭal\i weeding, plucking off, pulling out; \Ikaḷai\i (\I-v-, -nt-\i) to weed, pull up, pluck out, remove, extirpate, exterminate; n. weeds; \Ikaḷaiñan̲\i one who weeds; \Ikaḷaivu\i weeding, stripping off, extirpation|kaḷa|weed, tares|\Ikaḷayuka\i to get rid of, abolish|kaḷe|to pull off, remove, destroy; n. weed|\Ikaḷacu\i to remove, pull off, pull out, let drop; (UNR) \Ikaḷubu\i weeds and grass standing in corn|kaḷe|weeds|? (Shanmugam) \Ikaḷe\i to dig; \Ikaḷep\i digging|kalepini, kalepuni|to strip off, remove|\Ikalevuni\i to be stripped|*kaḷ-|262|||||||KOR (M) \Ikaḷe\i, (T) \Ikale\i to remove||1373|N
1213|*kaḷ|toddy; intoxicated|490||kaḷ|toddy, honey|\Ikaḷi\i (\I-pp-, -tt-\i) to be intoxicated, be in rut, exult, rejoice, be proud; n. intoxication, delight, mirth, toddy, honey, drunkard, pride, must of elephant; \Ikaḷippu\i intoxication, delight, pride; \Ikaḷiyan̲\i drunkard; \Ikaḷir̲u\i male elephant|kaḷ, kaḷḷu|toddy|\Ikaḷi\i play, game, jest; \Ikaḷikka\i to play, sport; \Ikaḷippu\i infatuation, pride; joy, exultation, hilarity; play, entertainment; \Ikaḷimpam\i playfulness, as of children; \Ikaḷir̲u\i male elephant|kaḷ, kaḷḷu, kallu|toddy||kaḷḷɨ|alcoholic liquor|\Ikaḷi\i play; (\Ikaḷip-\i, \Ikaḷic-\i) to play|kali, (\IB-K. also\i) kari, kaḷi|toddy, liquor||*kaḷ|1333|||||||||1374|N
1214|*kaḷanǯ-|granary|0||kaḷañciyam|granary, storeroom||kaḷañciyam|granary, barn, godown, storeroom, repository||kaḷañji, kalañji, gaḷage, gaḷige|corn-bin, large basket in which corn is stored|\Ikaṇaja\i id., granary||||kaṇaja|granary, barn|||0|||||||||1375|N
1215|*kaḷ-am|threshing floor|491||kaḷam, kaḷan̲|place, open space, threshing floor, battlefield|\Ikaḷamar\i husbandmen, śūdras, slaves; warriors; \Ikaḷari\i arena, area for dramatic, gladiatorial, or gymnastic exhibitions, assembly, place of work or of business|kaḷam|threshing floor, level place for spreading grains for drying, battlefield|\Ikaḷari\i id., fencing school; \Ikaḷḷi\i square space, garden bed|kaḷa, kaṇa|threshing floor, battlefield||kaḷa|threshing floor||kala|a square, bed of flowers, etc., place where pariahs assemble||*kaḷ-ǝm|265|||||||||1376|N
