NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
301|*pār̲|upper arm|3464|*pār̲ (\Iobl.\i *pāt̲-)|pār "in: \Ikay pār\i upper arm (Kota Texts 25.57)"|pōr̲ (\Iobl.\i pōt̲-) "upper arm, (?) upper limb (shoulder to fingers)"|||4122
302|*kar̲ĭ-|to laugh|1231|*kar̲-ǐ- (\Ip.\i *kar̲-ǐ-d-); *kar̲-ǐk [\I"laughter"\i]|kayr- (karc-)|kar̲y- (kar̲s-)|Also Toda \Iker̲k\i laughter||1392
303|*kaḍĭ-|to bite, scratch|978|*kaḍ-ǐ- (\Ip.\i *kaḍ-ǐ-t-)|kayṛ- (kaṛc-) "to bite"|koṛy- (koṛc-) "to have desire to scratch"|Also Kota \Ikayṛ\i, \Ikayṛḷ\i a bite||1124
304|*kākӓ|crow|1259||kāk, kāyk|kāk|Also Kota \Ikȧ̇̇\i, \Ikȧ̇̇ kȧ̇̇\i noise of crow cawing; Toda \Ikān-\i (\Ikād̲-\i) to caw (i. e. \Ikā- + ɨn-\i, \Iɨd̲-\i to say)||1425
305|*kās|rupee|1263||kāc|kōs|||1431
306|*kāj-|to be hot|1283|*kāj- (\Ip.\i *kās-), \Icaus.\i *kāj-c- (\Ip.\i *kāj-c-ǐ-)|kāy- (kāc-) "to become hot, warm oneself, bask in sun"|kōy- (kōs-) "to be hot, (sun, moon) shines, boil, bask in sun"|Also Kota \Ikāc-\i (\Ikāc-\i) to make hot, boil, dry before fire; \Ikāŋg\i heat of fire or sun; ? \Ikākōl\i a spit (\Ikōl\i stick); Toda \Ikōc-\i (\Ikōč-\i) to heat (tr.), boil; \Ikōs fӧṭy(k)\i lamp lit in funeral hut (cf. 5475); \Inīxoy-\i (\Inīxos-\i) to be thirsty (i. e. \Inīr\i water + \Ikōy-\i)||1458
307|*kādǝl|muscle|1314||kādl "flat band of muscle on either side of backbone"|? kōṣf- (kōṣt-) "to be envious"||It is not excluded that both forms belong together if (a) Toda \Ikōṣf-\i < \I*kāṛ-ǝp-\i (= Tam. \Ikāṛ\i) and (b) Kota \Ikādl\i < \I*kāṛ-dal\i (= Mal. \Ikātal\i). Cf. PN \I*kar-tal\i for a similar suffix. The semantics of the Toda form, however, is somewhat dubious.|1491
308|*kāl|leg, foot|1302||kāl "leg, foot, base (of tree), quarter"|kōl "leg, foot, quarter, family, progeny"|Also Toda \Ikaḍ xōl mox\i last-born son (for \Ikaḍ\i, see 1109); \Ikōlk ɨr-\i (child) sits on mother's leg to defecate; \Ikōs̲\i excrement; \Imēṇ gōs̲\i shade (lit. foot) of tree|Toda \Ikōl\i is irregular; if \Ikōs̲\i "excrement" does somehow belong here (cf. \Ikōlk ɨr-\i), it represents a more regular reflection of the root. One has to  assume influence of Kota or literary languages.|1479
309|*kāl|village|1307||kāl "in: \Ikō kāl\i Kota village (cf. 1762)"|kwӯ kōl "id."|Also Toda \Ikōl\i id. (in song-unit: \Ikōlɨš xwӯf\i Kota in the Kota village)|Irregular \I-l\i in Toda. Borrowing from Kota?|1484
310|*kā-|to watch, guard|1254|*kā-v- (\Ip.\i *kā-t-); *kā-v-ǝl [\I"act of watching"\i]|kāv- (kāt-)|kōf- (kōt-) "to wait, watch, (woman) marries (man)"|Also Kota \Ikāvl\i act of watching, gaol; \Ikāpāṛ-\i (\Ikāpāṛy-\i), \Ikāpāt-\i (\Ikāpāty-\i) to help, save; Toda \Ikōfɨl\i act of watching||1416
311|*kār̲-|to vomit|1300|*kār̲- (\Ip.\i *kār̲-ǐ-); *kān- (\Ip.\i *kān-d̲-)|kār- (kāry-)|kōn- (kōd̲-)||The Kota stem is weak (= Tamil \Ikār̲u\i); the Toda stem is strong, reflecting the development \I*kār̲-d-\i > \I*kānd̲- \i(= Tamil \Ikāl\i, p. \Ikān̲r̲-\i), and the \I-n-\i in the present stem has most probably replaced the original \I-r̲-\i under the influence of the past stem.|1477
312|*kār-|hot, pungent|1291|*kār-ǝm (\Iobl.\i kār-ǝt-)|kārm (\Iobl.\i kārt-) "hot taste (of peppers, chillies, etc.), burning sensation if pepper is put in eye"|kōrm "curry"|Also Toda \Ikary-\i (\Ikarc-\i) (nose) tickles||1466
313|*kāḍ|field; jungle|1270|*kāḍ (\Iobl.\i *kāṭ-)|kāṛ (\Iobl.\i kāṭ-) "jungle without trees, uncultivated ground, unfenced field"|kōṛ (\Iobl.\i kōṭ-) "cultivated field"|Also Kota \Ikāṛōn\i man not of one's own family (= \Ikaṇḍōn\i); Toda \Ikōḍ\i uninhabited place; \Ikōḍ sōty\i wild animal||1438
314|*kāt̲|wind|1304||kāt̲|kōt̲|||1481
315|*kāv|handle|1280||kāv|kōf "hollow stem, handle of tool"|||1454
316|*kāj-|unripe fruit|1284||kāy "unripe fruit, coconut"|kōy- (kōc-) "to bear fruit"|Also Toda \Ikōy\i unripe fruit||1459
317|*ke-|red|1686||ken, kēt|kӧ-  (e. g. \Ikӧ moṇ\i red soil; \Ikӧ mōs̲\i n. pr. reddish buffalo)|Also Kota \Ikep\i red, redness; \Ikep āv\i, \Iken āv\i red cow; \Ike nāy\i wild dog; \Ikeky\i red clay; \Ikeb gal\i flint; \Ikē kaṭy\i clinkers (i. e. red lumps) from smithy fireplace; \Ikepn\i n. pr. red bullock or male dog; fem. \Ikepy\i; \Ikempn\i n. pr. man; \Ikempy\i n. pr. woman; Toda \Ike nōy\i wild dog||1931
318|*keb-|a k. of vessel|0||keby, keb-giṇḍy "globular metal drinking-vessel with spout"|kӧb "small brass vessel"|(?) Also Toda \Iteb\i copper; \Itӧ/b/bɨɫ̣y\i copper ring (in songs)|Toda \Iteb\i definitely belongs with Tamil \Icempu\i id., but it is not quite clear how these forms are related to PN \I*keb-\i.|2775
319|*kecǝl|udder|1708||kecl|ket̲s̲||In Toda \I*kecǝl\i > \Ikecǝs̲\i and (through assimilation) > \Iket̲s̲\i.|1962
320|*kedӓ|lower belly|1690||ked "belly from navel to groin"|keϑ "lower belly (of man)"|||1938
321|*kenḍ-|to flay|1356|*kenḍ- (\Ip.\i *kenḍ-ǐ-)|kej- (kej-) "to flay, cut open or cut up (carcass, meat)"|kӧḍ- (kӧḍy-)||Kota \Ikej-\i appears under the influence of the past stem (where \I*kenḍǐ-\i regularly > \Ikej-\i).|1542
322|*kerӓ-|to scratch|1371|*ker-ӓ-p- (\Ip.\i *ker-ӓ-t-)|kekarv- (kekart-), kekrv- (kekrt-) "to scratch lightly (to wake a person), (cattle) paw the ground before fighting, (animal) digs"|kerf- (kert-) "to scratch, egg on"||In Kota there is a reduplication (probably expressive in nature). Base vowel \I-ӓ-\i indicated by external data.|1564
323|*keḷӓ|economic partnership|1748||keḷ "economic partnership between Kota and Toda"|keɫ̣ "economic partnership between members of various Nilgiri communities"|||2018
324|*kVp-|frog|1072||kepak "frog, toad"|kopɨn||The vocalism is unclear (expressive root).|1224
325|*ker̲|monsoon (Sept.-Dec.)|1726||ker|ker̲ (NE)|||1982
326|*korӓ-|to snore, bark|1569|*kor-ӓ-p- (\Ip.\i *kor-ӓ-t-)|kurv- (kurt-)|kwarf- (kwart-)|Also Kota \Ikerv-\i (\Ikert-\i) to bark|Actually, it is Kota \Ikerv-\i that should be considered the regular reflection. The varinat \Ikurv-\i is either dialectal or borrowed from Tamil.|1796
327|*koḍӓ|umbrella made of leaves (only in a proverb)|1454||koṛ|kwaṛ|Also Kota \Ikeṛ\i umbrella|The variant \Ikoṛ\i is dialectal.|1663
328|*keḍ-|to die; to perish|1693|*keḍ- (\Ip.\i *keṭ-), \Icaus.\i *keḍ-ǝc- (\Ip.\i *keḍ-ǝc-ǐ-); *kēḍ (\Iobl.\i *kēṭ-) [\I"corpse"\i]|keṛ- (keṭ-) "to die, be ruined, be lost"|kӧṛ- (kӧṭ-) "to be spoiled, become bad in conduct, be extinguished, die (others than Todas)"|Also Kota \Ikeṛc-\i (\Ikeṛc-\i) to ruin, destroy, lose; \Ikēṛ\i (obl. \Ikēṭ-\i) ruin, harm, danger, loss, funeral, corpse; Toda \Ikӧṛc-\i (\Ikӧṛč-\i) to kill by witchcraft, extinguish, make to go wrong way and lose property; \Ikӧḍϑɨl\i misfortune, evil; \Ikӧḍc-\i (\Ikӧḍč-\i) to destroy (< Badaga); \Ikȫḍ\i (obl. \Ikȫṭ-\i) dead person (corpse at first funeral, relics at second funeral), funeral; \Ikȫṛ ōx-\i to die (used of Todas)||1942
329|*koḍ-|to shake, thrash|1453|*koḍ-ӓ-v- (\Ip.\i *koḍ-ӓ-d-); *koḍ-ǐ- (\Ip.\i *koḍ-ǐ-t-)|keṛv- (keṛd-) "to shake (tr.)"|kwɨṛy- (kwɨṛc-) "to move violently, thrashing about (snake when attacked, person in convulsion)"|||1662
330|*ket-|to dig|1701|*ket- (\Ip.\i *ket-ǐ-)|ket- (kety-) "to dig with hoe or other digging tool"|kӧt- (kӧty-) "to smooth (plank with adze), dig (earth with hoe)"|||1953
331|*kevĭ|ear|1719||keyv, (\IKurgōj dialect\i) kev|kɨfy|||1977
332|*kevǐḍ|deafness|1721||kevṛ|kyūḍ|Also Kota \Ikevṛṇ\i, \Ikevṛy\i deaf man, woman|Complex contextual development in Toda.|1977
333|*kerǝv|sandal, slipper, shoe|1709||kevr|kerf||Metathese in Kota.|1963
334|*kōŋilӓ|a k. of tree|1886||keygl "Rumex nepalensis (the long oblong leaves are used by girls to make dolls)"|kwāgɨl "Rumex nepalensis and Polygonum rude and chinense"|Also Kota \Ikeyg vaṇ giṛv\i Polygonum rude and chinense (closely related to Rumex nepalensis; for \Ipaṇ\i, see 4004)|Kota \Ikeygl\i < \I*kegǐl\i < \I*kōŋǐlӓ\i.|2184
335|*kēr-|to lean|1743|*kēr- (\Ip.\i *kēd-); *kēr-t- (\Ip.\i *kēr-t-ǐ-) [\I"to lean (tr.)"\i]|kēd- (kēdy-) "to lean one's back against support"|kȫr- (kȫϑ-), sȫr- (sȫd-) "to lean against (intr.)"|Also Toda \Ikȫšt-\i (\Ikȫšty-\i) id. (tr.)|In Kota the present stem was most probably modified by analogy with the past one; the \I-y-\i in the past stem is secondary. The origins of Toda \Isȫr-\i are unclear; either it is a borrowing from an unattested Tamil form, or it simply does not belong here.|2012
336|*kēḷ-|to hear|1746|*kēḷ- (\Ip.\i *kēṭ-); *kēḷ-vǐ [\I"words, news"\i]|kēḷ- (kēṭ-) "to hear, (noise) is heard"|kēɫ̣- (kēṭ-)|Also Kota \Ikēḷyv\i question, words, speech; Toda \Ikēɫ̣f\i news, word; \Ikēos̲y\i not listening (in songs; < Badaga)||2017
337|*kērĭ|street|1740||kēry, kēr "street, exogamous division in Kota village"|kēry "street of Badaga village"|||2007
338|*kēr̲-|to winnow|1749|*kēr̲- (\Ip.\i *kēr̲-ǐ-)|kēr- (kēry-) "to winnow with up-and-down motion"|kȫr̲- (kȫr̲y-)|||2019
339|*kērӓ|a k. of snake|1742||kēr vāb "sp. harmless snake"|kēr, kēr fōb "sp. snake"|||2011
340|*kōḍӓ|monsoon|1897||kēṛ "SW. monsoon"|kwāṛ "monsoon, year"|||2203
341|*kē-|wild quadruped|1745||kēy "wild goat"|kȫg "barking deer"||Final consonant unclear. Maybe we are dealing with two different suffixes (or even two different roots - note that other SDR languages have an even wider array of suffixes in this case).|2016
342|*kind-|to sprinkle|1360|*kind- (\Ip.\i *kind-ǐ-)|kid- (kidy-) "to sprinkle from ends of fingers"|kɨd- (kɨdy-)|||1546
343|*kid̲|Olea robusta|1402||kid̲|kɨd̲|||1602
344|*kiṛ-|to pluck|1383|*kiṛ- (\Ip.\i *kiṛ-t-); *kiṛ-ǐ-p- (\Ip.\i *kiṛ-ǐ-t-)|kig- (kiṛt-) "to pluck up, pull (teeth), seize forcibly, go away in a hurry"|kɨšf- (kɨšt-) "to pluck out by roots, rape"|Also Kota \Ikit-\i (\Ikity-\i) to tear with the teeth; \Ikiv-\i (\Ikivd-\i) to become torn; (\Ikivt-\i) to tear|It is not clear whether Kota \Ikit-\i, \Ikiv-\i really belong here or have to be treated as different roots.|1581
345|*kil-|small; few|1374||kil gaṭ- (gac-) "to be too small for one's years"|kɨs̲f "a few"|||1571
346|*kiḷĭ (?)|parrot|1385||kiḷy vaky|kiḷy||The word looks very much like a recent borrowing from Tamil. First, external data suggest an initial \I*g-\i, which is not present in Kota. Second, in Toda one would rather expect a form like \I*kɨɫ̣y\i.|1584
347|*kip|rubbish|1506||kip "heap of weeds, rubbish"|kɨp|Also Kota \Iki(p) pāc\i rubbish heap near house where people defecate, defecation||1731
348|*kub-|behind|1522||kipc "buttocks"|kub "back; behind"||Kota \Ikipc\i can only belong here if it goes back to \I*kub-ĭc-\i; however, lack of external parallels for this particular stem leaves the problem unsolved.|1747
349|*kir̲|small|1395||kir|kɨr̲|Also Toda \Ikɨt̲ eɫ̣f\i ankle (lit. small bone; see 839); \Isit̲ik\i, \Itit̲ik\i a little|Toda forms in \I-ik\i are borrowed from Tamil.|1594
350|*kir̲ǝb-|leopard|1400||kirbn|kɨr̲mēṇ||Toda \I-r̲m-\i through assimilation with the final nasal. However, the exact phonetic structure of the suffix is unclear.|1599
351|*kir̲-|anger; disobedience|1397|*kir̲-ǝd [\I"disobedience"\i]; *kir̲-ǝk [\I"anger"\i]|kird "act of disobedience, doing opposite of what one is told to do"|kɨr̲k "violent anger, madness (or with 1597)"|Also Toda \Ikɨr̲ toṭ-/kɨr̲k ϑoṭ-\i to become mad with anger (lit. anger strikes him [dat]); (?) \Iker̲n gwɨḷ-\i to murmur in protest||1596
352|*kir̲-|to shout|1391|*kir̲-ǝc- (\Ip.\i *kir̲-ǝc-ǐ-)|kiry- (kirc-)|kir̲c- (kir̲č-)|Also Kota \Ikiry\i a shout|Kota \Ikiry-\i is a back-formation from \I*kirc-\i by analogy with forms like \Ipayr-\i < \I*payr-\i (p. \Iparc-\i), etc.|1590
353|*maṇ|earth, mud|3899|*maṇ-ǝl [\I"sand"\i]|maṇ "earth, mud, whitewash, rust"|moṇ "earth, mud; land property"|Also Kota \Imaŋgṭ\i clod of earth (\Ikiṭ\i clod); \Imaṇḷ\i sand; Toda \Ier-moḷṇ\i (obl. \Ier-moḷt-\i) id.||4666
354|*kī-|lower|1417||kī- "lower, east"|kī-|Also Kota \Ikīṛm\i (obl. \Ikīṛt-\i) monsoon clouds which lie on the hills as mist; Toda \Ikīkoy\i the underneath place; \Ikōḍ\i last year (cf. 5153)||1619
355|*kīc-|to chip, scrape|1411|*kīc- (\Ip.\i *kīc-ǐ-)|kīc- (kīc-) "to cut by chipping"|kīc- (kīč-) "to scrape"|||1612
356|*kivǝn (?)|mushroom|1652||kīn|kyūn||A very interesting root. All other languages have \I*kūn\i, but this may be a later contraction. Cf. a similar development in Toda: \I*kev-ḍ\i > \Ikyūd\i.|1893
357|*kīr-|sp. Amarantus|1415||kīr|kīry|||1617
358|*kīr̲-|to tear|1421|*kīr̲- (\Ip.\i *kīr̲-ǐ-)|kīr- (kīry-) "to tear (intr., tr.), gash"|kīr̲- (kīr̲y-)|Also Kota \Ikīr\i gash||1624
359|*kob|branch, horn|1833||kob "branch, horn of an animal, musical horn, tusk"|kub "horn blown by Kota musician"|Also Kota \Ikombn\i man who thinks well of himself, boastful man; fem. \Ikomby\i|Kota forms with \I-mb-\i may be borrowed from Tamil.|2115
360|*koḍĭ|creeper|1777||koṛy|kwɨṛy|Also Kota \Ikoc\i binding (for firewood, etc.) made from plant|Whether Kota \Ikoc\i belongs here is unclear. The development \I*ḍǐ\i > \Ic\i does indeed happen in Kota, but is usually relegated to past stems of verbs.|2050
361|*kodc-|to winnow, sift|1851|*kodc- (\Ip.\i *kodc-ǐ-)|kod- (kody-) "to separate broken from whole grains (by winnowing with several side-to-side movements followed by sharp upward movement, the process being repeatedly done)"|kwɨc- (kwɨč-) "to separate grain from stones, etc., with winnowing basket"|Also Toda ? \Ikwašt\i bran|The correspondence "Kota \I-d-\i : Toda \I-c-\i" is unique and can only be explained by a complex cluster.|2144
362|*kodĭ-|to boil|1806|*kod-ǐ- (\Ip.\i *kod-ǐ-t-)|kodc- (kodc-) "to quiver (of water about to boil, flesh of animal just killed, eyelid)"|kwɨϑy- (...) "(water) approaches boiling-point"|Also Toda \Ikwɨϑyet̲-\i, \Ikwɨɣkyet̲-\i to make (water) boil; ? \Ikwɨy-\i (\Ikwɨc-\i) to bubble, boil|In Kota the present stem was replaced by analogy with the past stem. It is unclear whether Toda \Ikwɨy-\i belongs here. Since this is the only certain example of a verbal stem in \I*-dǐ-\i, the following development is not excluded: (a) \I*kod-ǐ-t-\i > Toda \I*kwɨϑc-\i > \I*kwɨc-\i; (b) \I*kod-ǐ-\i > \Ikwɨy-\i as a hypercorrect back-formation from the past stem \I*kwɨc-\i. In this case \Ikwɨϑy-\i would either be an archaic variant or a newer re-borrowing.|2084
363|*kok-|to be bent, crooked|1760|*kok- (\Ip.\i *kok-ǐ-); *kok-ǐ [\I"crook, hook"\i]|kok- (koky-) "to become very bent with age"|kwɨky "crook, hook"|Also Kota \Ikoky\i crook, hook; \Ikoŋk\i crooked||2032
364|*kol- (?)|to kill|1843|*kol-ӓ [\I"act of killing"\i]|kol "act of killing"|kwaly "murder; murderous (in song, of buffalo, kite, dry season); who has died or is near death (in song, old man or woman)"|Also Kota \Ikol gaḷ\i thief; \Ikolgārn\i murderer; Toda \Ikwalyxōr̲n\i murderer; \Ikos̲n\i the messenger of the god of death (lit. the killer)|It is not excluded that all these forms are borrowings. The original verbal stem is not preserved in PN, and Toda \Ikwaly\i is irregular (PN \I*kolӓ\i should have yielded Toda \I*kwas̲\i).|2132
365|*kolēl|smithy|1844||kolēl "smithy, temple in Kota village"|kwalāl "Kota smithy"||External data show \I*-ēl\i to be a suffix, but its origins are unclear.|2133
366|*kolǝ-|to suffer, starve|0|\Iintr.\i *kol-ǝ-v- (\Ip.\i *kol-ǝ-d-), \Itr.\i *kol-ǝ-p- (\Ip.\i *kol-ǝ-t-)|kolv- (kold-) "to suffer because of disease"|kwal- (kwalϑ-) "to become emaciated"|Also Kota \Ikolv-\i (\Ikolt-\i) to make to suffer by beating or wounding, mash up (berries) with plunger in hollow bamboo; Toda \Ikwalf-\i (\Ikwalt-\i) to make to be emaciated (by starving)||1806
367|*koḷ-|to acquire|1857|*koḷ- (\Ip.\i *konḍ-)|koḷ-/koṇ- (koḍ-) "to marry (wife), buy (cattle), begin (funeral)"|kwɨḷ- (kwɨḍ-) "to carry (corpse), wear (bell); aux. with continuative-durative meaning"|Also Kota \Ikoḷ\i robbery, state of being robbed; \Ikoḷ gaḷ\i thief; fem. \Ikoḷ geyḷ\i; \Ikoṇḍ-āṛ-\i (\Iāc-\i) to praise (god); Toda \Ikwɨḷ-\i (only in negative) not to want, not to heed; \Ikwɨḷy\i loot (in songs)||2151
368|*koḷ[ӓ]|tune, song|1861||koḷ|? koṇ "words of songs, words used in dance-song"||The Toda form is very dubious. Phonetically it should rather be placed with Tamil \Ikaṇakaṇa\i "to sound, jingle", etc., although this is much worse semantically.|2155
369|*koḷ-/*koṛ-|fat; well|1853|*koḷ- (\Ip.\i *konḍ-) [\I"to be well in health"\i]; *koṛ [\I"fat"\i]; *kōṛ [\I"proudness"\i]|koḷ- (koḍ-) "to be well in health"|kwaḷp "fat, in good circumstances"|Also Toda \Ikӧw\i fat, stoutness, broadness, honeycomb; \Ikwāw\i proudness; \Ikog ɨr\i old buffalo; \Ikog foɫ̣y\i big dairy at Tōr̲ōṛ village|The origins of the \I*ṛ/*ḷ\i alternation in this root are unclear, but it definitely dates at least back to the PN stage.|2146
370|*koḷ-|to trouble; to quarrel|1858|*koḷ- (\Ip.\i *konḍ-)|koḷ-/koṇ- (koḍ-) "to pain, trouble"|kwɨḷ- (kwɨḍ-) "to quarrel, (urine) troubles (i. e. one wishes to urinate)"|||2152
371|*koḷǝg|hoof|1590||koḷk|kwɨ̣ɫ̣x "lower joints of calf's leg down to hoof, wrist"||The cluster correspondence is irregular; external evidence shows the Toda variant to be more archaic.|1829
372|*koṛӓ-|to rot|1584|*koṛ-ӓ-v- (\Ip.\i *koṛ-ӓ-d-)|koḷv- (koḷd-) "(flesh) putrefies so as to fall apart"|kwaḍ- (kwaḍϑ-)|Also Kota \Ikūv-\i (\Ikūd-\i) (grain) gets soft and spoils because it got wet; (\Ikūt-\i) to cause (grain) to get, etc.; ? \Ikōb\i feverish place, grazing lands in feverish river valley; Toda \Ikwāw\i decayed dead body|Kota \Ikūv-\i, etc. hardly belongs here.|1822
373|*kur̲-|short, small|1616|\Iintr.\i *kur̲-ǝ-g- (\Ip.\i *kur̲-ǝ-g-ǐ-), \Itr.\i *kur̲-ǝ-k- (\Ip.\i *kur̲-ǝ-k-ǐ-)|kurg- (kurgy-) "to become small, diminished"|kur̲x- (kur̲xy-) "to be short"|Also Kota \Ikurk-\i (\Ikurky-\i) to make small, diminish; \Ikūr\i shortness of stature; \Ikūrn\i short man; fem. \Ikūry\i; Toda \Ikur̲k-\i (\Ikur̲ky-\i) to shorten (tr.); \Ikur̲-es̲\i Eugenia calophyllifolia (i. e. short-leaf)||1851
374|*kor̲-|to be reduced|0|*kor̲-ǝ-v- (\Ip.\i *kor̲-ǝ-d-)|korv- (kord-) "to be reduced in size or number, (voice) becomes hoarse"|kwar̲- (kwar̲ϑ-) "to be reduced in size or esteem"|Also Kota \Ikornj-\i (\Ikornj-\i) to become reduced in size; \Ikorc-\i (\Ikorc-\i) to reduce (tr.) in size; \Ikorv\i deficiency, want, fault; \Ikor\i (\Ikor per\i waxing or waning moon; \Ikor gōṛ\i defective horn); ? \Ikorṇ-\i (\Ikorḍ-/korṇḍ-\i) to become numb; ? \Ikoṇ\i shortness (of person, tail); short man; \Ikoṇy\i short woman; Toda \Ikwar̲\i defective in physique, character, status; \Ikwar̲cɨl\i a lack; \Ikwar̲tas̲\i adolescent girl, young adult woman (cf. \Imoxϑas̲\i)||1851
375|*koṇ-ĭ-|to frisk|1627|*koṇ-ǐ- (\Ip.\i *koṇ-ǐ-t-)|koṇy- (koṇc-), koṇc- (koṇc-) "(calf or other animal) frisks"|kwɨḍӡ- (kwɨḍj-) "(calf) frisks"||The Toda form is not quite clear.|1863
376|*koŋ|the plains south and east of the Nilgiris|1765||koŋg|kwɨg|Also Kota \Ikoŋg may\i the NE. monsoon||2037
377|*parǝvĭ|a big pot|3321||payrv "big storage pot for grain"|parfy "large earthen pot for carrying or boiling water"|Also Kota \Ikopayrv\i, \Ikopīrv\i id. (but bigger than \Ipayrv\i)||3961
378|*kor[ӓ]|mud|1839||kor "manure, filth, mud"|kwar|||2123
379|*kor̲-|cold|1873|*kor̲-ǝ-v- (\Ip.\i *kor̲-ǝ-d-); *kor̲ [\I"coldness"\i]|korv- (kord-) "to be cold"|kwar̲- (kwar̲ϑ-) "to feel cold"|Also Kota \Ikor\i, \Ikorv\i coldness; Toda \Ikwar̲\i cold; \Ikwar-\i (\Ikwarϑ-\i) to be cold (in songs; ? < Badaga or Ko.)||2168
380|*korǝŋ|monkey|1543||korg "black monkey"|kwarg|||1769
381|*kor̲[ӓ]-|to cut up wood|1624|*kor̲-ӓ-p- (\Ip.\i *kor̲-ӓ-t-)|korv- (kort-) "to make fallen branch into club"|kwar̲f- (kwar̲t-) "to cut"|Also Toda \Ikwɨc-\i (\Ikwɨč-\i) to chop up (wood, etc.)|The stem vowel -ӓ- is indicated by external data. Toda \Ikwɨc-\i is probably borrowed from Kannada.|1859
382|*kor̲ĭ|sheep|1870||kory āṛ "sheep (\Iāṛ\i goat)"|kur̲y||The Toda form is dubious, since \I*kwar̲y\i should be expected. Most probably, this is due to Kannada influence.|2165
383|*koḍ-|to give to 3rd person|1780|*koḍ- (\Ip.\i *koḍ-ǝ-t-); *koḍ-ӓ [\I"fine"\i]|koṛ- (koṭ-)|kwɨṛ- (kwɨṛt-)|Also Toda \Ikwaṛ\i fine levied by assembly||2053
384|*kuḍĭkǐ|a small pot|1442||kuck "small clay pot used to drink from"|kuṛky "small pot"||The development \I*-ḍǐ-\i > \I-c-\i in Kota is regular.|1651
385|*koḍ-|small intestines|1443||koṛṇ|kwɨṛ|||1652
386|*koṬ-|tuft, crest; tip|1776|*koḍ-ǐ [\I"flag"\i]; *koṭ [\I"tip, nipple"\i]|koṛy "flag on temple"|kwɨṭ "tip, nipple, child's back lock of hair"|Also Kota \Ikoṭ\i top tuft of hair (of Kota boy, brahman), crest of bird; \Ikuṭ\i clitoris|Possibly several roots here (Kota \Ikoṭ\i and \Ikuṭ\i at least are hard to place under one etymology).|2049
