NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
432|*śxʷĭ-, *śwa-zo-|423|торбаз|SʷFNo̲N, SFu(N)|ŚXiN, ŚXʷiN|sf-no-ŋ (sfŭ-'n pl.)| ̊sf-no-ŋ ( ̊sfŭ-'n pl.)||торбаз|sxin, š(v)xin pl. 1, 'iviĺ-šxin švazo-t-knan 2|caligae e pellis|buty futrzane, torbazy 1, (długie) obuwie dla chodzenia po błotach i wodzie 2|sxiln-at pl. 1, š̲xivazu-t pl. 2|scapi caligarum 1, tegumenta genum, braccae iferiores 2|cholewy 1, przykrycie kolan, gacie 2|123, 165|81|||147, 150, 154, 111|117, 119|При подаче юж. камч. материалов Дыбовского неправильно проинтерпретировано рус. рукописное "ш" = [š] как "т" = [t].||944|
433|*śxan|432|голенищe||iŚXaN|||||šxan, 'iśxan pl.|scapi caligarum|cholewy|[si̯anu-m*] (sa'amu-t, sxanu-d pl.)|calceamentum factum e pellibus|obówie uszyte z futer|||||150, 110|117|||0|
434|*skʷa-n, *-sx|424|сестра, женщина|KaHaK-a, -S̈X|SXuHaN, F́SKFaN, -S̈X|ŋim-sx, mim-sx 2|ka'a-q (ka'aq-a'n pl.) 1, mim-sx 2|ŋm-cx 2|самка рыбы 1, женщина (в сложениях) 2|sxu̯an, (f́)skvan 1, xim-sx, gim-sx 2|soror uxoris, mariti 1, femina 2|siostra żony, męża 1, kobieta 2|ska'a 1, ka'a-sx 2, ka'a-txacič 3|femina 1, soror uxoris, mariti 2, anus 3|samica 1, siostra żony, męża 2, starucha 3||41|||147, 103|118, 109|В юж. камч. 'свояченица' исторически представляет собой полный редупликат *skwa-skwa||0|
435|*sxən-|426|крашеная ольховой корой шкурка|SXuN-|CXa̲N-|sxŭn-t'il|||шкурка|cxan-təl||skóra jelenia lub cielęcia morskiego ufarbowana w korze olchowej||||148||||88||||62|
436|*suč|427|затылок|SüC-e||suč (suč-e'n pl.)|suč (suč-e'n pl., soč-anke dat.)||затылок|||||||127|81|||||||0|
437|*śitłx|428|уголь||ŚiTĹX|||||šitĺx|carbo|węgiel|sita-d pl.|carbo, carbones|węgiel, węgle|||||148, 152|118|||0|
438|*śal|429|зад, сзади|Sa̲L-|Śa̲Ĺ=|sal (sal-'an poss.), zal-k** loc. (седанк.) 1, sał-te-kes  2|sal-'an poss. (sal-k loc., sal-ke adr., sal-x'al abl.) 1||зад, сзади 1, идти следом 2|s/šaĺ-'an poss. 1, šaĺ-k(e) loc. 2|sequens, secundus 1, a tergo, pone, retro 2|idący za kimś, następujący 1, z tyłu, wtył, nazad 2||||150, 212|76|346||146, 149||||0|
439|*skn-|430|низ||SKNə̲(N)|||||sknə-xal abl. 1, ko'a-sknɨn-nan pl. 2|ab imo 1, femoralia lintea 2|z dołu 1, gacie 2||||||||148, 127||||0|
440|*śen-|431|увечный||Śə̈N-|||||šən-lexin|claudus|kulawy||||||||151||||0|
441|*śun-|425|искриться||ŚüN(-XT)=|||||šon-kaz 1, n-uŕ'ja-šənĺ-kaz 2, xekkə-sunxt-iz 3|sсintillare 1, perure 2, pulvis pyrius 3|iskrzyć się 1, przepalać 2, proch strzelniczy 3||||||||153, 140, 90||В зап. камч. слове 'протапливать' первая часть значит 'костер', а в слове 'порох' первая часть значит 'плохой'.||0|
442|*śt'w-at-|433|топтать|STF̲-a̲T-, aN-STF̲-o̲L-|ŚtɨFa̲T=, ŚTɨFa̲T-əT=, aN-STFə-Ĺ=|stwat-ez 1|st'wat-es (zaq st'wat-aq 2sg. neg. imper., k-st'wat-'a'n part. pl.) 2, 'an-stwol-kas (q-'anstwol-exč 2sg. imper.) 2||топтать 1, наступать ногой 2|s/štɨvat-ɨz, šṯo̯atət-əz (stɨvat-an part.) 1, 'ań-stvə-ĺ-kaz 2, ~ stə-knan 3|calcare, incalare (calcatus, obtritus) 1, incedere, ire 2, durus, coaeretus 3|deptać, zacierać (wydeptany) 1, stąpać, chodzić 2, twardy, zsiadły, gęsty 3||||60, 71, 210|81, 14|||149, 153, 86, 149||В публикации матеpиалов Дыбовского ошибочное пpочтение pукописного  pус. "т" = [t] как "м" = [m]. Возможно отглагольное пассивное причастие со значением 'твердый, уплотненный, осевший, густой' является вторичным развитие значения 'утоптанный'. Хотя для него есть и другая этимология.||0|
443|*č'a-|434|красный, железный|C`a̲Ca- "|Ca̲Ca̲-|č'ač'a-lah 1|č'ač'a-lah 1, 2, č'ač'a-kas (č'ač'a-zɨn 3sg. pres., k-č'ač'a-knan 3sg. perf.) 3||красный 1, рыжий 2, краснеть 3|čača-laɣ [čačal*], čača-laxin|ferreus, ruber|żelazny, czerwony|ča'am|ruber|czerwony|28|105|||94|105|||0|
444|*'əźil-|435|давать|Si̲L-|ŚïĹ=, ŚïL-ïT=|zill-es (zel-, zil-) 1|zɨll-es (t-zɨl-ɨsčen 1sg. pres., q-zɨl-miŋ 2sg.3sg.1sg adr. imper., zɨll-en 3sg.3sg. perf., k-zɨl-'in 3sg. perf., qa'm zɨl-ał-kaq is-miŋ 3sg.3sg.1sg. adr. neg. desid., zaq zɨll-aq q'-is-kinen 2sg.3sg.3sg. adr. neg. imper.) 1, 2, zɨll-et-es mult. (k-zɨllit-'in 3sg.3sg. perf., zaq zɨllit-aq 2sg.3sg. neg. imper.) 3, zɨl-k-nen (zɨlkne'n pl.) 4, sic! q-oł 2sg. imper. 1|žəl- 1|давать, подавать, отдавать 1, (о)дарить 2, раздавать 3, долг 4|žəlet-əz 1, žəĺ-z xat 2, n-ziĺ-'aĺ-mən nust́axčič 3sg.1sg. imper. 3|adferre, distribuere 1, dare, dono donare 2, dabit 3|przynosić, rozdawać 1, dawać, darzyć 1, da bóg, dałby bóg 2||||29, 60|23, 66, 63, 42||99|164, 141||||0|
445|*č'oɣʷ-|436|щекотать|C'o̲X ", C'üX= ?, N-C'o̲F-a=|aN-CaF́a=|č'ox-č'ox " 1, č'ux-, č'ox- 2|'ə̆n-č'owa-s (k-ə̆nč'owa-'an 3sg. perf.) 1||щекотка 1, щекотать 2|'an-čav́a-z|titillare|łaskotać||||60, 110|117|||84||||0|
446|*suŋ-|437|прятаться|So̲N=, SNa̲-T/Ci=||soŋ-kes, sŋ-at-kes mult. 1|soŋ-kas (q-soŋ-xč 2sg. imper., t-soŋ-kičen 1sg. perf., k-soŋ-knen 3sg. perf.) 1, sŋa-če-'ł-kas mult. (sŋači'-sɨ'n 3pl. pres.) 2||прятаться 1, играть в прятки 2||||suna-kik 3sg. past|occultus est|schował się|200, 209, 28|79, 78||||119|||0|
447|*seza|438|прилив|Se̲Sa̲M|SịSạ=|sez(z)am|||прилив|siza-zin 3sg. pres.|fluxus maris|przypływ morza|'izza-six 3sg. pres.|mare adfluit|morze przypływa, przybywa|28||||148|108|||0|
448|*'iz-|439|морской берег, отлив|ëHRuM, eRXeN|ə̈RïN|['e'rum 1, 'erɣen 2]|['erwen 2]||время отлива 1, побережье, морская коса (обнажающаяся при отливе) 2|['ərin 1, 'əri-zin 2]|vadum maris refluxu factum 1, mare defluit 2|mielizna na morzu utworzona w skutek odpływu 1, odpływ morza 2|'i̲zi-kik 3sg. pres. 1, 'izxuu̯-zik 3sg. pres. 2|it, nat ad ripam, ad litus 1, mare defluit 2|do brzegu idzie, płynie 1, morze odpływa 2|148, 149, 162|121|||101|108|Формы зап. камч. и ител. с -r-, по всей видимости, являются заимствованными из пал. или алют. В юж. камч. глаголе 'плыть к берегу' в рус. варианте напечатано "пзикик" = [pzikik] c неправильно понятым рус. рукописным "п" = [p] вместо "и" = [i].||0|нив. erke(r̃) 'берег'.
449|*śilla-|440|брат для брата|SịLạ-TüMX-e|SịĹạ-TüMX-e|silla-tumx (silla-tumx-e'n pl.) 1|sɨlla-tumx (sɨlla-tumx-e'n pl.) 2|cila-tumx (хайрюз.), žla-tomx (седанк.) 1|брат, братья 1, брат по отношению к брату, сестра по отношению к сестре 2|siĺa-tumx/k (siĺa-tumx-en poss.)|frater|brat||||116|82, 12||86|148||||0|
450|*śiɣ(ʷ)əź|441|кишка|SïXëS|ŚiŚ-i|siɣes|||кишка|šiž-in pl.|intestina|Kiszki, trzewia|səu̯z-it, suž-it pl.|intestina|kiszki|62||||152|117, 119|||647|нив. ŋew 'вн. органы', hiɣr 'желудок жив-го'
451|*tumx|442|брат, сосед|TüMX-e|TüMX-e|silla-tumx (silla-tumx-e'n pl.) 1|sɨlla-tumx (sɨlla-tumx-e'n pl.) 2|cila-tumx (хайрюз.), žla-tomx (седанк.) 1|брат, братья 1, брат по отношению к брату, сестра по отношению к сестре 2|siĺa-tumx/k (siĺa-tumx-en poss.) 1, kalo-tumx 2|frater 1, vicinus 2|brat 1, sąsiad 2||||116|82, 12||86|148, 113||||124|
452|*łčil, *'ičil|443|язык|LCiL, LCe̲HL|iCiL, ĹCiL|łčil|łčel (łče'l pl.)||язык|'ičil, ĺčil [lčəĺĺa*]|lingua, sermo|język, mowa, gwara|ničil [ničiĺ*]|lingua|język|36|53|||104, 130|115|Зап. камч. формы восходят к старому редупликату, давшему основу типа 'il-čil < *jil'-jil.||0|нив. hilx 'язык'.
453|*čil-k-|444|выбирать, собирать|CïL-K-, iN-Cile-HL-K-|Ci̲L=, CïL-ïT=, CiLaM=|čel-k-es  SO 1, (n-čil-qzu-znen 3pl.3sg. imperf. 2), 'in-čile-'łk-es intr. 1|čel-k-as SO (n-čil-kičen 3pl.1sg. perf., q-čil-xčki'n 2sg.3pl. imper., k-čil-knen 3sg.3sg. perf.) 1||выбирать 1, собирать 2|čil-kaz 1, čəl-et-kaz 2, čilam-az 3|colligere 1, deligere 2, addere 3|zbierać 1, wybierać 2, dodawać 3|k-čul-x 2sg. imper.|tene, accipe|trzymaj, bierz|205, 206, 36, 245|104|||95, 96|111|||0|
454|*č'ims-|445|густой|C'iMS-||č'ims-lah 1|~ mə̆sxt-lah 2||густой (варево, лес, дым) 1, густой (суп, иная пища) 2|||||||60, 319|58|||||Может быть первая основа членима?||0|
455|*sk-|446|делать|SKă=|SKa=, SKa-T=|-sk(a)- SO (k-ska-x 2sg.3sg. imper., sk-ił inf.)|skə̆-s (skə̆-zzen 2sg.3sg. pres., skə̆-znen 3sg.3sg. pres., t-skə̆-sčen 1sg.3sg. pres., q-skə̆-x 2sg.3sg. imper., 'ə̆n-sk-čan 1pl.3sg. perf., k-sk-'an part.)|-sk(a)-, (sxuzə-žc 2sg.3sg. perf., sxusə-zcən 3pl.3sg. perf. 'что сделать')|делать|ska-ž 1, ska-t-əz mult. 2|facere 1, reficere, reformare 2|robić 1, przerabiać 2||||29, 51, 244|78||104, 93|148||Интересно зап. камч. k-sun-lin skem-šinč 'animal, zwierzę', буквально 'живые твари', где существительное с аффиксом диминутива во мн. числе (Dybowski, 126).||0|
456|*čaɣʷa-k-|447|встречать (выходить навстречу)|Ca̲Fa̲-K=|CaXa-K=|čawa-k-es SO|čawa-k-as SO (t-čawa-kičen 1sg.3sg. perf., t-čawa-skisxen 1sg.2sg. pres., q-čawa-xčik 2sg.3sg. imper., q-čawa-xkmiŋ 2sg.1sg. imper., k-čawa-knan 3sg.3sg. perf.)||встречать (выходить навстречу)|čaɣa-k-az 1, jaɣxa'an 2|obviam ire 1, obvius 2|spotykać 1, spotkany, naprzeciw idący 2||||27|101|||94, 111||||0|
457|*čŭɣʷ "|448|дождь|CüF ", CüX ", CFü̆-, CFə̈=|CuX ", CXü=|čuf-čuf, čux-čux (čfŭ-'n pl., čf-'in poss.) 1, čf-kes 2, k-čf-'in 3|čuf-čuf (čufčuf-e'n pl.) 1, čf-kas (čfə̆-zɨn 3sg. pres., čf-qzu-wen 3sg. imperf., k-čf-knen 3sg. perf., čf-qz-a-xen 3sg. dur. fut.) 2, k-čf-'in part. 3|cux-cux (cux-)|дождь 1, дождить 2, дождливый 3|čuɣ-čux [čux-čux*] 1, čxu-zin 2|imber 1, pluit 2|deszcz 1, deszcz pada 2|čuɣ-čux [čax-ču*] 1, ču'u-n-skik, ču'u-źkik 3sg. pres. 2|imber 1, pluit 2|deszcz 1, deszcz pada 2|166, 33, 27|103, 36||86|95, 98|106|Ср. ИРС 'uču-čux 'ой, мокро, холодно! (вскрик от неожиданного попадания на кожу холодных брызг)' c.94.||0|нив. c`aꭓ 'вода, потоки, струи воды'
458|*śunł-|449|жить, жизнь|SüNL=|ŚüNĹ=|sońł-kes (suńł-) 1, sońł-es 2, sunł-in** 3|sońł-kas (t-sun-skičen 1sg. pres., q-suńł-qzu-sx 2pl. dur. imper., suńł-qzu-zɨn 3sg. dur. pres., k-suńł-qzu-knen 3pl. imperf.) 1, sońł-es 2, k-suńł-ił instr. 4|cunc-zcən (хайрюз.), žunž-cən (седанк.) 3pl. pres. 1, conl-ež, conlə-nu-m 2|жить 1, жизнь 2, зверь 3, живьем 4|sonč-əz 1, sunl-in 2, k-sunl-in (skemšinč) pl. 3, šonl-kaz 4, suńĺ-ku-jən, s/šunĺ(k) 2, suńĺ-ki-lan 5, sonĺ-x-nəm, suńĺ-k/x-nəm 6, šonl-ez 7, suns-in 8|vita 1, virens, vivus 2, animal 3, sanescere, consanari 4, incola 5, habitatio 6, terro, regio, pagus 7, nutrire, alere, recreare 8|życie 1, żyjący, żywy 2, zwierzę 3, goić się, zarastać 4, mieszkujący 5, mieszkanie 6, ziemia, kraj, strona 7, karmić, żywić, ożywiać, orzeźwiać 8||||49, 28|79, 77, 33|347|86, 101|148, 149, 126, 153, 154, 149||||146|
459|*st'is-|450|саднить (о коже)|ST'eS- ~ i||st'es-kes|||саднить (о коже)|||||||414||||||||0|
460|*jaq-jaq ", *'ĺaqqa-|452|чайка|JaK-a "|ə̈K-ẹ̈K ", ĹaKKa-C|jaq-jaq " (jaqjaq-'an poss.)|jaq-jaq " (jaqjaq-a'n pl.)||чайка|'ək-ẹk ('ək-ek-in pl.) 1, ĺakka-č dim. (ĺakka-n-č pl.) 2|venellus cristatus 1, hirundo riparia 2|czajka 1, jaskółka 2||||29, 166|26|||99, 109||||0|нив. ĺoʁej 'аист'
461|*jajpə-|453|копыто|JäJpə-e ?|ə̈JPï-|jajpə̆-lŋin|jajpə̆-lŋə̆n (jajp-e'n pl.)||копыто|'əjpi-n pl.|ungulae|kopyta||||125|26|||99||Ител. форма является юж. прачук. заимствованием, а исконная - представлена в зап. камч.||0|
462|*jepx|454|хотя|JePX||jepx**|jepx||хотя||||||||27|346||||||0|
463|*'ixłtu|455|в прошлом году|ïXLTü|ị̈Xị̈LTụ̈|'ixltu|'ixłtu ('ixłtu-'in poss.)||в прошлом году|'ixiltu-'an (sic!)|siccus, siccatus|suchy, wyschły||||26|25, 26|||104||У Дыбовского во время опроса произошло недопонимание с информантом, по-видимому, в качестве примера он указывал на сушенную юколу, в ответ информант сказал, что она 'прошлогодняя', а Дыбовский понял как 'пересохшая (на солнце)'.||245|
464|*'amŋəl|456|сказка|a̲MNe̲L|aMNaL|'amŋel|'amŋel ('amŋe'l pl.)|'amŋəl|сказка|'amnal|fabula, narratio|bajka, opowiadanie||||30|13||104|83||||1094|
465|*ti-k-|457|вносить|Tʷï-K=|Tɨ̈-K=|ti-k-es, te-k-es (ti-) SO| ̊te-k-as SO ( ̊m-tɨ-skičen 1sg.3sg. pres.,  ̊q-tɨ-xčik 2sg.3sg. imper.,  ̊q-tɨ-xčki'n 2sg.3pl. imper.)||внести, вносить|tə-k-az 1, tɨ-k-nən part. 2|inferre, importare 1, adlatus 2|wnosić 1, zaniesiony, odniesiony 2||||27, 61, 207|90|||156, 160||||0|
466|*jẹ'alɣən|0|луна|Je̲Hạ̲LXịn|ə̲Ha̲LXə̣N|je'alɣin|||луна|'ə'alɨn, 'ə'alɣən|luna, mensis|księżyc, miesiąc||||245||||98||Заимствование по-видимому из пал. jihəlɣə-n < прачук. *ə̣ʒʁ-ịłɣə̣-n (519).||0|
467|*'lʷəxʷłi-č (~ 'lʷəxʷči-)|0|палец|LuFLi-C|iĹXCi-C|lufłi-č (lufłi-'in poss.)|lufłi-č (lufłi-'n pl.)|lüxlüx-c (lüx-)|палец|'iĺxči-č|digitus|palec||||33, 165|48||102|105||||0|
468|*'ĭŋej-(əm/ŋ)|460|мгла, туман, облако|NiS-|NHẹJə-M, iNəJ-, NəJHạ-||ŋɨzz-al coll. (ŋɨzza'l pl.)||облако|ńnẹjəm 1, 'ingəi̯-n pl. 2, gəj'a 3, gəj'a-lex-in poss. 4|nebula 1, nubes 2, coelum nubilum, aer nubilus 3, intentus, nubilus 4|opar, mgła 1, obłoki 2, nie jasno, pochmurnie 3, pochmurny 4|nuči̯ou̯|coelum nubilum|pochmurno||65|26||139, 107, 109, 103|115|Использование Дыбовским буквы "ять" указывает на велярный характер предшествующего носового. В ител. (ИРС) интервокальное -zz- возникло на морфонологическом шве при сочетании -(ɣ)al = [hal?] собирательным показателем. Конечный отпадающий именной показатель -m часто замещается показателем -ŋ и наоборот. Так что в данном случае вполне возможен старый редупликат *'ĳŋə-jŋ с последующим переосмыслением основы и появлением вместо ожидаемой косвенной основы *'ĳŋə- вторичной *'iŋəj-.||0|
469|*'iʷjaqi-|461|страшный|ịʷJạKị-|ịHạKï-, JạJạKi-|'ĳaki-lah 1| ̊'ĳaqɨ-lah 1,  ̊kł-ĳaq/kɨ adv. 2||страшный 1, страшно (= сильно страшно) 2|'i'aki-leɣ, i̯ajaki-k adv.|terribilis, horrendus|sraszny||||319|24, 210|||104||||0|
470|*'ĭk's-|462|вызывающий жажду|iK'SXu-|aN-iKS-Ta̲=|'ĭk'sxu-lah|||вызывающий жажду|'an-i̲ks-tazən|cruditas, aestus faucium|pieczenie w gardle||||319||||83||В зап. камч. записях Дыбовского, по-видмому, неправильное прочтение рус. "а" = [a] вместо "и" = [i].||0|
471|*'ənlu-|463|держать, удерживать|NLü=|ïNLo(-T)=|'ə̆nlu-qzu- dur. 3|'ə̆nlo-s (q-ə̆nlu-x 2sg. imper., 'ə̆nlu-zne'n 3sg.3pl.) 1, 'ə̆nlo-la-s (q-ə̆nlola-miŋ 2sg.1sg. imper., t-ə̆nlola-sčen 1sg.3sg. pres.) 2||держать, удерживать 1, поддерживать 2, зажимать (рот) 3|'inlo-z 1, 'ənlo-t-əz 2|tangere, tenere 1, sustinere 2|dotykać się, trzymać 1, podtrzymywać 2||||51, 413|113|||101||||0|
472|*sqa-|464|хотеть спать|SKa=||sqa-kes|||хотеть спать|||||||255||||||||0|
473|*'izu-: *'ən-'izu-|465|говорить кому-либо|N-iSu-||'ə̆n-'izu-mnen (3sg.1sg. pres.)|||говорить кому-либо|||||||408||||||||0|
474|*'ənju-|466|стеречь|ïNJü=, ïN-ïNJü=||'inju-s 1, 'in-inju-kes 2|||стеречь 1, сторожить, быть сторожем 2|||||||200, 204||||||||1069|нив. (j)oni- 'беречь, хранить', vin- 'беречь, сохранить'.
475|*juŋju-ŋ "?|467|кит|JuNJu-N, -CX|JuŃuC|juŋju-ŋ (juŋju-čh dim.)|juŋju-čh (juŋju-'ń-č pl.)||кит|junǵu-č (juŋǵuč-in pl.)|balaena|wieloryb|? naj, daj|balaena mysticetus|wieloryb|29|27|||111|115|||0|
476|*jowa "|468|гагара|Jo̲Fa̲ "|ə̲Fa̲-JəF "|jowa-jof (jowa-'n pl., jowa-'an poss.)|jowa-j magn.? (jowa-'n pl.)||гагара|'əva-jəv ('əva-n pl.)|columbus septentrionalis|nur północny||||108, 165|27|||101||||0|
477|*ju[q]el|0|годичные кольца||JüKə̈Ĺ|||||jukəĺ|annuli auricularis|kólczyki|'ikad|annuli auricularis|kólczyki|||||111|107|||0|
478|*săĺa-|470|кататься (на санях, лыжах)|Sa̲La̲-T=, Sa̲le̲-HL=||saĺĺat-kes 1, 'ə̆n-saĺĺat-es 1 2|saĺe-'ł-kas (zaq saĺe'ł-kaq 2pl. neg. imper.) 3||кататься на (санях, лыжах) 1, катать 2, баловаться 3||||suda 1, suda-zix 3sg. pres. 2|soleae ferratae 1, it soleis ferratis 2|łyżwy 1, jedzie na łyżwach 2|62, 202|76||||118|||383|
479|*s-aq|1061|что за, какой|SaK||saq|saq||что за, какой|||||||170|76|||||||480|
480|*śŏl(o)-|472|лежать|Sʷo̲L=, Sʷŏ̲Lo=, N-Sʷo̲L-Na̲=|Śo̲L=|sol-kes (sillo-sč, sollo-sč 3sg. pres., sollo-zɣin 3sg. pres.) 1, 'ə̆n-sol-ŋ-as 2| ̊sŏl-kas ( ̊t-sŏllo-skičen 1sg. pres.,  ̊q-sŏllo-xč 2sg. imper.,  ̊sŏllo-zɨn 3sg. pres.) 1||лежать (о человеке) 1, класть, укладывать 2|šol-kaz|jacere|leżeć||||200, 202, 398, 412, 413|79, 28|||153||||0|
481|*č'ru-č|121|морда (рыболовная снасть)|C'Ru-C||č'ru-č|č'ru-č (č'ru-'n pl.)||морда (рыболовная снасть)|||||||75|106|||||||0|
482|*spe|474|каменный пест|SPe||spe|||каменный пест|||||||25||||||||400|
483|*łxa-|475|тереть, вытирать|LXa̲=, aN-LXa-HL=|ĹXa̲=, ? ĹXiT(ï)=, CXa-Nɨ-M|łxa-s 1, 'an-łxa-'łk-es med., mult. 1|łxa-s (q-łxa-x 2sg.3sg. imper., k-łxa-'an 3sg.3sg. perf.), łxa-zo-s dur. (q-łxazo-xe'n 2sg.3pl. imper.) 1, 'ań-łxa-no-m ('ańłxano-'n pl.) 2||тереть, вытирать 1, полотенце 2|ĺxi-t-əz 1, ĺxa-'an part. 2, xĺa-t-əz, xĺa-z-əz 3, čxa-nɨ-m 4|purgare 1, tritus 2, terere, purgare, atterere 3, mantele 4|oczyszczać 1, wytarty 2, trzeć, czyścić, wycierać 3, ręcznik 4||||203|53, 15|||130, 129, 92, 95||||630|
484|*śipuq|476|песец|SïPüK-e|ŚïPüK|sipuq|sɨpuq (sɨpuq-e'n pl.)||песец|šipuk|canis lagopus|Lis polarny, niebieski|sipuk|canis lagopus|lis marmures, piesiec|27|82|||152|118|||0|
