NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
245|*ć̣q̇(ew)-|912|проклинать|to curse|c̣q̇ew-|||č̣q̇(u)-||||||(n)č̣ḳ(u)-|||ЭСКЯ 253, EWK 531.
246|*ć̣q̇in-d-|0|соскучиться, уставать|to miss (somebody), to be tired|c̣q̇ind-|||||||||č̣ḳind-|||ЭСКЯ 254.
247|*ć̣q̇rta|1255|локоть|elbow|c̣q̇rta|||č̣q̇irta, č̣q̇ərta|||č̣itx||||||Доп.; ЭСКЯ 254, EWK 534-535. Ср. алт. *zegutV "бедро", ПИЕ *skek(tH)- id.
248|*ć̣q̇(w)-|0|начинать|to begin|č̣q̇(w)-|||č̣q̇-||||||č̣ḳ-, č̣-|||ЭСКЯ 253, EWK 530.
249|*ć̣q̇wed- / *ć̣q̇wid- / *ć̣q̇wd-|0|рвать(ся)|to tear|c̣q̇weṭ- / c̣q̇wiṭ- (Old Georg. c̣q̇wed-)|||č̣q̇wad- / č̣q̇wid-|||šq̇ed-|||č̣ḳvad-, č̣ḳ(v)id-|||ЭСКЯ 253, ЕШК 534.
250|*ć̣rp-|0|чистый|clean|c̣rp-el-|||||||||č̣ip-|||EWK 529.
251|*ć̣u-|0|свист, свистеть|whistle, to whistle|c̣u-||||||č̣u-||||||EWK 529.
252|*ć̣uḳ-|0|котел|cauldron|c̣uḳ-al-a|маленький медный сосуд|small copper vessel|||||||č̣uḳ-, č̣uḳan-|||EWK 529. Вероятно, заимствование, в конечном счете, из того же источника, что и *ćeḳa 'кузов' (q.v.).
253|*ć̣uḳ-|0|маленький|small|(Mokhev.) c̣uḳ-an-a|очень маленький|very small|č̣uḳ-|мышь|mouse|||||||EWK 529-530. Ср. *ć̣iḳ-.
254|*ć̣urć̣ul-|0|||c̣urc̣ul|журчать, струиться|to gurgle, flow|č̣varč̣val|плескаться, струиться|to splash, flow|||||||Fähnrich 6-5.
255|*ć̣uź-|0|дитя (мужского пола)|male child|c̣ul-||||||č̣uš-||||||ЭСКЯ 252, EWK 530.
256|*ć̣w-|152|жечь, жарить|to burn, roast|c̣u-, c̣v-|||č̣(w)-|жечь, гореть|to burn|č̣-|печь (Климов привлекает šw- 'разжигать огонь')|to roast (Klimov adds šw- 'to make fire')|(n)č̣v-|||ЭСКЯ 250, EWK 522-523. Климов (1969, 292) сближает с ПЗК *ma-c̣ʷa 'огонь' < ПСК  *c̣ăjɨ̆ (см. NCED 354).
257|*ć̣wad-|0|||c̣vd-en-|сторона каменной колонны|one side of a stone pillar||||č̣wäd-|стена|wall||||EWK 523. Ср. ПВК *ć̣HwildV 'башня, каменная колонна' (NCED 377-378).
258|*ć̣wd-|0|||c̣wd-|предоставлять|to provide|nč̣ud|доставать, достигать|to get, attain|hwd-/hwed-|(про)давать|to give, sell||||ЭСКЯ 243, EWK 528.
259|*ć̣wel-|0|доить|to milk|c̣wel-|||č̣val-||||||(n)č̣val-|||ЭСКЯ 133, 250-251, EWK 524-525. Ср. ПСК *=Hoǯ̲Ăl "лить; цедить, доить' (NCED 600).
260|*ć̣wer-|884|точить|to whet|c̣ver-|||č̣var-|||||||||EWK 525. Если *-r- < *-l-, ср. алт. *suli 'острый'.
261|*ć̣wer-|0|погружаться, заходить (о солнце)|to sink (also of sun)|c̣ver-||||||(h)wer-||||||EWK 525.
262|*ć̣wer-|0|корчевать (лес под пашню)|to stump (wood)|c̣ver-|||č̣var-||||||nč̣var-|полоть|to weed|EWK 525. Повидимому, из СК источника: ср. ПСК *ʔV̄lć̣Ĕr- 'полоть, сорняк' (NCED 223-224).
263|*ć̣wet-|792|капля, капать|drop, to drop|c̣wet-|||č̣vat-, č̣vet-|||wed-|||č̣vet-, č̣ot-|||ЭСКЯ 250, EWK 524. Ср. алт. *sūt`i 'капля, жидкость; молоко'; ПИЕ *sweid- 'пот; молоко'.
264|*ć̣wim-|0|идти (о дожде)|to rain|c̣vim-|||č̣vim-, č̣vem-, č̣vin-, č̣ven-||||||(m)č̣im-, nč̣im-|||ЭСКЯ 251, EWK 526.
265|*ć̣wiś-|0|достигать|to reach|др.-гр. mc̣wis-|взрослый|adult|č̣iš|достигать, созревать|to reach, to ripen||||č̣iš|достигать, созревать|to reach, to ripen|Кл ...3, 1972.
266|*ć̣wrt-|0|бегать (ловко)|to run (nimbly)|c̣vrt-n|упражняться|to exercise|č̣virt|бегать (ловко)|to run (nimbly)|||||||Кл
267|*čan- / *čn-|0|виднеться, видеть|to be seen, to see|čan- / čn-; čnd- 'to appear'|||čkun-|знать, полагать; (r)čkind- 'появляться'|to know, consider; (r)čkind- 'to appear'||||škun-, čkin-; čkind- 'appear'|||ЭСКЯ 218, 220; EWK 433-434.
268|*ččw-|0|размягчать, мягкий|to soften, soft|ččw-, ččwil-|||čkičk-, čkəčkə-|||(n)šgw-|||čkučku, čičku|||ЭСКЯ 221, EWK 438-439.
269|*čečk-|193|долбить, расщеплять|to peck, split|čečk-|долбить|to peck|čkačk-|разламывать, расщеплять|to break apart, split||||čačk-|||ЭСКЯ 219, EWK 435-436.
270|*čeḳ-|0|точить, заострять|to whet, sharpen|čeḳ-|||čaḳ-|||||||||EWK 434.
271|*čem-|0|мой|my|čem-|||čkim-|||mi-šgwi-, mi-šgu-|||čkim-, škim-|||ЭСКЯ 219, 434.
272|*čen- / *čin-|0|делать видным, определять|to make obvious, to define|čen-, čin-|||rčkin-||||||čkin-|||ЭСКЯ 220, EWK 435.
273|*čerč-|0|шелуха, грубо молоть|husk, to grind roughly|čerč-|шелуха||čkarčk-|грубо молоть|to grind roughly|||||||EWK 435.
274|*čičk-|1254|рыться, копаться|to dig|čičkn-|||čkičkon-|||||||||ЭСКЯ 220, EWK 437-438.
275|*čig-|0|обрубать (behauen, zurechtstutzen)|to chop (behauen, zurechtstutzen)|čig-(wn)-|||čig(on)-|||||||||EWK 437.
276|*čiq̇w-|1713|зоб (болезнь)|goitre|čiq̇w-|||čiq̇waq̇w-|||||||||ЭСКЯ 220.
277|*čkal-|0|раздирать, разрывать|to tear apart|čkl-|||čkol-|||||||||EWK 438.
278|*čkep-|0|бить ключом, журчать|to flow, sprinkle|čkep-|||čkap < *mčkap?|клокочущий, бьющий ключом|gurgling, sprinkling|||||||Кл.
279|*člik-|0|копыто|hoof|člik-|||čirk-|||||||||EWK 438. Ср. ПВК *č̣V[l]ḳ̲wV id.
280|*čum-|1258|тихий, спокойный|quiet, calm|čum-||||||čkwim||||||EWK 438. Ср. алт. *simV 'спокойный'.
281|*čw-|0|привыкать|to get used to|čv-|||rčkv-|||čkw-||||||ЭСКЯ 219, EWK 436.
282|*čwen-|1628|мы, наш|we, our|čven-|||čkə(n)-, čki(n)-|||šgwe-, šgu-, šgwi-|||čku(n)-, čkin-, šku(n)-, škin-|||ЭСКЯ 219-220, EWK 436-437.
283|*čx-|0|krächzen|to croak|čxav-||||||čəčx-||||||EWK 439.
284|*čxam-|1780|рыба|fish|čxama (E.-Imer.)|маленькая рыба|small fish|čxom-||||||čxom-|||EWK 439-440.
285|*čxaṗ-|0|брызгать(ся)|to splash|čxaṗ-|||čxaṗ-al-||||||čxaṗ-|||ЭСКЯ 221.
286|*čxartw-|914|сорока (Misteldrossel)|magpie|čxartv-|род сороки|a k. of magpie||||čxirwišṭ-, čxərišṭ-||||||Кл III, EWK 440. Ср. ПИЕ *strozdho- 'дрозд'.
287|*čxeb- / *čxib-|0|соединять|to join|čxib-v-||||||šxeb-, šxib-|сшивать|to sew together||||EWK 440.
288|*čxeḳ-|0|herunterschlagen|herunterschlagen|čxeḳ-|||||||||o-nčxaḳ-ale|Stock zum Herunterschlagen der Haselnüsse|Stock zum Herunterschlagen der Haselnüsse|EWK 441.
289|*čxer- / *čxir-|0|ковырять(ся)|to pick (the ground, etc.)|čxreḳ-; čxir- 'little stick; needle'|||čxirḳ-; *čxinǯ- 'little stick'|||||||||ЭСКЯ 222, EWK 441-442 (мегр. čxinǯ- предполагается на основании абх. a-čx́ənč́, осет. cägiʒä).
290|*čxi-|0|кричать (пронзительно)|to cry piercingly|čxiw-|||rčxi-||||||čxi-|||ЭСКЯ 221.
291|*čxiḳw-|1715|сойка|jaybird|čxiḳv-|||čxviḳ-||||||čxviḳ-|||ЭСКЯ 222, EWK 443.
292|*čxweṗ-|0|резать|to cut|čxweṗ- (Old Georg.)|||||||||o-čxaṗ-ul-e|крапива|nettle|EWK 442.
293|*čxwerḳ-|0|прут|twig|čxverḳ-|||čxvaḳ-|плести забор|to plait a fence||||čxverḳ-|сухая ветка|dry branch|EWK 442-443.
294|*čxweṭ-|0|царапать, колоть|to scratch, prick|čxwleṭ- / čxwliṭ-|втыкать, вкалывать|to pierce, prick|čxoṭ-|царапать, легко ранить|to scratch||||čxoṭ-|чесать коноплю|to hackle hemp|ЭСКЯ 222.
295|*č̣al- / *č̣l-|0|худой|thin|m-č̣l-e|||č̣ḳol-a|||||||||ЭСКЯ 143, EWK 535.
296|*č̣al-|612|||dial. č̣ala|низменное место, равнина между гор или вдоль реки|low ground, valley in between the mountains||||||||||В ОСНЯ 1, 212 основа сравнивается с ПИЕ *stelə- 'широкий', монг. *čala- 'расстилаться' (ностр. *ČalHa).
297|*č̣am-|0|есть|to eat|č̣am-|||č̣ḳom-, č̣ḳum-|||ēm-|||č̣ḳom-, šḳom-|||ЭСКЯ 254, EWK 535-536. Как отмечает Климов (ibid.), ближайшие параллели налицо в ВК языках, ср. ПВК *=ĕč̣Vm- 'жевать, грызть' (NCED 410).
298|*č̣ar- / č̣r-|423|резать|to cut|č̣ar-, č̣er-, č̣r-|||č̣ḳir-, č̣ḳər-|||? lā-r-e|покос|hay-time|č̣ḳor-, č̣ḳir-|резать, косить|to cut, scythe|ЭСКЯ 255, EWK 536-537. Иллич-Свитыч (ОСНЯ 1, 209) возводит к ностр. *č̣ArV  'резать', сравнивая с  драв. *car- 'разрывать, расщеплять', а также (с  вопросом) с ПИЕ *(s)ker- "резать" и эвенк. čari- 'рвать' (ср. еще яп. *tat-  "резать", с возможной реконструкцией алт. *č`ara). См. также Бомхард 1996, 159  (который сравнивает картв. и драв. формы, привлекая еще ф.-уг. *ćärke  'расщеплять').
299|*č̣ar-|0|хватать, держать|to grasp, hold|č̣er-, č̣ir-|||č̣ḳor-|раб|slave|||||||EWK 536.
300|*č̣eč̣ḳ-|499|резать (мелко)|to cut in little pieces|č̣eč̣ḳ-|||č̣ḳač̣ḳ-|||||||||ЭСКЯ 538, EWK 255. В ОСНЯ 1, 210 выдвигается предположение о частичной редупликации (*č̣eč̣ḳ- <  *č̣ḳeč̣ḳ- < *č̣ḳ-) и корень сравнивается с ПТМ *čik- 'срезать, срубить' < ностр. *č̣iḳV. Бомхард (1996, 159-160) сравнивает картв. форму с драв. *cakk- 'рубить, разрубать'.
301|*č̣eč̣q̇-|0|мять, давить|to press, squeeze|č̣eč̣q̇-|||č̣q̇a(n)č̣q̇-|||||||||ЭСКЯ 255, EWK 538-539. Ср. *c̣q̇ec̣q̇-.
302|*č̣ed-|624|ковать|to forge|č̣ed-|||č̣ḳad-|||šḳǟd-, šḳid-|||č̣ḳad-|||ЭСКЯ 254-255, EWK 537-538. Предполагается (см. Климов ibid.) связь с ПЛ *č:at:  "кузница, кузнечный  мех". Однако в NCED 332 последнее надежно возводится к ПСК  *ćä̆dV̆ ( ~ č-) "кожаный мешок, мех":  налицо, таким образом, как  семантические, так и фонетические (отсутствие абруптивности в СК)  проблемы.  Скорее следует, вслед за Иллич-Свитычем (ОСНЯ 1, 209), предполагать  ностратическое  происхождение: ср. драв. *caṭṭ- "бить, разрушать" < ностр.  *č̣AdV "бить" (ср. еще алт. *ǯUdgV  "бить"?); то же картв.-дравид. сближение см.  Бомхард 1996, 159.
303|*č̣il|0|гнида|nit|c̣il- ( < *č̣il-?)|||č̣ḳir-||||||mč̣ḳir-|||EWK 539. В МССHЯ 336 Иллич-Свитыч с вопросом сравнивает основу с алт. *s[io]ri, урал. *śajwar-,  драв. *cīr id.
304|*č̣iṗ- (/*ć̣-, *c̣-)|1251|пуп|navel|č̣iṗ-|||č̣iṗ(e)-, č̣aṗan-||||||c̣iṗa-|||ЭСКЯ 255. Ср. ПСК *bɨč̣ĭ 'пятно' (с частым развитием значения > "пуп"), см. NCED 306.
305|*č̣ir-|164|иметь надобность, нуждаться|to need, have a need|č̣ir-|||č̣ḳər-, č̣ḳir-|||č̣ḳə̄r-, nč̣ḳər-|||č̣i(r)- ( < Georg.?)|||ЭСКЯ 255, EWK 539-540.  В ОСНЯ 1, 56 основа сравнивается с ПИЕ *ster-g- / *ster-k- "стеречь,  любить" и возводится к ностр. *č̣irV "присматривать, стеречь".
306|*č̣q̇inṭ-|0|незрелый|unripe|č̣q̇inṭ(l)-|||č̣q̇inṭ-u|||č̣q̇inṭ|мальчик|boy|č̣q̇inṭ-|||ЭСКЯ 256, EWK 541-542.
307|*č̣q̇iw-|0|визжать|to squeal|č̣q̇i(v)-|||č̣q̇i(ap)-|||li-č̣q̇īl-i ( < Georg.?)||||||Кл; EWK 541.
308|*č̣q̇un-|0|раздавить|to squash, crush|č̣q̇un-||||||č̣q̇ən-, č̣q̇n-||||||EWK 542. Ср. ПСК *č̣Vq̇V (/*q̇Vč̣V) 'давить, раздавить' (NCED 393). Отметим наличие ПЛ формы с *-n-спряжением (*č̣oq̇Ian-).
309|*č̣q̇(w)l-|0|давить, жать|to press, squeeze|č̣q̇vleṗ- / č̣q̇vliṗ-, č̣q̇l-em-, č̣q̇l-eṭ-|давить, мять|to press, squeeze|č̣q̇iṗ-, č̣q̇ilaṭ- / *č̣q̇iliṭ-|набивать(ся) туго|to pack tightly||||č̣q̇iṗ|давить|to press|ЭСКЯ 256, EWK 542.
310|*č̣r-|0|скрипеть; чирикать|to creak; to tweet|č̣r-ial-, č̣r-č̣-in-|||č̣ḳirč̣ḳ-in-,  č̣ḳərč̣ḳ-ən-|||č̣ḳər-mən-|||č̣ḳir-al-|||ЭСКЯ 256, EWK 540. Дескриптивная основа.
311|*č̣ur-|0|резать, кастрировать|to cut, castrate|č̣ur-||||||č̣ḳwr-||||||EWK 540.
312|*č̣ur-|1270|сосуд|vessel|č̣ur-|||č̣ḳuǯ-, č̣ḳud-|||||||||ЭСКЯ 256, EWK 541.
313|*č̣wiw-|0|быть видным|to be noticeable|č̣viv-||||||č̣ḳīw-|заглядывать|to peep||||EWK 539.
314|*da-|0|сестра|sister|da|||da|||dä-j, da-čwir, u-d-il|||da|||ЭСКЯ 69, EWK 97.
315|*da-|0|вниз по поверхности|down over a surface|da-|||do-||||||do-|||ЭСКЯ 69, EWK 98-99.
316|*da|0|и (союз); если (энклитика)|and; if|da, -da|||do, -da||||||do, -da|||ЭСКЯ 68-69, EWK 97-98. В ОСНЯ 1, 214 возводится к ностр. *daHV (ср. алт. *dā, слав. *da). Аналогичное сближение см. Бомхард 1996, 152.
317|*dab-|0|нива, селение|field, village|daba|селение|village|dobira|приусадебный участок|garden|däb|нива|field||||Кл; EWK 99-100. Если исходное значение - "горная нива, участок на склоне", то можно сравнить ПВК *dŏmpe "берег, склон" (NCED 401; ср. особенно формы типа дарг. dub "берег", dubura "гора").
318|*dag-|106|жечь (каленым)|to brand|dag-||||||||||||Изолированная груз. основа, имеющая, однако, интересные внешние параллели: ср. ПИЕ *dhegʷh- 'жечь',  алт. *dĕko id. Сомнительно предположение о заимствовании из ИЕ (Климов 1994, 176).
319|*daq- (*dqa-)|915|коза|goat|txa-|||txa-|||daq-|||(m)txa-|||ЭСКЯ 77, EWK 102. Культурное слово, представленное как в ВК (*dVrq̇wV "козел", NCED 403), так и в ИЕ   (*dig- / *dik- "коза"). См. Старостин 1988, 115. Ср. еще Бомхард 1996, 228: предлагается сравнение   картв. основы и драв. *takar 'коза, баран' - которое, вероятно, лучше сравнивать с алт. *t`ȫk`e  'рогатое животное'.
320|*dar-|290|плохой|bad|dar-||||||dar-, dr-||||||EWK 101. Ср. ПИЕ *dherə- 'грязь', *dherə-gh- / *dherə-k- 'грязный, унылый, дурной' (IEW 251, 256).
321|*dar-|1005|время|time ( < suitable time)|dar- 'good weather', dr-o 'time'; dar- 'gleich, entsprechend'|||e-dor-ia|подходящее время, rdo 'срок'|suitable time, rdo 'term'|droj|время ( < груз.)|time (< Georg.)|hemin-dor-as|в то время|at that time|EWK 101. Основу *dro (*rdo) Климов (1994, 176-177) отделяет и сравнивает с ПИЕ *r̥tu 'срок, период';  нельзя исключить, однако, и редукцию анлаута с выведением *dro < *adr-o (см. *adr-), см. Jedlička 1962, 112, 114.
322|*da(ś)tw-|0|медведь|bear|datv-|||tunt-|||däšdw|||(m)tut-|||ЭСКЯ 70, EWK 101 (*datw-).
323|*ded-|0|мать|mother|deda|||dida 'mother'|||dede, di-|||dida|бабушка|grandmother|ЭСКЯ 71, EWK 105-106. Детское слово, распространенное также в других кавказских языках (ср. ПСК *dājV / *dādājV "отец; мать", NCED 397-398), а также в ИЕ (*dhē- / *dhēdh-, IEW 235).
324|*dedal-|0|самка, курица|female, hen|dedal-|||dadul-|||dädw-, dedw-|||dadul-|||ЭСКЯ 72, EWK 105. Основа обычно выводится из *ded- "мать" (так же, как *mamal- "самец, петух" - из *mam- "отец"); ср., однако, ПВК *dadV "петух" (NCED 397). Не исключена вторичная контаминация разных корней.
325|*deg-/dg-|916|стоять, ставить|to stand, put|deg-, dg-, dgam- / dgm-, dgin- / dgen-|||dg-, dgum-, dgim-, dgin-|||g-, gem- / gm-|||dg-, dgim-, dgin-|||ЭСКЯ 70, 71, EWK 104-105. Исходное значение - "ставить вертикально, вставлять",  как видно по производному *(s)a-dg-iś- "шило" (груз. sadgis-, мегр. odgiš-,  см. ЭСКЯ 168-169, EWK 102-103). Интересно сравнить с алт. *tīk`u 'ставить   вертикально', ПИЕ *dhēigʷ- 'вставлять, торчать' (IEW 243-244). Сравнение с ПЗК  *gə- 'стоять' (Климов 1969, 292) неправомерно.
