NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
423|*rĕnƛ̣̲wV̆ ( ~ -ä̆-)|589|cloud, fog|*doχḳ|20|*nVḳ:V|98||0||0|*ɣerɣʷa (?)|106||0|unḳ|10||0|    Reconstructed for the PEC level. Correspondences between Av., PN and Khin. are regular; the PD form can belong here if we assume a partial reduplication (\I*ɣerɣʷa\i < \I*ɣereɣʷa\i). Some EC forms (Av., Nakh) are compared by  Abdokov (1983, 99) with Abaz. \Itħʷa\i (probably taken from \Ips-tħʷa\i 'cloud'),  which is phonetically impossible.
424||0||*ǯʡali(j)|24||0||0||0||0||0||0||0|
425|*ɫĕHɫe (~-i)|1255|ear|*la|28||0||0||0|*leħi|31||0||0|*ŁA- / *lˊA-|37|    See Abdokov 1983, 77. Cf. also Hurr. \Ilēlǝ\i 'ear' (Diakonoff-Starostin 1986, 53) which fits well as a reflex of the reconstructed NC form (actually, the Hurr. form is the reason for reconstructing *ɫ and not *l in PEC).     The cluster *-Hɫ- is reconstructed tentatively; if -lǝ in the Hurr. form is a suffix, we could also reconstruct \I*ɫĕHe.\i
426|*lōmVʒ̲ĭ (~ -ĕ)|0|dirt, earth|*lātte|29|*ric̣:i|306||0|luc̣|145|*laImzi|166||0||0|*lǝmǝzˊǝ (~ -ʒ-)|140|    The comparison seems valid both semantically and phonetically; preservation of -m- in PWC suggests that the original form may have been trisyllabic (\I*lōmVʒ̲ĭ\i) with a contraction to \I*lōmʒ̲ĭ\i in PEC. [Quite strange is Tab. Düb. \Ilinǯi\i 'clay, clay mortar'.]
427|*jōmcˊ̲V|1070|earth|*jobsṭ ( ~ -ō-)|30||0||0||0|*ʕanč:i|33|*jo(m)čV ( ~ ʔ-)|360|inč:i|18||0|    Reconstructed for the PEC level. Correspondences are regular.
428|*λwɨ̆ʔwV|590|millet|*foʔ|33||0||0|šʷa|540||0|*λʷɨʔʷ(a)|361||0|*λʷǝ|445|    A significant common NC cultural term. Correspondences are quite regular (except that in Lak we have to suppose a delabialisation \I*λwɨ̆ʔwV\i > \I*λɨ̆wV\i > \I*xawa\i > \Išʷa\i [with reduction]). See Abdokov 1983, 112 (Lezg. : WC; the author,  however, cites also some totally unrelated forms like Arch. \Iiƛ,\i Av. \Iroƛ:\i and  Ud. \Išum\i).
429|*χwĭlŁ̲V (~ -ă-,-ɨ̆-,-ā-)|1298|a k. of clothes||0||0|*ʁɨƛu A|677|harč:ala|549||0|*χIVƛ̣:V-l(:a)|969||0||0|    Reconstructed for the PEC level. Although not very widely represented, the etymology seems phonetically and semantically reliable.
430|*ṗVħVɫV|1014|feather; mane|*pēla-ḳ|37|*HulV|22||0|ṗiħulli|112|*paħIal(a) (/*ṗ-)|39||0||0|*pǝla / *pǝra|453|    The comparison seems generally plausible, but there are some unclear points probably explained by the root's expressive nature. It concerns especially the Avar form, where one should suppose a specific loss of *ṗ(V)- before the following laryngeal.
431|*č̣HārV|591|wet; fish|*č̣ʕāre|39||0||0||0||0|*č̣aIrV-|363||0||0|    The PN-Lezg. isogloss is quite satisfactory phonetically and semantically (the correlation "wet" : "fish" is quite common in NC languages); some doubts are raised only by the scarcity of reflexes in Lezghian (only Archi).
432|*=ĭnk̲wV (/=ĭk̲wVn; ~ ɨ̆)|592|right, good|*dik-/*dak-|44|*ʔinkʷV- / *kʷVnV-r-|921|*=ɨgV (~-ǝ-)|190||0|*d-uka|537|*juk:ɨ-|213||0||0|    Reconstructed for the PEC level. Seems both semantically ("good" - "right" is a common correlation) and phonetically reliable. Cf. also Urart. \Igunǝ\i 'right (not left), true' (see Diakonoff-Starostin 1986, 32).     The same root is probably represented in PEC *k̲wVnV 'a conditional particle' > Ud. \I-gin,\i Khin. \I-k:ʷa,\i Lak. \I-kun,\i Tsez. \I-kin\i et al.
433|*wɨ̄cV̄|593|grass|*būc|45|*bici ( ~ -s-)|129||0||0||0|*wVcVn- (~ p:-,-s-)|850||0|*wǝc:ǝ ( ~ -cˊ:-)|408|    Although the root is not very widely spread, it seems quite reliable both phonetically and semantically. See Trubetzkoy 1930, 276 (who made a further hypothesis about this root's relationship to \I*=ōcV\i 'to mow' q.v. - which can hardly be proved), Abdokov 1983, 105. Georgian parallels suggested by Rogava  (1959, 66-69) (Georg. \Iduci,\i \Iurci\i 'names of wild plants/herbs') are hardly  acceptable.
434||0||*ʔap- ?|46||0||0||0||0||0||0||0|
435|*χV̆c̣V ( ~ x-)|0|to hear|*χac̣-|50||0||0||0||0||0||0||0|   The PN root has (as far as we know) no parallels in Dagestan languages, but has good correspondences in Hurro-Urartian: PHU \I*χas-\i (Hurr. \Iχaž-,\i Ur. \Iχaš-\i) "hear". See Diakonoff-Starostin 1986, 46.
436|*ƛ̲wɨ̆rV|1008|horn; braid, mane|*kur|52|*ƛ:VrV|13||0||0||0|*λ:ʷɨr (~λʷ-)|630||0||0|    Reconstructed for the PEC level. Correspondences are regular.
437||0||*-ɦēw-|55||0||0||0||0||0||0||0|
438|*gwālgV|0|spine, back-bone|*gagu (~-ā-)|56||0|*gugu (~o)|346||0||0|*k:ʷalk:|568||0||0|    Reconstructed for the PEC level. Phonetically correspondences are quite regular. The meaning 'knee, elbow' in PN is probably secondary ('joint' < *'spine joint' ?).
439|*Gwɨ̆rʔi ( ~ -ɦ-,-ǝ̆-)|692|root, stalk; leaf|*ʁa|59||0||0|q:ur|678||0|*q:ur|375||0||0|    Reconstructed for the PEC level. Correspondences are regular.
440||0||*-iš-|61||0||0||0||0||0||0||0|
441|*rVHVnƛ̲wV̆ (/*HVrVnƛ̲wV̆)|1231|some internal organ|*daHVχ|62|*riƛ:V|20|*λ:[a]rV (~ L:-,-l-)|195||0||0|*neλ:ʷ-|372||0||0|    Reconstructed for the PEC level. The listed forms are very probably related, but precise reconstruction of the PEC root is rather difficult because of its complicated structure (trisyllabic - as clearly seen from the PN form) and metatheses.
442||0||*maʡa ?|66||0||0||0||0||0||0||0|
443|*ɫăwqV̄ (/*-ăwqV̄ɫ)|594|many, enough|*duqa|68||0|*laχ:i ( ~ -ʁ-)|696||0|*-aqal|73|*l[a]wχ-|364||0|*q:V|455|    Initial *ɫ- is proved by the PL and Gunz. forms. In PN and PD class prefixes were added which led to the shift of *ɫ- to the stem's end; the inanimate class prefix *r- > *d- was later petrified in PN. Processes like this are quite usual for adjectival and verbal roots. In general the etymology seems quite plausible.
444|*ǯä̆ǯV|1021|meat|*ǯiǯ-iḳ|69||0||0|č:ič:i|562||0||0||0||0|    A Chech.-Lak. isogloss; a reduplicated nursery word, thus the PEC antiquity is quite dubious. Cf. also Osset. \Iʒīʒa\i 'meat' (see Abayev 1958, 397) < Cauc.
445|*bĕḳwǝ (~-o)|989|part of face, mouth|*baḳa|73||0||0||0||0|*p:eḳʷ|365||0||0|    A Nakh-Lezg. isogloss with good correspondences.
446|*bV̆sV ( ~ -s̲-, -sˊ-)|116|night, evening|*bus-|76||0||0||0||0||0||0|*bǝsǝ ( ~ p-,-š-)|457|    An interesting WC-Nakh isogloss.
447||0||*q̇ar ?|81||0||0||0||0||0||0||0|
448||0||*ārum ?|83||0||0||0||0||0||0||0|
449|*HiŁ̲V ( ~ -ä-)|244|to say|*lē-w- / *ʔāλ-|86|*hiƛ̣:-|205|*ʔiƛ-|221||0||0||0||0||0|    Reconstructed for the PEC level. Vowel length is not clear (PN probably reflects an alternation of long/short root vowels); otherwise regular. Cf. also Hurr. \Iχill-\i 'to speak' (see Diakonoff-Starostin 1986, 51).     See Trubetzkoy 1922, 241 (with incorrect Lezg. and Darg. parallels).
450|*č̣Hwä̆ṭe ( ~ -i)|0|lead (metal)||0|*č̣iṭu|963|*č̣iṭ|709|č̣uṭi|569|*č̣[i]ṭ|549|*ṭeIč̣ʷ-|1009||0||0|    Reconstructed for the PEC level. Except for the metathesis in Arch. (probably by analogy with another root, see PNC \I*ṭɨ̆š(w)ɨ\i), correspondences are regular.
451|*ʒ̲ǟnkwV̄|595|skin|*c̣ōka|90|*c̣:ikʷV|59||0||0||0|*c̣:ämk / *kämc̣:|39||0||0|    Reconstructed for the PEC level. Lak. \Ic̣uku\i 'goat' does not belong here (see \I*ʒ̲ɨ̄kV\i 'goat'); however, Lak. \Ic̣uku-ls:a\i 'goat skin' can represent a merger of these two roots. The PL form presupposes rather *-mk- than *-nkw-, thus variants may have existed.
452|*q̲Hǟcˊwa (~ -e)|448|skin||0|*q:ʷiča (~*q:ičʷa)|60|*χ:eš:|201|χ:aIča-ra|307||0|*qʷeša (~ *qešʷa)|377||0||0|    Reconstructed for the PEC level. The stem is violating the rule of "uniform strength": the first consonant is reflected as tense, but the second - as weak. This is obviously due to the influence of two other roots, PEC \I*GĕlcˊwV\i and PEC \I*bHǟcˊwa\i  (q.v.), with a very similar meaning.
453||0||*tōħ-|93||0||0||0||0||0||0||0|
454||0||*ǯʕVm-|95||0||0||0||0||0||0||0|
455|*ḳVwrV (?)|0|smoke|*ḳur|97||0||0||0||0||0||0||0|    No correspondences in Dagestanian languages have been found, but cf. Hurr. \Iχubr-\i "smoke" ( < HU *ḳowr- ?), see Diakonoff-Starostin 1986, 57.
456||0||*sēṭHo|99||0||0||0||0||0||0||0|
457|*mīλwĂ ( ~ -ē-, -ɨ̄-)|0|sun; day|*mālχ|103|*miλi|84||0||0||0||0||0|*maλwV|465|    See Trubetzkoy 1922, 239, 242;1930, 275 (who also compares Darg. \Iberħi\i  'sun' which is reflecting a different NC root, see PNC \I*wirǝ̄q̲̇Ă\i), Abdokov  1983, 96. The metathesizes form is probably reflected in HU: Hurr. šimī-gǝ 'sun' (with a diminutive suffix), see Diakonoff-Starostin 1986, 23.     The inner analysis of the WC form (prefix *ma- + \I*λʷV\i 'white, light') which had been accepted by many authors (see Чарая 1912, 46; Яковлев 1948, 273, 292; 1941, 260; Rogava 1956, 26; Kuipers 1960, 111; Shagirov 1, 262) must be regarded as a folk etymology, because of the obvious relationship between the EC and WC forms.     Interesting is the comparison of the WC forms with Old Georgian \Isa-mχari\i 'south' (Чикобава 1953, 71); on the other hand, Meˊszaros' comparison of WC forms with PEC \I*Hwīq̲̇ī\i 'day' (1934, 242) is absolutely untenable.
458|*nV̄kV|0|swimming, flowing|*nāki|104||0||0||0||0||0||0||0|    The root is attested only in Nakh, but cf. Urart. \Inek-\i 'to flow, flow out' (see Diakonoff-Starostin 1986, 31).     The Urartian parallel makes a loan from Iranian improbable: thus Osset. \Inakä\i 'swimming' is probably a loan from Nakh, not vice versa (pace Abayev 1973, 152) and hardly goes back to \I*snāka-\i.
459|*ḳwV̆[c]V̆ (/*[c]V̆ḳwV̆)|0|tail|*c̣aḳu|105||0|*ḳic̣-|210||0||0||0||0|*ḳʷačˊa|167|    An expressive root, with violations of sound laws and not widely represented; the PNC antiquity is rather dubious.
460|*dwälc̣̲V|0|tree|*ditt ( ~ -ī-,-ṭṭ)|112||0||0|t:arc̣|509|*duc:a|484||0||0||0|    Reconstructed for the PEC level. The comparison seems probable enough (although we would rather expect \I*t:arz\i in Lak.; lack of spirantization is probably due to an early assimilation: \I*dwälc̣̲V\i > \I*dwälc̣̲wV\i).
461|*găl(V)gV|186|stick|*gag|113|*gVrVgV|267|*gagV- ~ *gogV-|181||0|*k:alk:V|118||0||0||0|    Reconstructed for the PEC level. It is possible to derive this stem (through reduplication) from PEC \I*gălV\i 'stick' q.v.
462|*nīrχV ( ~ -ē-, -ā-)|0|tree; oak-tree|*χēn|114||0|*niχV (~ -ɨ-)|189||0||0||0||0||0|    A Nakh-Tsez isogloss (with metathesis in PN: \I*χēn\i < \I*nē(r)χ\i). Medial -r- is to be reconstructed because of the PTs reflex *-χ- (otherwise *-χ:- would be expected).
463|*q̇VmčV|0|balcony, verandah|*ʔibčV (~ɦ-)|219|*q̇anča (~*ʔ-,o)|321||0|q̇ančlu|159||0||0||0||0|    Although vowel correspondences are irregular (PN *i does not correspond to Lak. -a-, PA *-a-(*-o-)), the etymology seems secure.
464||0||*fu-(n)|122||0||0||0||0||0||0||0|
465|*ḳVlʡV ( ~ ḳ̲w- -ɫ-,-ʕ-)|597|white|*ḳVj-|123||0||0|ḳaIla-|92||0|*ḳVlV- ?|366||0||0|    Essentially a Nakh-Lak. isogloss, because the isolated Udi parallel is not very reliable.
466|*ʒHV̆ṭV|1165|woman, female|*ʒɦuṭ|125||0||0||0||0||0||0||0|    The root has no parallels in Dagestan languages, but has a probable match in Hurr. \Išid-u/ori\i "maid(en)" (PHU \I*siṭ-,\i see Diakonoff-Starostin 1986, 28). Urart. \Iašti\i  'woman; wife' was compared (see ibid., 39) with EC forms like Darg. Chir. \Icade\i 'female', but in fact may be a prefixed variant of the same HU root.
467||0||*qadela ~ *qadale|126||0||0||0||0||0||0||0|
468|*c̣̲wŏjV ( ~ -ɨ̆-)|693|woman, female|*psṭuw|127|*c̣:ʷijV|229||0|c:u-|582||0||0||0|*pǝ-zV|470|    The WC form has a frequent labial prefix (which conditioned loss of labialisation \I*pǝzʷV\i > \I*pǝzV\i). The EC-WC comparison was suggested by Shagirov (1977). There exist also interesting Kartvelian parallels: cf. Kartv. \I*ʒ̥1̇u-\i 'female, bitch' (compared with Lak. in Klimov 1963); Chan. \Ibozo\i 'girl' (cf. PAK \I*bzǝ\i), Svan. \Izural\i 'woman' (see Lomtatidze 1961). Untenable is Trubetzkoy's (1930) comparison of the WC root with Darg. \Igʷaza,\i Lak. \Ik:ʷac:a\i etc. 'mare'.        In Nakh languages, besides \I*psṭuw,\i there is a series of similar forms: Chech. \Istē\i 'woman; female' (pl. \Isteš,\i Usl. \Istij\i), \Istē-n\i 'female', Akk. \Isēwa˜\i 'female', Ing. \Ise\i id., pl. \Iistij\i ( = Chech. \Istij\i) 'women, wives'. There are two possible solutions: to consider these forms as derived from \I*psṭuw\i (from the oblique base \I*psṭawV-\i), or to compare them separately with an isolated Darg. form - Chir. \Icade\i 'female' (reconstructing PEC \I*cVjdV\i (~ cˊ-)). This problem can not be definitely resolved without Bacbi evidence.
469|*ħḳwĕɫV̄|935|palate; mouth|*laḳ|143|*ḳʷilV|8||0||0|*ḳaw|240|*läḳʷ-|371||0||0|    Reconstructed for the PEC level. The structure *HCVCV̄ is reflected regularly in all languages except PL (\I*ḳʷäl:-\i would be expected) - which reflects a metathesized variant \I*ħlĕḳwV̄.\i
470||0||*ḳaṗ- ?|130||0||0||0||0||0||0||0|
471|*dwǝ̆nʔV|598|a k. of musical instrument||0|*dʷonʔV (~ -a-)|322|*dɨbV- (~-i-)|260||0|*t:am|176|*damdam / *daldam|463||0|*tʷanǝ|219|    An expressive (but obviously archaic) root. Irregular is -b- in PTs (and -b- in Tab.): -m- should be expected. It is not quite clear, whether the protoform should be \I*dwānʔV\i (with transfer of labialisation to -n- > -m- in some languages) or \I*dāmʔV\i (with a reverse process).
472||0||*-uṭq̇-i(n)|136||0||0||0||0||0||0||0|
473||0||*nʡana|138||0||0||0||0||0||0||0|
474|*GHwōṗV|0|a k. of worm or reptile|*qōṗe|139|*q̇:ʷVbV|666||0||0||0|*q:Iop:|368||0||0|    Reconstructed for the PEC level. The meaning in Av. ("malaria") is secondary, derived from "pathogenic worm" (cf. the meaning in Nakh languages).
475||0||*gāni|141||0||0||0||0||0||0||0|
476|*mä̆ɦnɨ̄ (~-ū)|161|brain, head|*min-|142|*minʔa-r|2||0|naI|233|*meħa|224|*mahI|369||0||0|    Reconstructed for PEC. Correspondences are regular.
477|*χɦwɨ̆mχV|0|cheek; buttock||0|*χ:ʷ[i]m(V)χV|5|*χ:uχ: (~-o-)|194||0|*χIʷaχI|229|*χIɨ(m)χI-|370||0||0|    Reconstructed for the PEC level. Inspite of some minor problems (due to the expressive nature of the root), the reconstruction seems rather secure. Cf. also Hurr. \Iχaχli\i 'cheek' (see Diakonoff-Starostin 1986, 61).
478||0|||0|*q̇ili|9||0||0||0||0||0||0|
479||0|||0|*ʔaḳaṭV ?|14||0||0||0||0||0||0|
480|*ḳĕmhV|173|arc; an arched, curved body part||0|*ḳamV (~ -o-)|15||0|ḳurma-ṭi|255|*ḳimi (~-e-)|112||0||0|*ḳa (~ *ḳˊ-)|166|    Lak. \Iḳurmaṭi\i contains a suffixed dental; \Iḳurma-\i < \I*ḳVmrV-\i = Av. \Iḳamuri\i 'arc' ( > Arch. \Iḳummur\i id.). The word probably denoted 'arc, curve' with a semantic development > 'curved part of body' ('horn' in PA, 'tail' in PD and PWC).         See Abdokov 1983, 76 (Darg.-WC).
481||0|||0|*kaƛ:i ?|17||0||0||0||0||0||0|
482||0|||0|*čVčV ?|18||0||0||0||0||0||0|
483|*gārV ( ~ -l-)|0|neck; throat, gullet|*gagV|6|*garu|21||0||0||0||0||0|*k:ǝ-|700|    The comparison belongs to Abdokov 1983, 74. The Nakh form may belong here  if it is a partial reduplication (\I*gagV\i < \I*gargV\i or \I*galgV\i). Note that Kryz.  \Igäli\i 'throat' (also cited by Abdokov ibid.) is a recent Persian loanword and  does not belong here.
484|*=ǝ̆χA|599|bottom, lower part|*=uχ|144|*=iχ:V|29||0|uχ|274|*ʔi-χ(ʷ)|706||0||0|*χa|191|    One of the nominal roots with originally changing class prefixes. The labialized vowel reflex in PN and Lak. is probably due to the influence of labialized class prefixes.    The root should be kept distinct from the synonymous \I*ʔwăχ̲wV\i q.v.
485|*č̣V[l]ḳ̲wV|600|hoof, foot|*č̣alḳo|145|*č̣:iḳʷa|30||0||0||0||0||0||0|    A Nakh-And. isogloss, thus the vocalic reconstruction and reconstruction of the medial resonant are uncertain; nevertheless, the comparison seems plausible.
486|*kHwanš̲V (~-ĕ-,-ō-,-sˊ̲-)|228|foot, leg||0|*kʷanš:a (~-o-,-o)|32||0||0|*kʷaIš (~-š:)|297||0||0||0|    An And.-Darg. isogloss, with the Darg. form quoted from Khaidakov 1973 - thus not very reliable. However, the Andian root still must be kept distinct from \I*kʷašV\i < PEC \I*kʷăsˊV\i q.v.
487|*nä̆kwV̆|942|knee, thigh||0|*nikʷo|33||0|nik|42|*nikʷa|294||0|nik|37|*kʷa|274|    The comparison is plausible (both phonetically and semantically). See  Abdokov 1983, 79.
488||0|||0|*muq̇u ?|34||0||0||0||0||0||0|
489|*lāswĔ|603|hair; wool||0|*rVsV|35|*riz(:)V (~ l-,-ɨ-)|196||0||0||0||0|*lasˊʷV|284|    Although the root is not widely spread in EC, the correspondences between Av., Tsez. and WC are quite regular, and the PNC reconstruction seems reliable. See Abdokov 1983, 83-84 (with some confusion of several EC roots, but  containing the basically correct comparison of Av. \Iras\i and WC forms).
490|*ƛ̲wāħnɨ|0|wool|*kān|146|*λunʔi|36|*λ:u˜|406||0||0|*λ:aj|373|ka|127||0|    Reconstructed for the PEC level. All reflexes are regular, except *λ- in PA (regularly *λ:- would be expected). See Trubetzkoy 1922, 239.
491|*λila (~-e)|0|wing||0|*λiru|38|*λir(V) (~ l-,-l-)|197||0|*dux:ala|291||0||0||0|    Reconstructed for the EC level. In PD the stem was modified (obtained the prefix du-) under influence of the synonymous \I*dukala\i 'wing; bosom'.
492|*š̲akV / *š̲aḳV (~ *sˊ̲-)|679|a k. of small bird||0|*š:aki-b / *š:aki-m|44||0||0|*š:aḳaḳ-|368|*š:Vḳ- (~ š-)|374||0||0|    Reconstructed for the PEC level. Correspondences are regular (except for occasional shifts of the tenseness feature, usual in the structure CVCV).
493|*č̣HwīlV (~ c̣ˊ-, -ē-, -ɨ̄-)|97|a small bird||0|*č̣ʷirV|45||0|č̣iIlmu|7||0||0||0||0|    An Av.-And.-Lak. isogloss; the comparison seems plausible both phonetically and semantically. We can also mention Ud. \IaIl\i 'partridge': since all weak affricates were lost in Ud., this form can go back to PL \I*č̣ʷVIl,\i and may be related to the PA and Lak. forms.
494||0|||0|*č:ʷanHV ( ~ -o-)|47||0||0||0||0||0||0|
495|*Gwăṭɨ̄|0|bush, tree; stalk|*ʁaṭ|149|*ʁʷVṭV|50|*ʁ:eṭa (~ʁ-,-ɨ-,-ǝ-)|415|q:aṭa|320|*ʁʷaṭa|308|*q:ʷaṭ(a) ( ~ q̇:ʷ-)|784||0||0|    Reconstructed for the PEC level. The Tsez. word for "goat's wool" (\IʁIiṭa\i) perfectly fits phonetically; semantically it must be explained as *'stalk' > 'long hair' > "goat's wool" (the variation between "hair" and "bush, shrub" is observed also in several other cases).
496|*rä̆sˊwē|0|tree, wood|*dos|150|*rišʷa|51|*riša (~ -ž(:)-)|199||0||0||0||0|*raš:ʷǝ|367|    Correspondences are regular, and the etymology seems reliable both phonetically and semantically.
497|*ƛ̣imV ( ~ -ä-,-ɨ̄-)|1191|tops (of plants)||0|*ƛ̣imV|52|*ƛ̣imV (~ -ɨ-)|200||0||0||0||0||0|    An Av.-And.-Tsez. isogloss.
498||0|||0|*λaχV ?|53||0||0||0||0||0||0|
499|*ƛ̣ăpi (~-e)|206|leaf||0|*ƛ̣apV (~ -o-)|54||0|č̣aṗi|44|*ḳa[p]i|66||0||0|*Ła(m)pa (~*l-)|84|    Correspondences are quite regular (except the secondary voicing *ƛ̣- > *Ł- in PWC, which is a frequent phenomenon).
500||0|||0|*q:ali|57||0||0||0||0||0||0|
501|*čiwx̲V̄|395|stomach; crop, craw||0|*čVxʷV|62||0|čux|275|*čiwxʷ (~-x:ʷ)|264|*š(ʷ)iλ:|378|šax|2||0|    Reconstructed for the PEC level. Correspondences are regular.
502||0|||0|*ʁʷaʁʷačV ?|63||0||0||0||0||0||0|
503|*mǝ̆hwV|604|grain, seed; a k. of cereal||0|*muħV|66|*moħ A|202||0|*maħa-r|419|*maʔ(ʷ)|379||0||0|    Reconstructed for the PEC level. Correspondences are regular.
504|*Ł̲ǝdwi / *Ł̲ǝŁǝdwi|1327|corn|*jalata (~-λ-)|151|*ƛ̣:ilṭu (/*ƛ̣-)|67||0|č:at:i|450||0|*ƛ:at:|380||0||0|    Reconstructed for the PEC level. The PN form is a dissimilation < \I*lal(a)ta;\i PA \I*ƛ̣:ilṭu\i < \I*ƛ̣:ildu.\i Cf. also Hurr. \Ikadǝ\i 'barley' (see Diakonoff-Starostin 1986, 28).
