NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
318|*=oƛ̣:V|779|in the middle, between|b-áƛ̣:u-λ:|ƛ̣o-ró|=oƛ̣:u|aƛ̣:e-ge|b-aƛ̣:a-ƛ:i|b-aƛ̣:i|b-aƛ̣:i|||b-aƛ̣:u|    Cf. also Av. \Ir-aƛ̣:-q:én\i 'half of body, carcass'; \Ihorƛ̣:ó-b\i (Andal., Kel. \Iƛ̣:o-ró-b\i) 'inside, between); Akhv. Tseg. \Iaƛ̣:a-de-ƛ̣:,\i Tlan. \Ib-aƛ̣:a-q:e,\i Ratl. \Iaƛ̣:e-ƛ:i\i 'in the middle' (also Tseg., Tlan. \Ib-aƛ̣:i-s:,\i Ratl. \Ib-aƛ̣:e-s:i\i 'half', N.-Akhv. \Iãƛ̣:o\i 'near to'); Tind. \Ir-aƛ̣:a-λ:i-la maḳʷa\i 'middle' etc.
319|*ƛaji- (*ƛaHi-)|787|1 year 2 in the daytime 3 today|λáʕe-l 1||λa-l 2, že-λa-l 3|ƛalige 2, žeƛa 3|λaj-l 2, jaλel 3|e-λe 3|λaji-l 2,  e-λel3|hēle 2, e-hel 3|e-he-li 3|λē-l 2, he-λe 3|    In Av. cf.  also \Iλáʕi-ze\i 'to live a year', \Iλáʕi\i 'anniversary'. The original meaning is not quite clear ("time" in general?); cf. the same situation in WC.
320|*ʔ[i]nkʷV|793|1 carriage 2 nail, wooden peg 3 round whetstone|hokó 1|horkó 1|inkʷa 1,3|ħãku 2|ankʷ 2||||||    Av. paradigm C (\Ihakí-l,\i \Ihaká-l;\i Chad. \Ihorkí-l,\i \Iharká-l\i). Cf. also Cham. Gig. \Ianku\i 'nail, wooden peg'. The latter meaning is probably secondary, going back to 'linchpin' or 'axle' (cf. the meanings in other languages).         Av. > Akhv., Tsez., Gin. \Ihoko,\i Cham. \Ihok\i (Gig. \Ihoka\i),Tind. \Iħoka\i ( > Inkh. \Iħoko\i).
321|*q̇anča (~*ʔ-,o)|463|1 balcony 2 a division in a granary|||||ača 1|anča 2|||||
322|*dʷonʔV (~-a-)|471|drum|||don-gudi||dā̃|dʷā̃|dane||dʷãj||    The component -gudi in And. is unclear. For PA either *-ʷo- or *-ʷa- can be reconstructed (since the And. form - quoted from Khaidakov 1973 - is not very reliable).
323|*kʷinʔi|673|ram|kuj|kʷi|kun||kʷī|kʷī̃|kũji|kũʔi|kũʔi|kũji|    Av. paradigm A (\Ikúj-dul,\i \Ikúj-dul\i). Cf. also Cham. Gig. \Ikũj\i (pl. \Ikuma\i), Gad. \Ikuj.\i
324|*ʔinꭓo|799|sheep, ewe|||iꭓo|ĩꭓa|ĩꭓa||||||    Cf. also Akhv. Tseg., Tlan., Ratl. \Iiꭓa.\i
325|*borg(ʷ)V|801|a spring-time (lean) lamb|||||bargʷ||||||    Attested only in Cham., thus the reconstruction is tentative (*-a- is also possible; the Auslaut may be *-gʷV or *-gu).
326|*ꭓ:unꭓ:V|802|1-year-old lamb|ꭓ:uꭓ:|ħõħ|||||||||    Av. paradigm B (gen. \Iꭓ:uꭓ:ó-l;\i Chad. \Iħõħó-l,\i \Iħũħá-l\i). Cf. also Anch. \Iħunħ/ħonħ.\i
327|*ƛ̣:idir (pl.*ƛ̣:ili)|803|lamb|ƛ̣:eʕér|||ƛ̣:eje|ƛ̣:ili|ƛ̣:ēr|ƛ̣:ider|ƛ̣:eṭir|ƛ̣:erer|ƛ̣:idir|    Av. paradigm B (\Iƛ̣:aʕrí-l,\i \Iƛ̣:aʕí\i). Cf. also Akhv. Ratl. \Iƛ̣:ider\i (the North. form \Iƛ̣:eje\i < \I*ƛ̣:idi-r\i).     The original PEC form is best preserved in PA plur. \I*ƛ̣:ili\i (cf. Kar. \Iƛ̣:ili,\i Bagv. \Iƛ̣:ili,\i Cham. Gig. \Iƛ̣:ila;\i in the U.-Gakv. dialect the sing. form \Iƛ̣:ili\i is probably a secondary analogy to plural, cf. Gig. sing. \Iƛ̣:edir\i - pl. \Iƛ̣:ila\i). The singular form \I*ƛ̣:idir\i contains a peculiar infix -dV- common to some other names of young animals (\I*ʁadač̣a\i 'calf', \I*λidir\i 'kid'); Avar has -ʕ- in these cases (but note that the Av. pl. \Iƛ̣:aʕí\i reflects directly the PEC *-ɦł-).
328|*Hi(HV)|804|sheep-flock|ʕi||||||||||    Paradigm C (\Iʕĳá-l,\i \Iʕíja-l\i). The reconstructionis tentative without Andian evidence.
329|*dan(H)V|805|sheep, ewe|||dan||||||||    Isolated in And., but having good external parallels.
330|*riq̇ib-|806|ram (2-3 y. old)||||req̇e|jela|reλab||||rebla|    Cf. also. Akhv. Ratl., Tlan. \Ireq̇eb,\i Tseg. \Ireʔeb,\i Cham. Gig. \Irella.\i All forms except the Akhv. go back to a suffixed form \I*riq̇ib(V)-lV\i; in Tind. there occurred a metathesis (\Ireλab\i < \I*reʔlab\i < \I*reʔeb-la\i). Tind. > Inkh. \Ireλab\i id.
331|*bihV|807|1 1-year-old lamb 2 sheep (general term)|baʕáj 2|||||||||beha 1|    An expressive root (cf. also Av. \Ibaʕá-di-ze\i 'to bleat'), but having external parallels.
332|*mVč̣:V-|808|fattened sheep (cattle)|mač̣:ád||||||||||    Gen. \Imač̣:áda-l.\i -d is an historical suffix.
333|*biƛ̣u-rV|809|1 kid 2 he-goat (not gelt) 3 deer|burúṭ 1|burúṭ 1|belir 3||beʔa 2|bera 2|||bēro 2||    The And. meaning ('deer') is probably an innovation, since in all other languages (also outside Avaro-Andian) the root denotes only domestic animals.   Av. paradigm C (\Iburṭí-l,\i \Ibúrṭa-l;\i but Chad. pl. \Iburṭá-l\i). Cf. also Av. Keg. \Ibullul,\i Kuyad. \Ibulʔur\i pointing unambiguously to *ƛ̣; And. Mun. \Ibeƛ̣iri\i 'deer'; Cham. Gig. \Ibera.\i The Cham., Tind. and Bagv. form go back to an intermediate form \I*biʔira\i or \I*biʔra\i with an early loss of the lateral component before the following -r-. Tind. > Inkh. \Ibera\i 'ungelt he-goat'.
334|*ḳʷVṭV|314|short-eared ram||||ḳʷaṭa|||||||    Isolated in Akhv., but with probable external parallels.
335|*čVq:u|812|2-year-old sheep, sheep (in general)|čaq:ú||||||||||    Paradigm B (\Ičaq:-dá-l,\i \Ičaq:á-bi\i). Isolated in Av., but with some external parallels. Av. \Ičaq:ú\i > Darg. Chir. \Ičaqu\i id.
336|*lVmbagV|813|1 sheep 2 sheep (1 y. old)|lémag|||lãgi|||||||    Av. paradigm A (\Ilémagul,\i \Ilémagal\i). Cf. also Av. Kuyad. \Inebag\i 'sheep' (suggesting the protoform \I*lVmbagV\i), Akhv. Tlan. \Ilangi,\i Ratl. \Ilamagi\i id.
337|*čičV|814|fringe||||||čeča|||||    Attested only in Tind., but probably archaic.
338|*šimišV (~*s)|815|1 fringe 2 tassel|simís 1|||sisa 2|||||||    Av. paradigm C (pl. \Isímsa-l\i). Not quite clear is the reason why Akhv. preserved s in this root (both PA *s and *š normally yield Akhv. š); however, the word (attested in the northern Akhv. dialect) does not resemble a loanword.
339|*ʔisV|817|tower|si||||isa||||||    Av. paradigm C ( \Isiwú-l/si-l,\i \Isíja-l\i). The Av. form is a reduction of \I*ʔisí.\i
340|*q̇:inV-|818|1 pregnant 2 a sheep that has not yet yeaned|q̇:ína-b 1|||||q̇:ena 2|q̇:ena-b 1||||
341|*č̣on-di / *č̣on-ṭi|819|flea|č̣eṭ||č̣onni|č̣ãṭi|č̣an|č̣andi|č̣anṭe|č̣anṭi|č̣anṭ|č̣anṭi|    Av. paradigm B (\Ič̣oṭó-l,\i \Ič̣uṭú-l\i). Cf. also Akhv. Tseg., Ratl., Tlan. \Ič̣andi.\i The original form is probably \I*č̣ondi,\i and forms with -ṭ- reflect an assimilation (see, however, below).
342|*ħoli|821|1 bean(s) 2 pea(s)|holó 1|holó 2|holi 1|hali 1|hal 1|hali 1|hale 1|hali 2|hal 2|hali 2|    Av. paradigm B (\Ihalí-l,\i \Ihalá-l\i).
343|*biš:i|823|god|biš:í||||||||||    The Av. word is quoted from Uslar 1889.
344|*c̣:VbV|825|mercy, grace|c̣:ob||||||||||    Av. paradigm A or C (pl. \Ic̣:óba-l\i).  Cf. And. \Ic̣:ob\i 'god' (borrowed from Avar, but retaining the original meaning).
345|*bigʷV|119|thigh, hip||||||beǵaw / beǵal|||||    The two forms are in free variation in Tind.; they probably suggest an earlier form \I*bigʷa-l;\i cf. also Tind. (with another suffix) \Ibegʷa-ƛ:i\i 'leg (from the foot to the pelvis)', 'leg (of an animal)'.
346|*ʔuntV-|827|sickness, ailment|únti||||||||||    Cf. also \Iúnt-ize\i 'to be sick' (\Iúnti\i is formally a deverbative noun).
347|*ƛi(r)c̣:V|828|bog, marsh|||λenc̣:u|ƛic̣:i|||λic̣:u|||λ:inc:u|    Cf. also Akhv. Tseg., Tlan. \Iλic̣:i,\i Ratl. \Iƛirc̣:i.\i Regular are the Akhv. and Kar. forms; in God. an assimilation in strength (*ƛ- > ƛ:- or *ƛ- > *λ- > λ:-) has occurred (cf. also And. dial. \Iƛ:ec̣:u\i). Some problems are raised by And. and God. -n-; it may be a result of an old contamination with another root, PEC \I*xwɨmc̣̲wɨ\i q.v.
348|*xʷic̣:V|829|bog, marsh|xuc̣:|||||hic:u (Akn.)|xuc̣:e||||    Av. paradigm B or C (gen. \Ixuc̣:í-l\i). Cf. also Kar. Tok. \Ixec̣:u.\i The root should be distinguished from PA \I*ƛi(r\i)c̣:V and \I*tic̣:u\i q.v.
349|*tic̣:u|830|bog, marsh|||||tiṣʷ|tic:u|tic̣:u||||    Cf. also Cham. Gig. \Itic̣u.\i
350|*miža (~-o)|832|beard||||miže-ƛ:u|miza-ṭʷ|miža-tu|||miža-tʷ||    The pure root is preserved only in Akhv. Tlan., Tseg. \Imiža.\i All other languages have rather obscure suffixes -tu (-ṭu) (cf. also Cham. Gig. \Imižaṭu\i) or *-jiƛ:u (cf. also Akhv. Ratl. \Imižejƛ:o\i). The stem should be distinguished from \I*migažu\i q.v.
351|*mi-gažu|833|beard|megéž|megéž|migažu||||migaž|||migažu|    Av. paradigm C (\Imagží-l,\i \Imúgžu-l\i). The root should be kept apart from \I*miža\i 'beard' q.v.
352|*c̣:ankV-rV|834|1 wart 2 boil, furuncle|c̣:inkír 1||c̣:akara 2|c̣:akara 1 (Ratl.)|sančara 2 (Gig.)||||||    Av. paradigm C (pl. \Ic̣:ínkra-l\i). The Gig. form is obviously a result of assimilation (or misrecording?) of \I*ṣančara\i ( < \I*c̣:ankara\i).
353|*ħimi|835|1 wart 2 birth-mark, mole||||himi 1|himi 1 (Gig.)|himi 2||||himi 1|
354|*ḳʷinṭV|836|1 freckles 2 spot 3 drop||||ḳunṭa 2||ḳʷinṭa-bi 1|ḳunṭe 3, -di 1||||    Cf. also Akhv. Tlan. \Iḳunṭi\i 'spot'. The Tind. form in -bi and the Kar. form in -di are plurals.
355|*č̣u(n)ṭi|838|freckles||||||||||č̣uṭi (Zib.)|    Isolated in God., but having external parallels.
356|*ṭinṭV|839|1 freckle(s) 2 pock-marked, speckled|ṭonṭ-ró|||||ṭiṭa-ḳ-be 1||||ṭinṭiḳʷa-be-ki3|    All forms contain suffixes: in Av. -ro is the original plural suffix; -ḳ- in Tind. and God. is diminutive; it is accompanied also by the plural suffix *-bi.
357|*ṭanḳV|840|1 dot, spot 2 freckles|ṭanḳ 1||ṭanḳi-lol 2|ṭãḳa 1||ṭinḳʷa-bi 2||||ṭanḳ-e 2|    Av. pl. \Iṭánḳa-l\i (thus probably paradigm C). All the Andian forms are pluralia tantum. The Tind. form has an irregular shape (\I*ṭanḳabi\i would be expected) due to contamination with the synonymous \Iḳʷinṭabi\i (see \I*ḳʷinṭV\i).
358|*ṭix(ʷ)V|841|abscess, furuncle|ṭix||||||||||    Isolated in Av. (the form is quoted from Хайдаков 1966), but having reliable parallels in Lak. and Lezghian languages.
359|*muq:V / *nuq:V|842|1 line 2 stripe 3 furrow|muq: 1|||muq:u 1|nuq: 1,3 (Gig.)||nuq:e 1,2|||muq:i 1|    Av. paradigm C (\Imuq:í-l,\i \Imúq:a-l\i). Cf. also Kar. Tok. \Imuq:i\i 'line'. Cham. and Kar. have initial n- - obviously a result of labial dissimilation before -u-.
360|*HVč:ʷV|843|line, stripe|ħuč:||||||||||    Isolated in Av. - with only a Lak. parallel.
361|*ƛ̣:(ʷ)VrV|844|garden-bed; terrace; row, rank|ƛ̣:er||||||||||    Paradigm A or C (pl. \Iƛ̣:úr-dul\i). Isolated in Av., but having reliable Darg. and Lezg. parallels.
362|*bVλ(ʷ)V|845|furrow; an allotment of arable land|baλ||||||||||    Attested only in Av., but having probable external parallels.
363|*ʁarV|846|1 harrow 2 wooden ladder|ʁári 2||ʁari 2||||||||    The Av. word is formally a deverbative from \Iʁár-ize\i 'to harrow'. In Andian the semantic shift was probably conditioned by the external similarity of the wooden harrow and the wooden ladder.
364|*paži (~ -o-)|847|tent, shelter|paž|||hʷaži|||paže||||    Av. gen. \Ipaží-l\i (par. B or C).
365|*pVrVpV / *pVlVpV|849|butterfly|lapláp||pirinpa||||||||    Irregular correspondences between Av. and. And. are explained by the expressive nature of the root.
366|*polpV|850|foam|polóp|polóp|pol|hʷale|||||||    Av. gen. \Ipolpí-l\i (par. B or C; but Chad. irregularly gen. \Ipólpa-l\i). External evidence clearly shows that \I*polpV\i is the original form, thus the Andian reflexes are secondarily "dereduplicated".
367|*parč:i|851|earthenware water jug|parč:í||||||||||    Av. paradigm B(gen. \Iparč:í-dul,\i pl. \Iparč:á-l\i).
368|*piri|852|lightning|pirí|pirí||hiri||piri|pire|||piri|    Av. par. B (gen. \Ipirí-dul\i). Cf. also Akhv. Tl., Ratl. \Ipiri.\i The same root with an expressive suffix is present in Av. \Ipír-ꭓ:-ize\i 'to flash, glitter'. Av. \Ipárꭓ:-ine\i 'to blaze up' is still another variant of this root (possibly influenced by Lak. \Iparꭓ\i 'flash'. Tind. (or Av.) > Khvarsh. (Ram.), Inkh. \Ipiri\i 'lightning'.
369|*papa-|260|1 light 2 soft|||papa 1|hʷahʷa-da- 1,2|papa-b 1|papa-b 1|papa-b 1|papa 1|papa-b 1|papa 1|   Cf. also Akhv. Tseg. \Ipapa-da-b.\i See Gudava 1964, 35, 125.
370|*par-pV- / *par-ꭓ:V-|281|flutter 1 fly, fly up|pár-||||||||||    The Av. root is present in forms: \Ipár-p-ad-ize\i 'to flutter,fly', \Ipár-ꭓ:-ine\i 'to fly, fly up' (the first is probably reduplicated, the second contains an expressive suffix).
371|*perV|855|onion|per|per|||||||||    Av. gen. \Iporó-l\i (par. B or C); Chad. paradigm B (\Iporó-l,\i \Iperá-l\i). Cf. also Kar. Tok. \Iper\i ( < Av.). It is not clear, whether Cham. \Ibal\i 'garlic' can be related here.
372|*mus:VrV|242|rag||||mos:olo (Tseg.)||mus:ura|||||    It is also possible that the same root is contained within PA \I*ƛ̣i-ns:Vr\i 'eyebrow' (with a variant \I*ƛ̣:i-ns:Vr\i): Av. \Iƛ̣:ens:ér,\i Chad. \Iƛ̣:ensér;\i And. \Ilens:i-b,\i Akhv. \Iƛ̣es:e,\i Cham. \Iƛ̣:es:al,\i Tind. \Iins:ar\i etc. (Tind. > Inkh. \Iesser\i). This is rather probable taking into consideration the meaning of the root in other NC languages. The first component of \I*ƛ̣i-ns:Vr\i can be an early contraction of PEC \I*ʡwĭlʡi\i 'eye' (*ʡli- > *ƛ̣i-) which otherwise regularly yielded PA \I*harHi.\i
373|*pulV|857|1 pipe 2 vein, blood vessel||||huli 2|pul 2|pula 1,2|pule 2||||
374|*pinc̣:i|858|resin|pic̣:|pic̣|pirc̣:i|mic̣:i|bis.|mic:i|bic̣:i||||    Av. paradigm B or C (gen. \Ipic̣:í-l\i). Voiced b- in Kar., Cham. is not quite clear (cf. also Kar. Tok. \Ipic̣:i,\i Cham. Gig. \Imic̣:i\i).
375|*pinƛ̣:V-|859|a k. of shrub (волжанка, таволга)|penƛ̣:éli||||||||||    Attested only in Av., but with a probable Arch. parallel.
376|*pipi|860|plane-tree|||pipi||||||||    Attested only in And., but having reliable external parallels.
377|*puʔ-|862|to blow|pú-jze|||hu-ruƛa||pē-λa|puwa-λa|||pu-di|    Cf. also Akhv. Tseg. \Ipu-ja-q:e,\i Ratl. \Ipū\i etc.
378|*pira|863|bee|||pera|hera|pĳã|pera|pera|pera|pera|pera|    Cf. also Akhv. Tseg., Tl. \Iperu,\i Ratl. \Ipera,\i Cham. Gig. \Ipera.\i
379|*pur(d)iꭓV-/*purV-lV|866|bellows|perélo|pil|purꭓul|holoꭓa|butuꭓ|pujiꭓan,pujuꭓan|puxedero||||    Cf. also Kar. Tok. \Iperiλur\i id., And. \Ipurꭓ-un-\i 'to ferment (of dough)'. An expressive stem with many irregularities. Cham. \Ibutuꭓ\i demonstrates a metathesis of laryngeal features < \I*puduꭓ\i = Tind. \Ipujiꭓan\i (a borrowing from Old Tind. is Inkh. \Ipuduꭓa\i 'bellows'). Cham. Gig. \Iperala\i 'bellows' is most probably a borrowing from Av., as well as Gunz. \Ipalal\i id.
380|*č̣:ʷipi|867|basket|č̣:ep||č̣:epi|č̣:ehi|||č̣:ope||||    Av. par. B or C (gen. \Ič̣:apí-l\i). Cf. also Kar. Tok. \Ič̣:epi.\i
381|*q̇:ʷapa (~-o-,-o)|869|hat, cap||||||q̇:ʷapa|q̇:ʷapa||||    Since there are no And. data, both *a and *o are possible in PA.
382|*baƛa (~o,-λ-)|871|1 young (of animals) 2 youngling,nestling|||||baλa 1|baλa 1|baλa 1|baha 1|baλa 2|baλa 1|    Since no And. and Akhv. forms are attested, it is impossible to choose between PA *o or *a, *λ or *ƛ in the reconstruction.
383|*panzV|872|horned cattle|panz||||||||||    Av. paradigm C (\Ipanzí-l,\i \Ipánza-l\i).
384|*bata / pada(-n)|873|1 trousers 2 linen, canvas 3 a knitted sock|ħebét 2|ħebét 1|padan 3|bata 1|bata 1|bata 1||||barta 1|    Av. paradigm B (gen. \Iħebtí-l;\i Chad. \Iħibtí-l,\i \Iħebtá-l\i). -r- in God. (as also in Akhv. Ratl. \Ibarta\i) is obviously secondary (a merger with PA \I*barta\i 'rag' q.v.).
385|*bida (~-o)|874|1 dirt 2 diarrhea||||beda 1||beja 2|||||    Without And. it is impossible to distinguish between *-a and *-o. Tind. (cf. also Akn. \Ibeda\i) > Inkh. \Ibeda\i "faeces".
386|*pirq:i|876|1 apricot 2 fruit|piq: 2||||||biq:e 1|||perq:i 2|    Reasons for voicing in Kar. (cf. also Kar. Tok. \Ibeq:i\i) are not quite clear.
387|*q:ʷibV|878|raven|||||q:ob|q:oba|||||
388|*buṭa|879|vulva, vagina|||buṭa|buṭa|buṭa|buṭa|buṭa|buṭa|buṭa|buṭa|    Tind. > Inkh. \Ibuṭa\i id.
389|*pirVc:V|880|wooden plough|purúc:||rebc:u|ʕebec:e|bĳaca|bec:i|bec:e||perc||    Av. paradigm C (\Ipurc:í-l,\i \Ipúrc:a-l\i). In And. the form is metathesized (probably under influence of another PA root, \I*ric:i\i q.v.). On the laryngeal in the Akhv. form see under \I*Hrājc̲ū.\i Several languages reveal secondary (dissimilative) voicing *p- > b-. Cf. also Kar. Tok. \Iperic:.\i
390|*ħabara|881|worm|ħapára||habara (Khaidakov)||||||||    Av. paradigm C (\Iħapára-dul\i / \Iħarpí-l,\i \Iħúrpu-l\i). Reasons for devoicing in Av. are not quite clear.
391|*ri-ʔibu|882|spring|||rejbu|riʔibo|jēb|rēbu|reʕibo|rebu|reba|rēbu / reʔibu|    The word is an original compound of \I*riHV\i (q.v.) and \I*ʔibu\i 'spring'.
392|*barti (~-o-)|884|stallion|bárti|||bati||barti|||bʕarti (Tlond.)||    Av. paradigm A (\Ibártu-l,\i \Ibúrt-bi/bárta-bi\i). Cf. also Akhv. Tseg., Ratl. \Ibarti.\i Cham. \Ibart\i (in all dialects) is probably a late Avar loan (otherwise loss of -r- in U.-Gakv. and Gad. would be expected); other forms also could be loaned from Avar. Av. (or Tind.) > Inkh. \Ibarti.\i
393|*bVgV|885|supper, evening meal; evening|bog||||||||||    Av. paradigm B or C (gen. \Ibogó-l\i). Several And. forms (Kar. \Ibogoƛ:\i "in the evening', Cham. \Ibug\i 'supper time') are probably borrowed from Av.
394|*biƛ̣:i|886|cattle-shed|boƛ̣:||beƛ̣:i|beƛ̣:o|beƛ̣:|beƛ̣:i|beƛ̣:e|beƛ̣:i|beƛ̣:|beƛ̣:i|    Av. paradigm C (loc. \Iboƛ̣:ó-b,\i pl. \Ibóƛ̣:a-l\i).
395|*ḳ:unʔi|888|1 kidney 2 liver|||ḳ:unu||ḳū̃ 2|k:ū̃ 1||||k:ũji|    Cf. also Cham. Gig. \Iḳũj.\i
396|*HebV|890|awl|ʕébu|ʕíbur|||||||||    Chad. paradigm A (\Iʕíburi-l,\i \Iʕíbura-l\i).
397|*ric̣:ʷV|1237|twig|noc̣:|nuc̣||ruc̣:e / rec̣:a|wuṣ|ruc:a|||||    Av. paradigm A (gen. \Inóc̣:i-l\i), but Chad. C (\Inuc̣í-l,\i \Inúc̣a-l\i). Cf. also Cham. Gig. \Iwuc̣:.\i
398|*č̣aba|892|1 clay 2 mud, slush 3 earthen floor|č̣abár 3||č̣ab-ꭓi 1,2|č̣abari 1 (Ratl.)|č̣aba 3|č̣aba 2|||||    Av. paradigm C (\Ič̣arbí-l,\i \Ič̣árba-l\i). -r in Av. (cf. also Akhv. Ratl. \Ič̣aba-ri\i 'clay') in Akhv. reflects a suffix (probably plural). Cf. also Cham. (U.-Gakv.) \Ič̣abar\i 'earth', Tind. \Ič̣abar\i 'floor' - obviously borrowed from Avar.
399|*ʁʷiba|893|1 stack, haystack 2 heap||ʁob 1||ʁoba 1||ʁoba 1,2|||||    Av. paradigm C (\Iʁobó-l,\i \Iʁóba-l\i). Cf. also Akhv. Tseg., Tlan. \Iʁuba.\i Tind. > Inkh. \Iʁoba\i 'haystack'.
400|*mamač:V (~-o-)|894|badger|parč:o (Unt.)|bac||mamac:e|mamaša|mamača|||||    Cf. also Cham. Gig. \Imumaču.\i The PAA form should be something like \I*barVnč:V\i or \I*banVrč:V\i (with secondary devoicing and reduction in some Av. dialects, and with double assimilation in Andian languages; the weakening *-č:- > -č- in Tind. and Cham. is irregular). The accent paradigm in Av. Chad. is A (\Ibáci-l,\i \Ibáca-l\i). Tind. > Inkh. \Imamača\i 'badger'.
401|*mi(n)žV|895|gadfly; dragonfly||||||miš-ta / niš-ta|nižu||||    Cf. also Kar. Anch. \Imižo\i id. Tind. has an expressive suffix (\Imišta\i < \I*mižV-ṭa\i); cf. also a loan from Andian (Tind. or Cham.) in Inkh.: Inkh. \Imisṭala\i 'gadfly'.
402|*biƛ:V|258|game, wild animal||||beƛ:e (Ratl.)|||||||    Isolated in Akhv., but having good external parallels.
403|*biꭓumV|896|shoulder-blade|||beꭓun|beꭓun (Ratl.)|beꭓũ|beꭓuma||beꭓun||beꭓun|    Cf. also Akhv. Tseg. \Ibuꭓun,\i Botl. obl. \Ibeꭓuma-.\i The root is homonymous with \I*biꭓumV\i 'wooden spade or spoon' (q.v.) - however, the external evidence is in favour of separating these two homonyms.
404|*muq̇:V|897|1 pole 2 ceiling|moq̇: 1||moq̇:ol 2|muq̇:e 1|muq̇: 1|muq̇:u 1|nuq̇:e 1|||muq̇:u 1|    Av. paradigm A (\Imóq̇:i-l,\i \Imóq̇:a-l\i). Cf. also Akhv. Tseg., Tlan., Cham. Gig. \Imuq̇:u,\i Kar. Tok. \Imuq̇:i.\i Besides And. \Imoq̇:ol\i with the meaning 'ceiling' cf. also Cham. Gig. (Bok.) \Imuq̇:u\i id., Kar. L.-Enkh. \Imiq̇:ela;\i usually this meaning is present in the compound \I*muq̇:V-riƛ̣:V\i (with different assimilations and transformations), cf. Av. \Imóq̇:ruƛ̣:,\i And. (Tsertsvadze) \Imoq̇:o-lƛ̣:i,\i Cham. \Ijeq̇:-muq̇:,\i Gig. \Ireq̇:-muq̇:a,\i Kar. \Imiq̇:a-laƛ̣:i\i etc.
405|*binčʷa|898|millet|muč||beča|miča|bošu-ƛ|boča|boča|buča|boʔoča|buča|    Av. paradigm C (\Imučó-l,\i \Imúča-l\i). Cf. also Cham. Gig. \Ibuča,\i Kar. L.-Enkh. \Imoč.\i The-ʔ- in Bagv. is not quite clear. Tind. \Iboča\i > Inkh. \Iboča\i id.
406|*nVḳ:ʷV|899|pine-tree|naḳ:||||||||||    Av. paradigm A (\Ináḳ:i-l,\i \Ináḳ:a-l\i).
407|*mVq̇:V|902|spine|moq̇:||||||||||    The Av. word is homonymous to \Imoq̇:\i 'pole' (see \I*muq̇:V\i) - which is probably a secondary contamination (in view of the external evidence).
408|*biƛ̣:i-|2323|eight|míƛ̣:-go||bejƛ̣:i-gu|biƛ̣:i-da-be|beƛ̣:i-da|biƛ̣:i-da|biƛ̣:i-da|biƛ̣:i-da|biƛ̣:i-ra|biƛ̣:i-da|
409|*bVcV-rV|903|fortification, dike|bucúr||||||||||    Av. paradigm C (\Ibucrá-l,\i \Ibúcra-l\i).
410|*miλV(-rV)|904|stairs, ladder|boλó|botó|miλur|miλura||miλara|muλur (Tok.)|mihur|milha (Tlond.)|miλiru|    Av. paradigm B (\Iboλó-dul,\i \Iboλá-bi;\i Chad. \Ibotó-l,\i \Ibotó-jal\i); cf. also Av. Ants. \Imoλo,\i \Imoto,\i Akhv. (MSU) \Imuλura,\i Tseg. \Imuλara,\i God. Zib. \Imiλar,\i Bagv. Tlis. \Imuλa.\i
411|*bic:V|905|1 ham 2 knee (of animal), thigh|púrc:i 1||||becʷ 2||||||    In Av. -r- isprobably secondary (\Ipúrc:i\i < \I*bVc:-ri\i with secondary assimilation *b- > p-), since no resonant is present in related EC forms.
412|*mVlV|906|foot|mal||||||||||    Av. paradigm C (\Imalá-l,\i \Imála-l\i).
413|*mVlV|907|ladder; funeral stretcher|malí|milí|||||||||    Av. paradigm B (\Imoló-l,\i \Imalá-l\i). Since there are no related forms in Andian languages, the reconstruction is rather uncertain; however, the external parallels are quite reliable.
414|*birč̣in(V)|908|1 barley 2 rye 3 fruit stone|purč̣ína 1|boč̣ón 3|||beč̣ĩ 1|beč̣in 1|beč̣in 1|||beč̣in 2|    Av. immobile (B) paradigm (\Ipurč̣ína-dul,\i \Ipurč̣á-bi;\i cf. also Chad. \Iboč̣óni-l,\i \Iboč̣óna-l\i / \Ibuč̣-bí\i). There is also a variant (originally dialectal?) \Ipurč̣ún\i 'sty; fruit stone'. Cf. also Kar. Tok. \Iperč̣in\i (preserving -r-) 'barley'.     In Av. and Kar. Tok. there occurred an assimilatory devoicing *b- > p-; it must have originally been voiced, cf. the Chad. form and Archi ( from Avar) \Iboč̣on\i 'fruit stone'; also cf. And. \Iburč̣ina\i 'barley' - obviously an Av. loanword, but with initial b-.
