"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
384,"*guZ (~-o-)",1017,"elbow",,,"guz",,,,"    Isolated in Khvarsh., but having possible external cognates."
385,"*kʷašV (~-š:-)",1018,"paw",,,"kʷašu (Radzhibov)","kʷašu",,,"    PTsKh \I*kʷašu;\i a loan from Andian languages not excluded."
386,"*q̇ʷɨč̣V (~q̇o-,q̇ə-)",1019,"tree-hollow; den, lair",,,,,"q̇oč̣o",,"    Attested only in Bezht. (cf. also Khosh., Tlad. \Iq̇öč̣ö\i 'hole'), but having probable external parallels."
387,"*=oč̣-ĳu",1020,"empty",,,"l-ujč̣a (Radzhibov)",,"=öč̣ĳo (khosh.)","=oč̣č̣u","    PGB \I*=oč̣-ĳu.\i"
388,"*LVrV (~ *L:-)",1021,"bosom",,"λili",,,,"rara (Nakh.)","    Consonantal correspondences are all right (Gunz. \Irara\i < \I*lara\i through assimilation), but the vocalism is hard to reconstruct."
389,"*kʷVs (~- ̃-,-s:)",1022,"cock's comb","kos",,,,,,"    Isolated in Tsez., but having probable external cognates."
390,"*ko-LV (~-u-,-L:-)",40,"sleeve","kuλa",,"kuλu (Radzhibov)","kulu",,,"    PTsKh \I*kuLV.\i An old compound with \I*ku-\i (\I*ko-\i) 'hand' (see \I*kʷɨrV\i)."
391,"*rɨꭓil(a) A",158,"thigh, hip",,,"lihil","lihil","jiʁla","rɨʁla","    PTsKh \I*Riꭓ̥1̇iR\i (~-h-) (obviously < \I*Rɨꭓ̥1̇iR\i with vowel assimilation) ; PGB \I*rɨʁla\i (cf. also Bezht. Tlad., Khosh. \Iriʁla\i)."
392,"*ʔɔʁ: (~-ɔ̃-,-ʁ)",1127,"thigh, hip","oʁI","oʁ",,,,,"    PTsKh \I*ʔoʁ.\i Inkh. and Khvarsh. (Radzhibov)  have \Ieʁ\i 'hip' which raises phonetic problems: in fact, it may reflect another root (see PEC \I*ʡĭnGwV\i), otherwise lost in Tsezian."
393,"*č̣umal",1025,"1 leg, foot 2 stem, stalk",,,,,"č̣amal 1,2","č̣umal 1","    PGB \I*č̣umal\i (with vowel assimilation in Bezht.)."
394,"*ʔaṗa",1027,"paw",,"aṗa",,,"aṗa","aṗa","    PGB \I*ʔaṗa\i (the MSU Gunz. record is \Iɔṗɔ\i which is probably faulty; Bokarev has \Iaṗa\i)."
395,"*ṭɨq̇ʷV (~ *ṭuq̇V)",1028,"sole of foot",,,,,"ṭuq̇a",,"    Attested only in Bezht., but having probable external parallels (although there is a small chance that the Bezht. form is borrowed from Av.: cf. Av. \Iṭiq̇:ʷá\i 'horseshoe; sole', Chad. \Iṭuq̇én\i 'horseshoe', Andal. \Iuq̇:a\i id. < \I*ƛ̣iq̇:ʷa;\i in that case the Bezht. word is to be kept apart from the PN and PL forms)."
396,"*qʷilV (~a,ɨ,u,-r-)",1029,"ankle","qʷaIla",,,,,,"    Isolated in Tsez., with probable Lezg. parallels."
397,"*q̇ec̣e A",10,"piece","q̇ic̣i","q̇ič̣i",,,,,"    PTsKh \I*q̇ec̣e.\i Rather strange is Khvarsh. \Iq̇ac̣a\i 'slice of bread', listed in Лексика 1971; with -a- cf. perhaps also Gin. \Iq̇ač̣-ā\i 'to chew' (?)."
398,"*beš:",61,"1 bark, shell 2 skin (of neat cattle)",,,,,"beš 1","beš 2","  PGB \I*beš.\i"
399,"*mɔkV",1030,"1 sheepskin 2 fur-coat",,,,,"maku 2","mɔgɔ 1","   PGB \I*mɔku\i (obl. base \I*mɔkɔ-li-\i > Bezht. \Imaka-li-,\i Gunz. \Imɔgɔ-li-;\i in Gunz. the obl. base vocalism influenced the direct stem; cf. also Bezht. Tlad., Khosh. \Imäkä\i 'fur-coat' with the same vocalic development). The seemingly close PTsKh \I*boko\i 'fur-coat' can not correspond to PGB \I*mɔku\i phonetically and is actually a loan from Andian (see \I*wǟkwV\i)."
400,"*ḳoc̣u",1031,"back of head",,,,,,"ḳoc̣u","    \Iḳoc̣u\i is the MSU notation; Bokarev writes \Iḳoco,\i thus the correctness of the form is still to be checked."
401,"*ƛ̣õ A",578,"roof","ƛ̣u","ƛ̣u","ƛ̣ũ","ƛ̣ũ","ƛ̣ama (Tlad.)","ƛ̣ɔme (Gunz.)","    PTsKh \I*ƛ̣ũ;\i PGB \I*ƛ̣ɔmV\i (cf. also Bezht. Khosh. \Iƛ̣amo\i). Gunz. (Bokarev) \Iƛ̣ame\i 'roof' is obviously a misspelling instead of \Iƛ̣ɔme.\i The PTs paradigm must be reconstructed as \I*ƛ̣õ,\i \I*ƛ̣ɔmV-\i (with the oblique base preserved as direct in PGB; Tsez. \Iƛ̣imi\i 'stone for fastening the roof' is also possibly derivable from this stem)."
402,"*bek",17,"skin (of cattle)","bik","bik",,,,,"PTsKh \I*bek.\i"
403,"*č̣elu A",599,"leather strip","č̣ir","č̣ilu","č̣el (Radzhibov)",,"č̣elo","č̣elu","    PTsKh \I*č̣eR(u);\i PGB \I*č̣elu.\i"
404,"*ʔõλ B (~-λ:)",1032,"1 leather rope 2 leather strip","oλ (Radzhibov)",,"ĩλ (Radzhibov)","ẽλ 2","ö̃λ 1",,"   PTsKh \I*ʔö̃λ.\i"
405,"*=ot-",22,"to turn back, return","ut-","=ut-/tut-",,,,,"    PTsKh \I*ʔut-\i (=ut-); in Gin. also with reduplication."
406,"*λ:ũ",490,"wool",,"λu-s",,,"λũ","λũ","    PGB \I*λũ\i (cf. also Bezht. Tlad., Khosh. \Iλu\i with loss of nasalisation)."
407,"*č̣ur",50,"women's hair",,,,,,"č̣ur","    The Gunz. form is quoted from Khaidakov, thus not very reliable."
408,"*-aꭓ- (~-ʁ:-,-ɔ-)",28,"to suck (udder)",,,,,"ꭓ-aʁ-",,"    Cf. also Bezht. Tlad. \Ih-ãʁ-\i id. (with unclear nasalization)."
409,"*q̇ɔtu",1035,"tops of plants",,,,,"q̇atus-haḳ",,"    The Bezht. compound (with \Ihaḳ\i 'bush') is isolated within Tsez., but having probable external parallels."
410,"*kɔṭu",1038,"beard","koṭu","koṭu",,,,,"    PTsKh \I*koṭu.\i"
411,"*mɔꭓ:V",1040,"thread","moꭓo (Kid.)",,"moꭓo (Radzhibov)","moꭓo",,,"    PTsKh \I*moꭓo.\i"
412,"*ʁ:ɔrVnV / *rɔʁ:VnV",1041,"spring wool","ʁoroni","ʁoroni","ʁore (Radzhibov)","ʁorone","jöʁin","roʁin","    PTsKh \I*ʁorone\i (absence of -n- in Khvarshi is rather strange); PGB \I*roʁin\i (cf. also Bezht. Khosh. \Iroʁin\i 'clot of wool'). In PGB we would rather expect *-ɔ-; the -o- reflex is irregular."
413,"*hɨ̃s ( ~ ə̃,ẽ,s:)",1042,"autumn wool","his",,"hãs","hõs",,,"    PTsKh \I*hə̃s.\i"
414,"*rɔč",101,"1 goat's wool 2 string of goat's wool 3 string","roč 3","roč 3",,,"räč (Khosh.) 1","rɔč 1,2","    PTsKh \I*roč;\i PGB \I*rɔč.\i"
415,"*ʁ:eṭa (~ʁ-,-ɨ-,-ə-)",495,"goat's wool","ʁIiṭa",,,,,,"    Isolated in Tsez., but having possible external parallels."
416,"*ꭓ:ɨlɔ",1046,"sinew","ꭓero","ꭓela","ꭓelo (Radzhibov)","ꭓɨlo","ꭓila","ꭓɨlə","    PTsKh \I*ꭓɨR[o];\i PGB \I*ꭓɨl[ɔ].\i"
417,"*hõže (~-ž:-)",47,"well, all right",,,,,,"hõže","    Attested only in Gunz., with possible Lezg. parallels."
418,"*tɔ̃hV",1048,"1 mill kennel 2 trough",,"tah-ra 2",,,,"tɔ̃he","    Gin. \Itah-ra\i probably < \I*toh-ra\i with vowel assimilation."
419,"*šɔrV (~ *š:-)",1049,"lamb's skin (for making hats); a k. of Tsez shoes","šoru",,,,,,"    Attested only in Tsez., but having probable external cognates."
420,"*ʔə̃ʁ:(-ʁ:ʷədə)",153,"sweat","eʁʷedi","eʁʷada","aʁuda (Radzhibov)","oʁʁodo","had","hɔ̃d","    A complicated case. The PTsKh form may be reconstructed as \I*ʔəʁ-ʁʷVdə,\i where the second component is most likely equal to \I*ʁʷədə\i 'rain' (cf. analogous compounds ""sweat""+""water"" or ""sweat""+""liquid"" in PWC, see \I*ɦămƛ̣ă\i). In this case, the PGB form, reconstructed as \I*hɔ̃d,\i must also be a contraction < \I*ʔɔ̃hɔ̃d(V)\i < \I*ʔə̃ʁ:+ʁ:ʷədə\i (the second component normally reflected in PGB as \I*wədə\i q.v.), thus suggesting nasalisation of the first component \I*ʔə̃ʁ:.\i"
421,"*ꭓ:ɔ̃ƛ̣ (~ -ẽ-)",1052,"snot","ħiƛ̣ / ħeƛ̣",,"ꭓiƛ̣ (Radzhibov)","ꭓẽƛ̣",,,"    PTsKh \I*ꭓIẽƛ̣.\i"
422,"*q̇ɨc A",1053,"1 dirt 2 swamp 3 mud, slash","q̇ec 1,3",,"q̇ec 1,3","q̇ɨc 3","q̇ica 2","q̇ɨca 2","    PTsKh \I*q̇ɨc;\i PGB \I*q̇ɨca\i (cf. also Bezht. Khosh. \Iq̇ica\i). The form with final -a is probably an original oblique stem (cf. Tsez. \Iq̇eca-,\i Inkh. \Iq̇ɨca-\i)."
423,"*λ:amač̣V (~ L(:)-)",1054,"pus","λač̣i","λamač̣i",,,,,"    PTsKh \I*λamač̣e\i / \I*λãč̣e.\i It is not clear how these forms are related to PGB \I*ž[ɔ̃]č̣\i 'pus' (also irregular: Bezht. Tlad., Khosh. \Ižöž\i /with assimilation/, Gunz. \Ižãč̣\i)."
424,"*ħatꭓ:a",1061,"eye secretion","atħa",,"ħatꭓa (Radzhibov)","atꭓa",,"hatꭓa","    PTsKh \I*ʔatꭓa\i (with a specific development of the unique cluster *-tꭓ- in Tsez.)."
425,"*=eꭓ-",1058,"to fight, quarrel","=iħ-ud-",,"eh- (Radzhibov)","=eh-ej-","=eʁ- (tlad.)","=eʁ-","    PTsKh \I*=eꭓ̥1̇-;\i PGB \I*=eʁ-.\i"
426,"*jɔ̃cu A",1059,"saliva","nocu","jocu","jũcu","jõcu","jäčö (Khosh.)","jɔ̃cu","    PTsKh \I*jõcu;\i PGB \I*jɔ̃cu\i (cf. also Bezht. Tl. \Inäčö,\i Gunz. Nakh. \Ijɔcu\i). In Tsez. and Bezht. (Tlad.) there occurred a metathesis of nasalisation to the initial resonant."
427,"*muꭓ:-",1064,"ordure of small animals",,,,,"muꭓ-sa",,"    A compound; \I-sa\i is obviously = \Isar\i ""faeces"". Isolated in Bezht., with a possibility of external cognates."
428,"*s:ɨmə A",1065,"gall","semi (Kid.)","seme","semi (Radzhibov)",,"simo (Tlad., Khosh.)","sɨmi (Nakh., Gunz.)","    PTsKh \I*sɨmə\i (~-i); PGB \I*sɨmV.\i Inkh. \Isime\i 'gall' is an Andian loan (otherwise \I*sɨmo\i would be expected); cf. also Gin. \Icim\i 'anger' < Av."
429,"*ʔaqʷə (~ *ħ-)",1067,"urine","ʕaqIu","aqʷe","aqu (Radzhibov)","aqIu",,,"    PTsKh \I*ʔaIqʷə.\i"
430,"*cɨmɔ",1078,"urine",,,,,"cima (Tlad., Khosh.)","cumo","    PGB \I*cɨmɔ.\i In Gunz. also used as a verbal stem (\Icum-\i ""to urinate"")."
431,"*=ãqʷ-",1080,"to sew","=aqiʷ-","=aqʷ-","=ãqʷ-","=ãqʷ-","=ä̃q- (khosh.)","=ãq-","    PTsKh \I*=ãqʷ-;\i PGB \I*=ãq-\i (cf. also Bezht. Tlad. \I=äq-\i)."
432,"*λ:ar",1081,"sheep's dung",,,,,"λär (Khosh.)","λar (Gunz., Nakh.)","    PGB \I*λar.\i"
433,"*rɔkʷe B",1082,"dung, dry dung","reku","loki","lokʷa (Radzhibov)","loko","jako","rɔgu (Gunz., Nakh.)","    PTsKh \I*R[ö]kʷə;\i PGB \I*rɔku.\i In Gunz. there also is recorded a variant \Irɔ̃gu,\i suggesting a possibility of nasalisation in PTs."
434,"*ꭓ:ɨdɔ (~ ʁ-)",1083,"snot, snivel",,,,,"ꭓida","ꭓɨdə (Gunz.)","    PGB \I*ꭓɨdɔ\i (cf. also Gunz. Nakh. \Iꭓɨdo\i). Gin. \Iꭓido\i 'snot' has no parallels in TsKh, and, to judge from the vocalism, is a loan from some GB dialect."
435,"*q̇ɨq̇V (~ -i-, - ̃-)",1087,"mould",,"q̇eq̇o",,,,,"    Attested only in Gin., but having probable external parallels."
436,"*žinṭu (~ ž:-,-ɨ-)",1088,"sheep's dung","ženṭu",,,,,,"    Attested only in Tsez., but having probable external parallels."
437,"*gɔṭV (~-o-,- ̃-)",1089,"stack","goṭi (Kid.)",,,,,,"    Isolated in Tsez., but having good external parallels."
438,"*mɔq̇u A",1091,"tear","mow","moq̇u","muq̇u","moq̇u","maq̇o","mɔq̇u","    PTsKh \I*moq̇u,\i PGB \I*mɔq̇u.\i An old Ablaut is reflected in the PGB obl. base \I*mɨq̇a-\i (Bezht. Tlad. \Imiq̇a-,\i Gunz. \Imɨq̇a-\i)."
439,"*tʷi-",1092,"to spit",,,,,"tü-ƛ- (Tlad.)","ti-ƛ-","    PGB \I*tu-\i / \I*ti-\i (reflecting an original root \I*tʷi-\i); cf. also Bezht. Khosh. \Iti-ƛ-\i id."
440,"*bəṭi",107,"dried snivel in nose",,,,,,"bəṭi","    Attested only in Gunz., but having probable external parallels."
441,"*ʁo(r)",1095,"ram","-ʁu","-ʁu","-q̇u","-ʁu","ꭓoj","ꭓor","    PGB \I*ꭓor;\i cf. also Bezht. Tlad., Khosh. \Iꭓor.\i PTsKh \I*-ʁu\i in the compound \I*biƛ̣-ʁu\i (see \I*biƛ̣\i)."
442,"*guṗ",1097,"1 hill 2 heap","guṗ 1",,"gub (Radzhibov)",,"ḳuṗĳo 2 (Khosh.)",,"    PTsKh \I*guṗ\i (with dissimilation in Khvarshi). The Bezht. form has a frequent suffix -ĳo; ḳ- < g- through assimilation."
443,"*ʔãλ:e",1098,"mountain goat","aλa","aλa","aλa","ãλe","aλi (Khosh.)","ãλe","    PTsKh \I*ʔãλe,\i PGB \I*ʔãλe\i (cf. also Bezht. Tlad. \Iãλo\i)."
444,"*ʁ:ʷel",1099,"doe",,"ʁʷil",,,,"ʁel (Gunz.)",
445,"*š(:)ɔme (~ ž-)",1101,"goat (less than 2 y. old)",,,,,"šämü (Tlad.)","šɔme","    PGB \I*šɔm[e].\i"
446,"*ʁ:ʷ[ə]nV",1103,"1 hornless animal 2 hornless goat","ʁIuni 1 (Kid.)","ʁuni 1",,,"ʁana 2 (Khosh.)",,"    PTsKh (\I*ʁʷVne\i) > \I*ʁune.\i"
447,"*ʁ:ʷərɔ",1104,"1 cows (collect.) 2 cow","ʁuro 1","ʁʷero 2","ʁʷalo 1","ʁolo 1","wara 2","hɔrɔ 2","    PTsKh \I*ʁʷəRo,\i PGB \I*wɔrɔ\i (\I*hʷɔrɔ\i)."
448,"*ʔõs: B",1106,"ox","is","üš","ĩs","ẽs","õs","õs","    PTsKh \I*ʔö̃s\i (cf. also Tsez. /Imnaishvili/ \Iis/os,\i Gin. /MSU/ \Iiš\i); PGB \I*ʔõs.\i"
449,"*L:ed A",1107,"1 deer 2 female deer","λid 2","λid 2","λed (Radzhibov)","λed 1","led","ləd","    PTsKh \I*λed;\i PGB \I*led\i (with a strange reflex -ə- in Gunz. - perhaps, a misspelling?). In Inkh. one would rather expect \I*led\i (and reconstruct PTsKh \I*Led\i); perhaps we deal with a loanword from Khvarshi?"
450,"*q̇ʷenu A",1108,"1 sheep (1 y. old) 2 lamb (2 y. old) 3 bull-calf",,"q̇ʷinu 1","q̇ʷenu 2","q̇ʷeInu 3",,,"    PTsKh \I*q̇ʷeInu.\i"
451,"*bĩš:e A",1109,"calf","meši","meši","miši","miše","biše","biše","    PTsKh \I*miše,\i PGB \I*biše.\i Cf. also derived forms: Tsez. \Imešori,\i Gin. \Imeširo\i 'heifer'."
452,"*ꭓ:ɔr A (~-l)",1110,"husband",,,"ꭓol","ꭓol",,,"    PTsKh \I*ꭓɔR.\i"
453,"*can",1114,"goat",,"can","can","can","can","can","    PTsKh, PGB \I*can.\i On the origin of Tsez. \Ičan/čaInja\i 'goat' (which for phonetic reasons must be kept distinct) see \I*čwĕnɦV.\i"
454,"*ciḳə (~ -ɨ-)",1115,"kid","ceḳi","ceḳe",,,,,"    PTsKh \I*ciḳə\i (~ -ɨ-). This root should be distinguished from PTs \I*čiḳe\i 'kid', although they have actively contaminated with each other."
455,"*q̇ɔs:V",1118,"hornless animal",,,,,,"q̇ɔsɔ (Gunz., Nakh.)","    Attested only in Gunz., but having probable external parallels."
456,"*ṭɨq̇ʷV A",1119,"kid (about 1 y. old)",,"ṭeq̇ʷi","ṭiq̇ʷa (Radzhibov)","ṭɨq̇o","ṭöq̇ä (Tl,Khosh)","ṭoq-či","    PTsKh \I*ṭɨq̇ʷ[e];\i PGB \I*ṭoq̇ɔ\i (Bezht. \Iṭöq̇ä\i), \I*ṭoq̇-či\i > \I*ṭoq-či\i (cf. also Bezht. Tlad. \Iṭöq-či,\i Khosh. \Iṭoq-či\i 'young he-goat'). A possible etymology of the component *-či in PGB see under \I*ć̲imV.\i"
457,"*ṭig̥1̇a B",1120,"he-goat","ṭeka","ṭeka","ṭeka (Radzhibov)","ṭɨka","ṭiga","ṭiga","    PTsKh \I*ṭɨka,\i PGB \I*ṭiga.\i"
458,"*bɨdurV (~-id-,-lV)",1121,"bear-cub","beduro /bedʷiro","midure",,,,,"   Initial m- in Gin. is probably secondary."
459,"*ꭓar-am (?)",1123,"foal",,,"ꭓaram",,,,"    Quoted from Khaidakov 1973, thus not very reliable."
460,"*šɨgʷə (~ š:-,-i-)",1124,"mare",,"šegʷe",,,"šugo","šugu","    PTsKh \I*šigʷə\i (~-ɨ-). The same root can be probably discovered also, with irregular transformations, in Tsez. \IširšaʁIu\i 'horses (collect.)', probably going back to \I*šigʷ(V)-sirjo\i ""mare+stallion"" (cf. the same compound in Gunz. \Išugu-sərjo,\i Bezht. Tl. \Išügö-sojra\i).     PGB \I*šugu.\i"
461,"*gurV (~-o-,-L-)",1125,"1 stallion 2 horse","gulu 1","gulu 1,2",,,,,"    PTsKh \I*guRu.\i"
462,"*ʕɔm(V)-q̇V",1128,"ass","ʕomoj","omoq̇i","omoq̇e","omoq̇Ie","ãʔũ (Khosh.)",,"    PTsKh \I*ʕomoq̇e.\i The Bezht. form can be related here if it goes back to PGB \I*ʔɔ̃q̇u\i ( < \I*ʔɔm-q̇u\i).     The component *-q̇V in the PTs form is not clear etymologically. There also could have existed a PTs variant \I*ʕɨmVrV\i ( = PL \I*ʡimal\i), reflected (with a productive suffix *-ṭu) in PGB \I*ʔɨrmV-ṭu\i (Bezht. \Iirmaṭo,\i Gunz. \Iɨrməṭu\i) 'ass'."
463,"*ʔĩč̣e-r",1130,"foal",,"eč̣il",,,"ič̣ej","ĩč̣er","    PGB \I*ʔĩč̣er\i (cf. also Bezht. Tlad., Khosh. \Iič̣er\i). In Tsez. the word for 'foal, young of donkey' is \Iḳeč̣oli\i - obviously a contamination of PTsKh \I*ʔi( ̃)č̣er\i with another root (see \I*ḳə̃č̣V\i)."
464,"*ḳə̃č̣V (~ -ɔ̃-)",1132,"1 young of donkey 2 foal","ḳeč̣oli 1,2",,"ḳonč̣i (Radzhibov)","ḳonč̣i 1",,,"    The Tsez. form reflects a merger of \I*ḳə̃č̣V\i and \I*ʔĩč̣er\i q.v."
465,"*kača",1133,"bitch","kača","kača",,,"käčä (Tlad.)","kača","    PTsKh \I*kača,\i PGB \I*kača\i (cf. also Bezht. Khosh. \Ikäča\i)."
466,"*ḳucV A",1135,"puppy","ḳuci","ḳuce",,,"ḳuco","ḳucu","    PTsKh \I*ḳucə;\i PGB \I*ḳucu.\i"
467,"*ḳuč̣V (~ -o-)",1136,"puppy",,,"ḳuč̣i (Radzhibov)","ḳuč̣e",,,"    PTsKh \I*ḳuč̣e\i (but opposed to \Iḳonč̣i\i 'young of donkey' and to PTsKh \I*ḳucə\i 'puppy' which are close but have different origins)."
468,"*ḳiṭu",1137,"cat","ḳeṭu","ḳeṭu","ḳiṭu","ḳiṭ",,,"    PTsKh \I*ḳiṭu.\i"
469,"*maʁ:ur- (~-ꭓ-)",1138,"tom-cat",,,,,"maʁurdi (Khosh)","maʁurdi (Gunz.)","    PGB \I*maʁurdi.\i"
470,"*hɔdV (~ ħ-, -a-)",2297,"instrument, tool",,,,,"hada",,"    Since this root is used in Andian languages both to denote 'thing' and the interrogative pronoun 'what', it seems quite probable that it was also used by the Tsez. language (in a reduplicated shape) for some of its interrogative pronouns: Tsez. \Ididĳu\i 'which', \Ididu-r\i 'how'."
471,"*ʔɔ̃ču / *ʔɔ̃ʔɔ̃ču",1140,"hen","onoču","oʔocu","õču","õču",,,"    PTsKh \I*ʔõču\i / \I*ʔõʔõču.\i"
472,"*gudV (~*gʷɨ-)",1141,"hen",,,,,"güdä","gudo","    PGB \I*gudV.\i"
473,"*ꭓɨꭓV",802,"1 young (of birds, animals) 2 children","ꭓeꭓow 1,ꭓeꭓbi 2","ꭓeꭓ-be 2","hiha 1","huho 1",,,"    PTsKh \I*ꭓ̥1̇ɨꭓ̥1̇V.\i"
474,"*zɨ̃h A",1146,"bear","ze","ze","ze","zẽ","si / sĩ","sɨ̃","    PTsKh \I*zɨ̃j\i (cf. also: Tsez. (Imnaishvili, Kh.) \Izej,\i Gin. gen. \Izej-š,\i Khvarsh. obl. \Izeʔi-\i); PGB \I*sɨ̃h\i (cf. also: Bezht. Khosh. \Isih,\i Tlad. \Isī\i)."
475,"*bɔc̣ə A",1147,"wolf","boc̣i","boc̣e","boc̣a","boc̣o","bac̣o","bɔc̣ə","    PTsKh \I*boc̣ə;\i PGB \I*bɔc̣ə.\i"
476,"*zər(V)",1149,"fox","ziru","zeru","zaru","zor (zoru-)","sora","sə (səro-)","    PTsKh \I*zəR(u\i), PGB \I*sərV\i (the direct base sə in Gunz. is a result of reanalysis of -ro as the oblique stem marker)."
477,"*qẽj A",1152,"hare","qIaj","qi","qe (Radzhibov)","qIẽ","qi (Khosh.)","qi","    PTsKh \I*qIẽj\i (cf. also Tsez. Kid. \Iqa,\i Kh. \IqIa,\i (Imn.) \IqIaj\i / \IqIe\i); PGB \I*qĩ,\i obl. base \I*qĳV-\i (cf. also Bezht. Tlad. \Iqĳa\i /reflecting the original oblique base/, Gunz. obl. base \Iqĳo-,\i Gunz. Nakh. \Iqĩ\i with preservation of nasalisation)."
478,"*=ɔꭓ- B",96,"to stand up",,"=üꭓ-","=ah-",,"=aʁ-ic̣- (tlad.)",,"    PTsKh \I*=[ö]ꭓ̥1̇-\i (the Khvarsh. vowel is not quite regular: \I=eh-\i would be expected). Cf. also Bezht. Khosh. \I=aʁ-iʔ-\i 'to stand up' (in Bezht. the root is preserved as the first part of a compound verb stem)."
479,"*bala (~ -L:-)",1157,"chamois",,,,,"bala (Tlad., Khosh.)","bala","    PGB \I*bala.\i"
480,"*buƛʷV B",1159,"boar, pig","beƛo","boƛi",,,"büƛö","buƛu","    PTsKh \I*büIƛʷV\i (cf. also various recorded Tsez. forms: Sh. \IbeIƛo,\i Kh., Kid. \IbaIƛo,\i Sag. (Imnaishvili) \IbeIƛʷa\i); PGB \I*buƛu\i (cf. also Bezht. Tlad., Khosh. \Ibuƛo\i)."
481,"*madu-ƛa",1164,"weasel, squirrel","maduƛi","maduƛa","maduƛa (Radzhibov)","maduƛa",,,"    PTsKh \I*madu-ƛa\i (with irregular -i in the final weak syllable in Tsez.). The word is historically a compound < \I*madu-rVƛa,\i corresponding exactly to PA \I*handa-riƛ̣:u\i 'weasel'."
482,"*ḳoʁ:u A",1165,"badger","ḳuʁ (Kid.)","ḳuʁ","ḳuʁ (Radzhibov)","ḳuʁu","ḳoh","ḳo","    PTsKh \I*ḳuʁ(u);\i PGB \I*ḳoh(u)\i (cf. also Bezht. Tlad. \Iḳō,\i Khosh. \Iḳoho\i)."
483,"*bɨꭓ:ɔs: (~ -ʁ-)",1161,"hawk",,,,,,"bɨꭓɔs","    Isolated in Gunz., but having probable external parallels."
484,"*ʔãq̇ʷV",1170,"mouse","aw / ʕaw","aq̇ʷe","aq̇ʷa","ãq̇ʷa","ãq̇o","ãq̇u","    PTsKh \I*ʔãq̇ʷə\i (cf. also Tsez. Kid. \IaIw,\i Sagad. (Imn.) \Iaq̇u\i); PGB \I*ʔãq̇u\i (cf. also Bezht. Tlad. \Iãq̇o,\i Khosh. \Iãq̇u\i)."
485,"*mužə A (~ -ž:-)",1175,"1 nest 2 bed 3 horse-cloth 4 floor","muži 1,2","muži 1,2,3","muža 1,2","muže 1,2","mužo 3,4","miže 4","    PTsKh \I*mužə;\i PGB \I*mužə.\i PTs had here a paradigm with Ablaut, cf. in Tsez. the obl. stem \Imeže-\i < \I*miže-,\i which is reflected also (but already having superseded the direct stem) in Gunz. \Imiže.,\i Bezht. Khosh., Tlad. \Imüže.\i"
486,"*š(:)ĩ (~ *ž-,-ɨ-)",1176,"nest",,,,,"šĩ",,"    Cf. also Khosh. \Isi\i id., Tlad. \Iši\i 'bed'. Isolated in Bezht., but having probable external parallels."
487,"*kurV B",1177,"brook, ravine","keru / kero","koro","kula","kula","kuwo","kuro","    PTsKh \I*küRV;\i PGB \I*kuro\i (cf. also Bezht. Tlad., Khosh. \Ikuro\i)."
488,"*ʔetag̥1̇a-r",1182,"eagle",,,,"etakan",,,"    Isolated in Inkh., but with probable external parallels. Inkh. -k- presupposes PTs *-k- or *-g̥1̇-; Inkh. -n - PTs *-r, *-l or *-n."
489,"*ʁ:ʷãde",1185,"crow","ʁʷaIdi","ʁʷad(e)","ʁãde","ʁade","ʁade","ʁãde","    PTsKh \I*ʁʷãId[e]\i (with some variations: cf. also Tsez. Sh. \IʁʷaIdu,\i Gin. (Lomtadze) \Iʁʷadi,\i Inkh. (Bokarev) \IʁʷaIdi\i); unclear is the loss of nasalisation in Inkh. PGB \I*ʁãde.\i"
490,"*q̇alq̇ala",1192,"magpie",,,,,,"q̇alq̇ala (Nakh.)","    Attested only in Gunz., but having probable external parallels."
491,"*ḳuḳu / *kuku",1193,"cuckoo","kuku","kuku","kuku (Khaidakov)","ḳuḳu","kukuṭo","ḳuḳuṭo","    PTsKh \I*kuku\i / \I*ḳuḳu\i (cf. also Tsez. Sh. \Iḳuḳu\i); PGB \I*kuku-ṭo\i / \I*ḳuḳu-ṭo.\i Both subgroups reflect variants with *k and *ḳ; the PGB form has an expressive suffix *-ṭo."
492,"*ṭɨmə A",1196,"pigeon","ṭumi",,"ṭema",,"ṭimo",,"    PTsKh \I*ṭ[ɨ]mə\i (with assimilatory rounding ɨ > u in Tsez.). Cf. also Bezht. Khosh. \Iṭimo\i 'pigeon'."
493,"*ʔiƛ̣e",666,"last year","eƛ̣i","eƛ̣i",,,"iƛ̣e",,"   PTsKh \I*iƛ̣e.\i"
494,"*buhu (~ -o-)",1198,"owl","buhu","buhu","buhu","buhu",,,"    PTsKh \I*buhu.\i"
495,"*huhudu / *hohodu",1199,"owl",,,,,"huhudo","hohodu","    PGB \I*huhudu\i / \I*hohodu.\i"
496,"*ʔẽzɔ A ( ~ -z:-)",1201,"wild turkey",,"izo","ĩzo (Radzhibov)","ẽzo",,,"    PTsKh \I*ʔẽzo.\i"
497,"*š:aš:V (~-ɔ-,-Ṽ-)",1202,"swallow",,,,,"šašu",,"    Attested only in Bezht., but having probable external parallels."
498,"*qɔ̃q(V) A",1203,"crane","qoq","qoq",,,"qaqa","qɔ̃qi","    PTsKh \I*qoq\i (~ -ɔ̃-); PGB \I*qɔ̃qV.\i"
