NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
448|*näṭ / *ṭän (*ṭäH)|727|nit|neṭ (Khl.)|niṭ|neṭ|näṭ|naṭ|||naṭ|t:e|    Obl. base \I*näṭa-\i (cf. Tsakh. \Inaṭa-\i) - but more frequent is the consonantal obl. base \I*näṭ-rV-\i (Lezg. \Ineṭre-,\i Tab. \Iniṭru-,\i Rut. \Inäṭir-,\i Arch. \Ineṭir-\i). 3d class in Rut. and Tsakh., but 4th class in Arch. The Udi form is the most archaic (preserving the original order of consonants, see below), but it is hard to establish the underlying PL form (both \I*ṭän\i and \I*ṭäH\i with some laryngeal are possible).          See Лексика 1971, 151; Талибов 1980, 272.
449|*ʔaq̇:är-|733|1 to take, hold 2 to leave, put|q̇a- 1|ʁad-a=ʁ- 1|aq:a- (Bursh.) 1|h-a=q:a- 1|a=q:a- 1|i=qr- 1|s-u=rqu 1|=aq̇:a-s 2|aq:-sun 1|    -ʁ- in lit. Tab. is obviously secondary, due to assimilation with the preverb (cf. Düb. \Iā-q:-us\i 'to take out, extract', \Id-a=q:-us\i 'to take away, carry away'). Cf. also Tsakh. dur. (with reduplication) \Ia-q:āq:a,\i Bud. dur. \Is-üqür-ǯi;\i Ag. Bursh. \Ih-aq:a-\i 'to buy' ( = Rut. \Ih-a=q:a-\i), \Iuq:-aq:a-\i 'to take away', \IʕaqI-aq:a-\i 'to choose', Tab. \Ikad-a=ʁ-\i 'to choose', Düb. \Iq:ā=q:-\i id.; Arch. \Igʷ-a=q̇:a-\i 'to gather' (cf. \Igʷej=\i 'all', lit. 'to put all').     See Хайдаков 1973, 124.
450|*ƛ̣:ʷema|738|1 ravine 2 brook, stream|ḳam 1||||goma 2 (Gelm.)|||||    Cf. also Lezg. Khl. \Ik:am\i 'ravine, stream' - pointing unambiguosly to *ƛ̣:. Because of this any possibility of borrowing from Ossetian \Ikom\i 'mouth; ravine' (suggested in Abayev 1958, 598-599) is excluded.
451|*č̣ʷal(:a)|739|1 temple 2 face|c̣ʷel 1|č̣̌al 1|||||||č:o 2|    Cf. also Lezg. Khl. \Ič̣ʷɔl\i 'temple'. Obl. base not quite clear (Khl. \Ič̣ʷɔla-,\i Tab. \Ič̣̌ali-\i).
452|*t:aqIʷ|741|back of head|t:eꭓʷ|||daqI||||||    Cf. also Lezg. Khl. \It:äꭓIʷ,\i Rut. Khnov. \IdaqIʷ.\i Reflexes of *qIʷ are irregular: we should expect -ʁʷ in Lezg. and -ꭓIʷ in Rut. (perhaps the irregularity is due to labialisation?). 4th class in Rut.
453|*s:ʷir(a)|742|1 throat 2 gullet|sur-lumṗ 1||s:ür 2 (Bursh.)||śur-tuli 2|||||    In Lezg. and Tsakh. compounds with unclear second components.
454|*čuλ (~ čoλʷ)|748|1 urine  2 dung (of a horse, donkey)|čux 1|čux 1||čuxʷ-an 2||||||
455|*č̣äḳu-j|760|goat less than 2 years old|||č̣aḳu|||||||    Isolated in Ag., but with good external parallels. Ag. > Darg. Chir. \Ič̣aḳu\i id.
456|*jatär-|762|to let, leave|ta-|ʁ-i=t-|at-|s-a=ta-||ja=tɨr-|jo=rtu|a=ti-|b-arte-sun|    Cf. also Lezg. pret. \Itu-na;\i Ag. Bursh. \Iata-.\i It is not quite clear why Lezgian had lost the initial vowel; perhaps it reflects (like Tab. \I-it-\i) the PL *-i- Ablaut grade. The verb belongs to the strong verb class.         See Бокарев 1961, 62; Лексика 1971, 257; Гигинейшвили 1977, 80.
457|*ꭓʷemꭓ(a)|764|1 big stone, boulder 2 hump|ꭓʷaꭓ 1|||ꭓʷaꭓ 2 (Mükhr.)||||ꭓonꭓ 1||    3d class in Arch. (pl. \Iꭓonꭓ-ot\i). There's not enough evidence to establish the PL obl. stem.    See Хайдаков 1973, 71.
458|*ʔec:a-|767|1 to pour (into) 2 to pour (of rain)|c:a- 1|u=z- 1|aʒi- 1 (Bursh.)|k-e=z- 2 (Mishl.)||||=ec:a-||    Cf. Lezg. pret. \Ic:a-na.\i The verb belongs to the weak class.    See Хайдаков 1973, 129; Талибов 1980, 293.
459|*q̇ʷVc̣-|678|goat's tail||q̇uc̣q̇uc̣||||||||    An isolated (within lezgian) and expressive stem (quoted from Khaidakov 1973.), but with possible external parallels.
460|*c̣al|769|1 branch, shoot 2 (pot-herb) leaves|||c̣al 2 (Bursh.)|||c̣ili 1|c̣ile 1|||    4th class in Shakhdagh. The Kryz. and Bud. forms go back to a suffixed form \I*c̣alV-j.\i
461|*ʔVrλ:an-|771|1 to boil 2 to burn (intr.)|r(u)ga- 1|u=x- 1|rux́= 1||ǵ-o=x:an- 2||||b-oꭓ-/b-uꭓ- 1|    Cf. also Tab. Düb. \Iu=x:-\i 'to boil', Ag. Bursh. \Iurš:an-\i 'to burn', \Iurš:a-\i 'to boil', Tsirkh. \Iurx:e-s\i 'to boil'; Lezg. pret. \Irga-na\i (Nüt. masd. \Iaɣũ/\i \Iuɣũ,\i pret. \Iaɣa-na\i). See also comments to PL \I*ʔeλʷVr-\i 'burn' (which has partially contaminated with \I*ʔVrλ:an-\i).
462|*ʔa(l)kʷV-r|793|linchpin (of a vehicle)|akur|||||||||    Attested only in Lezg., but having probable external parallels.
463|*damdam / *daldam|471|drum|daldam|daldabu|damdam (Tp.)|daldam|||daldam|||    A reduplicated expressive stem. See Лексика 1971, 139.
464|*q:alk:|800|ram (2 years old)||||q:arg|ʁarg|||||    Obl. stem \I*q:alk:a-\i (~ \I*q:alk:e-\i), cf. Rut. \Iq:argɨ-,\i Tsakh. \Iʁarga-.\i *-l- is safely reconstructed (PL *-r- would be lost in this position both in Rut. and Tsakh.).
465|*ʔʷɨlk: (~*ʔu-)|801|1 lamb (less than 1 year old) 2 1-year-old sheep|||urg 1|urg 2|urg 1|||||    Obl. base \I*ʔʷɨlk:ɨ-\i or \I*ʔʷɨlk:e-\i (cf. Ag. \Iurgu-,\i Rut. \Iurgu-\i). In Inlaut *-l- is reconstructed on basis of Rut. and Tsakh. evidence (*-r- would be lost).
466|*ꭓɨnɨꭓ(ʷ)|802|boy||||ꭓɨnɨꭓ||||||    Isolated in Rut., but having probable external parallels.
467|*ƛ̣:äl|803|lamb (less than 6 months old)|ḳel|č:il|k:el|gäl|gew|kɛl|kel|ƛ̣:al|q:al|    Cf. also Lezg. Khl. \Ik:el.\i Obl. base \I*ƛ̣:ila-\i ( Tab. \Ič:ila-,\i Rut. \Igili-rɨ-,\i Kryz. \Ikil-;\i with vowel levelling Lezg. \Iḳele-,\i Ag. \Ik:ela-,\i Tsakh. \Igewa-\i). 3d class in Rut., Tsakh., Kryz., Bud., but 4th class in Arch.     See Лексика 1971, 160; Гигинейшвили 1977, 69.
468|*wiq̇ar|806|1 lamb, ram (~ 1 y. of age) 2 male(animal) 3 sheep|q̇ar 1||uq̇ar-f 2||woq̇Ia 3 (?)|wiq̇ɛr 1|wiq̇er 1|baq̇ari 1||    Cf. also Lezg. Khl. \Ijiq̇ar\i 'lamb', Ag. Bursh. \Iuq̇ar\i 'ram'. The root means in most languages a lamb or ram around 1 year of age; only the Tsakh. meaning ("sheep") is deviant. Since the Tsakh. form reveals also some phonetic irregularities (excessive pharyngealization, -o- in the 1st syllable), it may not belong here.     See Талибов 1960а, 286; Лексика 1971, 148.
469|*wɨher( ~ *wo-)|807|1 ram 2 ram (about 3 years old)|her 1|||wɨhɨr 2||||||    See Хайдаков 1973, 21.
470|*maIrč̣:(a)|808|sheep||marč:|märč: (Bursh.)|||||||    Cf. also Tab. Düb. \Imarč:a.\i Obl. stem not clear; pharyngealization is unambiguously suggested by Ag. Bursh. -ä-. An important Tab.-Ag. isogloss.
471|*p:äIƛ̣ (~ -a-,-ḳ-)|809|1 sheep-flock 2 ram|||||baIḳi 1|||baIḳ 2||    Since only Tsakh. and Arch. forms are present, it is impossible to distinguish between reflexes of PL *ƛ̣ and *ḳ; external evidence speaks strongly in favour of *ƛ̣. The Tsakh. form reflects a suffixed \I*p:äIƛ̣-Vj.\i        The Tsakh. word also resembles Bezht. Tlad. \Ibäḳi,\i Gunz. \Ibɔḳi\i 'sheep-flock; sheep-fold' which are certainly borrowed from Georg. \Ibaḳi\i 'sheep-fold'; in Tsakh. the form \IbaIḳi\i may also be influenced by Georgian, although phonetically it is quite genuine (cf. the pharyngealisation which does not exist in loanwords).
472|*nušaj (~-iw-)|2316|sheep (about 2 years old)||||nüšej|nušej|||||    Morphologically seems to be formed from an adverb \I*nuš-;\i cf. Rut. \Išäs-aj\i "a one-year old lamb" from \Išäs\i "last year" (PL \I*šʷaI-s:\i q.v.). However, the root was used for denoting a two-year-old animal already in PNC, cf. the external evidence.
473|*s:äm (~s-)|810|1 lamb (after 6 months) 2 milch sheep|sam-ʁal 2|sum-ag 1|sem|||säm 2||||    Cf. also Ag. Fit. \Isim.\i The Kryz. form has a more specific meaning: "a sheep or goat having once born a young one". The component -ʁal in Lezg. is not clear etymologically.In Tab. the form contains a diminutive -ag; the vowel in the 1st syllable is a  result of reduction and assimilation to -m- already after suffixation (\Isum-ag\i < \I*sim-ag\i). There is not enough evidence to choose between *s:- or *s- in initial position, or to reconstruct the vocalic obl. base (there are only the Ag. forms: Burk. \Isemu-,\i Fit. \Isima-\i).
474|*ħoIṭ(a)|811|short-eared ram||||||||oIṭi||    Arch. \IoIṭi\i presupposes PL \I*ħoIṭ-\i with a suffixed *-Vj. Isolated in Arch., but with probable external parallels.
475|*lamp:ak:|813|a common word for sheep and goats|lap:ag||||nabag|||||    The Tsakh. word is quoted from Aslanov 1975, 257, where it is glossed as "sheep slaughtered in its turn by the flock's owners or share-holders after the exhaustion of meat resources". We can not exclude the possibility of its borrowing from some southern Avar dialect; however, the Lezg. word seems to be genuine.
476|*š:ʷäc̣:|326|midge, mosquito|weṭ||šit:aj,šit:ilaj|šʷät||||||    3d class in Rut. Cf. also Lezg. Khl. \Išʷet,\i Ag. Fit., Burk. \Išit:\i (all reflexes uniformly pointing to *-c̣:). The root tends to contaminate with PL \I*š:uṭ\i 'bug' (q.v.); this may explain the Lezg. Akht. form \Ifeṭ\i (regularly fet would be expected).
477|*c̣ʷirt:|816|1 tower 2 stone figure 3 stone pillar||č̣̌urd 1|c̣ud 1|c̣ud 2 (Khniukh)||||c̣ut 3||    Cf. also Ag. Khud. \Ic̣ur,\i Ars. \Ic̣urd;\i Arch. pl. \Ic̣ut:ur.\i There's not enough data to reconstruct the obl. stem (Tab. \Ič̣̌urda-,\i Rut. Khniukh. \Ic̣udu-\i are not informative).
478|*q:Ian|818|1 pregnant 2 intestines|q:en 2, q:eni 1|ʁIan 2|R̀an 2, R̀ane-f 1|ʁIan-dɨ 1|q:Ian-na 1 (Mishl.)|||qIan 1||    Obl. base \I*q:Ianɨ-,\i as seen both from Lezg. adj. \Iq:eni\i and from obl. bases: Lezg. \Iq:eni-,\i Tab. \IʁIana-.\i The locative (inessive) case is used in Ag. and Lezg. as an adverb 'inside': Lezg. \Iq:ene\i (Khl. \Iq:ena\i), Ag. \IR̀anaʕ\i (Bursh. \IR̀anaʔ\i).
479|*č̣un:(a)|819|flea|č̣ut|č̣ud|č̣id|č̣id (Shin.)|č̣in|č̣id|č̣id||in|    Cf. also Tab. Düb. \Ič̣üj,\i Ag. Fit., Burk. \Ič̣id,\i Bursh. \Ič̣ir.\i In Lezg. we would rather expect -d; but it is possible that the development *-n: > -t is regular after glottalized stops (cf. \I*ƛ̣un:\i).     Lezg. \Ič̣ut\i > Khin. \Ič̣üt\i 'flea'.     See Талибов 1960а, 296; Лексика 1971, 149; Гигинейшвили 1977, 73, 101.
480|*hola|821|lentil|||||hIɨwa|||||    Isolated in Tsakh.,but having reliable external parallels. Not quite clear is the source of Tsakh. pharyngealization; otherwise the form goes back regularly to PL \I*hola.\i
481|*ꭓara|822|pea(s)|ꭓar|ꭓar|ꭓur|ꭓar|ꭓara|ꭓarꭓar||||    PL paradigm: \I*ꭓara,\i obl. \I*ꭓorä-\i (cf. Ag. \Iꭓura-,\i whence also the direct base \Iꭓur;\i in other languages there had been a vowel levelling of the obl. stem: Lezg. \Iꭓaru-,\i Tab. \Iꭓara-\i). Cf. also Lezg. Khl. \Iꭓar,\i Tab. Düb. \Iꭓar,\i Ag. Fit. \Iꭓur,\i Bursh,, Burk. \Iꭓar\i (\Iꭓaru-\i). Kryz. has a reduplicated form (as in some other names of agricultures).         See Лексика 1971, 162; Гигинейшвили 1977, 92.
482|*s:ʷɨra|826|1 half 2 part, side 3 part; mountain slope 4 rib|zur 1|š̌ur 1|sur 1|sur 2|sura 3|||bars:on 4||    Cf. also Lezg. Nüt. \Igür,\i Akht. \Ižur\i 'half'; for the obl. stem cf. also Tab. \Iš̌uri-,\i Rut. \Isura-.\i  Several languages reflect also the PL derivate \I*s:ʷɨra-n\i : cf. Tab. Kand. \Iž̌uran\i 'half', Düb. \Iž̌aran\i 'side', Ag. Bursh. \Izuran\i id. (cf. characteristic voicing of the original strong fricative in dialectal forms.) The Arch. form also reflects an -n-derivate, but is phonetically and semantically very archaic: it goes back to \I*wars:ʷɨ-n\i probably reflecting an original form \I*rɨws:ʷa-\i (< \I*rɨms:ʷa-\i = Lak. \Iniws\i), while in all other languages the metathesis went in another direction (\I*rɨws:ʷa-\i > \I*s:ʷɨra-\i).
483|*λ(ʷ)Vmc̣V|829|bog||||||||λamc̣a||    Isolated in Arch., but having reliable external parallels.
484|*mirsʷ|831|mould|murs|mers|murs|||mɨrs (Al.)|mɨrs|||    Cf. also Lezg. Khl. \Imɨrs\i 'bloom (on a plum)'. The Tab. form (\Imers\i) is not quite regular in its vowel reflex: cf. the more regular form in Tab. Düb. \Imiš̌.\i Also deviating is Ag. Bursh. \Imes\i (against the more regular Rich. \Imurs\i). In addition, the final version of the MSU recordings lists Düb. \Imiš:̌i\i (not \Imiš̌,\i as it was recorded earlier). We may suspect that we deal here with a  confusion of two originally different roots: a) \I*mirsʷ\i (with a weak *sʷ) and b) \I*mäs:ʷ\i (with a strong *s:ʷ). If this is true, the root \I*mäs:ʷ\i would be a perfect match for PTs \I*mis(:)\i- 'mould' ( > Tsez., Gin. \Imesla\i).     Obl. base \I*mirsʷɨ-\i (cf. Lezg. \Imursu-,\i Ag. \Imursi-\i). See Хайдаков 1973, 102.
485|*moč:or, *moč:or-Vj|832|beard|č:uru|muǯri|mužur|||ǯiri||||    Lezg., Tab. and Kryz. reflect a form with the frequent nominal suffix *-Vj. Whereas in Lezg. the loss of *mo- is regular, the same phenomenon in Kryz. still needs a special explanation (perhaps - under Lezg. influence?). The root should be strictly distinguished from \I*moč̣or\i q.v. (although they may have partially contaminated).
486|*ḳa(m)č:(a)|833|beard|||||||||k:aǯ-uꭓ|    Isolated in Ud., but obviously a form of great antiquity. -uꭓ is a productive plural suffix.
487|*ḳʷɨmṭa|836|1 birth-mark, mole 2 drop 3 spot; freckle||||ḳud (Ikhr.) 2|ḳuda (Gelm.) 1|||ḳʷanṭ 1,3||    Arch. -n- : Rut., Tsakh. -0- before a dental point unambiguously to PL *-m-. In Rut. and Tsakh. a dissimilation (-ṭ- > -d-) has occurred.
488|*q̇e(r)t:ʷ|837|freckle||||q̇ud (Ikhr.)||||||    Isolated in Rut., but with probable external parallels. (There are several PL reconstructions possible; we have chosen the one which is best compatible with external evidence).
489|*ṭ[e]mṭ|839|1 freckle 2 wart, nipple 3 nipple, female breast|ṭʷeṭʷ-el 1|ṭiṭ 1|ṭalṭam 1|ṭiṭ 2|||||c:ic:-ik: 3|    An expressive root, thus the precise reconstruction is somewhat difficult. The word probably contained -m- in Inlaut, cf. the labialization in Lezg. and the Ag. form (\Iṭalṭam\i < \I*ṭVmṭ-al\i = Lezg. \Iṭʷeṭʷel\i). The suffixed -Vl is probably an exact match for the Av. and Bezht. forms q.v.     See Хайдаков 1973, 49.
490|*ṭinḳ|840|birth-mark, mole|||ṭinḳ (Bursh.)|||||||    Isolated in Ag., but having probable external parallels.
491|*ṭimλ|841|pimple|||||ṭix (Mishl.)|||ṭinλ||    For final *λ cf. Arch. pl. \Iṭinλ-um.\i Arch. -n-and Tsakh. -0- before a lateral point to PL *-m-.
492|*marꭓ:ʷ|842|a stripe of mown grass|marʁʷ|marʁʷal|||||merʁ|maꭓ||    Cf. also Lezg. erg. \Imarʁuni,\i Arch. pl. \Imaꭓ:ut\i (indicating that the root consonant is indeed *ꭓ:). The Arch. word has a specific meaning: 'part of the meadow allotted for one woman to mow'. From Lezg. the word has been borrowed into Ud. \Imarɨʁ\i 'trace of one scythe-stroke'.
493|*ƛ̣:ʷar / *ƛ̣ʷar|844|1 boundary (between fields) 2 line||ḳʷar 1,2|k:ʷar 1|||||||    Close semantics and phonetics does not allow to separate the Tab. form from Ag. They reflect a PL variation between *ƛ̣:ʷ ( > Ag. k:ʷ) and *ƛ̣ʷ (> Tab. ḳʷ). Judging from the external parallels, original is the first variant; reasons for the affricate's weakening in Tab. are yet unclear (contamination with some other root?).
494|*ʁar(a)|846|harrow|ʁar|ʁar||||||||    There is not enough evidence to establish the PL oblique base.
495|*pač:|847|shelter, cabin||paǯ (Düb.)|paž|paǯ (Khniukh.)||päǯ||pač||    Obl. base \I*pač:a-\i (cf. Tab. \Ipaǯa-,\i Ag. \Ipaža-,\i Arch. loc. \Ipača-j\i). Cf. Khaidakov 1973, 82.
496|*paʡ|848|hen||peʔ|paʕ|||||||    Cf. also Tab. Düb. \IpaʔIa,\i Ag. Bursh., Burk. \Ipäʡ,\i Fit. \Ipeʔ,\i Tp. \Ip:äʕ.\i
497|*pa(r)pal-|849|butterfly|||||||||päpäläk:|    Cf. also Nidzh. \Ipampaluk:.\i Isolated in Ud., but with probable external correspondences.
498|*paI(l)p|850|1 dung (of cow, sheep) 2 husks, sawdust|||pap (Fit.) 1||||||paIp|    Cf. also (with expressive strengthening) Ag. Bursh. \Ip:ap:\i "cow's dung".
499|*par / *rap|852|lightning|raprap|raprap|c̣a-rp (Bursh.)|c̣aj-rap (Shin.)||||parə-la||    The root is reduplicated and metathesized in Lezg. and Tab., and has a suffix in Arch. (but cf. also \Ipar-bos\i "to flash (as lightning)". The Ag. and Rut. forms are compounds with \Ic̣aj\i 'fire' (cf. also the same distorted in Ag. Rich. \Ic̣arf\i 'lightning').
500|*p:is:ĳ|853|1 pussy-cat 2 cat|psi 1||||bis:i 2||||piši-k: 2|
501|*p[e]l(VʔI)|855|onion, garlic 1 ramson||||||pulʔ-ar 1||pil||    There is an unclear -ʔ-in the Kryz. form; -u- in the first syllable is probably due to reduction and assimilation (-ar is a plural suffix).
502|*p[e]ꭓ(a)|856|blister 1 scrotum|piꭓ||peꭓ-er 1 (Burk.)|||peꭓ||||    *-e- or -i- may be reconstructed in the 1st syllable. In Ag. -er is a former plural suffix. See Хайдаков 1973, 49.
503|*pi(n)ƛ̣:ʷ|859|a k. of plant ("вид зонтичного растения")||||||||piƛ̣ʷ||    Attested only in Arch., but with probable Av. parallels (however, hardly a loan from Av.).
504|*pirp|860|beech-tree 1 poplar|pipi-n t:ar|pirpu-n har||||pip 0,1|pip||pup, pup-na ꭓod|    3d class in Kryz. and Bud. Obl. stem \I*pirpe-\i or \I*pirpɨ-\i (Tab. \Ipirpu-\i points rather to \I*pirpɨ-,\i but this can be a recent innovation due to the wide spread of -u- bases).
505|*pulꭓ:|861|diarrhea||||piꭓ||||purꭓ||    Cf. Arch. erg. \Ipurꭓ:e.\i Arch. -r- before a uvular goes back only to PL *-l-. The Rut. form is irregular (\I*purꭓ\i would be expected), which must be explained by the expressive nature of the root (perhaps also a contamination with PL \I*p[e]ꭓ\i 'blister, bubble' q.v.).
506|*pVrš:ʷ- (~-l-)|865|1 lungs, liver 2 bellows||||||||purš:ə-qat 2|puIšpuIš 1 (Khaidakov)|    Perhaps with a semantic shift ("smth. inflated") one could compare Tsakh. \Ipɨš-ńɨ\i 'lip' ?
507|*paraꭓ:I-|866|urinary bladder||||paraꭓIul (Ikhr.)|paraꭓ:Iaj|||||
508|*c̣aj-lap(an)|868|lightning|c̣ajlapan|c̣ajlapan|c̣äjälpan|c̣ajalpan||||||    Cf. also Ag. Burk. \Ic̣alp,\i reflecting a form without the suffixed *-an.
509|*q̇Iapaj|869|1 big sheepskin hat 2 night cap|q̇epe 1||||q̇Iapa 2|||||    Lezg. \Iq̇epe\i and Tsakh. gen. \Iq̇Iapaj-n\i point to PL *-j (which is a frequent nominal suffix). 4th class in Tsakh.
510|*ṭap / *ṭaṗ|1384|1 hollow log 2 trap 3 lock 4 hive 5 tent 6 trough|ṭab 1|ṭaṗar 3|ṭaw 3 (Burk.)|ṭaṗ 2 (Kich.)|ṭapan 4|ṭäṗän 5|||t:ap:an 6|    The Ag. form stems from the Burk. dialect, thus \Iṭaw\i < \I*ṭab\i < \I*ṭaṗ.\i The original *-p is preserved in Tsakh.; all other languages reflect a secondary variant \I*ṭaṗ(an\i) with assimilated *ṗ. A form withoutsuffixes is reflected in Lezg., Rut. and Ag.; other languages either reflect a form with a common suffix *-an (Tsakh., Kryz., Ud.) or the original plural form \I*ṭap-ar\i (Tab., cf. also Lezg. \Idaṗar\i / \Iṭaṗar\i 'lock', Lezg. Khl. \Iṭaṗar\i id.). Cf., perhaps, also Tsakh. \Iṭopi\i 'jug, jar' (with a secondary vowel labialisation) = Ud. \It:op:i\i id.     The Ud. form \It:ap:an\i may have been borrowed from Arm. \Itapan\i (all the Lezg. forms with -an are derived from this source by Vinogradova-Klimov 1979, 157); however, it is less probable for Kryz. and Tsakh. - and in general, considering the lack of IE etymology of the Armenian word, it seems much more probable that Arm. \Itapan\i was itself borrowed from a Caucasian source.
511|*p:aIƛ:|871|1 son, boy 2 son 3 bastard|p:až 3|baj 1|baIž 2 (Bursh.)|||||||    PL obl. base \I*p:aIƛ:e-\i (cf.Ag. Bursh. \IbaIži-;\i the second front vowel conditioned the palatal reflexes of *ƛ: in all languages). Cf. also Tab. Kand. \Ibaž\i 'son, boy'.
512|*paIt:V / *p:at:V|873|trousers||||badu|bada|||paIt:ə-la||    The Rut. and Tsakh. forms go back to a variant with assimilated *p:-.
513|*p:olq̇I|877|1 secretion in the eye 2 blind|bürq̇ü 2|burq̇I 1|ṗaIr 1|bɨrq̇Iɨ-d 2|bɨrq̇Iɨ-na 2|||||    Cf. also Lezg. Khl. \Ip:ürq̇ü\i 'blind', Tab. \Iburq̇Iu\i id., Düb. \Ibulq̇Iu\i 'matter in the eye' (pointing directly to PL *-l-), Ag. Fit., Burk. \IṗaIr,\i Bursh. \Iṗaʡ\i id. In Ag. ṗ- < *p:- by assimilation; the vowel reflex -aI- is not quite clear. The adjective stems ( = nominal oblique stems) in all languages point to a PL obl. base \I*p:olq̇Iɨ-.\i
514|*p:eqI/*qI:ep (~ä,a)|878|1 raven 2 crow|p:eq 2|||||||qIipi-ꭓIan 1||    Cf. also Lezg. erg. \Ip:eqre-,\i Khl. \Ip:äIq\i (erg. \Ip:IäIqra-\i). The root reveals a metathesis (rather frequent for such structures - cf. also the external data), both of segments and of laryngeal features.
515|*p:oṭ (~-u-)|879|1 penis 2 vagina|||buṭ 1||||biṭi 2|||    The Ag. and Bud. words are hard to separate; in view of the external evidence the Ag. meaning must be secondary (through an intermediate meaning like "clitoris" - cf. analagous semantic shifts in the root \I*ḳħəlč̣V\i). With expressive irregularities cf. also Tab. Düb. \IbaIt:aj\i 'vagina (of a girl)'.
