"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
 553,"*thə́k / *thə́ŋ", 873,"understand","","\Ithet-\i","\I'thonä\i (\I'thohtu\i)","",   0,"",   0,"",   0,"",   0,""
 554,"*then (?)",   0,"spittle, spit","","\Ithəŋ-ki,\i \Ithaŋ-ki\i ; \Itha(t)-\i","","\Ithet\i",1853,"",   0,"",   0,"",   0,"Toba 96 *th ̲̲- (confused with *thúk)."
 555,"*thì[ŋ]- / *thì[k]- (/ʔt-)",   0,"spread, raise","","\Ithimu\i (AS) raise, \Ithīs-\i become recognised (of a name)","\Ithu\i \Imünä\i spread out (a bed), \Ithunä\i (\Ithuktu\i) spread (of a name)","",   0,"",   0,"\Idi\i \Iməma\i", 280,"",   0,""
 556,"*thə́p",1127,"strike, knock","","\Ithep-\i knock (chicken on back to break neck), break up (lump of stale dough) etc.","\I'thwɔmnä\i (\I'thwɔptu\i) bang, clap, stamp, thresh","\Ithepmā\i (\Itheptu\i) knock (at door)",   0,"\Ithāpnɨ\i",1280,"",   0,"\Ithepma\i 'hit the top of smth.'",1662,""
 557,"*tha",   0,"to, towards","","\I-thö\i","\I-thɔ\i","",   0,"",   0,"",   0,"\Itha\i 'instrumental or locative suffix'",1643,""
 558,"*thèm", 459,"top","","\Ithem\i upper part of tree, foliage","\Ithemba\i on top of","",   0,"",   0,"",   0,"",   0,""
 559,"*thòp(ku)rV",   0,"waist cloth","","\Ithakpuri, thakkuri\i waist cloth","\Ithwɔptru\i waist scarf","",   0,"",   0,"\Ithapri\i",1325,"",   0,""
 560,"*[th]ò(ŋ)",1107,"year","","\I-thə\i  in  \Iathə\i, \Iathəce\i this year","\Itho\i","\Itoŋbe\i age, year, \Ito-co\i time",1776,"",   0,"\I-dɔŋ\i 'year' (cf. also \Itatɔ\i 'time')", 294,"",   0,"Toba 99 *tho(ŋ)."
 561,"*thom  ( / -p)",   0,"belly","","\Ithöm\i","","\Isathopmā\i",   0,"",   0,"",   0,"",   0,""
 562,"*ʔtò (-t)",   0,"to appear","\I'ta-ca\i to see","\Idö(p\i)- be shining (of seen or moon), appear","\Itwɔnnä\i (\Itwɔj\i) be visible","\Ithomā\i (\Ithoru\i) become bright",   0,"",   0,"\Idaima\i", 233,"\Iä:ʔma\i",  88,"Cf. *thò(s)."
 563,"*[t]V̀r",   0,"break, knock, split","","\Iter-\i knock over","\Itarnä\i (\Ituru\i) break off, split","thēmaʔ, -thēs-/-thē-",1852,"\Itörnɨ\i",1268,"\Ithərma\i",1341,"\Iteʔma\i 'to tear'",1561,"Cf. also K (EKg) \Iternä\i  fall; cf. *ʔtèr. Possibly 2 originally different roots (cf. the distinction in Kaling), one with *t- and the other with *th-, but hard to distinguish."
 564,"*ʔtèr",   0,"cane, bamboo","","","\Iter\i bamboo weft thread","\Ithe\i split cane for making nets etc.",1849,"",   0,"\Ideri\i", 260,"",   0,"Derived from *[t]V̀r 'break, split' q.v.? Cf. also L \Itī\i cane."
 565,"*tä́t  (-s)",   0,"dig up","","\Itat(s\i)- scrape out, take out (yams from earth, wax from ear etc.)","\I'tännä\i (\I'tähtu\i) root up, dig up","",   0,"\Itātnɨ\i",1208,"",   0,"",   0,""
 566,"*tùktukur",   0,"dove","\Ituhtura\i wild dove","\Ituktukur\i dove","\Ituktukur\i red turtle dove","",   0,"",   0,"\Ituktukulma\i",1302,"",   0,"Toba 99 *tuktukur."
 567,"*tä̀n(-s) (/ʔt-)",   0,"fall down","","\Ita(n\i)- fall down (as when walking)","\Itäjnä\i (\Itändu\i) sow, fall down one by one (e.g. sowing corn)","\Ithāmā\i (\Ithāsu\i) to fall",1819,"\Itānnɨ,\i \Itātnɨ\i",1206,"\Itaima\i 'bring' (?) (Toba 89 \Idat- \ifall)",1241,"",   0,""
 568,"*täp  (~-əp)",   0,"palm, sole","\Itapla\i  palm of hand","","","\Itāpe\i palm or sole", 424,"",   0,"",   0,"",   0,""
 569,"*tùm (/ʔt-)",   0,"follow","","\Itüm-\i follow, track, trace","\Itamnä\i (\Itamdu\i) track","",   0,"",   0,"\Idumma\i", 312,"",   0,""
 570,"*tìm (/ʔt-)",   0,"freeze","","\Itim-\i freeze, go numb with cold","\Itamnä\i (\Itamŋɔ\i) to get stiff from cold","\Ithɔmmaʔ\i",1910,"",   0,"",   0,"",   0,""
 571,"*tùm (/ʔt-?)",   0,"knee","","","\Itámcu\i","\Ithuŋbo\i",1925,"",   0,"\Itumchi\i",1304,"\Itumruk\i 'knee'",1628,"Toba 92 *tVm. Cf. also L \Imudhumbā\i hip ?"
 572,"*ʔtáp  (~ *-úp)",   0,"ladder","","","\I'tapde\i (EKg)","\Ithobe\i",1903,"",   0,"",   0,"",   0,""
 573,"*tV́k- (/ʔt-)", 995,"neck","","\Itawa\i scruff of neck","\I'tawɔ\i back of head; \I'takcu\i neck","\Itɔkkrumba\i",1768,"\Itoksɨ\i",1250,"\Idɔs\i 'back', \Idɔwe\i 'back of the head'", 296,"en-daŋ 'neck' (?)", 243,"Toba 93 *CakCV (Kal. 'takcu compared with Tul. lâkca - not reliable)."
 574,"*th[í]k (/ʔt-)", 934,"one","","\Ithik\i","\I'tu\i","\Ithikphu\i",1875,"\Itɨk\i",1228,"",   0,"\Iikko\i", 414,""
 575,"*tàŋ(-ba)",   0,"self","","\Itap\i self","\Itɔm\i own (CSDP \I'tɔp\i self)","",   0,"",   0,"",   0,"\Itaŋba\i 'self'",1522,""
 576,"*tä̀m", 928,"soak","","\Itam-\i make water collect in, add water to, soak","\Itämnä\i (\Itämu\i) soak, for a long time","",   0,"\Itāmnɨ\i",1204,"\Itamma\i",1245,"\Itomma\i",1597,""
 577,"*thúk(s) (/ʔt-)",1054,"spit","\I'tōk-si-ca\i","","\Ikhi\i \I'thunä\i (\I'thuktu\i)","\Ithet-thoŋmā\i (\I-thokhu\i) (\Ithet\i  spittle)",1896,"",   0,"\Idɔ̄ma\i 'spit', \Ithuwa\i 'spittle'", 305,"",   0,""
 578,"*[th]ak",   0,"squirrel","","\Isɔtɔme\i (\Isɔ-\i *tree (?))","","\Ithākpā\i",   0,"",   0,"",   0,"\Itharkumba\i (?)",1653,""
 579,"*tím / *típ",2664,"step on","","\Itim-\i press, squeeze, crush (underfoot)","\I'tamnä\i\i (\I'taptu\i) step on","",   0,"\Itimnɨ\i",1220,"\Itimma\i",1267,"\Itimma,\i tipma",1570,""
 580,"*dhók (/ʔt-)",   0,"stop","\I'tēk-ca\i stop, hold up","","","\Itokmā\i (\Itoktu\i) stop",   0,"\Idhjəknɨ\i ?", 217,"",   0,"\Ito:kma\i 'get stuck in the throat'",1609,""
 581,"*tä́k", 968,"support","","tək- support (as cooking pot while stirring), regale (quests with alcohol) etc.","\I'tunä\i (\I'taktu\i)","\Itɔkmaʔ,\i \I-tɔkt-/-tɔk-\i",1769,"",   0,"",   0,"\Ito:kma\i",1610,""
 582,"*[t]ə̀k", 964,"take","tak-ca","","","\Itākmā\i (\Itāktu\i) receive",1678,"\Idoknɨ\i", 195,"\Itɔma\i 'look at, discern; receive, get'",1275,"\Itokma\i",1588,"A merger with *thò(s) q.v. was possible in Kulung; d- in Dumi is unclear."
 583,"*ʔt[e]l",   0,"uproot","\I'tul-ca\i","","\Itelnä\i (\Itelu\i) weed, pull out","",   0,"",   0,"\Idelma\i", 252,"",   0,""
 584,"*tòl", 910,"dirt","","\Itöl\i unlaid eggs of killed chicken","\Itwɔl\i tonsil, stye, sore in the eye","",   0,"",   0,"",   0,"",   0,""
 585,"*wä̀m",2013,"bear","\Iwā̃\i","\Ihōmu\i (AS \Iwə̄mu\i)","\Ibhü-wäm\i large black bear","\Ihoŋ-guwā\i jackal (?)",   0,"",   0,"",   0,"\Ihomsa\i 'beaver'", 347,"Toba *hoC- in *hoC-moksi (listing also Khal. mos, Kul. moksi 'bear')."
 586,"*wä̀t",   0,"to bear (give birth)","","","\Iwännä\i (\Iwädu\i)","\Iwāmā\i (\Iwāru\i) give birth, \Iwāmā\i (\Iwāye\i) to live",1966,"\Iwātnɨ\i",1465,"\Iwaima\i",1385,"",   0,"Compared in STEDT 154 (*wat 'give birth') with Lalung o-sa, Chepang ʔo-sa, ʔot-sa, Sgaw o̲ phlɛ 'give birth'."
 587,"*wä́ (~ *wä́t)",   0,"elder sibling","","\Iwa\i elder sibling, elder brother","\I'wä\i elder brother & sister","",   0,"\Iwa\i 'younger sibling'?",1433,"",   0,"\Iwa:wa\i 'elder brother'",1791,""
 588,"*wə̀r",2592,"chew","","\Ijor-\i (AS \Iwer-\i) toss into mouth","\Iwörnä\i (\Iwöru\i) chew (pop-corn)","\Ihāmā\i (\Ihāru\i) bite", 272,"",   0,"",   0,"",   0,""
 589,"*wà(s)",2576,"cloth, wear","\Iwā\i cloth","","","\Iwāmā\i (\Iwāttu\i) to put on (ring, flower etc.), \Iwāpmā\i (\Iwāru\i) to put on (ornaments)",1984,"\Iwātńsinɨ\i",1466,"\Iwaima\i",1387,"\Iwä:ʔma\i 'to wear ornaments, watch'",1806,""
 590,"*wàkpäl-tak",   0,"cross-legged (adv.)","","\Iwakpalta\i","\Iwɔhpaldɔ\i (EKg)","",   0,"",   0,"",   0,"",   0,"Cf. \I*pä̀l\i  foot."
 591,"*wo-bVC-si(t)",   0,"cucumber","\I'wobisi\i","\Ihomsi\i (AS \Ihobomsi\i)","\Ibarsu\i","",   0,"\Ibuŕsi\i", 121,"\Ipuri\i",1042,"",   0,""
 592,"*wä́t",   0,"cut","","\Iwat-\i sever at a blow, behead","\I'wännä\i (\I'wättu\i) castrate","",   0,"",   0,"",   0,"",   0,""
 593,"*wä̀l",2656,"heat, light","","\Iwal-,\i \Iul-\i heat, boil lightly","\Iwälnä\i (\Iwälu\i) to heat (water); \Iwɔl\i  heat, light","\Iomā\i (\Ioru\i) burn, cremate; \Iobā\i bright, \Iomā\i (\Iotjā\i)  to dawn",1092,"",   0,"",   0,"\Iwa-mi\i 'torch'; wa:ma 'to dry above the fireplace'",1754,""
 594,"*wä̀(k)",   0,"joke","","\Iwaʒi\i joke","\Iwäs\i \Ilünä\i feel amused, \Iwäs\i \Imünä\i to joke","warēʔ",1973,"",   0,"",   0,"\Iwakma\i 'to be overexcited with playfulness'",1750,"T and K reflect compounds (*wa-c\L1\lə, *wa-rít)."
 595,"*wa",   0,"water, river","","\Iwa-\i in \I'wa-je\i(Ф)  lowland","\Iwɔ\i in \I'kawɔ\i stream, \Iwɔjɔ\i lowland","\Iwā\i water",1948,"\Ikaʔō\i (cf. also \Iwa-bēm,\i \Iwa-lem)\i", 379,"\Iwamma\i 'thirst', \Iwawakə\i 'watery', \Ijɔwa\i 'river'",1391,"\Imiʔwa\i 'tear', \Iwa-dap-ma\i 'to get/make wet', wa-ǯokma, \Ijoŋ-wa\i 'water' etc.",1746,"Cf. *wə̀ 'rain'?"
 596,"*wə̀ŋ  ( / *jə̀ŋ ?)",   0,"other","","\Iwaŋ\i different, \Ijaŋ\i other","\Iwoŋɔm\i","\Iwe,\i \Ie\i other",1992,"",   0,"",   0,"\Iwa:räŋ\i 'the other side'",1788,""
 597,"*wa",2577,"bird","","\I-wa\i in \Iʒãwwa\i peacock (=K ʒɔ)","","\Iwā\i fowl",1949,"",   0,"\Ichɔ-wa\i 'bird', \Iwā\i 'chicken'", 210,"\Isoŋ-a,\i \Isoŋ-wa\i 'bird', \Iwa\i 'chicken'",1733,""
 598,"*wä̀m",   0,"placenta","","\Iwam\i","\Iwäm\i","\Ia-wam\i (Matissoff)",   0,"",   0,"",   0,"",   0,"Toba 94 *wäm."
 599,"*wə̀ ( ? / *r-wə̀)",2579,"rain","\Irew\i (?)","\Iwō\i","\Iwö\i","\Iwā-hit\i  (\I-hit\i is unclear)",1991,"\Ihu\i", 340,"\Iwa\i",1378,"\Iwari\i",1767,"Toba 94 *wö. Cf. *wa 'water'?"
 600,"*wä́p",2083,"scoop out","","\Iwap-\i scoop up (fluid), fill","\I'wämnä\i (\I'wäbu\i)","",   0,"",   0,"",   0,"",   0,""
 601,"*wänse (// *b-?)",   0,"spindle","","\Ibajsi,\i \Ibãjsi\i","\Iwäsne\i","",   0,"",   0,"",   0,"",   0,""
 602,"*wä̀m",   0,"stick in","","\Iwam-\i prick, penetrate; trip over","\Iwämnä\i (\Iwämu\i)","",   0,"",   0,"",   0,"",   0,""
 603,"*wòŋ",2012,"enter","\Iō-ca\i","\Ihu(ŋ\i)- (AS \Iwamu\i)","\Iwonä\i (\Iwoŋɔ\i)","",   0,"\Ioŋnɨ\i enter; cf. also \Ihūnɨ\i 'come', \Iwotnɨ\i 'bring inside'", 841,"\Iwɔ̄ma\i",1423,"\Ioŋma\i 'come up, bring up' (cf. also \Iwaŋma\i 'to wander around')", 997,"Toba 89 *woŋ-."
 604,"*wə̀",2578,"yellow","\Ihaw\i (< \I*waw\i)","\Iom'om\i","\Iööm\i","ɔm-daŋba",1108,"",   0,"",   0,"",   0,"Toba 99 *om."
 605,"*mùnti", 174,"ant (flying)","\Imimti\i","\Imundi\i white ant","\Imündi\i a large flying ant","",   0,"",   0,"",   0,"\Iminǯuwa\i 'fly' (?)", 829,""
 606,"*mùn",   0,"be","","\Imun-\i be created","\Imuna\i (\Imuŋɔ\i) stay, be","\Imui\i  life",   0,"\Imɨnɨ\i 'to be; to do'", 700,"\Imɨma\i 'do'", 812,"",   0,""
 607,"*mə̀k",   0,"bear","","","\Imos\i Himalayan bear","\Imākyu\i bear", 741,"",   0,"\Imɔksi\i", 832,"\Ima:ksa\i", 778,""
 608,"*mùt", 166,"blow","\Imujk-ca\i (with mouth)","","","\Imupmā\i (\Imuttu\i)", 879,"",   0,"\Imuima\i", 844,"\Imi:ʔma\i", 842,""
 609,"*hon (/ *hot)",   0,"open","","","\I'honpä\i open","\Ihommā\i (\Ihondā\i) open", 409,"",   0,"",   0,"\Ihemma\i (?)", 307,""
 610,"*mát",  58,"die, disapear","","\Iman/t-\i kill (enemy)","\I'mannä\i \Idie,'mahpä\i dead (thus in CSDP; in KEg \Imannä,\i \Imajŋɔ;\i \Imahpä\i)","\Imā̆mā\i (\Imājā\i / \Imāsu\i) lose, mummaʔ 'forget'", 775,"mitnɨ", 686,"\Imaima\i 'forget', mama 'lose', \Iməima\i 'be finished', \Imīma\i 'reject'", 788,"\Imä:ʔma\i 'disappear', mindeʔma 'forget'", 799,"Cf. *mV 'not'. Obviously several (related?) stems, but rather hard to distinguish."
 611,"*mə̀k / *mə̀ŋ",  71,"dream","","\Imat-\i","\Imonä\i (\Imoŋɔ\i)","\Imākmā\i (\Imāktu\i)", 771,"",   0,"",   0,"\Imakma\i", 749,"Cf. also  *-məŋ in \I*sèmməŋ\i dream (n.)"
 612,"*mìk, *mìk-c\L1\lə̀", 109,"eye","\Imīkci\i","\Imiksi\i","\Imas\i (cf. also \I'mikmö\i 'tear')","\Imik\i", 829,"\Imiksi\i", 676,"\Imuksi\i (cf. also \Imikwa\i 'tear')", 846,"\Imik\i", 819,"Toba 89 *miksi."
 613,"*mì",  84,"fire","\Imī\i","\Imu\i (with unclear labialisation)","\Imi\i","\Imukun\i fire (\Imi-\i in compounds; \Imisek\i spark, \Imirāk\i  flame etc.)", 818,"\Imi\i", 670,"\Imi\i", 816,"\I\Imi\i\i", 812,"Toba 90 *miy."
 614,"*mòsum",   0,"fireplace","","\Imosüm\i area of house uphill of fire","\Imosam\i seat of the head of household by the fireplace","",   0,"",   0,"",   0,"",   0,""
 615,"*mòl",   0,"fool","","\Imol\i fool","\Imwɔlpä\i inarticulate, stupid","",   0,"",   0,"",   0,"",   0,""
 616,"*mä́, *mä́m",  60,"mother","","\Imam \imother, (Toba) \Imim \i'grandmother'","\I'mäm\i","\Imā,\i \Imammā\i", 737,"\Imama\i", 650,"\Ima\i 'mother', \Iməma\i 'grandmother'", 787,"\Ima,\i \Ima:ma\i 'mother', \Imaʔma\i 'grandmother'", 742,"Toba 90 *mim 'grandmother', 93 *'mäm 'mother'."
 617,"*mìŋ / *nìŋ",  61,"name","\Ine\i","\Inəŋ\i","\Inaŋ\i","\Imiŋ\i", 852,"\Inɨ\i", 792,"\Iniŋ\i", 905,"\Iniŋ\i", 942,"Toba 93 *nVŋ."
 618,"*mV",  58,"not","\Ima\i","\Imi,\i \Ime\i","\Imu-\i","\Ime,\i \Imen\i", 786,"",   0,"\Ima\i", 786,"\Imaʔama\i", 771,"Toba 93 *mi. Cf. *mát."
 619,"*mù",  81,"body hair","","\Imursem\i hair on arms, in armpits","\Imarswɔm\i body hair","\Imu-dhuk\i moustache, mu-rik 'body hair'", 871,"\Imɨr\i", 705,"\Imui\i", 843,"\Iya-mi\i",1834,"-r in some reflexes may reflect a compound *mu-rəm with *rəm 'body' (?)."
 620,"*mi", 101,"man, person","","\Imücü\i ( < \Imi-cö\i)  man, person","\Imin\i person","\I-mī\i in \Ināpmī\i man", 975,"\Imīn\i", 689,"\Imisi\i", 826,"",   0,"Toba 92 *mici. A suffixed *mi-n(V) is reflected in K, D and perhaps Limbu məna 'person, man'. Sunwar mur 'person' is not quite clear: perhaps a compound with **-rV 'thing' (cf. Kachin mərai 'human being, person')?"
 621,"*mót / *móp",   0,"pour","\I'mojk-ca\i","","\I'mwɔmnä\i (\I'mwɔptu\i) spill (liquid)","",   0,"",   0,"",   0,"",   0,""
 622,"*mìm",1483,"remember","\Imim-ca\i","\Imim-\i","\Imamnä\i (\Imamdu\i)","\Imimmā\i (\Imisu\i) to love (?)",   0,"",   0,"",   0,"",   0,"Toba 94 *ma̲mV- (confused with *min q.v.)."
 623,"*mìn", 107,"ripen","\Imī-ca\i","","\Imajnä\i (\Imaj\i) ripen, be cooked (\Imajpä\i ripe, cooked)","",   0,"",   0,"",   0,"",   0,""
 624,"*mä̀l",   0,"search for","\Imal-ca\i","\Imal-\i","","",   0,"",   0,"",   0,"",   0,""
 625,"*(ʔi)mi-",  64,"small (?)","\I'im-cili\i small","","","\Imi-\i in \Imi-jāk\i a litle (см. \I*jàk\i), \Imicchā\i a little, \Imitchā\i less",   0,"",   0,"",   0,"",   0,""
 626,"*murV",   0,"smell","","\I'mur\i","\Imur\i","\Imura\i perfume",   0,"",   0,"\Imuri\i", 860,"",   0,"Toba 96 *mur."
 627,"*mók / *móŋ", 117,"soak","","\Imo(t\i)- soak (bamboo strips to render pliable); rot (as a piece of wood)","\I'monä\i (\I'mohtu\i) soak","",   0,"",   0,"",   0,"",   0,""
 628,"*móp",   0,"stroke","","\Imop-\i stroke, caress","\I 'mwɔmnä\i (\I'mobu\i) grope, feel with eyes shut","",   0,"",   0,"\Iməmma\i", 814,"",   0,""
 629,"*mé", 138,"tail (in unclear compounds:  \I*mé-lu(C\i), \I*mé-rV\i)","\I'mīlu\i","\I'mer\i","\Imer\i (CSDP \I'mer\i)","\I*me\i", 817,"\Imiri\i", 685,"\Imeri\i", 805,"\Imira\i", 830,"Toba 97 *mer. LNE does not list the word 'tail', but it has  \Ime-kem-pu\i  'a bird having long tail', where  \Ikem\i - long, \Ipu\i - bird"
 630,"*m[è]",2757,"that","\Ime-ko\i he, it, that","\Imö,\i \Ime,\i \Imi-\i","\Imä-m\i that","",   0,"",   0,"\Imeksa\i 'thither', \Imənpi\i 'there'", 803,"\Imo\i 'that one'", 843,"Toba 97 *mäm."
 631,"*mò",   0,"vomit","\Ime-ca\i","","\Imönä\i (\Imöŋɔ\i)","",   0,"\Imɨnɨ\i", 701,"",   0,"",   0,""
 632,"*má-",2765,"what","\I'mar\i what, \I'marde\i  why","","\I'mɔŋ\i what, \I'mɔne\i why","",   0,"",   0,"",   0,"\Ii-maŋ\i 'what'", 419,""
 633,"*mè(n)",  87,"woman, wife","\I'mīś\i wife, \Imīś-mur\i woman","\I-me\i in \Inay-me\i wife, \Imo-cü\i woman, \Imēsem\i woman, female","\Imej,\i \Imesbä\i wife, \Imelsem\i (with a strange -l-) woman","\Ime\i  bride, \Imet\i  wife, \Imenchimā\i woman, \Imenchin\i young girl", 798,"\Imēʔe\i", 661,"\Imimcha\i 'woman'", 824,"\Imeʔnami\i 'woman'", 809,"Toba 99 *melsem. For Kaling \Imelsem\i cf. Limbu \Imēʔl\i (VD) 'wife'."
 634,"*bhä̀l",   0,"horizontal","","\Ibhal,\i \Iubhal\i  horizontally, away across hilside","\Ibhäbhäl\i","",   0,"\Ibhāl\i", 128,"",   0,"",   0,""
 635,"*bhrèn",   0,"lazy","","\Ibhrē(t\i)-, \Ibr-\i be lazy","\Ibhren-pä\i lazy, \Ibhren\i lazyness","",   0,"",   0,"",   0,"",   0,""
 636,"*bhlè",1750,"penis","","\Ible\i","\Ili\i","\Ile\i",2149,"\Ilī\i", 606,"\Ile\i", 716,"\Isäʔ-li\i",1365,"Toba 93 *bli. Cf. also K \Ilekɔtɔs,\i T \Ilekɔkti\i testicle (\I*bhlè\i penis + \I*qhák\i skin + \I*ʔtì\i  egg [+ \I*c\L1\lə̀\i in Kg]); Yamphu \Ilä:ŋa\i testicles. Cf. *lè coire."
 637,"*bhùr",   0,"scold","\Ibarbare-ca\i","\Ibhur\i-, \Ibur\i- be angry with, abuse","\Ibharnä\i (\Ibhardu\i) scold, shout (Toba: \Ibhrwan-)\i","",   0,"",   0,"\Iburma\i (Toba: \Ibhas-\i shout?)",  87,"",   0,"Toba 95 *bhrwan- (?), 99 *bha̲r-."
 638,"*bhèndäk ( / m-?)",   0,"sheep, goat","","","\Ibhende\i","\Imendāk\i", 803,"",   0,"",   0,"",   0,""
 639,"*bhák (/*ʔp-)", 293,"shoulder","\Ibalā\i","\I'balam\i shoulder blade","\I'bhoto\i","\Iphoktāŋ\i",1337,"\Ibokto\i", 109,"\Ibɔutɔ\i",  65,"\Iakkr̂aŋ\i",   7,"In compounds: \I*bhák-ta(ŋ\i), \I*bhák-läm\i."
 640,"*bhét ( / *bhén )", 446,"leech, snake","\I-phe\i in \I'jāk-phe\i land leech","\I-pon\i in \Idokpon\i red leech ( = K \Idhokphej\i)","\I'bhej\i snake, \Idhok-phej\i red leech, \Ilok-pej\i black leech","\I-pet\i in \Ilākpet\i leech (= K \Ilok-pej\i)",2181,"\Ibhī\i", 131,"",   0,"",   0,"Cf. also T \Ibi-ḍa\i leech (?)"
 641,"*bhə̀lu",   0,"thunder","","\Ibhulülü\i, \I-lüm\i","\Ibhölü\i","",   0,"",   0,"\Ibululuwa\i",  80,"",   0,"Toba 97 * ̲lulu."
 642,"*bhä̀n", 313,"wear","","\Iban-\i, \Ibha(t\i)- wear, put on (as ornament)","","",   0,"",   0,"",   0,"",   0,""
 643,"*[bh]là",1677,"arrow","\Ili-bra\i","\Ipla,\i \Iplal\i rainbow (?)","\Ilɔ-phu\i bow","\Itoŋ-lā\i arrow stick (\Itoŋ\i arrow)",   0,"",   0,"",   0,"\Ithuk-la\i 'arrow'",1689,""
 644,"*bhrók / *bhróŋ (-s)",   0,"break","","\Ibhrös-,\i \Ibrös-\i tear (itr.) (as cloth), break off (as fruit or leaves)","\I'bhronä\i (\I'bhrogu\i) break, cleave (Toba \Ibhres-\i 'tear')","",   0,"",   0,"",   0,"",   0,"Toba 97 *bhrös-, 99 *bhres-."
 645,"*bhä́[p]",   2,"broad, wide","","\Ibhapa\i","\I'bhäppä\i","",   0,"",   0,"\Ibaipa\i 'long' (?)",  19,"beʔe 'big, large', bī-ma 'to be big'; (?) peʔ-lo 'many'",  95,"Toba 99 *bhäpä. Cf. also Kulung \Ipəma\i 'increase, grow' (see under *bhə̀r)."
 646,"*brä́-mV", 302,"buckwheat","","\Ibramu\i","\I'bräm\i","",   0,"",   0,"\Ibāma\i",  26,"",   0,""
 647,"*bhúk(-s)", 316,"burst, explode","\I'būk-ca\i","","\I'bhunä\i (\I'bhuktu\i)","(\Itimɔk\i)\I-phɔkma\i (\I-phɔksu\i) to fire (gun)",1358,"\Iboknɨ\i", 107,"\Ipɔ̄ma\i",1024,"\Ipokma\i",1108,""
 648,"*bhà-",   0,"floor, earth (in various compounds)","\Ibās\i  floor","\Ibaja\i land, earth, floor","\Ibhɔjɔ\i place, ground, earth","",   0,"",   0,"",   0,"",   0,""
 649,"*bhèr", 276,"fly","\Iber-ca\i","","\Ibhernä\i (\Ibheru\i)","\Ipɛmā\i (\Ipɛrā\i) (with irregular ɛ)",1187,"\Ibjernɨ\i", 124,"\Iperma\i",1000,"\Ipe:ma\i",1084,"Toba 90 *pre-."
 650,"*bhə̀-lV (/ *lə̀-bhV)", 258,"spleen; force","","\bel\, \bal\ spleen","\Ibhöl\i force","\Ilep\i force",   0,"",   0,"\Ipel\i 'spleen'", 998,"",   0,""
 651,"*bhlí ( / *bhä́li)",1763,"four","","\Iblə\i","\I'bhäl\i","\Ilisi\i", 679,"\Ibalɨkpi\i",  53,"\Ilīci\i", 750,"\Iriʔum\i",1250,"Toba 90 *blä. A reconstruction *bhlín is also possible. Cf. also K \I'lanne\i four days ahead, \Iɔ-laŋ-kane\i 4 days ago (< \I*-liŋ-\i < \I*-lin-\i); Dumi lɨkdinna 'the day after the day after the day after tomorrow, four days from now'."
 652,"*bhórok",   0,"frog, toad","","\Iboro\i (AS \Ibhoro\i) frog","\Ibhoro\i (CSDP \I'bhoro\i) toad","\Ipɔdɔk\i",1164,"\Ibhorə\i", 135,"\Ibɔrɔ\i",  63,"\Ipaja:k\i",1051,""
 653,"*blìŋ",1690,"fill","\Ibrī-ca\i get filled, \Ibrī-śo\i full","\Ilit-\i suffice, reach (an age) (?)","\Ilunä\i (\Iliŋu\i) to fill","\Ilɔŋwā\i overflow of rainwater",2144,"\Ilennɨ\i", 575,"\Ilaima\i 'suffice'; \Ilīma\i 'pour into, insert'", 699,"",   0,"Perhaps 2 different roots, as seen from the distinction in Kulung."
 654,"*bhan ( / *bhat)",   0,"fill, full","","","\Ibhajnä\i (\Ibhandu\i) get filled, \Ibhajpä\i  full","\Ipɔtmā\i (\Ipɔttu\i) fill up",   0,"\Ibīnnɨ\i",  86,"",   0,"",   0,""
 655,"*bhV́(k)", 196,"go","","","\I'bhɔnä\i (\I'bhɔŋɔ\i)","\Ipekmā\i (\Ipe\i)",1167,"",   0,"",   0,"",   0,""
 656,"*bhə̀r", 324,"grow","\Ibar-ca\i grow up, increase","\Ibər-\i grow up","\Ibhwɔrnä\i (\Ibhwɔrŋɔ\i) grow, increase","\Ipomā\i (\Ipondā\i / \Iporā\i) increase",1215,"\Ibarnɨ\i",  57,"\Ibur\i 'mountain' (?)",  86,"\Ipu:ma\i",1133,"Limbu has stems a) pōr- / pōn- b) pōs-/pō-, which are hard to distinguish, but may in fact represent different original roots. For the former cf. Kulung pə-ma (pɔi-) 'increase, grow' (see under *bhä́[p])."
 657,"*blèŋkum",   0,"a k. of mushroom","","\Iblɛŋkuma\i white mushroom","\Ibleŋgam\i an inedible fungus","",   0,"",   0,"",   0,"",   0,""
 658,"*bV́rum",   0,"navel, umbilical cord","","\Ibürüm\i","\I'baram\i","",   0,"",   0,"\Ibirim\i",  50,"",   0,"Toba 93 *birim. In STEDT 181-182 (*bryam ~ brim) compared with Moyon brä́, Lepcha băk-lim and Thakali 'prih-khum; not quite reliable."
 659,"*bé(k)",   0,"put in","","\Ib(e\i)- make, do, put","\I'benä\i (\I'behtu\i)","",   0,"",   0,"",   0,"",   0,""
 660,"*blä́(t)",1674,"say","","\Ib(e)-\i","\I'blännä\i (\I'blättu\i) say","\Ipāpmā\i (\Ipāttu\i) speak, \Ipān\i language, dialect",1159,"",   0,"\Ipi:ma\i",1013,"",   0,"Toba 95 *blä-."
