NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
718|*staura-z, *stiur(i)ō, *stiurVnō, *sturjō(n), *stiuria-n; *stiurian- vb.; *stūra-, *stūria-, *stūrōn, *stur=|post, prop; big, strong|2543|stiurjan wk. `establish', us-stiurē f. (n) `dissoluteness'|staur-r m. `Stange'; stjōrn f. `Steuer; Herrschaft, Haushalt'; stǖra wk. `steuern, regieren; besitzen'; stǖri n. `Steuerruder'; ? stūra f. `Trauer, Kummer', stūra `betrübt sein'|staur; dial. stür, stürja `lange Stange'; stjorn `Haushalt'; stüra vb.; stüre `Steuer, Pfluggriff, Schwanz'; ? stura vb.; stur `betrübt'|stiorn-faster `mit festgebundenem Steuer'; stūr `gross', stǖra-s `grosstun'|stör; stüre; stüra vb.; stüre `Steuer'; ? dial. stura vb.; dial. stur `betrübt'||stüre vb.|{ stēor f. }|||stiūre f. `stuur, roer', stiārne f. `roer'||heri-stiuria `Heersteuer, Sold'; stior-with f. `stuurriem'|stuur, stier(e) n., stiere f. `stuur, roer'; sture `Hilfe, Stütze'|stuur n.||stǖr(e) n., f. `roer, stuur, verhindering, hulp, bĳdrage in geld, belasting'|stūr `gross, stark, schwer; mürrisch, störrisch, grob, unfreundlich'|stiura f. `Stütze, Steuerruder, Hinterteil des Schiffes, Untersṭutzung, Hilfe, Gabe, Abgabe, Einkommen' (um 900); stūri `stark, stattlich', sturi `stark, stattlich, stolz'|stiur(e), stiuwer st. f. 'stütze; ateuerruder; hinterteil des schiffes; anstoss, antrieb; unterstützung, hilfe'; stiur st. n. 'steuerruder'|Steuer f.; Steuer n.|
719|*kifjan-|gnaw|1656|||||||||||||||||||{ kiffen 'глодать' }|kifelen, kifen, kifern wk. 'nagen, kauen'||
720|*sténϑia-|firm, hard|1076||stinn-r, stiδ-r `steif, stark, tüchtig'|stinn||stinn||stind|stīϑ `stiff, hard'|||stīth|||||||||||
721|*strampō, *strumpa-z|stem, stalk|1077|||dial. stropp `ton als maat'||||||||strump-halt `kreupel door verminking van en lis'||||stramp f., dial. strampe `afgesneden tak, gaffel', strampel `stomp van tak of boom'||strump m. `Stumpf, Stummel, Baumstumpf'|ostpreuss. strempel, strumpel `Stumpf, holziger Stengelteil, vertrockneter Wurzelrest||strumpf st. m. 'stummel, stumpf; baumstumpf; verstümmeltes glied; rumpf'|Strumpf m.|
722|*rōd-ia- vb., *rēd-a- vb., *rēd-ia- vb., *rēd-a- n., m.|council|1079|rōdjan wk. `talk, speak, say; mutter, complain'; *ga-rēdan st. `aim at', *ur-rēdan st. `determine, decide', und-rēdan st. `provide for, grant'|rȫδa wk. `reden'; rāδa red. `raten; herrschen; errsten, usw.'; rāδ n. `Rat, Entschluss; Lage; Haushalt; Heirat'; Run. Norw wa[n]δaraδas|röda vb.; rɔda vb.; rɔd||rɔda vb.; rɔd||rɔde vb.; rɔd|rǟdan (rēord/rēd; rǟden; prt. rǟdde) `to counsel, give advise; to ask advise, cousult a person; to resolve after deliberation, to determine, decide; to rule, govern, dirett; to have the disposal of, have possession of; to read, to explain'; rǟd, -es m. `count, advise; counsel, prudence, intelligence; counsel, plan; what is advisable, benefit; council';||read|rēd; rēda vb.||rādan vb.; rād|raet m. `overleg, beraadslaging, beraad, besluit, plan, raad, middel, maatregel, benodigdheden, voorraad, geheim, list, wĳze van doen, geest, gemod, raadsman, raadgevend lichaam'; rāden `overleggen, beramen, menen, raden, aanraden, berokkenen'|raad m.; raden|rāt|rāt||rātan `raten, beratschlagen, worauf sinnen, anstiften, deuten (Rätsel), auffordern, wofür sorgen, verschaffen', rāt m. (8.Jh.) `vorhangene Mittel, Rat, Ratschlag, Überlegung, Entschluss, Absicht, Vorsorge, Vorrat'|rāten st. red. intr. 'raten, beraten, überdenken', tr. 'raten, befehlen, beraten, worauf sinnen usw.'; rāt st. m. 'rat, ratschlag; lehre, belehrung usw.'|raten; Rat m.|
723|*strḗla-z, *strḗlō(n)|arrow|2574|||strɔl `ein kleiner Fischschwarm, der sich von einem grösseren strahlenartig abzweigt'|||||strǟl (strēl, strēal), -es m.; strǟl, -e f., strǟle, -an f. `arrow, shoft, dart'|||||strāla f. `Pfeil'|strael m., n., strāle f. `pĳl, angel'|straal m., f.||strāle f., m. `Pfeil, Stachel der Biene'||strāla f. (8.Jh.), { strāl } `Pfeil'|strāle st./wk. f., wk. m., strāl st. f. 'pfeil'|Strahl|
724|*stirōn; *stirkia-n, *stirk(i)ōn|barren; calf, lamb|1080|stɛrō f. (n) `the barren one'|||||||stirc (stiorc, styric), -es n. `stirk, calf, young bullock or heifer'||stirk|||||||sterke f. `jonge koe, die nog niet bĳ de stier geweest is'||stero `Widder'|stër, stëre, stërre wk. m. (/ st. m.) 'widder'|{ [ Stärke < MLG ] }|
725|*spraut=, *sprutēn|stick, peg|3204|{ sprautō 'schnell' }|{ sproti 'Stock, Zweig, Platte' }|spraut 'Spannstock'|||||||||||||||||||
726|*spadēn, -ōn|spade|1084||||||||spadu, -an/-e f., spada (?) m. `spade'; { spade }||spade|spade||spado m.|spāde f. (/m.)|spade, spa f.|||||spade wk. m. 'spaten'|Spaten m., schweiz. Spat|
727|*spara-, *sparōn- vb.|spare, frugal|2597||spar-r `sparsam, karg'; spara `sparen, schonen'|dial. spar; spara vb.||spar adj.; spara vb.||spar; spare vb.|spär `spare, frugal', { sparian }||to spare|sparian vb.||sparon `uitstellen'|spāren `sparen, ontzien, vermĳder, nalaten, uitstellen, talmen'; spaer `spärlich, kärglich'|spaarzam; sparen vb.||spāren, sparren||spar `sparsam, knapp' (10.Jh.); sparōn (8.Jh., frnk.), sparēn (9.Jh., obd.) `(ver)schonen, bewahren, beschützen, aufschieben, unterlassen'|spar st. f. 'sparsamkeit, mangel', sparn wk. 'sparen, schonen, verschonen, erhalten mit; zögern, versparen'|sparsam, sparen|
728|*spikka-n, *spikja-n|lard|1086||spik n. `Speck'|spekk||spik|||spic, -es n. `bacon, lard, fat flesh of swine', { spec }|||||spekk|spec n.|spek n.||spek||spec (10.Jh.); ubar-spicki `Schmer, Fett' (8.Jh.)|spëc (-ck-) st. m., n. 'speck'|Speck m.|
729|*spanna-n|vessel|1087||spann n. `Henkelgefäss, Eimer'|spann||spann||spand||||||||||span, gen. -nnes `Holzeimer, ein gewisses Hohlmass'|||||
730|*spanēn, *spanō(n), *spanjō(n), *spunn=|teat|1088||speni m. `Zitze, Brustwarze'|spene||spene||spene|spanu, -e f., spane, -an f. `teat'||||||spēne f. `tepel, aambei'; Kil. sponne, spunne `tepel', sponne `moedermelk'; spēne-varken|speen f.; spalling||spēne `Zitze'; spōne f. `Brustwarze, Milch'; spōn(e)-verken||speni-far(a)h, spunni-far(a)h (12.Jh.); pl. spunni m. (um 1000) `de borsten'|spɛn st. f. 'mumuttermilch, -brust'; spünne, spüne, spune, spunne s t. f., n. 'mutterbrust; muttermilch'; spɛnsū st. f., -varch st. n.  'milchnerkel'|Spanferkel n.|
731|*spiru, *spira-n, *sparu-z, *sparra-n; *sparrēn|spear|1089||pl. spjɔr n. `Speer'; spɔr-r m. `Speer', sparr n. `Speer'; sparri m. `Sparren, Balken, Pflock'|spjör; sparre||spärr; sparre|spiär `Speer; Sonde'|sparre|spere, -es n. `spear, lance, pike, javelin'||spear|spiri, spere, sper||sper|speere m., f., n.|speer f.||spēr(e)||sper n. (8.Jh.)|spër st. n., m. 'speer', { spar, spare n. }|Speer m.|
732|*smikra-|fine, fair|1092|||dial. smikr n. `feines Schnitzwerk'|||||smicer `fair, fine, beautiful, elegant'||||||||||||||
733|*smáxria-z|lip|1093|||||||| smǟre, -es m. `lip'||||||||||||||
734|*smirwa-n, *smírϑra-n; *smirwian- vb.|fat, grease|1094|*smɛrϑr n. (a) `Fett'|smjɔr, smör n. `Butter, Fett'; smürva, smürja vb. `schmieren, salben'|smör, smjör; smürja vb.|smör, smörr, smorr|smör `Butter'; smörja vb.||smöre vb.|smeoru (smeru, -o, -a), -wes n. `fat, grease, suet, tallow'; { smierwan }||smear|smere n. `vuil, etter'||smero|smēre, smeer, smāre, smaer n., m. `vet, smeer'; smēren|smeer n., m.; smeren|smero|smēr; smēren||smero, gen. smerwes `Fett' (8.Jh.); smirwen `(ein)schmieren' (8.Jh.)|smër (-w-) st. n., m. 'schmer'; smirwen, smirn, smërn wk. `schmieren, salben'|Schmer m., n.; schmieren|
735|*snī(g)wan- vb.; *snai(g)wa-z|snow|1096|snaiw-s m. `Schnee'|snǟ-r, snjā-r, snjō-r m. `Schnee'; snǖr `es schneit', ptc. snivin-n `beschneit'; NIsl snjōfa vb.|snjo, dial. snjö, snö; snjoa, snjöva vb.|snio, snior, sniö|snö; dial. snjoga vb.|snio, sniö, snö|sne|snāw, -es m. `snow'; snīwan (-de) `to snow'||snow|||snēo|snee; snūwen, snouwen, snïen|sneeuw f., dial. snee f.|snēo|snē; snī(g)en||snēo, gen. snēwes `Schnee' (8.Jh.); snīwan `schneien'|snē (-w-) st. m. 'schnee'; snīwen, snīen st./wk. 'schneien, wie schnee fallen'|Schnee m.; schneien|
736|*snōbō(n), *snōbilī(n)||1099|||||||||||||||||||{ snuaba `vitta', snuobili `kleine Kette' }|||
737|*snuzá-z, *snuzṓ; *snōzṓ, *snazṓ|daughter-in-law|1100|CrimGot *schnos (mispr. schuos) `sponsa'|snor, snör f. `Schwiegertochter, Schnur'||||||snoru, -e f. `daughter-in-law'|||snore|||snare `schoondochter, -zuster, -moeder'; snoere|snaar f.; snoer f.||snare; snōr||snur, snor, snura, snuora|snur, snuor st. f. 'sohnes frau, schnur; meretrix', md. snor, snare wk. f. 'ds.'|{ Schnur }|
738|*sludd=; *slaudō, *slōd-a-z|sleet|156||NIsl slüdda `Schnee und Regen durcheinander', sludda `Klumpen Speichel oder Nasenschleim'||||||||dial. slud `Schlamm'||||||||||slōte st. f. 'schlamm, lehm', sluot st. m. 'schlutt, schlamm, pfütze'|süddtir. schludern `schneien und regnen zugleich', dial. schlott, schlutt `id.'|
739|*sláixwōn, *slai(g)wṓn|sloe|1105|||||slɔn||(alter) slɔ|slā, gen. slān f., slāh, -e f., slāg, -e f. `sloe'||sloe||||slee (sleen) f.|slee m.||slē||slēha (9.Jh.), { slēwa }|slēhe wk./st. f. 'schlehe'|Schlehe f.|
740|*ϑiura-z|ox, bull|1107||ϑjōr-r m. `Stier'|tjor||tjur|||tyr|||||||limb. deur, duur|||||||
741|*ϑiϑura-z|grouse|1108||ϑiδur-r m. `Auerhahn'|tidur, tiur||tjäder||tjur|||||||||||||||
742|*ϑallō, *ϑal=, *ϑaljōn, *ϑalja-n|pine|1110||ϑɔll f. `junger Fichtenbaum'; ϑella f. junge Kiefer (nur in Kenningen für `Frau'); ϑelli n. `junges Kieferholz; Schiff'|toll, tall; tella||tall; dial. tella||tall||||||||||||||dial. dale `Kiefer'|
743|*ϑūsund=, *ϑusund=|thousend|1111|ϑusundi, pl. -djōs `thousand'|ϑūsund f. `Tausend'|tusund||tusen||tusen|ϑūsend f., n. `thousend'||thousand|thūsend||thusundig, thūsind|dūsent|duizend||dusunt, dūsent||thūsunt f./m. (8.Jh.), Lex Salica thūschunde|tūsent, alem., md. tūsing, tūseng, tūsig num. 'tausend'|tausend|
744|*ϑulla-z, -ō|thole, beam|1113||ϑoll-r `Baum; Balken'|toll||tull `Ruderpflock, Dolle', dial. tull `Baumwipfel', tulle `ds., Rispe'||toll|ϑoll (ϑol), -es m. `thole, thowl, peg in the side of a boat to keep the oar in place'||thole, thowl||||dolle, dol f.|dol m.||dolle, dulle f.||||{ Dolle `Ruderpflock, die buschige Krone eines Baumes, Blumenbüschel, Quaste, Helmbusch, obd. Dollfuss angeschwollener Fuss, Klumpfuss' }|
745|*ϑul=, *ϑulja-n||0||Fimbul-ϑul `einer der aus Hvergelmir entspringenden Flüsse'||||||ge-ϑyll, -es n. `breeze, air'||||||||||||||
746|*ϑíuxa-n|thigh|2916||ϑjō n. `Oberschenkel, Arschbacke'|tjo||dial. tjo, tju `Krümmung der Sense'|||ϑēoh, gen. ϑeos, pl. ϑēoh n. `thigh'||thigh|thiāch||thioch|die f., n.|dĳ f.|thio|||dioh `Schenkel'|diech (-h-) st. n. 'oberschenkel an menschen und tieren'||
747|*ϑiudṓ; *ϑiudana-s|people|1115|ϑiuda f. (ō) `people, nation; heathen, gentiles'; ϑiudan-s m. (a) `king'|ϑjōδ f. `Volk'; ϑjōδan-n m. `Fürst, König' (poet.)|tjod||gotl. tjaud|||ϑēod, -e f. `nation, people; district occupied by a people, country; language'; { ϑēoden `king, lord, God' }|||thiade||thiod, thioda; thiudan st. m. `ruler, lord ofvthe people'|diet; holl. duutsc, vlam. dietsc|duits||||thiota, thiot `Volk' (8.Jh.); thiutisc (um 1000)|diet st. f., n., m. 'volk, leute', st. m. 'mensch, kerl'; diutisch, diutsch, tiutsch, tiusch, mitteld. dūdesch, dūtsch, dūsch 'deutsch'|Deutsch|lat.-germ. Teutoni
748|*ϑū[b]ōn, *ϑubbila-z|hill, bush|1116||ϑūfa f. `Erhöhung in der Erde, Hügelchen'; ϑǖf-t adj. n. `mit kleinen Hügelchen'|tuva||tuva||tue|{ ϑūf `Laubbüschel, Banner', ϑǖfel `Busch, Gebüsch', ϑūft `Gebüsch }|||||||||||||obd. düppel `Beule, Geschwulst'|
749|*diuxtar-|grandchild|1117||||||||||||||||||||diehter, tiehter st. n. 'enkel'||
750|*ϑikkwu-, *ϑikkwi-|thick|1799||ϑükk-r, ϑjokk-r, ϑjukk-r `dick'|tjukk||tjock||tük|ϑicce `thick'||thick|OWFris thicke `menigvuldig'||thikki `dick, dicht, häufig'|dicke `dik, zacht'|dik||dicke||thicki (um 800)|dicke, dic 'dicht, dick; oft, häufig'|dick|
751|*ϑimaz-, *ϑinstra-, *ϑunstra-, *ϑimz=, *ϑēm=|dim, dark|1805||{ ϑām `obscuritas aeri' ? }|dial. tɔm `unklare Luft, dünne Wolkendecke'|||||{ dim }||dim|||thim `dunkel'|deemster `duister'|dĳzig `nebelig, dunkel'; (alter) deemster||deemster; dīsig `nebelig, dunkel'||themar n. `Dämmerung' (9.Jh.), thinstar `finster' (8.Jh.); themarunga (11.Jh.)|gedemer st. n. 'die dämmerung, das dunkel', dëmere, dëmerunge st. f. 'dämmerung'; dinster, dunster, duster 'finster, düster'|Dämmerung f.|
752|*ϑunnu-, *ϑunnia-|thin|1118||ϑunn-r `dünn, schwach, klar'|tunn, tynn||tunn||tynd|ϑynne `thin'||thin|thenne||thunni `dünn, still, untief'|dunne|dun||dünne||thunni (8.Jh.) `zart, schmal, schwach, dünn'|dünne 'dünn, zart, seicht'|dünn|
753|*ϑilja-n, *ϑiljōn, *ϑiljan- vb.|board, boarding|1122||ϑil n. `Diele; Bretterwand', ϑili n. `Bretterwand, Bretterboden'; Fin < ONord teljo `Ruderbank', ϑilja f. `Diele, Planke; Ruderbank'|til `Boden aus losen Brettern'; tile|thili|tilja `Diele, Bühne'|||ϑille, -an f. `boarding, flooring, floor', ϑilian (ϑillian, ϑillan) `to plank, lay planks', ϑel (ϑell), -es n. `thin piece of wood or mwtal, plank, plate'; { buruh-ϑelu ` Burgflur' }|||||thili f. `plankenvloer'|dēle f. `plank, vloer'|deel f.||dēle f. `Brett, Fussboden, Hausflur'||thili n., thil m. (8.Jh.), thilo m. (11.Jh.), thilla f. (11.Jh.) `starkes Brett, Bretterwand, -boden'|dil, dille st./wk. f., wk. m. 'brett, diele; bretterwand; bretterne seitenwand eines schiffes, das schiff selbst; verdeck, bretterner fussboden; der obere boden des hauses'|Diele f.|
754|*[ϑ]wart=|quartz|1124||||||||||||||||||||quarz (Böhmen, 1. Hälfte 14.Jh.)|[ Quarz m. < omd. ]|
755|*ϑurpa-n|village|1126|ϑɔrp n. (a?) `land, lived-on property'|ϑorp n. `Hof, Bauernhaus; Dorf; Absatz eines Felsens; Grabhügel'|torp `kleiner Pachthof'||torp `kleiner Pachthof'|torp `kleiner Pachthof'||ϑrop (ϑorp), -es m. `village'||thorp|therp, thorp n.  `village'|Fris terp, pl. -en|thorp `Dorf'|dorp n. `akker, hoeve, dorp'|dorp n.||dorp||thorf|dorf st. n. 'dorf'|Dorf n.|
756|*iburá-z|(vild) boar|1130||jɔfur-r m. `Fürst, Häuptling' (poet.)||Run. iufur, iafur, iofur||||eofor (-er, eafor, efor, -er, -yr, ofor), -es m. `boar, wild boar'|||||evur|ever|ever m.||ēver||ebur (um 1000)|ëber st. m. 'eber, zuchteber'|Eber m.|
757|*algí-z m., *ílxa-z, *ílxēn|elk|1131||elg-r m. `Elch (Cervus alces)'|elg||älg||elg|eolh, gen. eoles m., eōla (elha), -an m. `elk'||elk|||elaho||||elk||elahho (9.Jh.), { elho } `Elch, Elentier'|ëlch, ëlhe st./wk. f. 'elch'|Elch|
758|*lambaz, *lamba-n|lamb|2898|lamb n. (a) `lamb, sheep'|lamb n. `Lamm'|lamb||lamm||lam|lamb, -es n., lamber n. `lamb'||lamb|||lamb|lam, dial. lamp|lam n.||lam||lamb `Lamb' (8.Jh.)|lamp (-b-), lam (-mm-) st. n. 'lamm'|Lamm n.|
759|*íxwa-z, *i(g)wá-z|horse|1133|*ɛhʷa-tundi f. (jō) `bramble, prickly bush: ? plum, Prunus spinosa'|jō-r m. `Pferd'; Run ehwu, ehe||||||eoh, gen. eohes/eoes/ēos m. `war-horse, charger'; eōred (-rod) f.`cavalry, band, legion, troop'|||||ehu-skalk `Rossknecht'||||||eha- in PN|||
760|*awi-z, *awistra-n, *awist=|sheep|1134|*awistr n. (a?) `sheepfold'|ǟ-r f. `weibliches Schaf'; ā-sauδr m. `Schaf'|är-saud `Schaf mit Lämmern'||||dial. ɔ-lam `Mutterlamm'|ēowu, gen. ēowe `Schaf', {äwist}, ēowestre (ēwestre), -es m. `sheepfold', { awēϑi }; { eowde }||ewe|ey||ewi `Schaf'|ooie, ooi, oo, ouwe, ou|ooi f.||||ouwi, ou `Schaf'; ewist, ouwist|ouwe st. f. 'schaf'|dial. aue|
761|*a(g)wnōn-, *a(g)wnian- vb.|to yean|1135|||||gotl. ōna, dial. vara i ōn `drachtig zĳn'|||ēanian (ēanigan) (ēanode; ēanod) `yean, bring forth as a ewe', ge-ēan adj. `yeaning'||yean `of a ewe, bring forth' <  *ge-ēanian||Fris eandsje, inje `lammen'|||dial. onen `lammeren werpen', dial. oonschap `schaap dat moet lammeren'|||||||
762|*wī́(g)wēn|a bird|1140||lang-vē m. `Alk (Uria troile)', NIsl langvīa f., langvīgi m. 1id.'|langvie, langve, lomvie||dial. lomvia|||||||||wīwe, wīe, wūwe, wouwe|wouw m.||wīe, wīge m., f. `Weihe'||wiwo, wīo m. (8. Jh.),|wīe, wīge, wīhe, wīwe wk. m. 'der weihe'|Weihe|
763|*arēn, *arnu-z, *arni-z, *arna-z|eagle|1142|*ara m. (n) `eagle'|ari m. `Adler', ɔrn m. `id.'|rnare; ö|ari|örn||örn|earn, -es m. `eagle'||||Fris earn|{ aro }; arn|arent, aren, a(e)rn|arand m.||ārn(e), ār(e)nt||aro m., arn m. (8.Jh.)|ar wk. m. 'adler', arn st. m. 'ds.'; adelar, adlar, adler wk. m. 'adler'|Aar m.; Adler|
764|*ánid, *ánud; *ánida-z|duck|1143||ɔnd f. `Ente'|and, önd||and||and|ened (enid, änid, änit) f. `duck', ened, -es m. `drake'|||||anad|aent, eent, ent|eend f., dial. ant, ent||ānet, ānt||anut (10.Jh.), enita (11.Jh.), anata (10.Jh.), aneta (11.Jh.) { enit, anud, pl. enti (i-St.) }|ant st. m., f. 'enterich, ente', ɛnte wk. f. 'ente'|Ente f.|
765|*ēdí-z|a bird|1144||ǟδ-r f. `Eidergans (гага)'||äd, ä(r)-fugl|ɔda|||||||||||||||||Germ. Eider is ultimately borrowed or half-borrowed from Scandinavian (DW 259).
766|*aukan- vb., *aukian- vb., *aukēn, *wōkra-z, -ō; *waxsan-, *waxsian- vb.; *áuxima-, *áuxuma-|increase|1146|aukan st. `increase'; wahsjan st. `grow'; *wōkr-s `interest'; comp. auhuma adj. `higher', auhumist `höchster',|auka red. `vermehren, vergrössern, übertreffen, erzeugen'; vaxa st. `wachsen', vexa wk. `wachsen machen'|auka; vaksa|öka, ökia; växa; OGutn auka|öka; växa|ökä, ögä|öge; vokse|{ weaxan }; ēacan (ēoc, ēocon; ēacen) `to be increased, augmented, enlarged, indued', īcan (īecan, īcean, ǖhte) (īhte/īkte) `eke, increase, add to, augmnnt', ēaca, -an `addition, eeking, increase, usury, advantage'; wōcor, -e f. `increase, fruit, offspring'; ǖmost `highest'||wax|wōker `interest'; waxa||ōkian `vermehren'; wahsan|woeker m. `woejer, interest'; wassen (wies); ōken `vermeenderen'|woeker m.; wassen|wahson|wassen; wōker `rente, woeker'||ouhhōn `vermehren'; wahsan (8.Jh.); wuohhar m., n. `Ertrag des Bodens, Leibesfrucht, Nachkommenschaft, Gewinn, Zins, Wucher' (8.Jh.)|ouchen wk. refl. 'sich vermeheren, vergrössern'; wahsen st. 'wachsen, auf-, erwachsen'; wuocher st. m., n. 'ertrag, frucht; leibesfrucht, kind, nachkommenschaft; zuchtvieh, zuchstier'|wachsen; Wuchs m.; Wucher m.|
767|*albut, *albuti-z, *albiti-z f., *albitjōn, *albitō|swan|1147||ɔlpt f. `Schwan'; elpt-r f. `id.'||||||{ älbitu }, ilfetu, -e f., ilfette, -an f. `swan'|||||||||||{ albiʒ, elbiʒ }|ɛlbiʒ, albiʒ st. m. 'schwan'||
768|*artō(n), *urtō, *artilōn|a bird|1148||arta f. `Kriekente (Anas crecca)', ertla `Bachstelze (Motacilla fusca)'; NIsl arta, ört, urt|erla `Bachstelze'||ɔrta `Kriekente'; ärla||ort-and|||||||||||||||
769|*igila-z, *īgVla-z|hedgehog|1150||īgul-l m. `Igel'|dial. igjel `Wildfang'|||egel, jä||igil (igl, iil, īl), -es m. `hedgehog, porcupine, urchin'|||||igil|ēghel|egel m.||ēgel||igil (9. Jh.), { īgil }|igel st. m. 'igel'|Igel m.; { (Luther) Eigel }|
770|*aikō, *aikila-z|oak|1151||eik f. `Eiche; Schiff (poet.)'|eik||ek f. `Eiche'||eg|āc (ǟc), -e f. `oak'||oak|ēk||ēk f. `Eiche'|eike, ēke f.  `Eiche'; eikel, ēkel m. `Eichel'|eik m. `Eiche', eek `eikenschors'; eikel m. `Eichel'||ēk f./m., ēke f. `Eiche'; ēkel `Eichel'||eih, eihha (8.Jh.) f. `Eiche'; eihhila (9.Jh.) `Eichel'|eich, eiche st. f. `Eiche'; eichel wk. f. `Eichel'|Eiche, Eichel|
771|*aski-z, *askiō|ash-tree|1154||ask-r m. `Esche; Spiess; Schiff'|ask|asker|ask||ask|äsc, -es m. `ash-tree; ash-spear, spear, lance'||ash|||ask||es m. `Fraxinus exelsior'||||asc (9.Jh), asca (Hs. 12.Jh.)|asch st. m. 'esche', ɛsche st. f. 'esche'|Esche f.|
772|*aspō(n), *aspi-z|asp|1155||ɔsp f. `Espe'|osp||asp||asp, esp|äsp, -e f.; äspe, -an f. `asp, aspen-tree'||asp||Fris espen adj.||espe m.|esp m. `Populus tremula'||espe f.||aspa f. (9.Jh.)|aspe f. 'espe'|Espe|
773|*ibVx(w)=, *ibVg(w)=; *i[b]V-laup=|ivy|1156||||||||īfig (īfegn), -es n. `ivy'||ivy||||eiloof `klimop', ieve `aardveil', ieven, (h)ieft `id.',|eiloof n., westvlam. (h)iefte `klimop'||if(f)-lōf, ī-loff, iw-lōf, eig-loff `klimop'|eilof|ebah, ebahhi (10.Jh.), ebouwi (11.Jh.), ebewi (10.Jh.), ebawi  on analogy with Heu:   eb(i)houwi 9./10.Jh.), eb(i)hewi (10./11.Jh.),|ephöu, ebehöu st. n. `Epheu'; { ī(w)lōf, īflōf, ifflōf, ei(g)lōf- (eig. `pheulaub') }|Efeu; dial. efa, efai, ewich|
774|*ilma-z, *alma-z, *ulmō(n)|elm|1157||alm-r m. `Ulme; Bogen'|alm||alm||elm|elm (ellm), -es m. `elm, elm-tree', ulm-trēow n. `id.'||||||olme|olm m.||elm||elmo (um 800), elm (Hs. 12.Jh.), ëlmboum (10.Jh.), ilma (Hs. 12.Jh.); ulm-boum (Hs. 12.Jh.)|ëlm(e) st. f. 'ulme'|Ulme f., frünhd. Ulme, Olme|
775|*áxira-, *áxurna-z, *ḗxurna-z|maple|1158||||||ǟr `Ahorn'|||||||ahorn||||āhōrn, ānhorn, ālhorn||ā̆horn (um 800)|{ ahorn }|Ahorn m.|
776|*ī(g)wá-z/*ī́xwa-z, *ī(g)wṓ/*ī́xwō, *ī(g)wV́n|yew|1159||ǖ-r m. `Eibe; Bogen (poet.)'|||üd, üde-trä|||īw (ēow) m. `yew'; ī(o)h, ēoh m. `id.'|||||īch, īh|ĳf, Kil. ieven-boom, ĳf-boom|ĳf m. `Taxus'||īwe||īwa f. (9.Jh.), eiba f. (Hs. 14.Jh.); īgo m. (10.Jh.), īga f.|īwe, ībe st. f. 'eibe; bogen aus eibenholz'|Eibe f., schweiz. īche|
