"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
   376,"*ō̂st-a- (1) c., *ō̂st-ā̂ (1/2) f., *aûst-jā̂- (1) vb.","opening, mouth (of the river)",   821,"","úosta-s, uostà `Flüssmundung, Hafen'; áuščiōti `schwatzen, reden'; úoksa-s 'Öffnung, Hohlraum, Höhlung in einem Baumstamm', dial. úoksva-s","uõsts m., uõsta, uôsta f. 'Flussmundung; Hafen'; aũša c., aušis `Schwätzer; Alberner, Unbändiger, Windbeutel, Faselhans', aũšât (-ãju) `schwatzen, faseln, aus der Schule plaudern; albern, sich albern oder unruhig aufführen, unartig sein, tollen'","austo, acc. sg. āustin `Maul, Mund'","? Lett uõksts (gen. -s), uoksta, uokste 'Hintere, Vertiefung zwischen den Hüften, Scham'"
   377,"*ak-i- c., *ak-ā̂, *ak-a- c.","eye",   822,"","akì-s `Auge, Masche, rundes Loch'; akà, ãka-s `Wuhne'","acs (gen. -s, pl. gen. acu/aču) `Auge; Knospe, Öhr; offene, Wasser enthaltende Gruft im Morast', aka `Brunnen'","ackis, ackins Augen V. 80",""
   378,"*ō̂g-ā̂ f., -a- c. (2)","berry",   824,"","úoga `Beere, Kirsche'","uôga, uogs `Beere'","",""
   379,"*ōdeg-ā̂ f.","tail, mane",   825,"","uodegà `Schwanz, Schweif'","uodęga `Schweif; Mähne'","",""
   380,"*dā̂b-il-a-, *dā̂b-ōl-a-, *āb-ō̂l-a-, *āb-il-a- m. (2)","clover",   826,"","dṓbila-s 'Klee'","dâbuols, dâbuls, âbuõls, âbuolis 'Klee'","wobilis 'Klee' V. 290",""
   381,"*nag-a- c., -ā̂ f., *nag-ut-i- c.","nail, claw, hand/foot",   832,"","nãgas `(Finger-, Zehen)nagel, Klaue, Kralle', pl. nagaĩ `Finger, Hand', nagùti-s `Nagel (demin.)', nagà `Huf'","nagas pl. `beide Hände, Hände und Füsse', nag-s `Nagel'","nage `Fuss' V. 145, nagepirstis [überl.] `Zehe' V. 149, nagutis `Nagel' V. 117, nagotis `eherner Topf' V. 349, nagis `Feuerstein' V.371",""
   382,"*añgl-i-, -ia- c.","coal",   833,"","anglì-s (-iẽs/-iō̃s) `Kohle'","ùogle, ùogls\H2\h (gen. -s), ùoglis\H2\h (gen. -is), uôglis2 (gen. -l̨a) `Kohle'","anglis `Kohle' V. 34",""
   383,"*ir̃b-u- adj.","",   837,"","irbù- 'wirtschaftlich, haushälterisch, ökonomisch'; { arbō̃nas 'Rind'}","","",""
   384,"*wē̂dar-a- (2), *wē̂der-a- (2) c.","belly, guts",   840,"","vḗdara-s, dial. vḗdera-s `Eingeweide, (Wurst)magen, Unterleib; Wurst'","vę̂dęrs, vę̂dars `Bauch; vortstehende Erhabenheit'","weders `Bauch' V. 122, `Magen' V. 132",""
   385,"*pak[š]-ia- c., -iā̂ f.","corner",   845,"","","paksis, pakšk̨is, pakšis, pakšs, pakša 'Hausecke'","","Cf. Jatv. (Hel.) pikra 'breast'?"
   386,"*pan-iā̃ f.","morast",   848,"","","","pannean 'Moorbruch'",""
   387,"*pāp-ā̂","",   853,"","{ pōpà 'Wehweh'}","","",""
   388,"*put-ā̂ f.","foam",   858,"","putà, pl. pùtōs 'Schaum'","putas, putes pl. `Schaum'","",""
   389,"*pan-ā̂ f.","fire",   859,"","","","panno `Feuer' V. 33",""
   390,"*peuč-iā̃ f., *puč-i- c.","pine",   860,"","pušì-s `Kiefer, Fichte'","","peuse `Kynbom' (= `Kiefer') V. 597",""
   391,"*pek-u n.","small cattle",   862,"pẽku-s '(Klein)vieh","pẽku-s dial. `(Klein)vieh'","","pecku, peckan acc. `Vieh'",""
   392,"*pet-ia- c., *pet-iā̃ f.","shoulder",   864,"","petī̃-s, gen. pẽčiō (and petì-s, gen. -iẽs), pl. pečiaĩ `Schulter, Achsel'","","pette `Schulter' V. 104, pettis `Schulterblatt' V. 106, [falschlich geschr. pectis] `Ofenschaufel' V. 332",""
   393,"*spar̃-n-a- c., -ā̂ f.","wing",   865,"","spar̃na-s `Flügel (eines Vögels und allgemein, z. B. der Tür), Schaufel, Blatt', dial. pl. sparnaĩ `Schere am Spinnrad, an beiden Armen der Spulen'","spā̀rns, spārna `Flügel, Fittich'","",""
   394,"*papar̂t-i-/*papar̃t-i-, *papar̂d-iā̃, -ā̂ f., -i-, -ia- (2) c.","fern",   866,"","papárti-s, papar̃ti-s (-čiō), papartī̃-s `Farn(kraut)'","papar̂de, paparda, papards (gen. -s), papardis (etc.) `Farnkraut'","",""
   395,"*pō̂d-a- (2) c.","vessel",   867,"","púoda-s `Topf'","puôds `Topf'","",""
   396,"*pē̂d-ā̂ (2) f., pē̂d-a- (2) c., *pēd-jā̂ f., *pē̂d-iā̃ f., *pad-a- c., *pad-ja- c.","foot",   868,"","pēdà, dial. pēda-s `Fuss, Fusssohle, -spur; Fuss als Längenmass, Fussbreit', pēdžià `Gabelholz, gabelförmige Stütze bzw. Krücke, Stelze, kleines Gestell, kleiner Ständer', pḗdžia `gabelförmige Stütze bzw. Krücke, Stelze', pl. pḗdžiōs `Gestell, Ständer', pḗdē, pēdē̃ `= pēdžià; Sandale, Schnürsohle, Achsnagel, Lünse'; pãda-s `Fuss-, Schuhsole, Schienenfuss, Dreschboden, Dreschtenne, Ofen, Herd'; pãdžiai Untergestell einer Tonne, lengva-pėdis leisfüssig'","pę̂da `Fusssohle; Fussstapfe, Spur; Fuss, Schuh als Längenmass', pę̂ds `Fussstapfe, Spur', adv. pêdis `hinterher, nachher'; pads `Estrich'","",""
   397,"*pint-[i]- m.","way",   870,"","","","pintis 'Weg'",""
   398,"*slē̃(d)-n-a-, *sled-n-u- adj., *slē̂(d)-n-iā̃ f. (2), *slē̂(d)-sn-a- adj. (1), *sle(d)-sn-a- adj.","flat, low; valley",   872,"","slē̃dna-, slednù- 'abträgig, nicht steil, flach; leicht abfallend (vom Gelände), sanft ansteigend'; slēnī̃-s, slē̃ni-s 'tiefgelegene Stelle (im Gelände) ohne Abfluss; Talboden, -grund, Senke, Niederung; Tal'; slẽsna- 'flach'; slē̃sna- ds.; niedrig gelegen, abfallend, schräg'","slêne 'Wiesenstreifen zwischen Wäldern, (feuchte) Niederung in Feldern', slę̀ns\H2\h lauks 'niedrig gelegenes, nasses Feld'; slę̄sns 'niedrig gelegen; feucht, einschliessend', slęsns (Selsau) 'flach'","",""
   399,"*per̃kū̂n-a-, *per̃kō̂n-a-, *per̃kaũn-a- m.","thunder, thunder-god",   877,"","perkū́na-s 'Donner, Blitzschlag; Donnergott'","pḕrkuôns, pḕrkuonis, pḕrkàunis, pę̄̀rkauns 'Donner; Donnergott'","percunis `Donner' V. 50",""
   400,"*pra=perč-ā̂ f., =parč-ā̂ f., =parč-a- c., =perč-ia- c.","grave, hole in ice",   882,"praparša-s `Graben' (Szyrwid)","praperšà, prãperši-s, praparšà 'nicht zugefrorene Stelle auf einem sonst zugefrorenen Fluss bzw. See'","","",""
   401,"*pir̃č-n-i- c., *pir̃č-t-i- c.","live coals",   883,"","pirkšnì-s, gen. -iẽs `glühende Aschenflocke', pl. pir̃kšnīs `glühende Asche'","pìrkstis pl., pirkstes, pirksti `glühende Funken in der Asche, Glut in der Asche, glühende Asche'","",""
   402,"*per̂g-a-/*per̃g-a- c.","dug-out",   884,"","pérga-s, per̃ga-s `Einbaum, Nachen, aus einem ausgehöhlten Baumstamm hergestellter Fischerkahn'","","",""
   403,"*pur̂d-ul-ia- (1) c.","snivel",   888,"","","pur̃dulis `Nasenschleim'","",""
   404,"*pil-i- c., *pil-iā̃ f.","castle",   890,"","pilì-s, gen. -iẽs, dial. pìli-s, gen. -ies, žem. pìlē f. `Burg, Schloss'","pils (gen. -s) `Schloss, Burg; Stadt'","",""
   405,"*pel̃n-a- c., *peln-jā̂ f., *pel̃n-ī̂- vb.","booty, loon",   891,"","pel̃na-s 'Gewinn, Nutzen, Ertrag, Erlös, Verdienst', pelnī́ti 'verdienen, gewinnen'","pęl̂ns\H2\h, pel̨n̨a 'Verdienst, Gewinn', pèlnît (-u/-ĩju, -ĩju)'verdienen, gewinnen, verschulden'","",""
   406,"*pel-ē̂k-a- (2) adj.","grey",   892,"","pelḗka- `mäusegrau, mäusefahl'","pęlę̂ks, Dond., Schlenk pel[i]ks `grau, aschfarbig, mausfärbig, pelêcis `etwas Graues'","","Cf. 48 (В. Ч.)"
   407,"*pal̃w-a- adj.","pallid",   893,"","pal̃va- `fahl, bleich, blassgelb'","","",""
   408,"*pal-ā̂ f., -ia- c.","marsh",   894,"","pãliōs pl. 'grosser Sumf, Moor'","pa[l̨]as, pal̨i pl. 'sumpfige Ufer eines Sees'","",""
   409,"*plē-n-i- c., *plē-n-iā̃ f.","film",   896,"","plēnē̃, dial. plēnì-s `dünnes Häutchen, Membrane, Regenbogenhaut, Iris, dünne Scheibe'","plēne `dünne Schicht'","pleynis `Hirnfell' V. 75",""
   410,"*pel(t)k= ?","coat",   897,"","","","pelkis V. 475 'Mantel'",""
   411,"*pel-u-, *pel-a- c., *pelw-ā̂, *pelaw-ā̂ f., *spal̂w-ā̂ (1), *spilw-ā̂","chaff, down",   898,"","pẽlūs, pelaĩ pl.`Spreu', pẽla-s `Spreublatt'; spalva 'Farbe' ME III: 983","pęlus, pę̀lvas\H2\h pl., pel̨ava `Spreu, Kaff' || spal̃va `Feder; gefieder der Vögel, Federkrohne von Pflanzen; Haar von Vierfüsslern; Farbe von Haares von Tieren', spil̃va, spìlva, spil̂va `was sich elastisch hebt; Teichgras, Wollgras (Eriophorum); Samenwolle; Flocken; Haferspelze; feine, weisse, im Winde flatternde Birkenrinde; die sogenennte Seele in der Federpose; Hopfentrauben', spìlvens, spil̂vęns\H2\h, spìlv[a]ns, spìlvenis `Kissen, Bettkissen'","pelwo `Spreu' V. 279",""
   412,"*pel-en-a- c., *pel-en-iā̃ f., *pel-an-ā̂ f., *pel̃-n-a- c.; *plē̂-n-i- c., *plē̂-n-iā̃ (if AC, 1/2) f.,  *pleî-n-iā̃ (1) f., *plei-n-ia- c.","ashes, dust",   899,"","pẽlenēs pl. `offener (Feuer)herd, Aschengrube, -loch, -stäubchen',  pl. pelenaĩ `Ashe'; plḗni-s, gen. -ies, dial. plēnē̃, pléinē `Stäubchen, Flugasche', pl. plḗnīs, plḗniai `Flug-, Loder-, Flockasche'","pęlns `Herd', pl. pę̀lni `Asche'; plẽne (plêne Dond., Lautb., Gr.-Buschhof) `weisse Asche auf Kohlen; Schneeflocke', pl. plẽnes `Flockasche'; plienis, pliẽnes pl., pliene `Flockasche'","pelanne f. `Ashe' V. 37, { pelanno 'Herd'}, plieynis `Staubasche' V. 38",""
   413,"*pī̂zd-ā̂ (1/2), *peizd-ā̂ f.","vulva, anus",   910,"","pīzdà, dial. pīzà, pìzē, pĩzinē `weibliche Scham'","pĩzda 'weibliche Scham; gemeines Schimpwort, das altes Weib, Memme bedeuten soll'","peisda `Arsch' Grunau 36",""
   414,"*pik-a- c., *pik-ā̂ f.","clod",   911,"","","piks, pika 'Klumpen, Kloss', ikas pl. 'Speise aus gestossenen Erbsen und Kartoffeln'","",""
   415,"*peîw-ā̂ (1) f.","meadow",   914,"","píeva `Wiese'","","",""
   416,"*pik-i- (2) c.","pitch",   916,"","pìki-s `Pech'","","","[possibly from ostrpr. pick, pek `Pech']"
   417,"*put-n-a-, -ia- c., *put-ī̂t-ia- c.; *paũč-t-i- c., *paũč-t-iā̃ f.","bird",  2023,"","putī́tis `Küchlein'; paũkšti-s, dial. paũkštē, paũštē `Vogel'","putns, putnis `Vogel'","",""
   418,"*čečēl-","shadow",  3208,"","šešḗlis, šešuolis","","",""
   419,"*pat-i- m., *pat-ī f., *pat-jā f.","master; self",   921,"","pát-s, älter patìs [старая консонантная основа] `selbst; Gatte, Gemahl', fem. pati, älter vieš-patni; viẽš-pats `(Gott) der Herr; (souveräner) Herr, Herrscher'; pàts 'selbst'","pats `selbst; Ehemann, Gatte, Wirt, Herr', fem. pati, pate, paša 'Gattin, Wirtin, Herrin'","pattiniskun `Ehe' Kat. 5:14",""
   420,"*par̃č-a- c.","pig, hog",   922,"","par̃ša-s `Ferkel, verschnittenes männliches Schwein'","","parstian [überl. prastian] `Ferkel' V. 686",""
   421,"*pū̃l-ia- c., *pūl-iā̃, *pūl-ō̂- vb.","heap",   924,"","","pùlis, pūle 'Haufe, Menge; Nest; Strichregen'; pūl̨i pl. 'Regenwolken'; pūl̨uôtiês 'sich vermehren, sich sammeln'","",""
   422,"*pan̂g-ā̂ f. (1), *pan̂g-a- (1) c.","button",   925,"","","puõga, puõgs 'Knopf; Schelle; Gewicht bei einr kleinen Wage; Samenkapsel des Flachses, Hopfenköpfchen'","",""
   423,"*paũt-a- (2) c.","egg, testicle",   926,"","paũta-s `Ei, Hode'","pàuts `Ei; Hode'","pawtte `Eier' Grunau 74",""
   424,"*pū̃p-ōl-a- c., *pū̂p-ō̂l-iā̃ f.; *pup-a- c., *pup-ā̂ f., *pup-el-iā̃ f., *pupu-ur-a- c., -ō̂l-iā̃ f., -ul-iac.","bean, etc.",   927,"","pupà 'Bohne'; pupẽlē `Bohne, Gartenbohne, Fasole, gemeiner Nelkenwurz'; pùpura-s `kleines Pickelchen (z. B. bei Gänsehaut)', pū́puolē, pùpuolē `dicke Knospe, aufgegangene Blütenknospe'","pups 'Weiber-, Mutterbrust, Zitzr'; pupa `Bohne'; pupurs, pupuris `Knospe; Knirps', pùpuõls, pùpuôls, pùpuõlis, pùpuls\H2\h, pûpulis\H2\h `Weidenkätzchen', pupulis `dickere Stelle im Garn'","",""
   425,"*pū̃r-a-, -ia- c.","a k. of cereals",   930,"","pū̃ra-s `Einzelkorn von Winterweizen', pl. pūraĩ `Winterweizen'","pûr̨i\H2\h (Kr. pû[r]i) pl. `Winterweizen'","pure `Trespe' V. 273",""
   426,"*kum̂st-iā̃ f.","fist",   932,"","kùmstē, kùmštē `Faust'","","",""
   427,"*prā̃t-a- c.; *prat- vb. intr.","learn, understand",   938,"","pràsti (prañta) `sich gewöhnen, verstehen, begreifen, (er)kennen, wissen', prõtas `Vernunft, Verstand, Geist, Intellekt'","prast (prùotu, pratu) `verstehen, begreifen, merken', pràts `Verstand, Sinn, Wille, Gesinnung, Meinung, Gemüt'","prātin acc. `Rat'; issprestun `verstehen', ispresnān `Vernunft, Verstand', isspressenien `Vernunft', ispressennien, issprettīngi `nämlich', poprestemmai `(wir) gühlen'",""
   428,"*preĩsk-a- adj.","fresh",   940,"","{ priẽska- 'ungesäuert' }","","",""
   429,"*sprâk(t)-l-iā̃ f. (1)","buttocks, male genitalia",   941,"","","sprãkle 'Hintere, die Geschlechtsteile am menschlichen Körper'","",""
   430,"*plaũt-a-, -i- c., -iā̃ f., *pleũt-a- c.","shelf, bench",   943,"","plaũta-s, pliaũta-s `Liegerbrett im Dampfbad, Seitenbrett im Ruderboot, Steg am Bienenstock', pl. plautaĩ `Pritsche, Schlafstelle (in der Bauernstube)'","plàuts\H2\h, plauts (gen. -s), plaute `Wandbrett, Regal'","",""
   431,"*plā̂-n-a- (2) adj., *plā̂-n-a- (1) c., *pla-n-a- c.; *plā-k-a- c., *plā̂k-s-t-ja- adj., *plā̂-k-an-a- (1) adj., *plak- vb. intr., *pla-k-an-a- adj., *plā̃k-iā̃ f.; *pla-d-iā̃ f.","flat, even",   944,"","plṓna- `dünn, fein, schlank, zart, hoch (von der Stimme)'; plãna-s `Tenne' || plṓkščia- `flach, platt', plãštaka, dial. plaštak̀a, plãšteka `Handfläche, gespreizte, flache Hand, Handbreite, Spanne, breites Ende eines Gegenstandes, Blatt am Ruder, am Spaten, an der Schaufel; plōka-s (Ness aus Brodowski) `Estrich'","plā̂ns `flach, eben; dünn, schwach; dünn, undicht; flüsig', plãns `von Lehm festgeschlagene oder steinerne Diele, harter Boden; Tenne' || plakt (plùoku, plaku) `flach werden, platt niederfallen, zusammenfallen, weniger werden', plaka `niedrig gelegene Stelle, Tal; Kuhfladen', plaku plakām `platt auf der Erde'; plãkans, plakans `platt, flach (von Tellern und Schüseln)', plàce, plâcis\H2\h (/ plãcis Neuenb.) `Schulterblatt, Überachse, Klotz oberhalb der Wagenachse, worin die Seitenstütze des Wagens steht; Holz über er Handmühle, darin das Triebholz läuft; junge Schote' || plade `Fladen; Mutterkuchen bei der Nachgeburt', plads 'Fladen'","plonis 'Tenne'",""
   432,"*plei-n-iā̃ f. *pleî-n-ia- (1) c., *plī̂-n-a- adj.","flat",   945,"","pleĩnē `weit ausgedehnte, baumlose Fläche', plī́nas `glatt, eben und kahl, flach und baumlos, wüst, öde'","plienes, pliẽn̨i pl. `platte Kalksteine, Kalkschiefer, Schiefersteine'","",""
   433,"*plaũt-ia- c., -iā̃ f.","lungs",   946,"","plaũčiai pl. t. `Lungen'","plàušas, plàuši, plaûkšas\H2\h, plaukši pl. `Lunge'","plauti pl. `Lungen' V. 126",""
   434,"*plaũš-a- c., *plaũš-ā̂ f., *plū̂š-n-ā̂ (1) f., *pluš-n-ā̂, *pluš-k-ā̂","bast, fibre",   947,"","plaũša-s, plaušà '(Bast)fader, Lindenbast'; pl. t. plùskōs `Haarzotte, dicke Haare, laub- bzw. nadelreiche Zweige'; plùksna, dial. (Memel, žem.) plū́sna, plū́ksna `Feder'","plàuskas\H2\h pl. 'Schinn, Schelfer'; pl. plũksnas (/ plûksnas\H2\h), plūksnes, plūksni `Charpie, Abfall von Flachs, Hede; feine Federn der Vögel; weisse, im Winde flatternde Birkenrinde'; pluska 'Zotte, Fetzrn, Lumpen', plušk̨is 'ausgerauter Büschel Wolle; zottiges Tier, nam ein solcher Käter'","",""
   435,"*rā̂p-iā̃ (1) f.","turnip",   948,"","rṓpē `(weisse) Rübe (Brassica rapa)', dial. 'Kartoffel'","","",""
   436,"*reiw-iā̃, *raiw-iā̃ f., *raîw-ā̂ f. (1/2)","furrow, groove, scar",   950,"","raivē̃, rievē̃, reivē̃ `Rille, Riefe, Streif, Strieme', rievē̃ 'Stich, Saum, Spur, Fährte, Jahresring am Baum',","riêva, riẽva, \H\h\H\hriêve, \H\h*riẽve (rìeve\H2\h) `Vertiefung, Runzel, Falte, Furche, Schramme, Narbe, Ritze im Holz, Birkenmaser'","",""
   437,"*er̂k-iā̃ (1) f.","tick",   951,"","érkē, árkē `Milbe, Zecke, Holzbock'","ẽrce `Kuhmilbe, Buschlaus, Holzbock, Zecke'","",""
   438,"*ur̂w-a-/*ur̂w-a- (2?) c.","hole",   953,"","ur̃va-s, ùrva-s (pl. ùrvai, urvaĩ), ùrva `Höhle, Loch in der Erde, Schlupfwinkel, -loch'","ur̂va\H2\h `Loch, Höhle (in der Erde)'","",""
   439,"*raûg-a- (2) c., *raug-ā̂- f., *raûg- (-ja-) (2) vb. tr., *rū̂g- vb. intr., *raûg-ē̂- (2) vb. tr.","sour (adj.)",   954,"","rū́gti, -sta `sauer w., gären', ráuga-s `Sauermilch', rū́kšta- `sauer'","raûgs, rauga 'Hefe, Oberhefe, Sauerteig; Beize der Gerber, Gerberlohe'; raûgt (-dzu) Gr.-Buschof 'eindsäuern'; raûdzêt (-ẽju)`säuern', rûgt (-gstu, -gu) 'säuern, aufgehen, gären; aufsteigen (vom Rauch), rauchen'","ructan dadan `saure Milch', raugus `Lab'",""
   440,"*rub-en-ia- c.","grouse",   956,"","","rubenis, rubins, f. rubeniene, rube(s)nīca 'Birkhuhn (Tetrao terix L.)'","",""
   441,"*jer(u)b-iā̃, ir̂b-iā̃ f. (1)","grouse",   957,"","jerubē̃, jerū̃bē, íerbē, ìrbē, jerbē̃, dial. (j)ãrubē, jeru(m)bē̃ 'Yasekhuhn'","ir̃be, dial. jirbe, i[r]ube, ierube, virba 'Feldhuhn, Ackerhuhn'","",""
   442,"*rat-a- (1) c.","wheel",   962,"","rãtas, `Rad, Kreis(ring), pl. rãtai `Wagen'","rats `Rad', pl. rati `Räder; Wagen'","",""
   443,"*rē̃p- vb. tr., *rē̂p-l-jā̂-, *rē̂p-l-in- vb., *rep-et-ā̂; *rā̂p-/*rā̃p- (1) vb. intr., *rā̂p-ā̂- (1) vb., rā̂p-u- (1) adj.","crawl",   963,"","rēpliṓti, rḗplinti, rēpenti `(herun)kriechen, -krabbeln, langsam und schwerlich umhergehen, sich mühsam schleppen, sich langsam fortbewegen'; rẽpeta `Krummbeiniger, der sich langsam fortbewegt', repetī̃-s `wer auf allen Vieren kriecht', rē̃ptis (repiúos, rēpiaũs) `*auf einen Baum) hinaufklettern'; dial. rōpṓti, rōplṓti `(umher)kriechen', rōpu stōvēti `sich in Kriechlage befinden', rōpu eiti `kriechend gehen'","rãpât (-ãju), rãpuôt, rãpêtiês, rãpt, rãptiês [/ ràpt(iês)\H2\h, râpt(iês)\H2\h] (-pju/-pstu, -pu), rãpačât (-ãju), rãpačuõt `kriechen, auf allen Vieren gehen', rãpu, rãpus adv. `kriechend'","rīpaiti `folget!' Ench. 57:4, ptc. prs. act. rīpintin Ench. 53:31, serrīpimai `wir erfahren' Ench. 71:2",""
   444,"*rug-i- c., *rug-ia- c.","rye",   967,"","rugī̃s `Roggen(korn bzw. -halm), pl. rugiaĩ `Roggen'","rudzis (pl. rudzi, gen. rudza, dat. rudzam) `Roggenkorn od. einzelnes Roggenpflänzchen', pl. 'Roggen (Secale secale L.)'","rugis V. 258, ruggis Grunau 8 `Roggen'",""
   445,"*snap-a- c., -ia- c.","beak",   968,"","snãpa-s 'Schnabel (bei Vögeln)', Tülle, Ausguss, Mützenschirm', snapẽli- s 'Tülle, Ausguss, Rüssel, Mützenschirm', snaplī̃-s 'Schnabel, rote herabhängende Lappen des Truthahns'","snaps 'Schnabel'","",""
   446,"*šalw-i- c., *šalw-a- c., -ia- c.","trout",   971,"","šalvì-s 'Forelle, Salmo fario', šalva-s, šalvi-s 'Äsche, Salmo thymallus'","","",""
   447,"*sper-g-l=, *spur-g-l=","sparrow",   973,"","","","spurglis `Sperling' V. 738, sperglawanagis `Sperber (ястреб-перепелятник)' V. 714",""
   448,"*pī̆k-l-iā̃ f.","a k. of bird",   975,"","","","picle `Krammetsvogel'",""
   449,"*ster̃k-a-, *star̃k-a-, -u- m.","stork",   976,"","ster̃ku-s 'Storch', ostlit. star̃ka-s 'Storch', star̃ku-s 'ds.'","stārka, stãrks 'Storch'","","According to Fraenkel - from German or Russian, in a complicated way."
   450,"*saûl-iā̃ (1) f.","sun",   982,"","sáulē `Sonne'","saũle `Sonne'","saule `Sonne' V. 7",""
   451,"*saũs-a- adj., *saũs-ē̂-, *saũs- vb. intr., *sus-a- adj., *sus- vb. intr.","dry",   983,"","saũsa- `trocken, dürr, verdorrt, mager';  sausḗti, saũsti `trocknen, trockn(er) werden, verdorren',  sùsa-s `Krätze, Aussatz (проказа)', sùsti `räudig werden, Ausschlag bekommen, abmagern'","sàus-s `trocken, dürr, nüchtern', sàusêt, saust `trocknen (tr.), trocken werden (intr.)'; sust (susu) `dürr, trocken werden';","sausā acc.",""
   452,"*sag-iā̃, *sag-s-t=, *seg-en-iā̃ f.","cover",   985,"","sãgē `Umschlagetuch, Überwurf'","segt (sędzu/sęgu, sedzu) 'decken, hüllen, bedecken, auf-, überdecken ', sęga, sęgs 'leinene Decke, wollene Nachtdecke; Decke'; sagša `wollenes Umschlagetuch, Hülle, Decke der Frauen, Bettdecke, wollene Nachtdecke'; sedzene 'Umschlagetuch'","saxtis 'Rinde'",""
   453,"*sal̂- vb. intr., *sal-jā̂ f., *iñ-sal-a- c., *sal̂-d-u- (2) adj., *sal-i-, *sā̃l-i- c.","sweet, salt",   988,"","sṓlīma-s (Kvēdarna) `Salzlake'; sálti `süss werden, einen süsslichen, faden Geschmack bekommen', dial. salià `Süssigkeit', į̃sala-s `id.'; saldù- `süss (vom Geschmack)'","sā̀ls (gen. -s) f./m., sâle\H2\h `Salz'; ìesals `Malz'; sal̂ds `süss'","sal 'Salz'",""
   454,"","",     0,"","","","",""
   455,"*swaîn-ia- (1/2) m., -iā̃ (1/2) f.","wife's brother, wife's sister's husband",   992,"","sváini-s `Mann der Schwester der Frau', sváinē `Schwester der Frau, Schwägerin, Frau des Bruders'","svaĩnis, svaînis `Bruder der Frau, Mann der Schwester der Frau, Schwager', svaîne (/ svaĩne Nigr.) `Schwester der Frau'","",""
   456,"*sī̂w-a- (1) c., *sīw-iā̃ f.","juice",   993,"sī́va-s `Saft; Sirup, Junghonig'","sī́va-s (dial.) `Saft; Sirup, Junghonig';","sìvs\H2\h, sìve\H2\h `Mistjauche', sĩvs 'Öl, das sich beim Handstossen bildet'","",""
   457,"*seĩk-a-, *saĩk-a-, *sī̃k-a- c., *seîk-s-n-ia- c.","vessel, basket",   995,"","sī̃ka-s `Mass'; saĩka-s `Hohlmass', síeka-s`(Hohl)mass, Metze (= 6 Garnetz); Saatkorb'; siéksni-s `Faden, Klafter, Spannweite der gestreckten Arme'","sìeks `Külmit (Getreidemass -- dial. 1/3 Lof, 1/4 Lof, 1/6 Lof)'","",""
   458,"*sul-ā̂ f., -iā̃ f.","juice, whey",   997,"","sulà `Birkenwasser, -saft; fliessender Saft'","sula, sule `eine sich absorbernde Flüssigkeit, wie Saft von Bäumen, Birkenwasser'","sulo `Matte' (= geronnene Milch) V. 693.",""
   459,"*sū̂-n-u- (2) m.","son",   999,"","sūnù-s `Sohn'","","soūns `Sohn'",""
   460,"*saug-ā̂ f., *saug-u- adj., *saug-iā̃ f., *saug-ē̂- (1) vb.","safe",  1001,"","saugà `Sicherkeit, Behütung', saugù- `sicher, von Gefahr geschützt, ungefährdet; wachsam, behutsam'","saũdzêt, sàudzêt (/ saûdzêt Saikava) (-u/-ẽju, -ẽju) `in acht nehmen, schonen, aufbewahren', saudze `Schonung, Schutz, Pflege'","",""
