"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
1014,"*sing'h-",1087,"lion, leopard","зверек (лев, леопард)",   0,"","siṃhá- m. `lion'","","","inǯ (u-St.) `Pardel, Leopard'","","",     0,"",     0,"",     0,"","","","","A śiśäk, B ṣecake (PT *ṣēnśäke) 'lion' (Adams 660)","WP II 508","An arial word, dubious as a PIE form."
1015,"*salw-/-o-, *slōw-", 661,"safe, healthy","целый, здоровый (2 корня ?)",1819,"(?) salli- 'big'","sárva- `whole, entire, all'; sárvata- `all-sided', sarváthā `in every way'","haurva- `unversehrt, ganz';  haurvatāt- `Ganzheit, Vollkommenheit, Wohlfahrt'","OPers haruva- `unversehrt, ganz'","olǯ `gesund, ganz, vollständig', lav `besser'","att. hólo-, ep., ion. ọ̄̂lo- `vollständig, ganz'; lōíōn, att. lṓi̯ōn `vorzüglich(er), zuträglich(er), erwünscht, besser'","comp. *sūlējь `besser' [differ. in Vasmer]", 13608,"",     0,"",     0,"salvus, -a `wohlbehalten, heil, gesund, gerettet', salūs, -ūtis f. `Unverletztheit, Gesundheit'; solidus, -a `gediegen, echt, fest, unerschütterlich, ganz', solōx, -ōcis `dicht, filzig', sollus, -a `tōtus', sollemnis `alljährlich wiederkehrend'; sollers, -tis `ganz kunstbegabt, geschickt erfinderisch, verschlagen'","Osk salavs `salvus ~ Salvus'; Paelign Salavatur `Salvātor'; Umbr saluvom, salvom `salvum'"," OIr slān `heil, gesund, ganz, voll'","i gjallë `im Leben, lebendig'","A salu `ganz', B solme","WP II 510 f",""
1016,"*sūr-", 662,"sour (milk)","кислое (молоко)",1913,"","","","","","","*sɨ̄rъ(jь), *sɨ̄́rъ", 13757,"*sū̂r-a- (1) adj., *sū̂r-u- adj., *sūr-ā̂ f., *sū̂r-ia- c.",   466,"*sūr-a- adj.; *sūr-iōn-, -īn- f.",   675,"","","","","","WP II 513 f",""
1017,"*syāu-r- (~ -ōu-)", 335,"wife's brother","шурин",1709,"","syālá- m. `brother of a bride, wife's brother'","","","","","*šūrъ, *šūrīnъ", 17678,"",     0,"",     0,"","","","","","WP II 514 f",""
1018,"*swokʷ-", 548,"juice, pitch, tar","сок, смола (живица)",   0,"","","","","","opó-s m. `Pflanzensaft', insbes. `der Saft des Feigenbaums, der zum Gerinnen der Milch gebraucht wurde, Feigenlab'","*sòkъ", 13068,"*sak-a- m., *sak-ā̂ f., *swak-ā̂ f., -a- c, *swek-a- c.",   467,"",     0,"","","","ǵak Blut","A saku, B sekwe (PT *sekwe) 'pus' (Adams 698)","WP II 515 f",""
1019,"*swād-(u)-", 901,"sweet; to persuade","сладкий; услаждать, уговаривать",1916,"","svādú-, f. svādvī́ `sweet, pleasant, agreeable'; svádate, svádati `to taste well; to enjoy, like'; svādati, -te `to taste, relish, enjoy';  svāttá- `seasoned, spiced'; svāda- m. `taste, flavour, savour'","xʷāsta- `durch Kochen gar gemacht, gekocht'; xʷanda-kara- `gefällig', Pashto xwand `Wohlgeschmack, Vergnügen'","(?) Kurd. χwe, Bal. vād (*χʷāda) 'salt'","","hǟdǘ-, el. wadü-s `süss, wohlschmeckend, angenehm, erfreulich'; hǟ́domai̯, aor. hǟsthē̂nai̯, ft. aor. hǟsthḗsomai̯, aor. med. hǟ́sato `sich freuen, sich ergötzen', hǟ̂dos n. `Freude, Vergnügen'; { hom. aǟdḗsei̯e, ādēkótes `bin verdrossen', lokr. wewadēkóta (a ~ ā) }; handánō, aor. hadẹ̄̂n, ep., aeol. éu̯adon, pf. éǟda `gefallen'; au̯thā́dēs `selbstfällig, anmassend'","",     0,"*sū̂d-ī̂- vb.",   468,"*swōt-u-, *swōt-i-, *sut-i- adj.",   676,"suāvis, -e `süss, angenehm, lieblich, reizend'; suādeō, suāsī, -sum, suādēre `raten, geben Rat'","","Gaul Suadu-rix, -genus","","A swār, B swāre (PT *swāre) 'sweet' (Adams 725)","WP II 516 f",""
1020,"*swīd-",1274,"sweat; to sweat","пот; литься (о поте)",1921,"","svéda- m. `sweat, perspiration'; svidyati, svedate `to sweat, perspire'","xvaēda- 'Schweiss'","","khirt-n, gen. -an `Schweiss' (< *swidro-m)","ī̂dos n. `Schweiss; Hitze'; hom. īdíō, aor. īdī̂sai̯ `schwitzen'; hīdrṓs, gen. -ō̂tos, ep. dat. -ō̂i̯, acc. -ō̂ m./f. `Schweiss'","",     0,"*sweîd-r-a- (2) c., *swī̂d- (2) vb. intr.",   469,"*swait-a- m., n., *swait-an- m.; *swit-ja- vb.",   677,"sūdor, gen. -ōris m. `Schweiss', sūdāre `schwitzen'","","Cymr. chwys, Corn whys, Bret c'houez `Schweiss'","dirsë `Schweiss'","B syā- 'to sweat', syelme 'sweat' (Adams 721)","WP II 521",""
1021,"*swek'ur-",   0,"husband's father","свекор",1924,"","śváśura- m. `father-in-law, husband's or wife's father', śvaśrū́- f. `mother-in-law'","xvasura- m. 'Schwiegervater'","","skesur `Schwiegermutter', skesrair `Schwiegervater'","heküró-s m. `Vater des Ehemannes, Schwiegervater', hekürǟ́ f. `Mutter des Ehemanns, Schwiegermutter'","*svek(ъ)rъ; *svek(ъ)rɨ̄, -ъve", 12305,"*šečur-a- m.",   470,"*swíxr-a- m., *swigr-ṓ f., *swíxr-ōn- f., *swíxr-an- m.; *swēgr-á- m.",   678,"socer (/socerus), gen. -erī  `Schwiegervater', pl. socerī `Schwiegereltern'; socrus,  gen. -ūs f. `Schwiegermutter'","","Cymr chwegr, Corn hweger `Schwiegermutter'","vjehɛr̄, vjer̄ Schwiegervater, vjéher̄ɛ Schwiegermutter","","WP II 521 f",""
1022,"*swAnk-", 582,"heavy","тяжелый",1937,"","","","","","","",     0,"*suñk-u- adj., *suñk- vb. intr.",   471,"*swang-r-a- adj.",   679,"","","","","","WP II 525",""
1023,"*swer-",1159,"stick (thin, long)","палка (тонкая длинная)",1943,"surki- 'root' (?)","sváru- m. `a large piece of wood cut from the trunk of a tree, stake'","","","","","",     0,"",     0,"*swir-ō f., *swir-a- m., *swir-jan- m.",   680,"surus, -ī m. 'Zweig, Spross, Pfahl'","","","","","WP II 528",""
1024,"*aus-",   0,"to draw","черпать", 148,"","","","","","ep. aph-ǘō `schöpfe', { eks-áu̯ō `schöpfe, entnehme' }","",     0,"",     0,"*áus-a- vb.",   681,"hauriō, -īre, hausī, haustum `schöpfen, schöpfen aus, kosten'","","","","","WP I 27 f",""
1025,"*swol-",1959,"sole","подошва",1929,"","","","","Arm khail `Schritt, Tritt, Fuss'","{ hülíā `Sohle' (Hes.) }","",     0,"",     0,"",     0,"solea f. `Sandale; Hufschutz bei Zugtieren; Fussfessel', solum, -ī n. `Boden, Sohle'","","MIr fol.i.bond, acc. folaig, pl. solaig `Fusssohle', OIr pl. dat. iar-snaib soilgib gl. zu "post aetates  primae  crepundia" = "nach den Grundlagen"","","","WP II 532",""
1026,"*swel-",   0,"brother-in-law","свояк",1931,"","","","","","pl. aélio-i̯ `женатые на сестрах' (Hes.), ái̯lio-i̯ `id. (sǘŋgambroi)' (Hes.)","",     0,"",     0,"*swil-a- m.",   682,"","","","","","WP II 533",""
1027,"*swepl-",   0,"sulphur","сера",1932,"","","","","","","",     0,"",     0,"*swibl-á-m, *swa[b]l-a- m.",   683,"sulpur, -uris n. `Schwefel'","","","","? A, B sälp- 'be set alight, blaze up, burn' (Adams 689)","WP II 533",""
1028,"*swes-er-", 331,"sister","сестра",1948,"","svásar- f. `sister'","xvaŋhar- 'Schwester'","","khoir, pl. khorkh `Schwester'","éor `дочь, двоюродная сестра' (Hes.); pl. éores = prosḗkontes, süŋgenêis (Hes.)","*sestrā́", 12528,"*ses-ō̃ (-er-), *swes-r-ā̂ f.",   472,"*swistēr f.; *swiz-já- m.",   684,"soror, -ōris f. `Schwester'; sobrīnus, -a `zur Schwester gehörig; Geschwisterkind', sobrīna f. `Kusine'","","OIr siur, acc. sïeir, gen. sethar, dat. sïeir; Cymr chwaer, OCorn huir, NCorn hoer, hor, Bret c'hoar `Schwester'","","A ṣar, B ṣer (PT *(ṣä)ṣer) 'sister' (Adams 661)","WP II 533 F",""
1029,"*swombh-",   0,"sponge, tree-fungus; swamp","растение (губка, губчатый гриб); мокрое место",   0,"","","","","","somphó- `schwammig, locker, porös'","",     0,"",     0,"*swamm-a- m., *swamp-u- c., *sump-u- c.",   685,"","","","","","WP II 534 f",""
1030,"*sword-",1271,"black, dirty","черный, грязный",1951,"","","","","","","",     0,"",     0,"*swart-a- adj., *surt-ōn- f., -an- m.",   686,"sordēre `schmutzig sein', sordidus, -a `schmutzig, gering, geizig', sordēs, gen. -is f. `Schmutz, Unflat; Unglück, Erniedrigung'","","","","","WP II 535",""
1031,"*(s)kaur- (-kh-)",   0,"lame, clumsy","хромой, косолапый",   0,"","khora- `limping, lame'","","","","{ skâu̯ro- `mit hervorstehenden Knöcheln' }","",     0,"",     0,"",     0,"scaurus, -ī m. `Klumpfuss'","","","","","WP II 538",""
1032,"*skībh-",   0,"sharp","острый",1720,"","","","","","","",     0,"*skeĩb-/*skeîb- (2) vb. tr., *skī̃b-a- adj.; c.",   473,"*skīb-a-, *skib-ja- adj.",   687,"","","","","","WP II 541 f",""
1033,"*(s)keit-, -d- (kh-)",1725,"shield","щит",   0,"","kheṭa- m. `shield'","","","","","*ščī̃tъ", 17805,"*skait-a- n., *skī̃d-a- c., *skīd-ā̂ f.",   474,"*skild-u- m.",  1680,"scūtum, -ī `Schild'","","OIr scīath `Schild'; Cymr ysgwyd, OBret scoit, NBret skoed `id.'","","","WP II 541 f, 590 f","? -l- (Ind, Germ) as a result of contamination with *keld- 'sword, handle of a sword'."
1034,"*(s)kūp-",   0,"bundle, bush","пучок, куст",   0,"","","","","","","*čūpъ, *čūpā", 16730,"",     0,"*skaub-a- m., n., *skū[b]-a- m., *skub-r-a- m.",   688,"","","","","","WP II 546 f",""
1035,"*s[e]k-",1969,"faeces","дерьмо",1741,"sakar, gen. saknas `Kot, Excrement'","ava-, apa-skara- m. `faeces, ordure'","","","","skō̂r, gen. skatós n. `Kot, Exkrement'","",     0,"",     0,"*sk-ar-n-a- n.",   689,"","","","","","WP II 587 f",""
1036,"*skat(w)-", 289,"darkness","мрак",1761,"","","","","","skóto-s m., skótos n. `Finsternis, Dunkel; Schwindel'","",     0,"",     0,"*skadw-á- m., *skadw-ṓ f., *skadw-iō(n-) f.",   690,"","","OIr scāth `Schatten', MCymr cy-scawd, NCymr cy-sgod, OCorn scod, Bret squeut `id.'","","","WP II 600",""
1037,"*k'sewl-, *k'swel-", 269,"log","бревно",   0,"","","","","","ksǘlo-n n. `Holz, Bau-, Brennholz, Baum, Balken, Stock, Fuss-, Halsblock, Bank, Tisch'","*šūla, *šūljь столб, деревянный сосуд и т. д.", 17645,"*šul-a- m.",   475,"*sūl-ō f., *sūl-ōn- f., *sūl-iō f., *sul-jō f., *swil-jō f., *saul-i- c., *swal-ō f.",   691,"","","","","","WP II 503 f",""
1038,"*ksweid-", 792,"milk, butter","молочный продукт",1922,"","","xšvī̆d- m. 'Milch; flüssige Nahrung überhaupt'","","","","",     0,"*sweîd-(s)t-a-/*sweĩd-(s)t-a- c.",   476,"",     0,"","","","","","WP II 521",""
1039,"*k'wen-",   0,"holy","святой",1071,"","","spənta- 'heilig', spanah- 'Heiligkeit', comp. spanyah- 'heiliger'","","","","*svę̄tъ(jь), *svę̄to", 12367,"*čwin-ē̂- vb.; *čweñt-a- adj., *sweñt- vb. tr., *čweñt-iā̃, *čwint-a- adj.",   477,"*xún-sl-a- n.",   692,"","","","","","WP II 525 f","Cf. *k'oun-."
1040,"*(s)kek-", 832,"hair, head of hair, beard","волосы, шевелюра, борода",   0,"","kaca- m. `hair (esp. of the head)'","","","","","*čekorъ (> Bulg чекор 'Knoten, Knorren, Ast, Zweig') (+ *ščekā)",     0,"*kek-",  1387,"*xag-r-á- n.; *skag-já- n., *skag-jṓ f.",   693,"","","? Cymr ceg 'mouth' ( < *'chin, jaw', like Bret genou, Corn ganow ?)","","A śāku 'hair'","WP II 400 f",""
1041,"*peit-",   0,"meal, food","пища, питать(ся)",   0,"","pitú- m. `juice, drink, food'","pitu- m. `Saft, Trank, Nahrung, Speise'","Oss. fɨd, Ishk. pəδf 'meat'","","","*pītjā, *pītātī, *pītētī, *pītjā;", 10143,"*peĩt-u-, -a- (1)",  1418,"",     0,"","","*hīt- > MIr īth `Talg'; *hit- > OIr ithid `isst', ith `Korn, Getreide'; OCymr it `isst', Cymr yd `isst'","","","WP II 73 f","Possibly derived from *peyə- (although accentologically different in Baltic and vocalically - in Indo-Iranian)."
1042,"*(s)k'ī-",   0,"post","столб", 965,"","","","","siun `Säule'","kī́ōn, -onos m./f. `Säule, Pfeiler'","",     0,"",     0,"*skīj-an- m., *skai-m-ōn- f., *ski-m-ōn- f., *ski-n-ō f., *ski-n-jō(n-) f., *skai-n-ōn- f.",   695,"","","","","","WP I 451",""
1043,"*(s)kol-",   0,"puppy","зверек (щенок)", 883,"","","","","","skǘlak-s, -akos f., m. `junger Hund, Hündchen; junges Tier'; { kǘlla = skǘlaks, Ēleĩoi (Hes.) }","",     0,"*kal-iā̃, *skal-ik-a- c., *skal-ī- vb., *skal-en-ik-a- m.",   479,"",     0,"","","*koligno- > MIr cuilēn; Cymr colwyn, OCorn coloin, Bret kolen `junger Hund'","kelýsh, pl. -ë `young of animals'","","WP I 443 f",""
1044,"*(s)k'oun-",   0,"quick, dashing, beautiful","приятный во всех отношениях",   0,"iskunant- 'fleckig, schmutzig' (Tischler 404)","","","","","","",     0,"*čaũn-a- adj., *čaũn-u-",   480,"*skaun-i- adj., *skun-jō f.",   696,"","","Cymr cun `anziehend, liebenswürdig'; Gaul EN. Counos; OIr  Cuan, cuan-dae `schön, angenehm'","","","WP I 365 f [quite differently in Pok.]",""
1045,"*(s)k'ub-",   0,"shoulder, thigh","плечо/бедро",1060,"","śúpti- f. `shoulder'","supti- 'Schulter'","","","kǘbo-s `Höhlung vor der Hüfte beim Vieh; Wirbelknochen'; { kǘbōlo-n (Poll.) Ellbogen }","",     0,"",     0,"*xup-i- c., *xupt=; *skuf-t-u- c.",   697,"cubitus, -ī m.; cubitum, -ī n. `Ellbogen; Ellenbogengelenk, Unterarm'; cubō 'liegen'","","cymr. gogof 'Höhle', bret. kougoń (*upo-kubā)","sup, pl. -e m. `shoulder, shoulder bone'","","WP I 370 f (somewhat different in Pok. 950)",""
1046,"*(s)k'ēwer-",   0,"cold wind, north (wind), north","северный ветер", 958,"","","","","churt `Kälte, Schauer; kalt'","","*sḗverъ", 12388,"*čeûr-iā̃, *čeûr-a-/*čeũr-a- adj., *čeur-u-; *čǖr-a- adj.",   481,"*skūr-i- c., *skūr-a- m., *skūr-ō f., *skaur-iōn- f., *skiur-a- m., *skiur-ōn- f.",   698,"caurus, -ī m. `Nordwestwind'","","","","","WP I 377",""
1047,"*(s)kʷel-", 311,"crowd, people","толпа, люди",1091,"? kule- n. 'Bezeichnung einer bedeutungsmäßig nicht genau faßbaren staatsrechtlichen Institution; Handwerker, Kleinbürger?' (Tischler 623-624)","kúla- n. `herd, troop, flock, assemblage, race, family'","","","","télos n. `Heeresabteilung, Truppe, militärischer Verband, Geschwader von Schiffen'","*čelę̄dь, *čelovēkъ", 16349,"",     0,"*skul-ō",   699,"","","?? Bret kalz 'many'","","","WP I 517",""
1048,"*(s)kAm-",   0,"short, small","короткий, маленький",1729,"","","kamna- 'wenig, gering'","OPers kamna- 'wenig, gering'","","","",     0,"",     0,"*xam-al-a-, *skamm-a- adj.",   700,"","","","","","WP I 601 (differently in Pok.)",""
1049,"*(s)k(')amb-", 623,"crooked","кривой",1715,"","","","Pers. šekam < *škamb- 'belly' (?)","","skambó- `krumm, krummbeinig'","",     0,"",     0,"*skump-ō- vb.; ? *skimp-a- m., *skimp-ia- vb.",  1413,"","","OIr camm `krumm'; Cymr, Corn cam, Bret kamm `ds.';  Gaul  in  Cambio-dūnum, etc.","","","WP I 601",""
1050,"*(s)kʷal-", 508,"a k. of big fish; whale","рыба - кит",1763,"","","kara- `a mythical fish'","","","epir. (atham.) áspalo-s <aspálọ̄s> `рыба' Hes., aspaliéu̯-s `Fischer'","",     0,"*kal-[a]- m.",   482,"*xwal-a- m., *xwal-i- c.; *xwal-is-a- m.",   701,"squalus, -ī `ein grösserer Meerfisch, Meersaugfisch ?'","","","","","WP II 541",""
1051,"*(s)kūt-",   0,"skin, cover","кожа, оболочка",   0,"","","","","","skǖ̂tos n. `die zubereitete Haut, Leder, Lederriemen', eŋ-kütí(s) `bis auf den Leib, die Haut'","*kūtī́tī, *kūtātī",  6826,"*keût-a- c., *keut-ā̂ f., *kut-ia- c.,",   483,"*xūd-í- c.; *xud-jōn- f.; *skaud=",  1642,"cutis, -is f. `Haut, Vorhaut, Leder'","","","","","WP II 546 f",""
1052,"*(s)kūr-",   0,"line, hole","черта, дыра",1752,"","","","","","skǖ̂ro-s { и skǘro-s } m. `Steinsplitter, Schotter'","*čūrъ `граница': Rus dial. чур `Grenze, Schranke, Mass', черес-чур?", 16744,"*keûr-a- (1) adj., *skeur-iā̃",   484,"*skur-ōn- f., *skur-ō- vb.",  1644,"","","","","","WP II 552 f",""
1053,"*(s)ker-, *(s)kert-", 609,"bark, skin","кора, кожа",1738,"","cárman- n. `hide, skin'; kŕ̥tti- f. `skin, hide'","čarəman- `Fell, Haut'","Kurd. čərm 'bark, skin'; Munj. karāst 'skin'","kherthem `ziehe die Haut ab, schäle ab'","kṓrüko-s m. `Ledersack', kōrükís `id.'","*korā, *skorā, *skorjā; *čerslo (кожа, кора)",  6100,"*kar-n-ā̂, *kar-d-ā̂ f., *skar-ā̂ f.",   458,"*xir-d=, *xr-id=; *skar=; *skir-m=",  1663,"corium, -ī n. (/corius) `dicke Haut, Fell, Balg (von Tieren), Leder; dicke Schale, Hülse; dicker Überzug, Kruste'; cortex, -icis m. (/f.) `äussere Rinde, Schale, Borke; bes. Kork, Stöpsel', scortum, -ī n. `Fell, Tierhaut; weibliche uder männliche Hure',","","*kŏruko-s > Ir curach `Hautboot', Cymr corwg, cwrwg `ds.'; OIr croicenn, Ir. craiceann, W. croen, Bret. krochen, Corn. croghen, Gael. craicionn 'skin'; *skVrt- > MIr scairt `Netz um die Gedärme, Zwerchfell; Herz, Inneres'","","","WP II 573 f",""
1054,"*(s)ker-",   0,"shrew","зверек (землеройка)",   0,"","","","","","","*čьrtьcь: Ukr черте́ць `grosse Haselmaus'",     0,"*kar̃-st-a-, *ker-(s)t-uk-a- c.",   486,"*skir-ō(n)- f.",   702,"","","","","","WP II 573 f",""
1055,"*(s)korb-",   0,"basket","корзина",1742,"","","","","","","*korbъ",  6162,"",     0,"*skarp=",   703,"corbis, -is f., m. `Korb'","","MIr corb `Wagen'","","","WP II 588 f",""
1056,"*(s)keləm-",   0,"handle of an oar","рукоять весла",   0,"kalmi- c. 'Holzscheit' (Tischler 468)","","","","kheli `Steuerruder'","skalmó-s m. `Ruderpflock'","",     0,"*kel̂m-a- (2) c., *kalm-u- c.",   487,"*xilm-a- m., *xilm-an- m., *xal-m=, *xul-m=; *skal-m-ō f.",   705,"","","","","","WP II 590 f (differently in Pok.).",""
1057,"*(s)k(')olg(')-",   0,"sword","меч",   0,"","","","","","","",     0,"",     0,"*skalk-a- m., *skulk-a- m.",   706,"","","OIr colg `Schwert'","","","WP II 590 f",""
1058,"*(s)k(')ol-", 601,"worm, snake","жаба (червь/змея)",   0,"","","","","","skṓl[ǟ]k-s, -[ǟ]kos m. `Wurm, Larve'","",     0,"",     0,"",     0,"colubra f.; coluber, gen. -brī `(kleinere) Schlange'","","","","","WP II 597 f",""
1059,"*kel- / *kol-", 506,"knee, part of leg","часть ноги",   0,"","","","","","kō̂lo-n n. `Glied eines Tieres od. eines Menschen, insbes. Bein', kōléǟ `Hüftknochen mit dem daransitzenden Fleisch, Schinken', kōlḗn, -ḗnos f., kōleó-s f. `id.', kṓl[ǟ]p-s, -ǟpos f. `Kniekehle, Knöchel'; { kólsasthai = hiketeûsai (Hes.) }","*kolēno; *čelnъ",  5846,"*kul̃-n-a- m., *kul-n-i- c., *kel-ia- c.",   488,"",     0,"","","","","A kolye, B kolyi 'hoof, paw(?)' (Adams 205)","WP II 597 f","Cf. *(s)kel- 'joint of the leg'."
1060,"*(s)teg-",   0,"stick, stake","палка, кол",1876,"","","","","thakn, gen. thakan `Knütel, Schlägel, Keule', thakałak, thakałał `capitello, architrave'","","*stogъ; *stožārъ, *stežārъ; *stežьje/*stožьje", 13393,"*stag-ar-a-, -ia- c., *steg-er-ia- c., *stag-ut-a- c., -iā̃ f.; *stēg-a- c., *stēg-ā̂ f.",   489,"*stik-an- m., *stik-jōn- f., *stik-ja- n., *stik-a- n., *stak-an- m., *stak-i- c., *stakk-a-, -an- m.; *stikk-an- m., -ōn- f., *stikk-a- m., n.",   707,"tīgnum, -ī n. `Bauholz, Balken', tigillum `kleiner Balken'","","","","","WP II 622",""
1061,"*(s)tAmb-",   0,"bush, heap","куст; кучка",1874,"","stabaka- m./n. `cluster of blossoms, bunch of flowers, tuft', stambá- m. `clump or tuft of grass, sheaf'","","","","","",     0,"*stem̂b-a- c., *stem̃b-ia- c., *stem̂b-r-a- (1) c., *stam̃b-a-/*stam̂b-a- c., *stam̂b-r-a-, -iac., *stamb-u- dj., stam̃b-an-a- c., *stim̂b-en-a- (1) c., *stum̂b-a- c., *stum̂b-ur-a- (1) c., *stumb-r-a- (1)",   490,"*stump-a- m., -ō(n-) f.",   708,"","","MIr tomm `kleiner Hügel, Busch'; Cymr tom `Erdhügel, Düngerhaufen'","","","WP II 623 f",""
1062,"*(s)tergʷh-",1639,"skin (on the back)","кожа на спине",   0,"","","","","","stérphos, térphos n. `Haut, Fell, Hülle', dor. stréphos n. (~ -o-s m.) `skin' (Hes.), sterphó-peplo- `mit einem aus Haut bestehenden péplos'","",     0,"",     0,"",     0,"tergum, -ī n; tergus, -ī m.; tergus, gen. -oris n. `Rücken; Rückseite; Oberfläche; Haut, Fell, Leder', tergīnum `Peitsche aus Leder'","","","","","WP II 627 f",""
1063,"*(a)ster- <PIH *H- ?>", 858,"star","звезда",1891,"astira- c. 'Stern?' (Tischler 86), haster- c. (204ff)","pl. nom. str̥ṇas, tāras, gen. str̥ṇām, instr. stŕ̥bhiṣ m. `star'; tarā f. Stern }","acc. stā̆rəm, gen. stārō, pl. staras-ča, stārō, acc. strə̄us, gen. strə̄n, dat. stərəbyō 'Stern'","Pers. setāra 'star'; Afg. storay 'star', stərga 'eye' (*'starlet')","astł, gen. asteł `Stern, Gestirn'","astḗr, -éros, pl. ástra `Stern'; asteropǟ́ f. `Blitz', steropǟ́, astrapǟ́ `id.'; { pl. gen. teré-ōn (metr. Dehn. tẹ̄́reoi̯n) Gestirne }","",     0,"",     0,"*stir-n-a- m., *stir-n-ōn- f., -an- m.; *stirr-ōn- f., -an- m.",   709,"stēlla f. `Stern'","","Bret sterenn, Corn sterenn (pl. steyr), Cymr seren `Stern'","","A śre (pl. śreñ), B śćirye (PT *śćäriye) 'star' (Adams 640)","WP II 635 f",""
